ID,Rating,Votes,Date,Title,Author,Publisher
01036947,8.5,001060,2004-10,给青年小说家的信,[秘] 马里奥·巴尔加斯·略萨,上海译文出版社
02330703,0.0,000006,2000-11-1,Passage to Juneau,Jonathan Raban,Vintage
02162652,8.4,000029,2013-4-1,The Rings Of Saturn,W.G.SEBALD,Vintage Classics
01028796,0.0,000000,2003-01,黄河边的中国,曹锦清,上海文艺出版社
02100287,7.3,000032,2007-1,多瑙河之旅,克劳迪欧·玛格里斯,重庆出版社
02931912,9.1,000018,2005-10-3,A Time of Gifts,Patrick Leigh Fermor / Jan Morris,NYRB Classics
01377478,0.0,000010,2003-12-26,威尼斯,[英] 简·莫里斯,馬可孛羅
05307669,0.0,000004,2006-07-27,Black Lamb and Grey Falcon,Rebecca West,Canongate Books Ltd
02721878,0.0,000005,2002-07-30,The Innocents Abroad,Mark Twain,Penguin Classics
01203035,7.7,000061,2000-5,伊本・白图泰游记,伊本﹒白图泰,宁夏人民出版社
03845990,0.0,000004,2008-2-7,News of a Kidnapping,Gabriel Garcia Marquez,Penguin
01012307,9.2,006230,2003-1,规训与惩罚,[法] 米歇尔·福柯,生活·读书·新知三联书店
02063579,9.3,001362,2006-9,古拉格群岛（上中下）,[俄] 亚历山大·索尔仁尼琴,群众出版社
01989342,8.8,000055,1990-10-1,Slouching Towards Bethlehem,Joan Didion,Farrar,Straus and Giroux
04245064,8.6,003044,2010-1,冷血,杜鲁门·卡波特,南海出版社
01680190,8.1,000264,2005-5,女性的奥秘,[美] 贝蒂·弗里丹,广东经济出版社
04750189,0.0,000004,1989-1-11,Let Us Now Praise Famous Men,James Agee,Mariner Books
01424780,8.6,000341,1989.2,一间自己的屋子,(英)伍尔夫,三联书店
03265170,7.8,000064,2008-9,经济与社会,(德)韦伯,北京出版社
01274469,8.4,004016,1996-12,自杀论,[法] 埃米尔·迪尔凯姆,商务印书馆
03097653,7.5,000015,1961初版,1986重印,哲学通信,(法)伏尔泰,上海人民出版社
04313494,8.5,000252,2010-1,愚人颂,［荷兰］伊拉斯谟,译林出版社
01527209,7.1,000027,2002-12,妇女城,克里斯蒂娜·德·皮桑,学林出版社
01000445,8.6,005968,2003-01,时间简史,史蒂芬・霍金,湖南科学技术出版社
01292405,8.6,006481,1998-10,自私的基因,(英)里查德.道金斯,吉林人民出版社
01008676,8.0,000110,2001-8-1,双螺旋,James D.Watson,生活·读书·新知三联书店
01338477,8.8,000024,1996年05月30日,物理之美－費曼與你談物理,費曼,天下文化
01071384,8.5,001282,1995-06,物种起源,(英)达尔文,商务印书馆
01427513,8.5,000182,2002-6,宗教经验之种种,[美] 威廉·詹姆士,商务印书馆
02101774,9.0,001942,1998-01,金枝,（英）弗雷泽,大众文艺出版社
03735295,7.5,002659,2009-5,未来是湿的,[美] 克莱·舍基,中国人民大学出版社
01458604,8.8,000052,1995-03-31,Manufacturing Consent,Edward S. Herman / Noam Chomsky,Vintage Uk
