ID,Rating,Votes,Title
01084336,9.0,576735,小王子
03259440,9.1,460306,白夜行
03211779,8.9,411935,嫌疑人X的献身
02567698,8.8,375295,三体
25862578,8.5,642209,解忧杂货店
20427187,8.8,276220,看见
26602392,8.6,69759,你今天真好看
26672693,9.0,34646,一个叫欧维的男人决定去死
21371175,9.2,18609,罗杰疑案
03633461,8.7,37283,一句顶一万句
01818347,8.7,36082,尼罗河上的惨案
24859822,8.6,34264,无人生还
06746289,8.4,33941,新参者
20441957,8.5,26921,兄弟
10554309,8.5,22655,恶意
26340138,7.6,120569,岛上书店
20421947,8.6,14519,在细雨中呼喊
25697546,8.6,13905,尼罗河上的惨案
26371317,8.1,24574,24个比利
06878068,9.2,4611,深夜食堂 01
25893465,9.1,5170,万历十五年
27174130,8.1,22122,北野武的小酒馆
10529412,9.2,4201,深夜食堂 06
04009552,7.5,67277,幻夜
10759773,9.2,3430,深夜食堂 07
07059682,9.2,3356,深夜食堂 05
24737009,8.3,11268,ABC谋杀案
06878070,9.3,2716,深夜食堂 02
25708359,8.5,6876,了不起的盖茨比
25955474,7.4,42221,坏小孩
11639625,9.1,2620,深夜食堂 09
06952772,9.2,2316,深夜食堂 03
05394309,8.4,5784,简约至上
06952773,9.2,1850,深夜食堂 04
10781730,9.1,2062,深夜食堂 08
26298572,7.9,9709,彷徨之刃
10608319,8.5,3769,存在主义是一种人道主义
26798331,8.3,4239,醒来觉得甚是爱你
01006073,7.5,14660,七月与安生
25956990,7.9,6104,信
05990434,8.4,2585,蝙蝠
02376313,8.8,1194,查拉图斯特拉如是说
24876477,7.2,11901,很高兴见到你
03852838,8.5,1146,爱你就像爱生命
01320621,8.6,996,都市妖奇谈二
10539156,8.2,1412,绚烂的世界帝国：隋唐时代
06864391,8.4,1059,触动人心
06889834,7.4,2612,往复书简
26844348,6.5,12954,好吗好的
02970044,8.7,444,都市妖奇谈之五.胡不归
25859052,7.5,1754,沉默的证人
25961788,7.4,1911,死亡约会
11526985,7.2,2101,直到世界尽头
34996662,7.2,1753,低智商犯罪
25786283,6.6,5157,女王乔安
04251079,8.6,312,WOW! Photoshop插画设计
24720270,8.6,288,Objective-C高级编程
25826578,7.0,1674,MacTalk 人生元编程
24753137,7.7,493,移动设计
26287812,8.7,171,iOS编程（第4版）
30851300,8.6,180,春秋战国真有趣（套装全6册）
19925567,6.7,1849,过日子要有技术含量
25817261,7.9,297,方寸指间
30422580,8.3,171,饥饿的盛世
26687878,6.8,979,万圣节前夜的谋杀
25744600,7.5,358,微交互
26594029,7.9,229,U一点·料
10522821,7.0,677,推理要在晚餐後2
04827960,7.7,280,移动应用的设计与开发
21356354,8.7,109,iOS编程
20381558,7.3,368,移动应用UI设计模式
03870385,8.3,109,苹果开发之Cocoa编程
20259954,7.7,164,蚱蜢(2012年新版)
26844382,7.5,183,和这本书一样安静
01511338,8.9,58,The Culture Industry
34396190,7.9,121,敌人与邻居
34869429,8.1,92,奥斯曼帝国
02054201,7.8,116,RESTful Web Services
06398078,7.9,102,iPhone应用用户体验设计实战与案例
10427995,7.4,109,种子
01172442,7.5,96,Producter 让产品从0到1
34845955,7.3,105,地中海世界与罗马帝国
01877561,8.3,40,Mac OS X Internals
24924613,8.5,30,精通iOS开发
05295486,8.1,29,Beginning iPhone 4 Development
19966092,6.9,66,1000种可爱图案，一学就会的简单铅笔画
07070622,8.2,25,Programming in Objective-C (4th Edition) (Developer&#39;s Library)
25764505,7.3,41,Android应用UI设计模式
26128084,5.5,171,体验 度
20474162,5.7,90,Photoshop智能手机APP界面设计
26906839,7.7,14,一个人的产品：写给非设计师的设计书
05394839,5.7,68,犯罪心理学
04242442,7.9,12,Advanced Mac OS X Programming
04127507,7.6,13,Lonely Planet 1000 Ultimate Experiences
27074578,5.6,39,ASO优化道与术
24828264,6.4,17,放飞APP
25792553,5.1,52,APP营销解密
27149862,0.0,10,指尖上行
