ID,Rating,Votes,Title
30336340,8.7,23729,撒野
27608412,8.4,31136,默读
26939596,8.8,13737,殺破狼
02285572,8.7,10535,圣传
06531656,9.3,4341,麒麟之与子同袍
04186113,9.5,2829,卒業生−春−  ＥＤＧＥＣＯＭＩＸ
04186109,9.5,2635,卒業生−冬− ＥＤＧＥＣＯＭＩＸ
06730371,9.4,2550,麒麟之生死與共
06730832,9.4,2176,麒麟之快意人生
06896252,9.5,1943,麒麟之兵天血地
10601616,8.9,3803,我爱摇滚乐
01394433,8.4,7352,藍宇
01559296,9.1,2496,成功者的肖像
30141639,8.8,3203,残次品
05290433,8.7,3437,当代诗人作家书画集
01947668,8.9,2615,纽约纽约
03015357,9.1,1986,美しいこと 上
02222551,8.3,5450,纨绔
27094488,8.5,4033,过门
20416178,9.5,1212,囀る鳥は羽ばたかない 1
03111691,8.5,3940,桃花债(下)
26924198,8.1,7041,魔道祖師 二
03612285,9.3,1471,憂鬱な朝 (1)
04282178,9.2,1593,あなたのためならどこまでも
01919647,9.4,1278,Ｊの総て ２
03399073,9.1,1750,創造發明的思路
04108541,8.6,3198,回国驯火记
03715335,9.3,1366,俎上の鯉は二度跳ねる
02214034,9.2,1501,窮鼠はチーズの夢を見る
03022521,8.2,5362,天官赐福
01844449,9.1,1643,日出処の天子 1
03015359,9.1,1633,美しいこと 下
03334382,9.0,1799,世界第一的初恋
26780911,8.5,3322,大哥
25764905,9.3,1256,鳴鳥不飛(01)
04151599,9.3,1246,花は咲くか 1
03831258,9.1,1501,ダブルミンツ
20499504,9.4,1079,麒麟·戰爭之王·浴血南珈
03887847,8.5,2979,浮光
03764960,9.2,1282,セブンデイズ
20499500,9.4,1041,麒麟·戰爭之王·劫後重生
03090154,8.9,1759,SEVEN DAYS MONDAY→THURSDAY
20499503,9.4,1012,麒麟·戰爭之王·海外護航
02994915,8.8,1943,戀愛暴君 1
01949011,8.1,5003,一個爹爹三個娃
35003415,9.0,1537,将进酒
01919635,9.1,1353,コペルニクスの呼吸1
03928269,9.1,1334,世界一初恋 ~小野寺律の場合2~
27104878,8.9,1663,活受罪、長相守
27168013,9.2,1191,Killing stalking: 1 杀戮跟踪
05354510,9.0,1480,花のみぞ知る 1
03213367,9.0,1462,昨日的美食 01
02020973,8.7,2065,天鹅奏鸣曲
26924200,8.1,4596,魔道祖師 三
02074155,8.6,2213,拥抱春天的罗曼史
02073249,8.6,2206,妖色小周
10577874,9.4,903,スメルズライクグリーンスピリット
03769098,9.4,874,窮鼠はチーズの夢を見る
02263266,9.3,963,ばら色の頬のころ (F COMICS)
26781333,8.1,4196,格格不入
04204555,9.2,1053,j的故事
04922573,8.9,1458,新编上下五千年(共12卷)
01966617,9.0,1299,檻の外
04941617,9.5,778,花は咲くか 2
04121627,9.2,1029,世界一初恋 ~小野寺律の場合3~
01946015,8.6,2035,犹记多情
06114945,9.6,678,憂鬱な朝 3
10571368,9.1,1110,空と原
04890240,9.5,732,憂鬱な朝 2
02082239,8.0,4390,凤非离
02081058,8.3,2825,归途
01945030,8.3,2819,冰之魔物语(24)
01924373,8.6,1899,哇!今夜哪里有鬼!
24759683,8.7,1681,末日曙光
