ID,Rating,Votes,Title
06709783,9.0,26433,浪潮之巅
24738302,9.2,3133,浪潮之巅（第2版）（套装上下册）
03043491,7.7,12858,浮沉
03652388,8.8,2375,程序员的自我修养
03004255,8.4,3183,编程之美
03235659,9.2,451,Windows核心编程(第5版)
04924165,9.5,313,CLR via C#
01141221,9.1,297,Microsoft.NET框架程序设计
02031396,9.1,256,深入解析Windows操作系统
03699395,7.8,710,观止
05273955,9.0,179,Windows程序设计
07055340,9.1,129,深入理解C#（第2版）
04719159,8.7,113,Windows内核原理与实现
03788437,9.1,84,琢石成器
02054931,8.0,148,Effective C# 中文版
02335649,8.8,78,Head First C#
01473166,9.3,52,Microsoft Windows Internals (4th Edition)
02980249,9.4,43,SQL Server 2005技术内幕:T-SQL查询 (平装)
19962921,9.4,35,CLR via C#
04220159,8.3,63,微软的秘密
26988323,7.1,120,Hit Refresh
01433808,8.5,37,The Fall of Reach
01061546,8.1,47,微软项目求生法则
02295543,8.3,38,Microsoft SQL Server 2005技术内幕:存储引擎
02149642,7.5,66,移山之道
02368004,8.0,40,Windows Presentation Foundation程序设计指南
01182223,8.4,28,晋身Excel高手
20366360,8.2,31,Kinect应用开发实战
06935552,9.4,17,Windows Internals
25844377,9.5,16,深入解析Windows操作系统：第6版（上册）
02184232,7.4,31,ASP.NET第一步
01827723,7.4,25,Visual C#2005从入门到精通
01282571,8.1,15,代码大全(Code Complete)
24846626,8.3,13,Windows环境下32位汇编语言程序设计
01907050,7.5,18,最优化ASP.NET
01015188,7.1,20,微软之路
01196206,7.4,15,Microsoft Windows 用户经验
01437122,8.0,11,Applied Microsoft .NET Framework Programming
06702742,8.2,10,Dependency Injection in .NET
02188101,6.6,23,.NET软件测试自动化之道
05171275,7.1,16,Excel2010高效办公
01183666,6.8,17,亲历微软
01082585,6.3,21,史蒂夫·鲍尔默传
01906222,6.7,12,SharePoint Portal Server 2003深入指南
01152426,0.0,10,Microsoft SQL Server 2000宝典
05381863,0.0,10,Microsoft Silverlight 4从入门到精通
