ID,Rating,Votes,Title
03259440,9.1,460307,白夜行
01963912,8.8,14668,正见
02194123,8.4,24263,相约星期二
01047719,8.5,10259,傅雷家书
01756614,9.4,2166,Word Power Made Easy
01504957,8.6,5752,学会提问
03067169,7.9,15431,丑陋的中国人
01236999,9.6,1305,The  C Programming Language
03227098,9.1,2088,编程珠玑
02345548,8.2,5627,学习之道（第2版）
03410833,8.6,3103,给青年艺术家的信
01015123,8.7,2579,生存手册
01139426,8.9,1924,数据结构与算法分析
02376506,8.9,1867,生命的轨迹
01102259,8.4,3271,人月神话
01152111,8.6,2297,程序员修炼之道
01326833,8.6,2121,美国大城市的死与生
02980795,7.7,4725,内向者优势
01812833,8.7,1204,穷人的银行家
01196945,8.4,1612,集体行动的逻辑
01084434,9.0,754,以自由看待发展
01162080,8.6,1142,曾国藩(共三册)
01436707,7.5,5177,如何掌控自己的时间和生活
01215178,9.3,385,汇编语言
01780035,8.6,716,如何改变世界
01417379,8.4,881,How To Win Friends And Influence People
03265827,8.9,513,人的自我寻求
03032825,8.9,461,Clean Code
03149514,8.0,1153,战胜拖拉
02209702,8.9,426,Programming Collective Intelligence
01046176,8.6,563,宽容（房龙文集）
01436745,9.2,288,Design Patterns
01417047,8.9,333,The Pragmatic Programmer
06012609,8.9,321,Poor Economics
01292448,8.0,773,女子与小人
01727293,7.2,2010,晨間日記的奇蹟
03327588,9.2,205,The Road Less Travelled
01451172,8.5,371,Just for Fun
01419359,9.1,204,Refactoring
01270267,8.9,219,通过知识获得解放
01263921,7.2,1428,你的形象价值百万
01099251,9.6,117,UNIX环境高级编程
03030535,7.8,559,自我训练
01839273,8.4,281,应用Rails进行敏捷Web开发
01764900,8.0,393,Ajax实战
01422056,8.5,235,Programming Ruby
02347790,9.3,118,敏捷软件开发
01004632,8.2,266,独立精神（全三册）
03039216,8.0,309,构建可扩展的Web站点
02084131,8.7,153,High Performance Web Sites
01958938,7.8,326,PHP与MySQL 5程序设计（第2版）
01106301,9.0,101,敏捷软件开发（影印版）
01105381,9.0,94,人月神话
01208843,7.1,557,C语言程序设计
01986495,8.3,138,现代灵魂的自我拯救
02036527,8.4,114,经济增长的秘密
01872091,8.7,90,Mastering Regular Expressions 3rd
01316523,7.5,245,孤独的人群
03193904,8.5,96,Economic Gangsters
01231231,7.7,182,Junit in Action 中文版
01452087,8.6,84,How the Mind Works
03115378,7.4,248,NLP自我重塑计划-21天塑造全新自我
01011697,8.4,91,人生五大问题
03257745,7.7,163,白人的负担
02023370,8.0,122,Beautiful Code
02076710,7.5,181,软件架构设计
01771049,8.4,78,Test Driven Development
06962220,8.6,64,Poor Economics
02382413,7.5,159,Cocoa入门
01087300,9.0,49,发展、地理学与经济理论
02054201,7.8,116,RESTful Web Services
01237464,7.9,105,软件工艺
02381793,8.2,81,真正的穷人
01431772,9.1,42,From Third World to First
02245914,8.0,85,中国崛起策
01826291,9.3,36,Development Economics
03035267,8.3,65,Programming Ruby 1.9
02252189,8.3,64,Scrum and XP from the Trenches
01082180,7.6,102,跳出思维的陷阱
02283406,7.1,162,111个失败的案例
06971366,8.1,59,PostgreSQL 数据库内核分析
01904976,8.3,51,Awaken the Giant Within
01767907,8.6,40,Practices of an Agile Developer
01759399,8.7,36,The Elusive Quest for Growth
01355091,8.1,50,Globalization and Its Discontents
03187419,7.0,119,5分钟集中力训练
02830058,9.0,27,States and Power in Africa
02773968,8.6,30,The White Man&#39;s Burden
01791132,8.0,41,The End of Poverty
01963295,8.1,38,經濟殺手的告白
01083452,6.8,112,时间管理
02751184,9.3,18,The Art of Agile Development
01968316,8.6,23,Show Stopper
01075004,7.7,39,知识印象
03884841,9.3,15,Development as Freedom
01449347,7.7,32,The Best Software Writing I
02349872,9.0,15,孤独症儿童社会性教育指南
02252374,8.1,23,Foundations of GTK+ Development
02283239,8.0,24,China Transformed
03013946,7.6,27,Starting Struts 2
04802568,8.9,13,Awakening Giants
02563895,8.8,13,One Economics
01822196,8.2,17,Rapid Development
06424559,7.8,19,发展理论导论
01432222,7.8,18,SWT/JFace in Action
01877347,7.3,24,The End of Poverty
03181257,7.7,18,ASP.NET 3.5高级编程第5版（套装上下卷）
02797200,7.8,17,Markets and States in Tropical Africa
03230997,6.6,31,超強人脈術！
02059594,7.8,14,學問無界說
04008765,7.4,17,Beginning iPhone 3 Development
01849514,8.0,12,The White Man&#39;s Burden
03039784,7.1,19,Apache模块开发指南
02122140,8.2,10,Pattern-Oriented Software Architecture Volume 4
01025889,7.8,10,身体思想
01231486,7.3,12,CGI 编程
31860916,6.0,21,How to Do Nothing
06062469,0.0,10,Tragedy of the Commons
01213137,0.0,11,UNIX和shell程序设计权威教程
01775119,0.0,11,Breaking the Bamboo Ceiling
02075353,0.0,11,The Mystery of Economic Growth
02776503,0.0,11,In Defense of Globalization
02982222,0.0,11,iPhone Open Application Development
