ID,Rating,Votes,Title
03259440,9.1,460307,白夜行
01230413,9.5,2761,深入理解计算机系统
01772786,8.7,5572,真名实姓
01788421,9.4,2275,UNIX环境高级编程
04889838,9.1,3045,鸟哥的Linux私房菜
01088054,9.2,2116,TCP/IP详解 卷1：协议
02377310,9.2,1968,C专家编程
01467587,9.0,2130,UNIX编程艺术
03652388,8.8,2375,程序员的自我修养
03037562,9.3,1236,汇编语言（第2版）
01500149,9.5,963,UNIX网络编程
02036993,8.0,3868,幸福的建筑
03296317,9.1,922,编译原理
01230206,8.9,973,编程珠玑(第二版)
02208530,8.9,919,鸟哥的Linux私房菜 基础学习篇(第二版)
25900403,9.5,364,UNIX环境高级编程（第3版）
04866934,8.0,1790,Python基础教程（第2版）
01173548,9.1,479,程序设计实践
01219329,9.2,425,Unix/Linux编程实践教程
06806862,9.3,363,The Linux Command Line
01440658,8.2,1108,Dive Into Python
04088038,8.9,509,Perl语言入门
01767120,9.0,440,深入理解LINUX内核
01229959,9.0,431,The Art of UNIX Programming
03032825,8.9,461,Clean Code
03169342,8.2,895,Web信息架构(第3版)
01087767,9.1,348,TCP/IP详解 卷2：实现
01319751,8.5,618,C++Primer Plus
25809330,9.4,253,Linux/UNIX系统编程手册
01723151,8.7,467,Linux设备驱动程序
04253716,9.4,249,Unix &amp; Linux大学教程
25930025,8.2,790,只是为了好玩
02287506,8.7,452,深入理解LINUX内核(第三版)
06097773,8.6,473,Linux内核设计与实现(原书第3版)
03735649,8.7,428,Orange&#39;S:一个操作系统的实现
06025290,9.3,230,一站式学习C编程
05387401,9.0,282,UNIX编程艺术
04292217,9.4,199,The Linux Programming Interface
01229948,9.7,159,Computer Systems
04843567,8.9,291,深入Linux内核架构
10599776,9.2,224,Practical Vim
04828875,8.6,379,Python Cookbook
02044818,9.1,225,操作系统设计与实现（上册）
02032343,8.4,427,Programming Ruby中文版
26854226,9.0,238,Linux命令行与shell脚本编程大全（第3版）
01451172,8.5,371,Just for Fun
10794788,8.8,270,鸟哥的Linux私房菜
04118577,9.4,160,UNIX网络编程 卷2
02030712,8.7,265,Perl语言入门
02073826,8.4,346,Linux程序设计
03329887,8.7,260,Ruby编程语言
01033144,8.8,233,UNIX编程环境
04831448,8.3,352,Linux程序设计
03229243,9.0,186,Linux内核完全剖析
11530329,8.3,307,30天自制操作系统
01395123,8.0,402,乐者为王
06889456,8.1,343,Linux Shell脚本攻略
04713688,8.3,278,一生的学习
01035710,9.0,151,UNIX操作系统设计
01231584,8.6,201,Linux内核源代码情景分析（上册）
04118578,9.8,78,UNIX网络编程 卷1
01229913,8.6,171,嵌入式实时操作系统μC\OS-Ⅱ
02295097,8.4,201,Learning Python
01422377,7.9,318,自己动手写操作系统
01231236,8.5,176,Linux内核完全注释
01493443,9.0,118,Linux Device Drivers
25911735,8.6,159,TCP/IP网络编程
03042029,8.4,187,Linux系统管理技术手册
01236944,8.0,273,sed与awk
26434583,9.6,73,UNIX网络编程 卷1：套接字联网API（第3版）
04886882,9.3,88,UNIX网络编程 : 第2版. 第2卷， 进程间通信(中文版)
01776614,9.2,93,Understanding the Linux Kernel
01886058,9.2,92,计算机组成：结构化方法
10747453,9.2,92,UNIX/Linux 系统管理技术手册
01834459,9.0,105,深入理解LINUX网络内幕
01231822,8.9,106,莱昂氏UNIX源代码分析
01787854,8.8,113,An Introduction to GCC
02226913,8.5,143,C语言核心技术
01915868,8.3,169,Python编程（第三版·英文影印版）
22226727,8.1,202,Linux命令行大全
03519360,7.3,446,Shell脚本学习指南
01787855,9.3,74,Programming From The Ground Up
01506160,8.5,130,操作系统
02029866,8.1,174,Linux命令、编辑器与Shell编程
06799412,8.3,141,Debug Hacks中文版
02250326,8.8,94,Intel汇编语言程序设计
24722611,7.9,199,Linux高性能服务器编程
03152027,8.5,112,嵌入式Linux应用开发完全手册
01481173,8.6,99,Linux内核完全剖析
10583161,8.2,130,Linux入门很简单
01236987,7.7,202,学习GNU Emacs
01768601,9.2,61,The Design of the UNIX Operating System
03767413,8.2,125,Learning the vi and Vim Editors
01449387,8.5,98,Linux Kernel Development
02584955,9.3,57,Hacking
01229889,9.4,52,现代体系结构上的UNIX系统
04111413,7.7,185,软件调试的艺术
01219601,8.8,74,Linux内核设计与实现
04289836,8.2,114,操作系统概念（第七版）
04189498,8.5,85,Linux从入门到精通
01398620,8.6,77,鸟哥的Linux私房菜――服务器架设篇
01230448,7.9,135,PHP程序设计
04083265,8.0,123,链接器和加载器
24298701,7.4,218,理解Unix进程
06957175,9.2,51,Is Parallel Programming Hard
03244090,9.0,57,Professional Linux Kernel Architecture (Wrox Programmer to Programmer)
01161027,9.0,56,UNIX程序设计艺术
05503292,8.8,60,Linux内核设计与实现
03907181,8.1,97,LINUX系统编程
01314538,8.6,66,UNIX系统编程
03405742,8.1,94,Version Control with Git
25791952,8.1,94,Linux Shell脚本攻略（第2版）
02247991,8.4,71,Linux System Programming
24708145,8.7,57,Linux 内核设计的艺术（第2版）
26757170,8.9,50,鳥哥的Linux私房菜（第四版）
01845284,7.9,103,GNU Make项目管理（第三版）
01241361,7.6,133,学习bash
01231429,8.0,92,构建嵌入式LINUX系统
06126937,7.5,144,学习vi和Vim编辑器（中文版）
01754499,8.4,67,Postfix权威指南
01779429,9.1,42,UNIX and Linux System Administration Handbook
04251875,6.6,410,实战Nginx
25789594,8.3,69,深入理解程序设计
20491097,9.0,42,Linux System Programming
26959790,9.5,31,tmux 2
03008512,8.3,63,Advanced Linux Programming
01446021,8.3,62,Linux内核设计与实现
04895627,8.3,62,Linux内核修炼之道
04722707,8.5,54,实战Linux Shell编程与服务器管理
04114150,7.1,181,虚拟化与云计算
25743846,8.4,57,深度探索Linux操作系统
01236825,7.7,97,POSIX多线程程序设计
01771048,8.9,41,The Unix Programming Environment
03411497,9.4,31,Advanced Bash Scripting Guide 5.3 Volume 2
25828773,9.1,35,Linux 系统编程（第二版）
01432343,8.7,44,Vi iMproved (VIM)
25921329,8.4,52,深入理解Android内核设计思想
04015134,8.5,48,深入理解LINUX网络技术内幕
01610233,9.7,25,Understanding the Linux Virtual Memory Manager
01440428,8.0,64,Version Control with Subversion
01741933,8.3,51,sed &amp; awk
25803528,7.5,89,Linux系统命令及Shell脚本实践指南
04286737,9.3,27,Harley Hahn&#39;s Guide to Unix and Linux
01873923,8.7,35,See MIPS Run
24736505,8.9,29,Linux口袋书
02036942,8.0,50,Why Programs Fail
