ID,Rating,Votes,Title
04011670,8.3,189101,人间失格
04123116,9.1,38125,月亮和六便士
01088581,8.8,45245,浮生六记
03136271,8.7,47431,罗生门
02297697,8.6,34197,ZOO
01803022,9.0,15958,圣经
03391248,8.7,20073,金阁寺
04074636,7.6,121323,放学后
03987362,8.9,6948,春雪
30374817,8.6,9955,小偷家族
03673651,7.7,39083,岛
02062557,9.3,2976,地狱变
01292405,8.6,6482,自私的基因
03391246,8.2,10494,潮骚
25769962,9.1,2647,春雪
03391245,8.4,6292,假面自白
05395162,9.0,2621,天人五衰
10764013,8.8,3090,克罗诺皮奥与法玛的故事
04823788,8.9,2616,奔马
01091904,9.2,1772,丰饶之海（上下）
25839620,8.7,2706,金阁寺
25900284,9.3,1085,天人五衰
03733083,8.8,1816,你往何处去
25886360,9.2,1084,春雪
25910220,8.5,2312,金阁寺
05366440,8.6,2011,禁色
25839615,8.9,1381,禁色
30278166,8.7,1736,金阁寺
30255008,8.9,1361,潮骚
04191699,8.5,2153,午后曳航
04823789,8.5,2117,晓寺
04617900,8.5,2103,萨德侯爵夫人
04282049,8.3,2690,三四郎
10768064,8.0,3815,涡虫
25839618,8.7,1497,仲夏之死
01411086,8.6,1654,金阁寺/潮骚
01056673,8.7,1457,春雪
03391242,8.0,3632,爱的饥渴
25910222,9.0,810,春雪
25839610,9.0,806,春雪
10794374,8.6,1249,金阁寺
34897115,9.0,762,美与暴烈
01040635,8.3,1529,假面自白
25839613,8.4,1342,假面自白
25839608,8.3,1514,潮骚
06719661,8.4,1316,仲夏之死
26328641,8.8,795,奔马
04222605,8.4,1234,金阁寺
34820849,9.4,434,近代能乐集
05395161,8.5,1044,午后曳航
25937704,9.3,457,天人五衰
01366168,8.3,1295,假面的告白
25886361,9.0,589,奔马
01077579,8.1,1496,潮骚
01451653,8.8,653,金阁寺
02129831,8.2,1158,美与暴烈
10472052,8.6,722,金阁寺
06560666,8.3,998,忧国
04231214,7.9,1595,恶人
26897254,9.3,347,春雪
25910235,8.8,518,奔马
03135725,8.5,696,三岛由纪夫精品集
05921800,8.2,944,宴后
25910221,8.5,658,忧国
10786226,8.3,815,潮骚
26877556,8.7,523,金阁寺
04903188,8.3,797,叶隐入门
26476959,8.4,672,我青春漫游的时代
05988637,8.5,569,镜子之家
02011315,9.0,332,天人五衰
25839611,8.6,481,天人五衰
26897253,8.6,481,金阁寺
20434062,8.3,660,鲜花盛开的森林·忧国
25910248,7.9,1062,潮骚
26671794,8.4,587,萨德侯爵夫人
25923421,8.3,651,沉潜的瀑布
26285391,8.1,807,假面自白
01559357,9.0,310,奔马
25880453,9.0,310,呼兰河传
27041539,8.0,869,上锁的房子
25910227,8.2,650,午后曳航
05910768,8.5,454,风景
01916680,8.9,309,金阁寺
26897251,8.7,370,潮骚
25853088,8.1,691,美丽之星
25731139,7.5,1491,幻夜
27039404,8.6,389,三岛由纪夫追记
01823105,8.8,319,河的第三条岸
01418450,9.3,206,豐饒之海四部曲
26369916,8.3,500,晓寺
25937701,8.5,405,晓寺
06021104,7.6,1119,纯白之夜
34924508,9.0,241,假面的告白
25910230,8.1,578,爱的饥渴
26877994,7.8,828,美德的动摇
01947497,9.2,180,春雪·天人五衰
28171310,8.7,267,天涯故事
24845438,8.4,350,文章读本
02286526,8.5,314,Ba-ra-kei
26327552,8.3,381,殉教
25746653,8.0,523,我们（精装插图典藏版）
10601521,7.9,584,太阳与铁
02122399,7.8,653,叶隐闻书
01274039,8.8,216,忧国・仲夏之死
26897248,9.1,160,天人五衰
01045169,8.4,291,太阳与铁
26671807,8.7,218,午后曳航
03777729,7.9,467,川端康成三岛由纪夫往来书简
27079481,7.8,517,青色时代
25869262,7.5,741,1973年的弹子球
03695857,7.9,453,我与躁郁症共处的30年
01049906,8.5,235,走尽的桥
30244711,7.9,406,金阁寺
26671795,8.4,241,宴后
01820965,9.0,142,藏传佛教绘画史
02334602,9.0,142,金閣寺
01028857,8.1,305,沉潜的瀑布
26919599,8.5,207,奔马
10439880,8.2,265,不道德教育講座
27194519,7.9,349,魔群的通过
01045168,8.2,256,残酷之美
25910231,7.9,345,太阳与铁
25702556,8.9,138,我青春漫遊的時代
01905637,8.8,143,弓月奇谈
25901826,7.7,382,三岛由纪夫，或空的幻景
27063789,7.4,505,女神
05341343,9.5,75,金閣寺
25763706,6.5,1831,再爱一次
01076894,7.8,285,恋都
01044190,8.1,207,镜子之家
24532231,7.9,247,不道德教育讲座
26897252,8.5,141,爱的饥渴
01459582,8.7,119,金阁寺/潮骚
26897255,8.4,149,晓寺
02230034,7.9,233,爱的饥渴
26671799,7.5,347,纯白之夜
26671806,8.5,130,镜子之家
30270125,7.7,272,潮骚
05312093,7.8,244,魔鬼附身
03179243,8.3,140,OTOKO
24859820,7.7,239,新恋爱讲座
26671803,7.6,237,爱的饥渴
01039857,8.3,122,川端康成·三岛由纪夫往来书简集
27073266,6.8,618,知日：这就是三岛由纪夫
01805918,7.6,214,金色夜叉
03134120,8.4,103,拍案惊奇
02006156,8.6,88,金閣寺
34840056,8.3,101,海海人生
03699881,8.8,67,春雪
03233408,9.3,49,细江英公の世界：球体写真二元论
05906190,9.4,45,日本の写真家（32）：細江英公
03395111,9.1,53,春の雪
10482248,9.1,51,薔薇刑
30230089,8.6,70,川端康成·三岛由纪夫往来书简
25831969,7.9,121,厄勒克特拉vs俄狄浦斯
25753969,7.5,173,性命出售
19964290,7.7,141,启蒙的精神
25813121,8.5,66,心兽
26847471,9.5,36,岬にての物語
26797539,9.1,44,盛夏之死
30259451,9.3,39,金閣寺
01275680,7.8,106,阿波罗之杯
04710205,8.0,87,建筑设计方法
03050018,7.9,93,三島由紀夫の家
02294227,7.5,119,亚历山大·科耶夫
01340509,8.3,58,肉體學校
05347721,9.1,35,潮騒
26419603,8.8,40,小說家的休日時光
04016441,8.1,63,公共问题经济学
25950429,6.5,311,我们不懂电影
03527671,9.2,30,奔馬
01668658,8.3,50,欲望
26671809,7.5,91,太阳与铁
01829962,8.9,33,春雪
30448029,8.6,39,潮骚
01438169,7.7,70,禁色
02040976,8.2,48,爱的潮骚
35068946,9.6,22,建筑的梦想
25779100,7.8,54,反貞女大學
01884346,8.2,40,潮騷
04226048,8.2,40,王安忆小说选
20423914,7.9,48,新戀愛講座
26135931,9.2,22,憂國
03179240,7.7,53,Naked Festival
26708073,8.3,35,小說家的旅行
03092989,8.9,25,仮面の告白
01828202,7.9,44,Confessions of a Mask
27098900,8.5,30,肉體學校
30238064,9.6,17,美與暴烈（精裝）
02983302,8.4,30,写真集 三島由紀夫 ’25~’70
02007516,8.3,31,三島由紀夫短篇傑作集
26274674,6.8,101,记忆迷宫
03561446,6.4,162,17栋男生宿舍
25920620,8.3,30,新戀愛講座
02312677,8.0,36,三島由紀夫·川端康成往復書簡
