ID,Rating,Votes,Title
01041482,8.9,143749,万历十五年
01003479,9.2,43009,中国历代政治得失
10434849,9.3,6772,中国历代政治得失
30414743,8.7,14583,显微镜下的大明
11229072,9.4,5445,中国历代政治得失
10758290,9.4,4375,东晋门阀政治
01012561,8.6,7331,上下五千年
02032141,9.0,4122,陈寅恪魏晋南北朝史讲演录
01926289,9.3,2751,三国志
06533042,9.2,2908,南明史
02747765,9.0,3616,中国古代文化常识
26377063,9.5,1812,魏晋之际的政治权力与家族网络
33111439,8.8,3968,有所不为的反叛者
01185908,8.6,4418,东周列国志（上下）
01017795,9.6,1325,隋唐制度渊源略论稿 唐代政治史述论稿
03707886,8.9,2872,中国通史
01224279,9.2,1932,中国法律与中国社会
01030503,9.2,1851,东晋门阀政治
11636077,8.4,5087,饥饿的盛世
06311230,9.4,1421,秦汉魏晋史探微
01055347,9.1,1949,中国史纲
04146127,9.6,1101,春秋左传注（全四册）
34433981,8.3,5119,汴京之围
01107841,9.1,1815,战国策
27003014,7.5,19504,半小时漫画中国史（修订版）
01029723,9.3,1333,汉书（全十二册）
01050175,8.1,5972,赫逊河畔谈中国历史
03409620,9.1,1499,东周列国志
06100919,9.2,1305,治史三书
03522118,9.5,949,资治通鉴（全四册）
01016864,8.9,1800,士与中国文化
02377241,9.5,905,世說新語箋疏（全三冊）
34431806,9.0,1469,失败者的春秋
26603137,9.1,1295,危机与重构
01337448,9.0,1445,简明中国历史地图集
06313277,8.9,1555,学术训练与学术规范
03787085,8.5,2398,三国史话
04011322,9.0,1207,重屏
03794107,9.3,836,中国史纲
26742784,8.3,2649,饥饿的盛世
33436921,8.8,1339,战国歧途
05988185,8.3,2475,宅兹中国
01270509,8.9,1168,中国史学名著
10796986,9.2,848,魏晋之际的政治权力与家族网络
01065335,9.1,920,朱熹的历史世界
05906312,8.7,1389,兴盛与危机
01041622,9.2,808,后汉书（全十二册）
27203505,8.4,1772,从大都到上都
34869500,8.6,1368,被统治的艺术
01132689,8.7,1205,洪业
01022232,8.6,1340,中国思想史
01446867,9.2,694,两晋南北朝史（上下）
30386618,9.2,671,长安与河北之间
01081778,9.6,463,李太白全集（全三册）
10532828,9.4,552,隋唐制度渊源略论稿 唐代政治史述论稿
25844017,8.5,1408,讲谈社·中国的历史（十卷本）
01825043,8.9,843,明史讲义
06810086,9.2,613,朱熹的历史世界
01427450,9.0,732,白话本国史
26602453,8.7,1001,战国歧途
06004646,9.2,589,中国法律与中国社会
26334500,8.3,1561,说中国
26847586,8.5,1212,哈佛中国史（全六卷）
25957263,9.7,366,史记（全十册）
01207500,8.8,846,布局天下
01012929,9.4,462,二十四史
20516442,9.4,457,中国青铜时代
25778846,8.2,1636,易中天中华史：百家争鸣
26368070,8.0,2131,秦崩
24863358,8.0,1993,易中天中华史：奠基者
03423098,8.6,941,波峰与波谷
25926547,8.5,1039,黑毡上的北魏皇帝
01116205,8.9,668,晋书（全十册）
10539156,8.2,1412,绚烂的世界帝国：隋唐时代
26992823,8.7,778,波峰与波谷
25828759,8.0,1760,中华的崩溃与扩大： 魏晋南北朝
01683352,9.3,419,古籍版本学
26042406,7.9,2000,易中天中华史：三国纪
26295138,9.0,543,士大夫政治演生史稿
26876054,8.4,1015,纵乐的困惑
26107947,9.5,335,汉唐间史学的发展（修订本）
01796672,8.2,1255,万古江河
01253638,8.3,1108,剑桥中国秦汉史
01265468,9.3,394,廿二史札记校证（上下册）
27011415,8.9,565,能夏则大与渐慕华风
05392430,9.5,327,魏晋南北朝史论丛
03094349,8.7,680,羌在汉藏之间
26612973,7.9,1701,易中天中华史:隋唐定局
06440640,9.4,332,清代地方政府
01427476,8.9,518,秦汉史
02255277,9.1,427,魏晋南北朝史札记
03649874,8.7,631,中国古代艺术与建筑中的“纪念碑性”
01322186,8.8,565,秦汉的方士与儒生
06854982,9.0,459,《春秋》与“汉道”
34893711,9.8,232,将无同
02138608,8.7,606,中国社会中的宗教
26426959,8.2,1056,丝绸之路新史
28135034,8.1,1195,南北战争三百年
01777478,8.5,735,剑桥中国明代史（上卷）
05393687,8.3,902,秦謎
25498796,8.4,785,梦醒子
27025893,9.3,322,两汉魏晋南北朝宰相制度研究
26136469,8.8,503,祖宗之法
05392437,9.3,315,魏晋南北朝隋唐史三论
01008176,8.6,605,魏晋南北朝史
26614948,9.1,371,中国古代简史（第二版）
01025137,7.9,1380,放宽历史的视界
01062355,9.2,333,隋书（全六册）
01151870,9.3,303,汉唐间史学的发展
02010704,8.7,526,剑桥中国辽西夏金元史
30302919,9.6,236,拓跋史探
26427684,9.7,218,柳如是别传（上、中、下册）
34788663,9.6,235,传统十论
26782702,8.3,798,何以中国
26284866,8.7,492,北魏平城时代
01427558,8.8,437,先秦史
21405316,8.1,934,龙床
01013253,8.2,822,细说宋朝
30295942,9.1,328,梦回唐朝
26848651,9.0,354,从历史中醒来
26298766,7.5,2019,易中天中华史：魏晋风度
01825044,8.9,380,清史讲义
24719936,9.5,226,古籍整理概论
26699810,7.7,1454,易中天中华史：禅宗兴起
