ID,Rating,Votes,Title
04913064,9.4,496828,活着
01008145,8.9,372538,围城
27614904,9.2,192568,房思琪的初恋乐园
02567698,8.8,375298,三体
01200840,9.0,251377,平凡的世界（全三部）
01082154,9.1,190795,活着
01361264,9.0,186394,撒哈拉的故事
01023045,8.7,239535,我们仨
01029791,8.8,191226,许三观卖血记
01057244,8.7,178947,边城
01254588,9.0,100376,城南旧事
11524204,9.3,51907,围城
01449351,8.9,90232,呐喊
01209899,9.1,59158,我与地坛
10564071,9.2,45210,白鹿原
01449352,8.8,85156,朝花夕拾
01043815,8.4,151819,骆驼祥子
04760224,9.0,46963,许三观卖血记
10517238,9.0,42304,平凡的世界
20440644,9.1,33978,文学回忆录（全2册）
19958089,9.0,39726,我们仨
03523041,9.1,32237,平凡的世界（全三册）
01398395,8.8,51768,狂人日记
06880158,8.8,44082,陆犯焉识
01013416,8.6,60020,雷雨
05337248,8.9,35471,台北人
01011754,8.9,33450,海子的诗
01014278,8.4,79123,红玫瑰与白玫瑰
03017857,8.6,49033,金锁记
03183775,9.3,15310,四世同堂
03633461,8.7,37283,一句顶一万句
01080309,8.5,51713,尘埃落定
01915958,9.4,11935,野草
01760432,9.3,12596,受戒
01449348,8.9,22091,彷徨
10522856,9.0,17892,冬牧场
01020961,8.8,21530,棋王
26923390,8.5,33072,长夜难明
10757938,9.1,12674,半生缘
01036613,9.0,14178,茶馆
06397275,8.9,16343,此生未完成
01082162,8.4,35988,第一炉香
10757940,8.7,21626,倾城之恋
03311253,9.0,12976,额尔古纳河右岸
22714154,8.7,19623,繁花
03610681,9.2,9101,海子诗全集
04124727,8.1,51464,孤独六讲
02046909,9.2,7982,故事新编
01082138,8.4,25748,在细雨中呼喊
03191322,8.9,10581,边城
01025753,8.2,32610,妻妾成群
01442720,9.5,4433,鲁迅全集（2005最新修订版）
01061977,8.7,12954,血色浪漫
27010212,8.1,34541,芳华
27013716,8.9,9348,沉默的大多数
10757939,8.7,12339,红玫瑰与白玫瑰
25882276,8.8,10342,陆犯焉识
30475767,8.1,31721,人生海海
02256438,7.8,55994,素年锦时
04275017,9.1,6377,骆驼祥子
01980436,8.8,9596,流言
01003986,8.8,9525,病隙碎笔
01830445,9.1,6253,阿城精选集
01073349,8.9,8174,写在人生边上 人生边上的边上 石语
01005358,9.3,4706,寻找家园
27013741,8.8,8827,黄金时代
27070488,9.3,4444,围城
01000517,8.9,7504,故事新编
01783349,8.8,8453,倾城之恋
01883992,9.0,6337,黄金时代
01082522,8.2,21509,家
25897884,9.1,5241,13 67
04275058,9.2,4381,茶馆
26877012,8.9,6415,一句顶一万句
26803179,8.3,15285,平原上的摩西
10794792,9.3,3470,受戒
26951584,8.6,8799,小说课
03733076,8.9,5682,半生缘
01078250,8.2,16241,洗澡
01016300,7.1,161990,梦里花落知多少
01119796,8.7,7273,十八春
30362170,8.1,18790,冬泳
19995918,8.3,13336,蛙
22163516,8.6,8326,云雀叫了一整天
03448867,9.0,4668,采桑子
26210607,8.4,10832,时间移民
01157014,8.8,6003,伤逝
02339950,7.7,37705,被窝是青春的坟墓
01763806,8.5,9019,万寿寺
02031604,9.0,4345,离婚
02382707,8.6,7389,镜·双城
01393218,9.2,3327,大明宫词
01132956,8.4,9949,白银时代
01029159,7.5,51463,八月未央
01227838,7.6,41229,年华是无效信
02032964,9.2,3230,正红旗下
01460313,8.4,9603,哥伦比亚的倒影
26372408,8.9,4671,呼兰河传
01317899,8.2,12867,生死场
01822862,8.9,4555,王小波全集：红拂夜奔（第四卷）
04773224,8.2,11606,生活十讲
26309691,8.3,9868,月光落在左手上
01982001,8.7,5374,月牙儿
10562233,8.6,6128,人生
27140237,9.5,1946,四世同堂
01010349,8.1,12537,丰乳肥臀
06937888,8.6,5774,树犹如此
27008303,9.1,2933,不成问题的问题
04267149,8.5,6323,人生
03464389,9.1,2812,大淖记事
01013980,8.7,4557,边城
25955474,7.4,42238,坏小孩
03075281,8.6,5190,世界上所有的夜晚
01456183,8.2,9388,我的帝王生涯
02382705,7.6,27429,不朽
01044772,8.6,5042,雷雨
26738729,9.2,2326,沉默的大多数
01059406,7.0,101836,幻城
01024468,9.1,2543,金锁记
23286393,8.9,3187,尘埃落定
34262174,8.2,8445,网内人
01009043,8.5,5311,日出
11614508,9.0,2717,流言
04912688,8.6,4529,干校六记
01136988,8.9,3052,命若琴弦
04127574,9.1,2386,受戒
25639223,8.3,6364,身边的江湖
34451656,9.2,1957,呼兰河传
01006004,7.5,25662,樱桃之远
01028693,8.1,8639,骆驼祥子
26899538,7.6,20943,长安十二时辰 下
02010284,8.1,8443,春风沉醉的晚上
27103796,8.7,3500,恋爱的犀牛
26278433,9.1,2134,遍地风流
05344534,9.0,2310,额尔古纳河右岸
27116235,8.1,7869,飞行家
03176760,8.4,4925,革命时期的爱情
04156422,8.7,3188,时间的玫瑰
05363278,8.4,4796,素履之往
06148187,8.4,4536,推拿
26710671,9.4,1331,彷徨
06872620,9.5,1195,孔乙己
01200843,8.1,6978,芙蓉镇
01974029,9.4,1311,坟
19977683,8.6,3317,檀香刑
25849895,8.9,2265,人间草木
10757941,8.2,5814,小团圆
01830621,9.1,1657,呐喊
24827456,8.5,3407,万箭穿心
05337250,8.4,3824,寂寞的十七岁
01257294,9.2,1416,传奇
01200848,8.2,5034,长恨歌
26259067,8.7,2493,干校六记
03523063,9.1,1515,围城
26210632,8.1,5584,2018
26586889,9.0,1687,阿城精选集
10556006,8.9,1886,状元媒
01083509,8.1,5483,人面桃花
03733081,8.8,2100,流言
19982771,9.3,1196,白鹿原
01006341,8.0,6297,红粉
24540864,6.9,55194,第七天
10466761,8.9,1818,倚天屠龙记
01040924,8.2,4431,金粉世家（上下）
01974027,8.9,1749,热风
04176973,7.9,6880,山楂树之恋
26288882,8.4,3238,我是你爸爸
25895465,8.6,2458,少年巴比伦
01228109,8.4,3185,朝花夕拾
05336240,8.4,3060,异乡记
02027824,8.7,2045,风景
30446684,8.2,3967,六里庄遗事
01143756,8.0,5180,一半是火焰一半是海水
01146304,8.6,2218,日光流年
06015822,8.5,2503,在细雨中呼喊
01260251,8.6,2114,茶人三部曲（全三册）
01066627,8.2,3601,中国现代文学三十年
01086468,8.5,2380,黑骏马
01829862,9.3,948,野草
10199131,8.9,1435,似水柔情
01001605,9.0,1274,呐喊
03255922,8.9,1367,湘行散记
01067960,8.2,3312,青衣
01006737,7.8,5921,米
07055474,8.8,1487,京华烟云
25860389,9.1,1063,顾城的诗顾城的画
01394402,8.5,2112,死水微澜
01084388,8.2,3150,寒夜
01012802,7.2,17175,十爱
01139945,8.0,4078,春
01139941,8.1,3504,秋
27047454,9.1,1001,白鹿原
05363282,8.6,1751,温莎墓园日记
02301308,8.2,2941,红高粱
20257846,8.7,1528,檀香刑
25713688,8.6,1717,蒋公的面子
01090109,7.6,7181,红岩
01442035,7.8,5020,连城诀
01039060,7.9,4102,玉米
01417905,7.1,17404,废都
27090815,8.4,2024,记一忘三二
27103989,9.6,555,大明宫词
26679171,8.9,1107,晚饭花集
26881522,9.5,602,药
04721437,8.7,1357,第九个寡妇
24872210,9.2,778,无愁河的浪荡汉子·朱雀城
01006881,6.7,40651,左手倒影，右手年华。
01492165,8.9,1057,断魂枪
19982767,8.9,1056,茶馆 叶浅予插图本
03833031,8.5,1664,边城
26303224,7.9,3791,说部之乱
06041632,8.2,2446,雷峰塔
27167368,9.1,833,亮剑
03302642,8.6,1429,萧萧
01962885,8.0,3145,山河入梦
01025562,8.1,2716,城北地带
02377014,8.3,2050,阅读的故事
01191433,7.6,5720,我的前半生
05975571,8.0,3037,天香
30404939,8.3,1965,我与父辈
01005411,7.9,3439,透明的红萝卜
26288883,7.8,3919,动物凶猛
01482322,8.0,2899,绿化树
01080753,8.3,1916,受活
01086444,7.6,5312,沉沦
01075495,7.2,10860,霜冷长河
26985981,8.2,2111,青苔不会消失
01530673,8.8,1011,棋王
01443976,8.4,1589,三寸金莲
02188233,8.4,1574,中国当代文学史
24862876,7.4,7069,黄雀记
01045578,8.7,1102,长河
01077898,8.1,2276,原野
01471809,7.7,4115,饺子
10788090,8.4,1522,天浴
26934570,9.0,765,春秋来信
26739966,9.1,687,棋王·树王·孩子王
30220005,8.7,1041,我在西南联大的日子
26933886,9.0,750,棋王 树王 孩子王
01442037,7.2,9246,书剑恩仇录
10522858,8.6,1122,马雁诗集
01318125,9.1,658,茶馆
26284529,7.6,4331,群山之巅
01018530,8.8,876,呐喊
34937635,9.0,711,乡关何处
30294355,8.9,787,半生缘
27049319,8.5,1221,人间有味
26936003,9.0,706,茶馆
01052242,8.8,867,无法直面的人生
05317427,9.0,700,骆驼祥子-月牙儿
10484055,8.7,942,日光流年
30242736,8.8,815,取瑟而歌
01444245,7.8,2756,米
26416411,8.6,950,雪山短歌
03132491,8.6,947,边城
26686936,8.4,1194,生死场：萧红小说精选集
01044989,8.6,942,鲁迅作品十五讲
01002055,9.8,305,鲁迅全集(2)
02300636,7.4,5020,我叫刘跃进
01130366,7.8,2617,生活秀
30421553,9.6,355,汪曾祺全集（全十二卷）
03851799,8.1,1711,天行者
03397128,8.8,739,1948：天地玄黄
01019009,8.0,1873,徐志摩诗
01072541,8.6,864,中国现当代文学名篇十五讲
03345587,8.9,624,骆驼祥子
01441923,9.4,390,小布头奇遇记
01077834,8.0,1780,沉沦・春风沉醉的晚上
06041631,8.1,1553,易经
26691229,9.4,385,我这一辈子
01028406,8.8,657,与鲁迅相遇
01062148,7.5,3548,我胆小如鼠
26774892,7.9,1926,我们爱过又忘记
01490736,7.8,2192,古典爱情
26936009,8.4,1001,生死疲劳
03647261,8.6,788,为奴隶的母亲
01262040,8.8,635,呼兰河传
01838307,8.9,574,史铁生精选集
01951750,8.3,1107,春
01262809,8.8,632,近代的超克
04323843,9.0,516,伤逝
30163040,7.9,1832,空响炮
01050368,7.2,5580,子夜
11633410,8.6,769,呼兰河传
01084076,8.2,1222,芙蓉镇
01858594,7.2,5275,暗算
01734833,8.2,1150,余华精选集
01911509,8.9,527,桥·桃园
27204808,8.6,708,酒徒
34940823,8.3,991,逍遥游
01000407,8.5,776,竹林的故事
03143383,8.4,862,马伯乐
27156014,8.2,1092,豹变
02221690,9.1,420,晚饭花集
02002992,8.3,954,爱是不能忘记的还有勇气吗
34895266,8.6,675,柏林苍穹下
05288540,7.4,3258,朱雀
26670558,8.2,1042,春风沉醉的晚上
02025444,8.6,660,伪自由书
30161870,8.2,1035,九个人
01324915,8.7,591,十四行集
27662708,9.6,261,沈从文的后半生（增订版）
03988842,7.8,1702,结婚十年
30166162,9.3,329,不成问题的问题(老舍短篇小说精选集)(精)
01081010,7.4,3052,莎菲女士的日记
01794267,8.6,617,朦胧诗选
33436178,8.4,756,寂静的孩子
10582058,8.3,843,湘行散记
26277379,8.2,939,闲话闲说
01072368,7.5,2444,我爱比尔
26561444,7.6,2091,少女哪吒
01505936,8.4,735,鬼恋
01030699,7.0,5705,繁星春水
01027989,7.7,1774,爸爸爸
34782362,7.6,2042,佛兰德镜子
27103798,8.5,629,柔软
26985496,9.0,380,豆汁记
26384375,7.7,1673,平乐镇伤心故事集
07175432,8.9,411,张枣随笔选
01409149,8.7,496,断魂枪
02058957,9.1,340,孤独者
19982769,9.3,284,四世同堂
01214565,9.0,368,围城（软精装）
04270633,9.0,368,沈从文家书
01927705,7.6,1858,小艾
01434480,7.6,1852,你别无选择
26778180,8.5,598,丰子恺 : 无宠不惊过一生
04032977,8.7,485,北方的河
01837204,9.0,363,老舍精选集
01007391,8.1,934,上海摩登
03376746,8.1,934,老张的哲学
26884351,9.2,300,回忆鲁迅先生
30167202,8.0,1040,山本
05982380,8.3,726,祸枣集
01962718,8.4,648,宝葫芦的秘密
01464980,8.5,579,家
24708198,8.8,427,红拂夜奔
01012703,7.7,1529,林家铺子
26841113,9.1,318,岁月沧桑
23134220,8.3,694,上课记2
03132509,8.3,692,骆驼祥子
03202529,8.5,555,金粉世家（上下）
01034479,6.5,13033,我为歌狂
05908164,8.8,408,自己的园地
27103777,8.2,763,琥珀
33457122,8.8,403,人生海海
26593903,8.5,540,洗牌年代
