ID,Rating,Votes,Title
25862578,8.5,642218,解忧杂货店
10594787,9.0,184318,霍乱时期的爱情
26602392,8.6,69759,你今天真好看
26864984,8.9,24068,金色梦乡
05038409,9.0,18894,金色梦乡
03012517,8.6,27902,小姨多鹤
26854318,9.1,6795,现代艺术150年
20443559,7.7,25863,小王子
05395724,8.6,5566,华丽人生
25892399,7.8,17192,余生皆假期
03785741,8.1,10164,死神的精确度
03890174,7.7,20554,信
04067626,8.1,7799,重力小丑
04075203,9.2,1761,鼠族（一、二部）
06041089,8.2,6108,家鸭与野鸭的投币式寄物柜
26723423,8.3,4376,动物园
25737793,8.6,2848,阳光劫匪
26687879,8.0,6507,一首小夜曲
26359751,8.2,4683,重力小丑
05326849,8.1,5445,奥杜邦的祈祷
26846483,8.2,4326,不然你搬去火星啊
03710137,8.6,2340,沉思录
06558049,8.2,3949,阴兽
34778578,8.2,3735,恐妻家
26599256,8.1,3913,死神的精确度
26314930,8.6,1964,杀手界·疾风号
03026876,7.8,5782,少女小渔
10768064,8.0,3815,涡虫
26892089,8.1,3080,奥杜邦的祈祷
25858068,7.4,8625,100个基本
26712094,8.1,2408,汽油生活
03629286,9.4,528,Golden Slumber：宅配男與披頭四搖籃曲
25748118,8.0,2536,孩子们
05372422,8.0,2510,末日的愚者
25713168,8.0,2465,摩登时代
26780574,7.8,3172,家鸭与野鸭的投币式寄物柜
05326846,7.7,3304,一首朋克救地球
26769999,7.8,2825,死神的浮力
26789636,7.8,2675,一首朋克救地球
03189695,8.4,1198,家鴨與野鴨的投幣式置物櫃
04220357,7.7,2776,沙漠
26775247,8.0,1705,箱庭图书馆
26962601,8.2,1298,摩登时代
30203733,8.2,1228,阳光劫匪友情测试
27609210,8.1,1394,阳光劫匪倒转地球
27065494,8.3,975,女巫的子孙
01925060,8.4,766,奧杜邦的祈禱
03314802,8.0,1224,消失的人
06802423,7.7,1790,哦！爸爸们
30157645,8.2,866,阳光劫匪日常与袭击
25927233,7.5,2170,杀手界
27136843,7.9,1227,死神的精确度
25722935,7.5,2135,魔王
34856710,8.6,523,疾风号
03634566,8.4,595,鼠之夜
11498195,7.6,1616,人格转移杀人事件
26869683,7.8,1174,哦！爸爸
01929549,8.2,711,重力小丑(2010年新版)
05340889,8.3,568,MODERN TIMES：摩登時代
27116684,8.1,605,华丽人生
26909777,8.0,679,末日愚者
26755284,7.4,1498,献给折颈男的协奏曲
02257133,7.8,846,天才搶匪盜轉地球
30475755,7.4,1424,再见，黑鸟
20449827,7.3,1578,再见，黑鸟
26534879,7.5,1169,夜之国的库帕
26133535,8.6,321,最后之人
33404969,8.4,386,孩子们
26283162,7.1,1949,单挑
04115567,8.2,429,Fish Story－龐克救地球
33404966,7.7,668,潜水艇
03333696,8.4,307,别名格雷斯
27118271,7.3,1049,今夜宜有彩虹
05326884,7.1,1376,独眼猴
26828738,7.5,735,霹雳队长
26297726,8.5,238,在适当时刻
25814402,7.1,1190,王者
04706391,8.9,149,Waltz 1
35040230,7.7,466,双子星
03218461,8.3,231,魔王(01)
04186925,9.0,124,魔王(10)
26606521,7.1,872,日本第一
34786085,7.6,434,杀手界
04018517,9.3,95,魔王(07)
34438686,8.1,247,沙漠
25885373,8.8,133,心
04164373,9.2,99,魔王(09)
04106392,9.3,92,魔王(08)
04074706,7.9,295,蓝胡子的蛋
03708047,8.8,113,魔王(03)
34857929,6.8,983,一个人办不到
03901353,9.0,95,魔王(06)
03832484,8.8,104,魔王(05)
03689123,8.0,200,神谕女士
25883310,7.3,423,伊丽莎白女王
10519330,8.0,195,Bye Bye
03433277,8.5,121,魔王(02)
03784484,8.7,101,魔王(04)
11533532,7.0,564,密室·自闭之物
05320742,8.3,132,我在底層的生活
04912910,9.3,62,Waltz 2
25875825,6.7,733,齐天大圣
26420455,6.9,519,知日·怪谈
26721800,8.2,119,至高者
24699995,7.1,367,SOS之猿
02063102,8.4,83,井伏鳟二小说选
06526787,9.1,50,Waltz 3
03932026,9.2,46,魔王 JUVENILE REMIX 10 (少年サンデーコミックス) (コミック)
34907835,7.5,162,再见马戏团
26670936,8.6,61,诚实的贼
30304953,8.1,87,白兔
30266257,7.2,203,幸福盒子
06526793,9.0,45,Waltz 4
06873260,8.9,44,Waltz 5
10553770,9.1,39,Waltz(6) ドラマCD付き特別版
30233361,7.9,85,螳螂
30448390,8.2,67,沒關係
04051604,8.2,62,謎詭 4
26757567,7.6,83,不然你搬去火星啊
25909495,8.9,33,啊哈！
26604602,7.9,60,剩下的人生都是休假
03910830,8.9,31,魔王 JUVENILE LIMIX 1(少年サンデーコミックス)
01987100,7.9,56,魔王
03785104,8.5,33,重力ピエロ
26922279,7.4,70,雨中你的自由泳非常美丽
27021152,7.4,70,潛水艇
03447064,8.3,36,オーデュボンの祈り
27073706,8.3,35,AX アックス
03841923,8.1,36,死神の精度
04023678,8.2,32,奥杜邦的祈祷
06025836,8.8,22,Waltz華爾滋 1
26604604,8.2,30,末日愚者
26297477,9.0,18,到此為止吧!風太郎
25975939,8.4,24,アイネクライネナハトムジーク
04310239,8.7,20,オー！ファーザー
04838114,7.5,39,夜行観覧車
03560918,8.7,19,重力ピエロ
