ID,Rating,Votes,Title
06798611,8.7,47505,史蒂夫·乔布斯传
26576861,9.0,25133,最好的告别
01004821,8.7,22709,理想国
30484795,8.8,10541,黑箱
03697494,9.1,6558,洞穴奇案
05408882,9.0,6197,公正
01433411,8.9,5614,新教伦理与资本主义精神
06511362,9.0,4254,我们时代的神经症人格
02216583,8.8,3927,沉重的肉身
01454687,9.0,3024,政府论（下篇）
01051943,9.2,2288,尼各马可伦理学
01657455,8.6,4790,论人类不平等的起源和基础
10488619,8.9,3042,洞穴奇案
20366368,9.1,2266,公正
25782902,8.1,8361,反脆弱
01116367,8.8,3060,道德情操论
01059537,8.7,3400,沉重的肉身
01028268,8.9,2586,正义论
01974029,9.4,1311,坟
26363926,8.7,2906,何为良好生活
01274469,8.4,4018,自杀论
01060531,8.5,3396,忏悔录
01070410,9.0,1725,柏拉图对话集
26834183,8.6,2575,艾希曼在耶路撒冷
03710137,8.6,2340,沉思录
01274953,8.9,1413,伦理学
27111185,8.0,4363,女性贫困
01223897,9.2,852,实践理性批判
03260902,8.6,1644,智慧书
01178535,8.7,1255,人性论（上下）
04161118,9.5,553,Justice
01050471,8.9,970,斐多
05975978,9.2,671,正義
04050041,9.3,602,Justice
20273773,8.1,2258,人生的意义
03137979,8.5,1310,道德情操论
03072490,8.5,1214,功利主义
01039771,9.0,656,法哲学原理
04000736,9.1,549,正义论（修订版）
22273149,9.5,375,道德形而上学的奠基
25844426,8.8,708,反抗“平庸之恶”
02061863,8.6,871,自私的德性
01038979,8.6,870,道德理想国的覆灭
01784921,8.9,605,论道德的谱系
26264205,9.2,450,道德的谱系
01315172,9.1,491,道德形而上学原理
25867785,8.6,815,正义之心
25923695,8.0,1530,电车难题
01083309,9.0,486,论可能生活
01070872,9.3,361,实践理性批判
03074246,9.0,466,无政府、国家和乌托邦
34815132,8.3,949,圆圈正义
03222065,8.5,704,伦理学与生活
26392840,9.2,347,沉重的肉身
20366367,7.8,1609,金钱不能买什么
01477442,8.9,452,为自己的人
01398925,8.6,575,沙乡年鉴
10434858,8.6,539,我们为什么离正义越来越远
01048529,8.6,527,论老年 论友谊 论责任
34876107,7.9,1165,无处安放的同情
01315775,8.5,562,知性改进论
26323706,8.9,373,理想国
04820726,8.9,364,论自由
03237711,8.7,433,自由的伦理
26825934,9.4,227,总体与无限
10608218,7.9,951,价值的理由
27575829,9.5,198,善的脆弱性（修订版）
11604804,8.8,356,权威与个人
26806808,9.3,226,人性论
26879371,9.3,223,论道德的谱系
04248132,8.9,307,论可能生活
02284288,9.0,269,善的脆弱性
03199212,8.4,470,伦理学导论
22051527,8.5,398,自我的追寻
27017904,9.5,168,论道德的谱系
25716162,9.7,142,道德形而上学奠基
11519504,9.6,150,道德形而上学原理
01183231,8.5,373,动物解放
33417102,8.9,255,牛津大学哲学通识课：道德哲学
07163150,8.5,356,本真性的伦理
30304858,7.9,683,色情
30270219,7.4,1249,恶的科学
25908107,8.4,369,功利主义
26640201,9.6,132,尼各马可伦理学
30265800,8.4,356,平常的恶
26150390,7.5,914,你会杀死那个胖子吗？
01135056,8.4,319,道德原则研究
24720398,9.2,160,自由人的平等政治（增订版）
02002906,9.4,135,Nicomachean Ethics
01427471,8.2,378,道德与立法原理导论
34678463,7.7,667,重来也不会好过现在
01116342,8.9,197,斯宾诺莎书信集
01000506,8.5,277,蜜蜂的寓言
01233996,8.4,301,善恶的彼岸
01010750,8.7,223,伦理学的两个基本问题
04857077,8.2,355,医学伦理
