ID,Rating,Votes,Title
20427187,8.8,276224,看见
06880158,8.8,44082,陆犯焉识
03026879,8.8,28934,爱的艺术
02053249,8.1,62226,麦田里的守望者
25733470,8.2,35176,没有色彩的多崎作和他的巡礼之年
01032063,8.9,8865,旧制度与大革命
06401128,8.9,8504,批评官员的尺度
05408882,9.0,6197,公正
02136484,8.7,8907,如果在冬夜，一个旅人
06811366,8.3,14266,禅与摩托车维修艺术
05958726,8.0,18545,质数的孤独
03223711,8.1,14880,怪诞行为学
02063329,8.5,6448,包法利夫人
25986341,8.1,11494,万万没想到
02066374,9.2,2170,返璞归真
06800379,8.7,3905,2666
01045201,8.2,7548,哲学的慰藉
26874446,9.1,2159,社会学的想象力
01059537,8.7,3400,沉重的肉身
02170983,9.1,1948,苏格拉底的申辩
02980471,8.3,4682,赎罪
01867642,7.6,14224,世界是平的
11607261,8.6,2801,旧制度与大革命
04199363,8.5,3093,九人
26298597,9.0,1590,我们赖以生存的隐喻
06780545,9.0,1367,中国哲学史
26747208,8.0,4474,优秀的绵羊
01960035,8.8,1500,盲刺客
04850629,8.6,1884,言论的边界
04915989,8.5,1953,大法官说了算
04213981,8.4,2211,好人难寻
01084435,8.4,2177,策略思维
26607924,8.4,2039,午夜之子
19976381,8.9,1069,政治秩序的起源
10594802,8.0,3228,写给无神论者
07046857,8.3,2080,长日留痕
26178426,7.5,6939,稀缺
26799348,8.1,2681,演讲的力量
20434430,8.0,2834,你要如何衡量你的人生
26279084,9.4,517,翻译乃大道
03327495,8.3,1664,万有引力之虹
26286751,8.7,1001,文学阅读指南
01228193,8.5,1215,回忆苏格拉底
26380736,8.4,1370,语言本能
10345571,7.9,2552,哲学的慰藉
07174792,8.3,1484,千面英雄
20516442,9.4,457,中国青铜时代
20373351,8.1,1792,城市的胜利
27156021,8.6,939,十二怒汉
04313213,8.3,1220,白老虎
25867785,8.6,815,正义之心
26665498,7.6,2977,生命中最简单又最困难的事
27081766,8.0,1639,如何学习
26707803,8.2,1229,千面英雄
24841290,8.3,1048,美国最高法院通识读本
01783098,8.6,731,玫瑰之名
27064858,8.3,1014,我们的孩子
25809012,8.0,1455,爱的博弈
03785326,8.4,867,黑猩猩的政治
04191638,8.3,947,10½章世界史
24876481,8.1,1092,人的宗教（珍藏版）
27156012,8.9,453,美国增长的起落
26827546,8.4,706,大历史
26701071,8.4,680,福楼拜的鹦鹉
30418697,7.0,5141,变量
27155983,8.1,902,贸易打造的世界
01769617,9.3,270,惡童三部曲
26612510,8.1,876,教养的迷思
25806352,8.3,630,梁思成与他的时代
26583357,8.0,887,理性乐观派
01051386,8.4,544,大国政治的悲剧
25846075,7.9,954,技术的本质
24699353,8.1,721,现代世界的诞生
26876481,8.9,310,大法官说了算
21371574,8.1,677,凯恩斯大战哈耶克
25850080,8.0,739,何以中国
27050197,8.7,348,巴黎伦敦落魄记
11597267,8.1,613,占有
26593192,8.3,486,思想本质
27026691,7.9,742,千年金融史
26298609,9.3,185,变化社会中的政治秩序
24325270,8.0,601,道德动物
26545443,8.0,601,自由的基因
01068793,9.0,220,从资本家手中拯救资本主义
34925941,7.5,1107,变量2
30186025,8.0,578,风格感觉
01869106,9.3,171,教育思想的演进
26925467,8.4,371,白板
26312710,8.7,243,普通读者
01186753,8.1,432,在不确定的世界
06522235,8.1,422,大法官是这样炼成的
26986691,7.5,863,金钱永不眠
10482770,8.3,334,银线
01028008,8.1,409,一个伪知识分子的警察生涯
21617796,8.0,424,杀戮的艰难
21081322,8.3,309,故事开始了
26933302,8.3,306,巨变
25908573,7.7,578,昨日之前的世界
27058898,8.5,241,伯罗奔尼撒战争史
01439855,8.5,236,基督教的兴起
01449651,9.0,154,从贝鲁特到耶路撒冷
20452305,8.2,295,罗马帝国的崛起
01394365,8.7,182,教養的迷思
03696561,7.5,612,世界又热又平又挤
03575882,7.2,921,时间箭
11597313,8.4,222,地下世界
26434054,8.1,291,先放一把火
33433152,9.7,80,刑法注释书
04848351,8.5,191,吉迪恩的号角
04882102,7.7,397,不可思议的年代
26769591,7.8,326,男人来自火星
02159689,8.1,227,贫穷的终结
01877650,8.5,158,政治与英语
06864305,8.3,187,全球化的悖论
27131703,6.5,1816,爆裂
30213785,7.9,249,复杂经济学
27031977,8.3,170,见识丛书·革命的年代：1789—1848
25984449,7.9,238,到法学院学什么
24696402,7.8,262,即将到来的地缘战争
26909876,7.5,359,火枪与账簿
27662715,8.8,105,基辛格
20563266,8.2,169,社会认知
26372330,8.4,141,罗素传
26985790,9.2,77,女人、火与危险事物
26150495,7.9,212,论历史
23160215,8.0,189,第七感
26798347,8.5,119,性经验史
25803464,7.6,271,江湖外史（2014最新版）
26851886,8.1,158,镜厅
27104113,7.4,325,逻辑思维
25832032,8.0,171,若有所失
26280107,8.2,142,大国政治的悲剧
26279564,8.2,131,《21世纪资本论》导读本
10468339,8.0,152,最高法院的“喜剧之王”
27606996,7.0,447,谢谢你迟到
25842521,8.4,104,How Not to Be Wrong
26899738,7.3,301,出奇制胜：在快速变化的世界如何加速成功
30355879,7.3,281,大局观
27664475,8.5,90,中国史通论
30234043,7.9,143,技术的本质（经典版）
26743876,8.5,87,法国大革命反思录
27070164,8.2,107,文明史
30316322,7.0,341,猜测和偏见
26278721,7.8,136,脑内乾坤
26420911,8.6,71,凯恩斯传
26972468,8.2,93,现代货币理论
26835031,7.0,274,超预测
26952197,8.1,81,謝謝你遲到了
26348869,8.2,73,法官能为法治做什么
26983377,7.0,215,第七感
10732662,7.6,113,最高法院的掌舵人
27175710,7.3,147,为孩子重塑教育
25831732,8.4,56,灵长目与哲学家
04074691,8.1,63,大萧条时期的中国
06025271,9.1,30,中华人民共和国刑法注释书
03567251,7.6,79,数学犹聊天
25720916,7.9,56,美国国家安全委员会内幕
01084472,7.7,60,金融新秩序
21966359,7.1,101,巨人
30382577,6.7,144,大局观
27609290,8.2,36,崩溃
10801589,7.8,44,最高法院的“独行侠”
21967245,8.8,24,托克维尔回忆录
26997482,7.2,68,如何思考会思考的机器
27112664,8.5,27,论语译注（简体字本）
03248692,7.7,43,经济增长的道德意义
27592182,6.6,107,思维版图
26995362,6.6,97,投资：一部历史
27070135,7.6,34,信仰的本能
26700300,7.3,40,宏调的逻辑
11612152,6.7,63,曾经的辉煌
01922701,7.9,24,美国法律概况
03129043,7.2,32,有信仰的资本
05375758,6.8,38,一盘没有下完的棋
04581001,8.1,16,What Every Law Student Really Needs to Know
26292777,7.3,24,宪法专政
26677675,6.7,30,法官裁判文书写作指南
26857551,7.7,15,法官如何裁判
03892178,7.3,14,司法的过程
26915706,6.8,18,织梦的男孩
02184187,6.8,14,失衡之困
06827447,0.0,10,中国经济中长期发展和转型
