ID,Rating,Votes,Title
03406401,9.0,25408,悉达多
26980487,9.4,7311,悉达多
01963912,8.8,14668,正见
01322455,8.7,14199,遥远的救世主
02076623,9.5,4752,金刚经
10549934,9.1,7435,悉达多
01409704,8.9,7650,金刚经说什么
05990251,8.5,12900,西藏生死书
01465007,8.2,14118,生死疲劳
01840859,9.6,2019,心经
04843456,9.4,2384,金刚经·心经
02083981,8.7,5662,了凡四训
03123939,8.0,15883,不负如来不负卿1
02381748,9.2,2657,金刚经 心经 坛经
05332713,9.0,3143,人间是剧场
01050743,8.7,4194,西藏生死之书
01812011,9.0,2308,佛教的见地与修道
05290370,8.6,3822,禅的行囊
25928708,8.6,3576,佛祖都说了些什么?
01626532,9.5,1157,地藏菩萨本愿经
05332932,9.2,1448,佛教的见地与修道
26827590,8.6,2848,八万四千问
02052713,9.6,893,般若波罗蜜多心经
01608873,9.3,1168,山海經
02122992,9.0,1531,故道白云
04843462,9.5,882,楞严经
25978763,8.7,2007,僧侣与哲学家
01448820,9.8,638,大佛顶首楞严经
05450660,8.6,2239,次第花开
04843454,9.3,1011,坛经
25819842,9.0,1389,佛陀传
04726852,8.5,2478,正念的奇迹
03042785,8.7,1877,学佛三书（共3册）
04843444,9.4,851,维摩诘经
03007708,9.3,907,六祖坛经
24748615,8.3,2828,天幕红尘
04898627,8.4,2381,禅者的初心
03910883,9.0,1151,观呼吸
03226595,8.6,1761,了凡四训
06510519,9.0,1083,正见
01038746,8.7,1511,佛教常识答问
25902141,8.9,1116,正见
04294353,9.2,726,净空法师讲《了凡四训》
03306209,8.5,1554,雪域求法记
01022232,8.6,1340,中国思想史
03875610,8.9,934,内观
27136747,9.0,820,正见
10488582,9.3,609,洛阳伽蓝记
26869026,8.9,892,箭术与禅心
01000804,9.2,656,楞严大义今释
02029640,8.4,1566,南怀瑾讲演录
11599490,9.2,649,护生画集
01016033,9.2,644,圆觉经略说
03069690,8.5,1367,人生的起点和终站
01915094,9.3,577,近乎佛教徒
05364104,8.8,929,朝圣
04843463,9.3,526,圆觉经
01748903,8.9,769,禅说
02973403,8.6,1046,戒嗔的白粥馆
04843458,8.8,824,四十二章经
21324451,8.9,724,不是为了快乐
02256361,8.7,839,箭术与禅心
06946710,7.7,3035,前世今生
24532503,8.2,1458,佛学概论
01025989,9.0,582,中国佛学源流略讲
01045248,8.9,627,如何修证佛法
01807798,9.0,564,洛阳伽蓝记校笺
26752324,9.2,466,佛教的见地与修道
24704604,8.4,1055,诗里特别有禅
26639786,8.0,1721,舍得，舍不得
01051931,9.0,540,西藏度亡经
25849143,9.0,537,佛陀
04830829,9.2,444,根道果
02116107,8.9,587,藏传佛教象征符号与器物图解
01780032,8.2,1276,六世达赖仓央嘉措情歌及秘史
25771551,9.2,438,不离：上师人生开示录
01076067,9.7,285,妙法莲华经
05282139,9.3,393,维摩诘的花雨满天（上）
25916679,8.8,628,能断金刚
01967819,8.7,688,李叔同解经
04843446,9.1,460,法华经
01019232,9.2,417,五灯会元（全三册）
05363118,9.6,293,慧灯之光（全6册）
02324913,9.5,316,佛陀的啟示
05366471,9.3,372,佛教十三经
26752309,9.0,486,人间是剧场
01319893,8.0,1476,当和尚遇到钻石
23780225,8.7,645,能断
01075729,8.9,512,药师经的济世观
01160733,8.4,858,静坐修道与长生不老
03172450,8.4,856,佛学入门
06534492,9.8,232,僧伽吒经
10801462,7.8,1808,苦才是人生
07001419,9.4,313,突破修道上的唯物
01028052,7.8,1770,李叔同说佛
03696966,9.0,444,踏上心灵幽径
03618256,8.7,589,禅与生命的认知初讲
01315188,9.1,400,印度佛学源流略讲
01335318,8.4,798,正信的佛教
03012903,9.0,423,关于这颗心
02240928,8.7,553,当生命陷落时
25955940,8.4,724,透过佛法看世界
01958486,9.3,302,自由的迷思
30240081,9.4,273,印度佛教史
03826301,9.0,378,地藏经•药师经
03070009,9.0,376,答问青壮年参禅者
03023149,8.5,613,狂喜之后
01072239,8.3,724,和尚与哲学家
03757530,8.6,511,空了
03159897,8.0,1006,小言黄帝内经与生命科学
26323530,8.4,621,念完哈佛念阿弥陀佛
03358570,8.5,556,你可以不怕死
19989305,8.4,613,做才是得到
02280575,8.7,448,大唐西域记
03191679,8.3,663,八戒说禅
01029056,9.2,274,高僧传
