ID,Rating,Votes,Title
01963912,8.8,14668,正见
01322455,8.7,14199,遥远的救世主
01409704,8.9,7650,金刚经说什么
04843456,9.4,2384,金刚经·心经
02083981,8.7,5662,了凡四训
01761759,9.0,3460,超越死亡
03566368,8.2,10648,空谷幽兰
02381748,9.2,2657,金刚经 心经 坛经
05332713,9.0,3143,人间是剧场
01812011,9.0,2308,佛教的见地与修道
05290370,8.6,3822,禅的行囊
01626532,9.5,1157,地藏菩萨本愿经
26827590,8.6,2848,八万四千问
02052713,9.6,893,般若波罗蜜多心经
01608873,9.3,1168,山海經
02122992,9.0,1531,故道白云
04843462,9.5,882,楞严经
25978763,8.7,2007,僧侣与哲学家
01448820,9.8,638,大佛顶首楞严经
05450660,8.6,2239,次第花开
25819842,9.0,1389,佛陀传
04726852,8.5,2478,正念的奇迹
03042785,8.7,1877,学佛三书（共3册）
04843444,9.4,851,维摩诘经
03007708,9.3,907,六祖坛经
04898627,8.4,2381,禅者的初心
03910883,9.0,1151,观呼吸
02241168,8.7,1571,内在的探索
06510519,9.0,1083,正见
01038746,8.7,1511,佛教常识答问
25902141,8.9,1116,正见
04294353,9.2,726,净空法师讲《了凡四训》
03875610,8.9,934,内观
26869026,8.9,892,箭术与禅心
01016033,9.2,644,圆觉经略说
03069690,8.5,1367,人生的起点和终站
01915094,9.3,577,近乎佛教徒
05364104,8.8,929,朝圣
01748903,8.9,769,禅说
02973403,8.6,1046,戒嗔的白粥馆
01045248,8.9,627,如何修证佛法
04812799,8.9,598,认识佛教
01051931,9.0,540,西藏度亡经
25771551,9.2,438,不离：上师人生开示录
02241170,8.7,701,自我的真相
05282139,9.3,393,维摩诘的花雨满天（上）
25916679,8.8,628,能断金刚
04812798,9.4,349,地藏菩萨本愿经
02324913,9.5,316,佛陀的啟示
01319893,8.0,1476,当和尚遇到钻石
01075729,8.9,512,药师经的济世观
02157629,8.2,1093,平常禅
01160733,8.4,858,静坐修道与长生不老
06534492,9.8,232,僧伽吒经
07001419,9.4,313,突破修道上的唯物
01315188,9.1,400,印度佛学源流略讲
03012903,9.0,423,关于这颗心
02240928,8.7,553,当生命陷落时
