ID,Rating,Votes,Title
06709783,9.0,26434,浪潮之巅
01941558,8.6,29621,设计中的设计
06021440,8.7,18586,黑客与画家
01291204,9.4,6399,哥德尔、艾舍尔、巴赫
05375620,8.7,15221,失控
26319730,8.5,15007,娱乐至死
01767741,9.2,4300,C++ Primer 中文版（第 4 版）
03836566,8.6,8436,玫瑰的名字
01148282,9.5,2359,计算机程序的构造和解释(原书第2版)
25822105,8.3,10264,无缘社会
26163454,8.9,3677,数学之美 （第二版）
04113090,7.4,38777,我们台湾这些年
26838557,8.4,5998,智能时代
26354440,9.0,2517,野蛮大陆
01317485,8.7,3271,生命是什么
01005325,8.3,4945,童年的消逝
01024570,9.3,1384,编码的奥秘
01919072,7.7,12063,长尾理论
25863621,8.0,6894,异类
25752043,8.7,2506,信息简史
03033668,7.8,7621,闪开，让我歌唱八十年代
03682204,7.6,8686,佐藤可士和的超整理术
03294335,9.4,662,The Elements of Statistical Learning
01087547,8.5,1537,理解媒介
25871778,8.4,1584,数据之巅
21370840,7.5,5157,打工女孩
03184666,7.7,3481,世界是平的（3.0版）
33385217,8.4,1278,全球科技通史
06885371,8.5,1122,切尔诺贝利的回忆
03932520,7.5,3659,免费
03701605,8.2,1142,朝鲜战争
05379664,7.6,2511,浅薄
03685204,7.9,1561,长尾理论2.0
01915337,7.5,2676,百变小红帽
03169342,8.2,895,Web信息架构(第3版)
24335672,7.3,2316,淘宝技术这十年
04246667,7.7,1166,粘住
01852515,9.3,210,计算理论导引
01101417,9.0,264,信号与系统
26850526,7.6,1161,追时间的人
01026593,8.3,438,信息时代三部曲：经济、社会与文化
04292120,6.9,2904,低智商社会
01262630,7.8,740,博弈论与信息经济学
01436134,9.1,199,算法引论
01861189,9.0,208,Envisioning Information
25836383,7.9,613,真相
01316642,9.1,190,The Visual Display of Quantitative Information
03024665,8.2,422,密码传奇
02282191,7.9,523,让创意更有黏性
26656350,8.1,415,增长的本质
01879670,7.3,1090,撬动地球的Google
02305237,9.1,157,信息论基础
02038599,7.8,533,数据挖掘概念与技术
03423021,8.5,255,通灵芯片
01683230,8.6,232,中国文献学
04019512,7.0,1400,正在爆发的互联网革命
01766635,8.4,249,违背我们的意愿
04308069,8.5,226,信息设计
01881552,8.3,272,剑桥五重奏
02044286,8.0,365,中国的新革命
03049242,7.8,445,传播学简史
04199482,7.9,396,我是布隆伯格
19973695,6.8,1827,再不远行，就老了
03215423,7.5,629,IT不再重要
01789534,9.2,118,Information Theory
01288989,7.7,461,网络共和国
04169625,7.1,1013,杠杆阅读术
04157223,7.1,861,效率提升10倍的google化知性生产技巧
03338726,7.7,363,信息乌托邦
25746680,8.1,231,随意搜寻
04263995,8.9,111,解码宇宙
01822197,8.9,108,Elements of Information Theory
01410352,8.2,187,天道与人文
01320174,9.1,89,信息论基础
01397406,8.0,201,生命的答案，水知道
02052230,7.9,203,赛博空间的奥德赛
06790578,8.6,110,总开关
01873954,9.2,71,What is Life?
01930183,8.1,158,千年终结
02364146,7.6,258,海星模式
01725154,7.6,256,数字电子技术基础
01468853,8.5,105,信息烟尘
01246231,8.1,146,电路
20429704,6.8,645,删除
26809374,8.0,150,信息架构
24383461,7.9,160,网络素养
03650828,7.5,240,云攻略
04237853,8.4,102,Information is Beautiful
35033507,9.3,55,数学之美（第三版）
01237834,7.3,292,模拟电子技术基础
26583403,9.2,56,解码宇宙
03792191,8.3,104,互动仪式链
30140441,8.4,96,信息资本主义的兴起与扩张
30388376,7.0,396,订阅
01318190,7.4,243,超常思维的力量
25774385,7.2,302,气候创造历史
06721450,8.4,93,信息社会理论
03011192,9.7,41,Computational Science and Engineering
10537773,7.6,189,良知泯灭
