ID,Rating,Votes,Title
25717097,8.6,5682,囚徒健身
07067916,9.2,2364,施瓦辛格健身全书
06731566,8.6,3271,一个人去跑步
11542577,8.6,2179,天生就会跑
11608712,8.6,2059,无器械健身
01440885,7.9,5370,人体使用手册
05913475,8.2,3160,高难度谈话
26680437,8.3,2679,只有医生知道！3
26863470,9.4,710,力量训练基础
26359758,7.8,4991,硬派健身
01485625,9.0,940,瑜伽之光
02341848,7.9,2326,身体语言密码
26693418,7.4,4805,按自己的意愿过一生
30157798,9.4,410,健身营养全书
30437166,8.3,1226,饮食的迷思
30359587,7.9,2013,科比自传
05912889,7.6,2795,鲤·来不及
01091751,8.9,543,瑜伽
26590267,7.3,4110,工作前5年，决定你一生的财富
26774272,8.0,1266,一平米健身：硬派健身
01457149,7.8,1571,英儿
25750714,7.6,1997,爱上跑步的13周
26795949,8.6,562,中国居民膳食指南（2016）
05068077,8.2,787,拉伸
26648290,8.7,457,酸痛拉筋解剖书
01326023,8.7,450,肌肉健美训练图解
25848402,9.2,263,运动解剖学图谱(第3版)
34430051,8.2,697,大脑健身房
26312476,7.5,1729,你的身体，是一切美好的开始
03374562,8.3,575,营养圣经
05946541,7.7,1189,吃的真相2
06001611,8.6,414,瑜伽之树
30273559,7.6,1306,掌控：开启不疲惫、不焦虑的人生
26126563,8.2,589,囚徒健身2
25755874,7.5,1366,运动改造大脑
22993407,7.7,961,跑步，该怎么跑？
25778505,7.7,916,女人明白要趁早之和潇洒姐塑身100天
27026953,8.8,246,你可以跑得更快
26387817,8.2,437,核心基础运动
03572716,9.1,190,瑜伽之光
05981419,8.3,374,跑步，該怎麼跑？
05390793,9.3,152,艾扬格瑜伽
02678412,7.9,540,怀斯曼生存手册2
26432754,9.0,172,解剖列车——徒手与动作治疗的肌筋膜经线
27041515,7.8,542,本能减脂
34912103,9.1,144,量化健身 动作精讲
26818259,7.8,487,精准拉伸
25771613,7.9,434,歐陽靖寫給女生的跑步書
26326484,7.5,700,跑步圣经
10796117,8.8,181,肌肉健美训练图解
05241992,8.9,161,人体
27043292,7.9,410,我的最后一本减肥书
02985774,8.8,170,健身解剖指南
26369484,7.0,1275,我们为什么会发胖？
34901074,8.9,152,量化健身：原理解析
30189666,8.7,170,力量训练计划
23860392,8.1,269,人体使用手册
25821789,7.9,330,马拉松训练宝典
27171491,8.9,130,豹式健身
19980140,8.1,250,四周练出一身肌肉
04115037,7.8,332,美肌有道
26427528,6.7,1513,运动饮食1︰9
02971250,7.8,331,YOU：身体锻炼手册
04747546,9.3,92,截拳道-李小龙武道释义
06011081,7.0,908,冥想5分钟，等于熟睡一小时
27667267,7.3,570,明年更年轻
05044283,8.7,135,食物营养与配餐
25770208,9.3,87,八部金刚功
24371137,8.0,240,城市就是健身房
26355300,8.2,196,运动解剖书
26809074,8.4,161,DK跑步全书
34464343,7.8,280,学会呼吸
02111837,9.2,85,瑜伽气功与冥想
25967933,7.9,240,丹尼尔斯经典跑步训练法
27013547,9.1,88,马拉松全方位科学训练指南
27074110,7.7,282,30歲起這樣吃，代謝好就不難瘦
25976876,7.8,253,轻疗愈
27065907,9.1,84,腰背维修师
26586185,8.2,167,囚徒爆发力
26802696,8.5,127,瑜伽解剖学（全彩图解第2版）
27170462,7.1,540,好好吃饭
26736186,8.4,133,拉伸运动系统训练
27126696,8.6,109,体育运动中的功能性训练（第2版）
03109981,9.1,76,体适能基础理论
26598910,8.0,174,跑步革命
