ID,Rating,Votes,Title
04913064,9.4,496838,活着
01361264,9.0,186395,撒哈拉的故事
01029553,8.9,58696,西游记（全二册）
01948901,8.3,160112,盗墓笔记
05414391,9.0,41467,寻路中国
01059419,8.1,90759,海边的卡夫卡
05275059,7.9,138107,1988：我想和这个世界谈谈
01529893,8.0,90410,莲花
01461903,7.8,138119,何以笙箫默
24934182,8.1,68609,一个人的朝圣
01022632,8.8,11717,罪与罚
01063190,8.0,32199,蔷薇岛屿
04618225,8.2,21767,不去会死！
01917972,7.8,45237,在路上
06811366,8.3,14266,禅与摩托车维修艺术
03394338,7.5,55637,他的国
01029159,7.5,51463,八月未央
10549863,8.6,6961,光明与磊落
01453210,7.4,59053,一座城池
06902639,7.8,24876,青春
05292912,8.0,16163,1988：我想和这个世界谈谈
25747921,7.0,106909,从你的全世界路过
03831788,8.1,9841,逃离
20425053,7.6,24203,我所理解的生活
03905366,7.8,16450,迟到的间隔年
02158194,7.7,17874,且听风吟
01009160,7.3,40044,像少年啦飞驰
05366278,7.9,12255,走吧，张小砚
05423803,8.2,7263,剑桥倚天屠龙史
06516050,8.2,7115,搭车去柏林
07064313,7.7,16545,突然就走到了西藏
01871471,7.8,12121,一座城池
21247886,9.1,1676,嫌疑犯X的獻身
05264779,7.4,17983,背包十年
01051440,8.2,4510,在路上
01420222,8.9,1505,The Catcher in the Rye
26962859,7.7,7399,美国众神
05254171,8.7,1353,GOTH斷掌事件
30193594,7.9,3866,遮蔽的天空
06048071,8.4,1815,七声
02156168,8.5,1594,书读完了
06847760,7.2,11484,随遇而安
07067934,7.7,4323,打工旅行
25941891,8.3,1795,安迪密恩
01072508,8.2,1965,哈克贝利·费恩历险记
06710720,6.9,17149,春宴
06872434,7.5,4963,最好的时光在路上
01419214,8.6,854,The Price of Salt
24851617,7.6,2214,1988：我想和这个世界谈谈
03716506,8.1,989,路
26378831,7.9,1255,幸福的另一种含义
26984949,7.4,2415,地下铁道
06313482,7.6,1740,一路向南
01868469,8.3,668,荒凉天使
07065560,8.4,530,在路上
06711411,7.8,991,在路上
04828875,8.6,379,Python Cookbook
02159470,6.8,4019,垮掉的一代
26576527,9.0,239,我弥留之际
25931540,6.5,5124,告白与告别
26707942,6.4,5832,知更鸟女孩
10762249,7.6,702,亲爱的，这不只是一场旅行
22793689,8.4,273,荒野生存
04906157,7.3,888,三重门
26938056,8.3,254,带艾伯特回家
26756565,8.3,241,一加一
01220046,7.6,506,克里斯汀
20492902,8.2,245,走出荒野
25895918,8.2,244,1661，决战热兰遮
20432375,8.5,170,天下骏马
05366452,8.7,143,穿越
04912650,7.0,927,沿着瞭望塔
06560641,7.2,628,欠踹的背影
04054913,7.3,537,光榮日
05293894,8.0,206,我沒時間討厭你
05366451,8.2,154,平原上的城市
26912245,7.2,278,与佛陀一起吃早餐
25763508,7.4,215,青春之后 认输之前
01366226,8.7,69,On the Road
30136844,8.6,73,1988：我想和这个世界谈谈
30228540,7.7,139,旅程结束时
02277713,8.5,66,單車環島練習曲
02302718,8.2,75,传染病屋
27093931,5.6,2448,你是我的城池营垒
01774433,8.8,46,The Dharma Bums
25957811,8.0,73,远行，直到遇见自己
06428837,6.9,198,当我们一起去跳海
26877739,7.0,170,一次远行
25942487,7.0,145,无法靠想象完成的旅行
06759332,7.7,53,独步边疆
03327047,5.6,610,选择之道
04106420,7.6,40,轉轉
03222548,8.2,24,阿道尔夫
02156729,8.4,16,Nathan Road 彌敦道
30353893,5.5,45,纸女孩
