ID,Rating,Votes,Title
06709783,9.0,26434,浪潮之巅
01786387,8.6,39605,影响力
06021440,8.7,18586,黑客与画家
05375620,8.7,15221,失控
04010196,8.1,25031,世界因你不同
25810506,9.1,3280,史蒂夫·乔布斯传（修订版）
01504957,8.6,5752,学会提问
26306686,8.3,7928,创业维艰
05320866,8.3,7136,重来
25782902,8.1,8361,反脆弱
26297606,7.5,24547,从0到1
26860776,8.4,5225,鞋狗
26658379,8.4,5180,必然
26759508,8.1,7793,硅谷钢铁侠
26582822,8.2,6547,重新定义公司
10945606,8.3,4996,精益创业
26270679,8.1,6093,零售的哲学
01867642,7.6,14224,世界是平的
01874488,8.1,6012,别做正常的傻瓜
03688489,7.7,10997,异类
04243770,8.5,2815,创新者的窘境
01288844,8.2,3811,设计心理学
26364209,8.0,5133,那些古怪又让人忧心的问题
03025921,7.7,8383,黑天鹅
27167992,8.1,3911,见识
03682204,7.6,8686,佐藤可士和的超整理术
06718487,8.4,2515,商业模式新生代
26356515,7.7,6609,S.
24753651,8.3,2658,Zero to One
05302113,8.3,2590,三双鞋
26665230,8.4,2082,硅谷之谜
04722180,7.7,5786,谁动了我的奶酪?-纪念版
03900987,7.6,6816,引爆点
01067710,9.0,974,造型的诞生
05989373,8.8,1210,失控
26314955,8.7,1228,创新公司
04736118,7.9,3460,结网
06965746,8.2,2236,科技想要什么
01055088,8.3,1923,像艺术家一样思考
01829747,9.1,744,Asking the Right Questions
34952676,8.3,1838,苏世民：我的经验与教训
01123740,8.7,1122,科学革命的结构
25928983,7.6,4886,周鸿祎自述
01314262,8.1,2260,情感化设计
25807982,8.5,1304,创新者的窘境(全新修订版)
01318427,7.7,3910,蓝海战略
01951372,8.9,822,创新与企业家精神
26608585,8.3,1631,重新定义团队：谷歌如何工作
01951547,8.5,1265,像艺术家一样思考
30357931,8.1,2079,智能商业
11516567,8.7,985,四步创业法
26324497,8.0,2098,支付战争
26890863,8.7,818,我们如何走到今天
26976593,8.8,705,孵化皮克斯
26771893,9.0,530,光变
03910220,7.5,3402,十四堂人生创意课Ⅱ
01011509,7.8,2009,谁说大象不能跳舞？
25813579,8.2,1086,让创意更有黏性
03685204,7.9,1561,长尾理论2.0
07061613,8.4,788,Steal Like an Artist
04822145,8.7,556,创新者的解答
03585473,8.1,1085,What I Wish I Knew When I Was 20
04816212,7.4,2807,真希望我20几岁就知道的事
25777433,9.2,330,Creativity
30365007,8.0,1155,重新理解创业
05336008,8.2,869,瞬变
05269192,7.8,1446,创业的国度
27009472,8.5,595,创新者
25714687,9.1,318,文化战略
26996693,7.9,1123,知的资本论
01015133,7.9,1112,首先，打破一切常规
01038949,8.4,605,资本主义、社会主义与民主
03320425,8.3,639,跨越鸿沟
26816874,8.1,776,理解未来的7个原则
25766700,7.4,1927,一网打尽
01050510,7.3,2185,六顶思考帽
04246667,7.7,1166,粘住
06920100,7.7,1165,20个月赚130亿
01014964,7.9,893,引爆流行
04178328,8.5,440,赢
01193831,8.2,592,创意
04020863,8.8,322,创新与企业家精神
20492093,7.5,1434,平台战略
06723066,7.0,3095,乔布斯传
10484712,7.6,1136,驱动力
24530336,7.7,920,至关重要的关系
22229485,7.7,908,需求
34950212,9.0,229,逆时侦查组
06522698,7.5,1159,IDEO，设计改变一切
25786645,7.3,1554,乔纳森传
04187421,7.6,1008,给你一个亿
07007666,7.0,2516,认知盈余
01474667,7.9,671,搜
01799241,7.8,749,全新思维
06746174,7.7,846,佐藤可士和的创意思考术
02354988,7.7,798,集装箱改变世界
30192232,8.1,485,人口创新力：大国崛起的机会与陷阱
26611940,8.8,242,创新者的处方
01867455,7.8,677,像外行一样思考，像专家一样实践——科研成功之道
01484542,7.8,674,蓝海战略
25927569,8.3,381,设计方法与策略
01037290,8.0,525,莎士比亚、牛顿和贝多芬
26285299,7.9,587,创造力
26981115,7.8,639,让大象飞
03354596,8.6,268,创新算法
26823208,7.6,783,离经叛道
02282191,7.9,523,让创意更有黏性
01139356,8.3,328,创造突破性产品
01879670,7.3,1090,撬动地球的Google
27043167,8.2,356,创业就是要细分垄断
26851693,8.7,219,单点突破
27174411,7.8,511,思维简史
26866955,8.5,246,最小阻力之路
26646553,7.7,558,指数型组织
26236449,7.7,542,從0到1
11632326,7.7,525,免费
26891160,7.8,462,科技之巅
04931700,9.4,110,创新的先知
21966324,7.2,980,3D打印
01460235,8.5,220,创新的扩散
25818674,8.2,285,创意的生成
04243771,8.0,349,创新的艺术
03717165,7.3,819,众包
01461932,9.2,122,The Innovator&#39;s Dilemma
01068884,7.9,378,水平营销
25742292,8.1,300,创新者的解答
20480678,6.9,1356,逆转
02137823,8.2,260,经济发展理论
24529199,8.5,193,一切行业都是创意业
10484709,8.0,307,让顾客自己来定价
04257314,9.2,110,形式综合论
25958751,7.7,420,伟大创意的诞生
26791265,8.7,156,蓝海战略（扩展版）
02005474,7.6,463,产品经理手册
30192878,8.1,267,量子魔术师
11517171,8.5,183,创意，是一笔灵魂交易
26340695,8.8,141,三位一体
01262200,8.7,152,创新与创业精神
25850087,8.3,210,有的放矢
01143222,8.1,253,创新的艺术
25786085,8.0,278,即兴的智慧
26695045,7.8,342,全球风口：积木式创新与中国新机遇
01313875,8.4,186,创新者的窘境
01454371,8.5,170,广告创意完全手册
26273310,7.7,366,颠覆式创新：移动互联网时代的生存法则
01042737,8.6,151,困境与出路
27174024,7.0,888,混乱
25854698,8.0,257,微创新
25795595,7.6,375,集装箱改变世界（修订版）
27131703,6.5,1816,爆裂
26383733,7.7,317,颠覆式创新：移动互联网时代的生存法则
26891410,8.2,188,魔鬼经济学系列
34779940,7.5,385,第二曲线创新
03031961,7.4,426,六顶思考帽
05264781,7.8,264,创意阶层的崛起
24744410,8.1,192,他们创造了美国
03065982,8.2,171,打开创意的脑
26752693,8.1,186,创新的扩散（第五版）
30187870,9.2,77,创新陷阱
30203403,8.0,197,与运气竞争
11589943,8.5,122,管理的未来
01084954,8.7,104,创造性
01811450,8.6,111,创造知识的企业
05363843,7.8,224,365种改变世界的方法
01159373,7.1,509,产品经理的第一本书
30443496,8.5,117,创新者的任务
20507211,7.2,426,创新者的基因
01843185,8.3,133,远见
27135397,7.7,233,极简法则
02364146,7.6,258,海星模式
02051004,8.4,121,创新的10个面孔
24890463,7.3,357,拒绝平庸
03361791,7.3,352,发现商业模式
06874099,7.8,198,现代医学的偶然发现
01082734,7.5,259,产品经理的第二本书
26107892,8.3,117,创新自信力
01808521,7.6,224,美第奇效应
02124330,7.9,165,公司进化论
26770268,8.7,85,塞氏企业
27609837,8.1,135,第三次浪潮
01925372,9.3,56,走向自主创新
06443655,7.7,181,苹果的哲学
01868555,8.3,105,阻力最小之路
01318190,7.4,243,超常思维的力量
25796129,7.9,143,U型理论（全新升级版）
30234043,7.9,143,技术的本质（经典版）
34866949,7.9,143,独霸中东
24523626,8.0,128,点子都是偷来的
06915786,9.1,55,This Is Service Design Thinking
03309579,7.5,194,撬开苹果
26464952,7.6,173,服务设计与创新实践
26961851,6.1,1465,灰犀牛
06801744,7.7,152,就这么做产品
04044865,8.5,74,Yes Is More
04713687,8.6,67,创新的神话
01084126,7.3,209,思考的利器
30192587,7.1,260,塑造世界经济的50项伟大发明
01734687,8.4,75,知识创造的螺旋
26763668,7.7,134,颠覆性医疗革命：未来科技与医疗的无缝对接
20434431,6.9,326,斯坦福大学最受欢迎的创意课
11589941,6.4,671,皮克斯
02371787,8.6,64,瞬间的真实
26435017,7.2,220,资源革命
03837306,7.0,278,紫牛
34862806,7.6,143,创新化生存
01064017,7.1,245,魔术记忆
01431653,8.1,90,Crossing the Chasm
20373428,7.5,152,创新者的思考
25963553,8.2,82,创新十型
34984753,8.2,82,体验思维
26792423,7.7,124,设计，在人人设计的时代
30324814,7.7,122,创造的本源
26348884,7.2,203,佐藤可士和：我的创意新规则
26043897,7.7,119,想象
27049704,8.7,54,数据可视化(40位数据设计师访谈录)(精)
03359486,7.9,96,平面筑城
27057878,7.2,189,第二曲线：跨越“S型曲线”的二次增长
25962759,7.1,209,模仿的技术
26377007,8.7,52,有了博士学位还不够（修订版）
26938818,8.6,54,我的疯狂发明书
35000362,8.0,82,思维不设限
05263559,8.9,44,設計思考改造世界
30267712,8.2,70,创新的资本逻辑
01837431,8.0,81,创新的本质
26983377,7.0,215,第七感
05297506,8.5,56,Where Good Ideas Come From
27009622,7.2,170,被误读的创新
26598389,7.7,100,创造
02230563,7.4,132,荷兰新生代设计
04786109,8.4,56,中国人为什么创新不起来
01023032,8.3,60,变革之心
30421493,7.7,94,创新者的世界
26892520,6.9,214,Google
03712207,7.8,86,Change by Design
01781953,8.1,67,思考型管理
34643859,9.8,25,走向自主创新
30198746,8.5,50,自我进化
26378772,8.0,71,超级天使投资
26974857,7.8,82,规则颠覆者
03823690,8.6,45,牛津创新手册
26894743,8.0,66,创业的艺术2.0
25876460,6.7,240,乐高
25925031,7.9,71,水平营销
01465183,7.7,81,A Whole New Mind
30237394,7.7,79,日常生活中的发明原理
30220058,6.8,191,未来版图
01812186,6.9,168,连线
06021418,8.1,56,美国创新史
03042530,6.9,165,水平思考法
10549822,8.0,59,影响数学发展的20个大问题
01010700,7.9,63,思考的玩具
11631324,9.0,31,乔布斯的发明世界
26858053,7.1,128,创新者的方法
19966132,6.7,197,自营销
01487698,8.3,45,创造力手册
01982183,8.7,35,IDEA物語
01372640,8.1,51,The Art of Innovation
35014332,9.4,24,走向自主创新2
30332407,8.4,40,重塑制造业
01147264,8.3,42,哇……发明家诞生了
27599340,7.3,90,极限创新：35岁之前改变世界的全球科技精英
34925940,6.6,193,中国优势
06901098,8.1,47,The Idea Factory
26328689,8.0,50,商业设计
01844920,6.6,188,分众的蓝海
04926705,8.0,48,商业模式的力量
24883455,7.4,76,创新的艺术
03351244,8.8,29,断层地带
27029472,7.7,59,创业清单
01795625,7.5,68,微利时代的成长
26945308,7.4,74,任正非：商业的本质
01908384,7.8,53,未来在等待的人才
34820446,7.9,49,种子用户方法论
26836223,6.4,218,腾讯之道
01510522,8.6,31,边缘竞争
26716901,8.0,45,狩猎式创新
05447171,8.1,42,中国大趋势2
26035304,8.2,39,X创新
26809340,8.2,39,世界上最强大的思想
01771819,7.2,84,数字化商业模式
01000697,8.4,34,天才的思考
04072819,8.4,34,Googled
30247188,7.5,64,如何打造你的爆款创意
26711075,7.0,101,决定未来的10种人
01885260,7.8,50,发明是这样诞生的
26681345,7.8,50,贝尔实验室与美国革新大时代
33461175,7.0,100,飞奔的物种
34953924,9.4,20,即兴戏剧
27667171,8.9,25,孵化未来
04081910,7.1,88,创意心理学
25984563,8.0,42,Value Proposition Design
25905680,7.9,45,公司进化论
26852111,7.1,87,异想，天开：极富创造力的人做的10件与众不同的事
27147516,7.0,96,好点子都是偷来的
03664621,6.4,189,在线为王
01341634,7.9,44,First
27099015,9.0,23,嗨！元素
20366578,9.3,20,阿罗有支彩色笔
01971534,8.9,24,怎样成为发明家
11600265,8.8,25,Human-Centered Design Toolkit
10762735,8.5,28,创新的神话（中文版）
27119175,7.3,64,一切与创造有关
25843336,7.4,58,创新的国度
26857852,7.4,58,硅谷密探：探秘全球科技精华
04022710,8.2,32,从核心创新
35069280,9.2,19,养蜂的秘密
22324479,8.3,30,Service Design
30471254,7.5,49,奇才
04880486,8.7,23,进化树
26820867,8.0,34,创造性思维十一讲
30487758,8.2,30,先进制造：美国的新创新政策
01091548,8.3,28,创新的空间
10802842,8.5,25,The Shape of Design
30368721,9.1,18,彼得德鲁克全集·创新与企业家精神
26978933,7.6,42,重新设计工作
04183885,8.1,30,Design Thinking
02228075,7.4,48,创造性破坏
01825842,7.2,55,凤凰术
26006343,7.2,54,大爆炸式创新
26997783,7.3,49,颠覆式创新：企业实现突破的15种方式
01913823,7.7,35,为叫花子做的策划
05328492,7.5,40,世界让我们变了吗
26799652,9.1,16,抉择(修订本)
33647108,9.1,16,奇妙错误书
03681934,8.6,20,Rules of Thumb
05406427,8.6,20,开门（全2册）
10453266,7.0,56,创意-就是没有标准答案
30290449,6.7,74,意义创新
24852528,6.4,103,数字战争
26411916,7.9,28,创意天才的思维方法
26687391,8.6,19,转折点
25865988,8.0,26,企业创新101设计法
26704104,7.0,52,思考线：让你的创意变为现实的最佳方法
26276717,5.5,367,工匠精神
10545050,7.6,32,硅谷中关村人脉网络
26945530,7.6,32,试错：通过精益用户研究快速验证产品原型
02152027,7.5,34,创新及其不满
26303632,6.5,82,以色列谷
26856430,6.5,79,创意力：11堂斯坦福创意课
25743277,9.3,13,创造性
01128397,7.9,25,野心与愿景
06797629,8.4,19,创新魔咒
03714968,8.2,21,天才团队
06481921,7.3,37,服务设计与创新
25732083,7.7,28,这里改变世界
03419308,6.9,51,水平思考的力量
04183880,7.7,27,The Design of Business
26879789,8.4,18,创新
30316378,6.1,114,共生
01320545,7.5,30,潜智
01553728,8.5,17,基础科学与技术创新 巴斯德象限
24294491,7.6,28,半面创新
30194652,6.7,54,科技前哨
26677840,6.8,49,山寨中国的终结
27026460,6.2,87,水平思考
30131863,6.7,51,试错力
03923143,8.3,17,新白雪公主
26360501,7.6,25,工程师知道什么以及他们是如何知道的
03865302,8.4,16,A Fine Line
10577767,8.4,16,精益执行官
26698354,6.6,54,另类创客
26914073,5.4,280,小风暴1.0
27136513,7.5,26,软价值
04888410,7.0,37,就这么做创新
03419759,7.1,34,创新思维训练游戏
26971410,7.1,34,华为创新
27599850,7.3,29,中国创投100人
26614055,6.9,38,创新者的密码
05328495,6.8,40,世界让我们乐观的事
04830460,6.8,39,米哈尔科商业创意全攻略
26894474,8.8,12,給未來的創新經營者
01926179,6.8,38,設計私地圖
03351242,6.8,38,龙卷风暴
30204698,7.3,26,水平思考
27621055,6.8,37,谷歌的断舍离：互联网企业的破坏式创新
06561590,9.2,10,Escape Velocity
26685172,8.5,13,乔布斯到底给苹果留下了什么？
26988150,7.7,19,创新的基石：从以色列理工学院到创新之国（原书第2版）
26314372,7.3,24,创意智商：如何利用创造、联系和启发的能量
26302183,7.5,21,How to Fly a Horse
01592930,7.4,22,晶体之火
02977511,7.7,18,追求卓越
01784221,7.8,17,我对你错
03125059,7.0,27,战略创新者的十大法则
10557407,7.1,25,向海底捞学习
06127066,7.8,16,設計力創新
26740006,6.3,47,创新的本能：类比思维的力量
26014448,8.0,14,意志的胜利
10543922,6.9,27,下一个大机遇
26810654,7.6,17,敏捷产品——不确定性的思维革命
02069062,7.4,19,平台领导
24743317,5.3,172,好点子都是偷来的
01290088,7.3,20,创新者的工具箱
03151053,7.3,20,愿景
06383475,7.8,15,不服從的創新
26808563,6.9,26,创新设计思维
34950554,7.5,17,徐静波讲演录：日本如何转型创新
26971332,7.3,19,从中国制造到中国创造
05359448,8.0,13,Driving Technical Change
30402261,8.0,13,第二硅谷
03675883,7.4,17,TRIZ入门及实践
03874113,7.5,16,创造性思维艺术
26929958,7.9,13,魔法师与他的学徒们：MIT媒体实验室的创新密码
34853024,7.9,13,创造知识的方法论
01097207,7.2,19,引爆灵感
01199743,7.2,19,创新40法：TRIZ创造性解决技术问题的诀窍
30854702,7.2,19,养育下一代创新者：犹太教育对中国的启示
26833841,7.1,20,疯狂到位：高风险情境下团队如何协作与创新
34455488,7.7,14,海盗思维：打造令人惊奇的客户体验
06670700,7.0,21,The Innovator&#39;s DNA
01391063,8.0,12,技术创新的战略管理
26416923,7.3,17,众包与威客
01880209,6.2,39,行走的榜样
01791219,7.6,14,Creating Breakthrough Products
26791641,6.7,24,玩出伟大企业
01763520,6.3,33,创新中国
05503558,7.4,15,变革始于个人
34911477,6.4,30,5G金融
26442359,7.5,14,创新者的培养
27078881,7.5,14,创新的科学与文化
06982135,6.5,27,从零开始学创业大全集
26911199,6.9,20,可复制的教育创新
26823371,7.8,12,创意是一场即兴演出
27024326,7.8,12,求异
10750312,6.6,24,不.可能!-反常规思考的力量
26788915,6.4,28,创新力+
34873742,7.7,12,创新大脑
03216005,7.0,17,洞察中国
26696417,7.2,15,TRIZ:打开创新之门的金钥匙Ⅰ
27119214,7.2,15,创新的本质
01778611,7.6,12,创新者的思考-看见生意与创意的源头
30241584,7.3,14,斯坦福社会创新评论02
01043791,8.0,10,技术创新学
01962327,6.9,17,雅芳传奇
26696878,6.5,22,创业家精神
26976315,7.6,11,趋势型创新
30483959,7.8,10,如何领导天才团队
01194043,6.9,16,创造力
26022221,6.9,16,The End of Copycat China
26021867,6.8,17,沃顿商学院创新课
26747715,7.4,12,Zone to Win
05916872,7.1,14,内驱力
26931252,7.2,13,产品经理创新手册
27038513,6.7,17,复杂中医的极简思考
26772837,5.6,46,区块链 2.0
01862803,6.5,19,顺风新博客论
04227015,6.8,15,颠覆
04240786,6.8,15,创新赢天下
30443515,6.5,18,创新者的路径
06751099,7.0,13,模仿的力量
27118638,7.0,13,严肃的创造力
25972722,6.2,22,颠覆定律:指数级增长时代的新规则
25921389,5.4,49,“上帝在中国”源流考
04927003,6.2,21,让思维自由起来
07066877,7.0,12,宏观维基经济学
26746090,6.9,12,共享经济商业模式
