ID,Rating,Votes,Title
26576861,9.0,25134,最好的告别
26896859,8.8,15974,当呼吸化为空气
26712353,8.6,20746,血疫
20507206,9.1,8206,众病之王
26706730,9.0,6605,肠子的小心思
20431965,8.5,12989,只有医生知道!
11445548,8.5,12512,自私的基因
30293663,8.6,8312,绝对笑喷之弃业医生日志
03673651,7.7,39083,岛
30277179,9.1,3147,打开一颗心
26592648,8.9,3342,癌症·真相
25747217,8.5,4917,只有医生知道！2
27168433,8.7,3324,基因传
01254942,9.2,1732,黄帝内经
26699448,9.0,2097,When Breath Becomes Air
26747700,9.0,1741,撒马尔罕的金桃
01852700,9.0,1717,神经外科的黑色喜剧
02000641,8.2,4552,求医不如求己
26093161,9.2,1270,Being Mortal
01060298,8.6,2559,思考中医
33408247,8.2,4304,病毒星球
27590675,9.0,1479,你是你吃出来的
27025492,8.7,1976,上帝的手术刀
01440885,7.9,5370,人体使用手册
01455138,8.8,1562,白色巨塔（第一部）
26579966,8.6,1956,医生的修炼
01046620,8.9,1348,我们为什么生病
26837082,8.8,1483,消失的微生物
34842793,8.8,1453,薄世宁医学通识讲义
10794070,8.4,2380,心外传奇
26680437,8.3,2679,只有医生知道！3
10764908,9.4,759,美国儿科学会育儿百科
30264678,9.1,964,尸体变化图鉴
26876440,8.4,2057,吃货的生物学修养
30354451,8.0,3542,皮肤的秘密
26578141,8.7,1404,医生的精进
34462719,8.2,2479,女生呵护指南
30219713,8.7,1293,病者生存
20475794,8.0,3075,身体知道答案
30311816,8.0,3057,荒诞医学史
25768216,8.8,1081,冀连梅谈：中国人应该这样用药
01447232,9.5,509,伤寒论
02270925,8.5,1413,病者生存
34467855,8.5,1396,世纪的哭泣
03525047,7.8,3596,无影灯
06873632,8.6,1220,冒烟的耳朵和尖叫的牙齿
33376237,8.9,863,我包罗万象
03903121,9.0,720,第六病室
01509898,9.7,372,神经科学
26792171,9.3,526,美国儿科学会育儿百科（第6版）
03433208,8.4,1338,问中医几度秋凉
05336588,9.5,395,The Emperor of All Maladies
02355018,8.4,1150,字里藏医
02050761,9.2,490,怪医黑杰克1
30437166,8.3,1226,饮食的迷思
27104999,8.7,771,癌症·新知：科学终结恐慌
24839756,8.1,1562,死亡如此多情
02195980,8.9,619,圆运动的古中医学
01040398,9.6,323,心电图图解速成讲授
30164677,8.5,920,我们为什么会生病
01448343,9.7,293,奈特人体解剖彩色图谱
25821723,9.1,483,走出抑郁
30230380,9.3,387,经典中医启蒙
35013439,9.2,422,血殇
02033768,8.3,1049,批评中医
03435537,8.7,666,大流感
03263008,8.4,910,求医不如求己3
01058276,8.5,789,走近中医
25999980,8.3,971,妇产科男医生告诉你
03527896,8.6,670,古代的中医
03843957,9.0,448,黄帝内经
01000340,8.5,743,水母与蜗牛
01959248,8.5,707,科学成就健康
04106854,9.3,318,四圣心源
26292057,8.2,959,性审判史
27046024,8.4,755,杂食者的两难
03681571,7.7,1820,巴提斯塔的荣光
02280312,8.3,818,协和医事
27131873,8.4,725,每个人的战争
01862145,7.9,1308,YOU：身体使用手册
26795949,8.6,562,中国居民膳食指南（2016）
25857941,8.0,1121,病毒来袭
24529161,9.1,343,海蒂怀孕大百科
34468490,8.9,398,病玫瑰
30232245,8.5,586,神经的逻辑
04154013,8.9,389,血疫
01097397,8.7,463,死亡的脸
25833473,8.4,628,疾病的隐喻
03408334,8.8,413,洗冤集录译注
27116331,7.7,1447,瘟疫与人
01447162,9.3,260,黄帝内经素问
01418484,9.0,336,开启中医之门
34955500,8.5,532,新型冠状病毒感染防护
27155557,9.0,325,This is Going to Hurt
04077879,8.4,575,零起点学中医
26874371,8.8,382,只有医生知道（精华本）
24722746,7.7,1310,人类尸体的奇异生活
10794337,8.5,497,神之病历1
02310529,8.9,335,遵生八笺
26968920,8.4,544,逼近的瘟疫
30485206,8.4,541,与病对话
01085518,8.5,483,临床医学的诞生
05411583,8.5,482,中国居民膳食指南
01691802,8.7,394,中医入门
30159014,8.3,587,永生的海拉
02041978,8.7,389,本草纲目
25830824,7.6,1404,无影灯
26723951,8.9,319,When Breath Becomes Air
03374562,8.3,575,营养圣经
24754918,9.1,266,麻风
26760489,9.2,237,冀连梅谈：中国人应该这样用药（图解母婴版）
03734810,8.7,367,我们为什么生病
30245089,7.6,1298,百岁人生：长寿时代的生活和工作
01678412,9.0,273,名老中医之路
05415397,8.5,432,阿图医生·第1季
10416503,6.9,3910,花冠病毒
01504995,9.1,247,病毒学概览
10576145,8.7,346,无国界医生手记
26708760,8.8,314,死亡的脸
30306429,8.6,373,大流感
01038010,7.2,2149,血玲珑
01829801,8.2,558,忧郁
01447164,9.2,216,金匮要略
27052052,7.9,781,人体的故事
26292422,7.5,1306,顾中一说：我们到底应该怎么吃？
04006535,8.8,295,神的杰作
03271484,9.5,167,全注全译黄帝内经(上下)
02992203,9.2,210,刘渡舟伤寒论讲稿
04578536,8.3,476,阿司匹林传奇
03353023,8.6,350,求医不如求己（全三册）
04002577,9.1,223,法医学彩色图谱
34949339,8.3,470,致命流感
01503213,9.4,176,免疫学概览
34449271,7.8,837,尸检报告
03092928,8.1,572,逼近的瘟疫
27122358,8.0,629,疾病的隐喻（全布面精装）
26609474,7.5,1188,八卦医学史：不生病，历史也会不一样
34444901,8.6,327,肠子的小心思
01875737,8.8,272,本草纲目
03247154,9.4,166,胡希恕伤寒论讲座
30373573,8.7,294,十亿美元分子
26377453,7.1,2114,谷物大脑
01772103,8.2,481,再造“病人”
30394949,8.8,267,无伤跑法
06966735,8.6,319,永生的海拉
04246991,8.5,343,疾痛的故事
04912738,9.1,201,黄帝内经
07059612,8.8,258,细胞生命的礼赞
02009207,9.2,185,生活之道
20738413,8.8,247,法醫．屍體．解剖室：犯罪搜查216問
25826747,9.0,208,神经外科的黑色喜剧
26387817,8.2,437,核心基础运动
01097396,8.6,292,生命的脸
26611940,8.8,242,创新者的处方
34857213,8.2,426,亲密陷阱
26838785,8.2,424,最好的抉择
34865677,9.5,136,天花旧事（医学大神03）
02984806,8.6,279,内科学
34865589,9.0,197,天才永生（医学大神01）
03567734,7.6,834,黄帝内经使用手册
04039932,8.2,407,内证观察笔记
30246792,7.3,1238,认识身体
04028117,8.4,327,大医院小医师
25866036,8.1,439,因为是医生
04910392,8.3,352,一个传统中医的成长历程
02344120,9.2,158,怪醫黑傑克-文庫版(01)
03005196,8.7,236,生理学
34935089,9.5,126,“医学大神”文库本系列
03155162,8.0,469,《南怀瑾－小言黄帝内经与生命科学》
20382267,9.1,164,牛津艺用人体解剖学
26950083,8.5,273,死亡地图
02130180,8.7,224,怀孕圣典
26850083,8.1,397,致命药瘾
34865597,9.3,138,沥血叩心（医学大神02）
04857077,8.2,355,医学伦理
26432754,9.0,172,解剖列车——徒手与动作治疗的肌筋膜经线
03023839,8.0,434,苦痛和疾病的社会根源
01648545,9.3,135,李可老中医急危重症疑难病经验专辑
26581915,8.8,196,他们应当行走
25747269,7.7,597,颠覆医疗
04178539,9.5,114,四圣心源
02377715,8.7,209,向记忆道歉
01925936,9.1,150,默克家庭诊疗手册
34468473,9.0,162,手术剧场
30432502,8.0,403,药物简史
10602325,9.9,86,细胞生物学精要
30394968,8.6,222,疫苗的史诗
34436558,8.3,292,猎药师
05241253,9.6,103,张廷模临床中药学讲稿
26818259,7.8,487,精准拉伸
10738864,9.1,143,中医人生
05921328,8.4,254,麦肯基疗法
06742678,10.0,77,伤寒杂病论
01028077,8.2,301,师从天才
05241992,8.9,161,人体
05415449,8.4,247,阿图医生·第2季
