ID,Rating,Votes,Title
03259440,9.1,460306,白夜行
01770782,8.9,647923,追风筝的人
01068920,9.3,158306,飘
20427187,8.8,276224,看见
01089243,8.9,124072,黄金时代
03995526,8.6,185202,目送
03646172,8.4,195275,恶意
01046265,8.0,317931,挪威的森林
01948901,8.3,160112,盗墓笔记
02159042,8.5,101232,挪威的森林
24754316,8.7,56074,最好的我们
01036274,8.6,51786,夏洛的网
01401425,8.3,84771,兄弟（上）
01358873,8.6,45605,月亮忘記了
03633461,8.7,37284,一句顶一万句
26864984,8.9,24069,金色梦乡
01421921,8.9,22186,幽游白书（全19册）
05038409,9.0,18894,金色梦乡
04231381,8.4,48887,那些回不去的年少时光
01316648,8.3,58851,查令十字街84号
01088022,8.9,19846,亮剑
03518332,9.0,15205,绿毛水怪
01391191,8.5,32583,京华烟云
26755503,8.7,22194,我可以咬一口吗
27110861,9.4,7885,銀魂#01
01424741,8.5,28758,心是孤独的猎手
01919201,8.4,32757,七夜雪
06953273,8.5,26640,盗墓笔记
01812439,8.1,53774,步步惊心
02057285,8.2,42256,盗墓笔记2
02256039,7.8,92458,杜拉拉升职记
26210487,9.0,11134,强风吹拂
01431779,8.9,12862,九州·缥缈录Ⅱ·苍云古齿
01422833,8.7,16761,多情剑客无情剑(上、中、下)
01364773,9.0,10566,鋼之鍊金術師 1
01064841,9.1,8990,绿山墙的安妮
01424555,8.9,11945,HUNTER X HUNTER 1
04874131,8.1,44955,东霓
01264579,8.8,12889,欢乐英雄
02039931,9.1,8363,小王子
01143694,8.3,28703,动物凶猛
02046807,9.5,4883,飘
01791390,9.2,7067,Hunter X Hunter
01419841,9.0,9133,神秘的魔法石
01459623,9.4,5376,20世紀少年01
10763902,7.7,87525,偷影子的人
04238754,8.0,40774,失恋33天
24845582,8.4,19464,群山回唱
26278687,7.6,86054,皮囊
01440089,8.3,21712,那些生命中温暖而美好的事情
02250587,7.6,82962,一个人的好天气
01424694,8.9,8190,天堂之吻 (Vol. 1)
01140727,8.7,10881,安德的游戏
02284916,8.9,7634,哈利波特7
01369777,9.0,6551,NANA 12
01427288,8.4,15591,小妇人
06531656,9.3,4341,麒麟之与子同袍
01089517,8.4,15209,绝代双骄（全三册）
03326892,8.6,10509,圣诞忆旧集
02180619,8.0,28059,偷书贼
02283084,8.0,27160,云中歌1
01442869,8.9,6175,献给阿尔吉侬的花束
01481362,8.6,9483,城市猎人
01419882,8.9,5872,消失的密室
01342817,8.7,6523,哈利波特5 鳳凰會的密令
01416964,9.3,2891,H2 好逑雙物語 32
27170951,8.1,15861,生吞
06730371,9.4,2550,麒麟之生死與共
04012128,9.0,4088,星空
01203244,8.3,10546,三个火枪手
01046172,8.4,8724,流金岁月
10512236,8.4,8476,时间的针脚
25953676,9.3,2556,草房子
02349930,8.8,4709,秘密花园
30254298,7.7,27001,云边有个小卖部
06730832,9.4,2176,麒麟之快意人生
01049070,8.4,7889,等一个人咖啡
04172417,8.2,10606,匆匆那年
34466299,8.6,5461,天才基本法
07564736,8.2,9963,那些年，我们一起追的女孩
02130986,8.3,8478,美少女战士（全18卷）
01422116,8.8,4016,混血王子的背叛
01436586,9.1,2735,你真好
01012203,7.7,22770,檞寄生
25747921,7.0,106909,从你的全世界路过
26580084,8.6,5118,烛烬
03406518,8.5,5804,追随她的旅程
04866987,8.7,4383,如果·宅
03010130,7.7,21790,悲观主义的花朵
01344160,9.4,1826,Harry Potter and the Prisoner of Azkaban
02043396,9.0,2881,超合金社团（1、2）
01948502,7.7,20593,1995-2005夏至未至
04212812,8.6,4611,紫川（全五册）
01410555,9.4,1721,20世紀少年18
02048124,8.1,9356,后宫·甄嬛传Ⅲ
05906052,8.6,4288,進擊的巨人 01
01427788,8.1,8964,死神01
26642866,8.1,8652,萤火虫小巷
02336093,7.8,14193,池袋西口公园
01433346,8.7,3516,旁观者
02980812,7.8,13922,踮脚张望的时光
01313159,8.1,8195,大漠荒颜
01470159,8.4,5093,流金岁月
01424693,9.5,1322,下課後，怪獸家點名
06732193,7.5,21995,十年一品温如言
01400679,8.9,2453,The Kite Runner
01458193,8.9,2438,Cipher 1
04746554,7.9,10035,年华是无效信
01425636,8.7,3036,杯雪·夜雨打金荷
26278316,8.8,2599,夏洛的网
02201813,7.5,19672,藏地密码1
01772158,9.0,1923,The Kite Runner
01318615,8.5,3576,山羊不吃天堂草
25737793,8.6,2848,阳光劫匪
02344128,9.2,1350,21世纪少年上
02584971,8.0,6293,计数器少年
06562136,8.6,2636,One Day
26959623,8.3,3944,假如岁月足够长
01782032,8.8,2042,Charlotte&#39;s Web
01084822,8.7,2278,夏洛的网
02969572,7.9,6910,后宫·甄嬛传Ⅳ
01064532,8.5,2810,秘密花园（2册）
05906056,8.8,1792,進擊的巨人 02
06827339,8.4,2874,琅琊榜
01469051,6.9,43140,左耳
02229229,8.0,5071,穿条纹衣服的男孩
06718314,8.0,5025,晚来寂静
33426127,8.4,2750,渺小一生
02159393,9.3,949,ONE PIECE~航海王~01
02244267,9.2,1000,少年同盟 1
24736805,7.5,9757,我所有的朋友都死了
05906059,8.7,1639,進擊的巨人 03
06041247,8.8,1457,進擊的巨人 04
10466866,8.9,1300,進擊的巨人 06
01426214,8.1,3547,少林寺第八铜人
03727329,7.1,20567,千山暮雪
10602095,8.9,1242,進擊的巨人 07
03336465,7.2,16230,被时光掩埋的秘密
06736613,8.8,1344,進擊的巨人 05
03014429,8.2,2838,森林里的秘密
24876497,8.0,3625,匆匆那年
02135803,8.7,1412,今天运气怎么这么好
05300400,8.6,1564,沉陷过往的愚者
03013678,8.7,1331,文学少女(03)
06795849,7.7,5300,偷影子的人
01006881,6.7,40651,左手倒影，右手年华。
02679073,9.3,690,The Kite Runner. Movie Tie-In
26264973,8.9,1037,查无此人
34661936,9.2,752,我的天才女友
02244357,9.0,920,亚历山大 05
02244269,9.5,554,少年同盟 2
01439891,8.7,1229,阳光少女
06560171,8.5,1536,杯雪（全二册）
01016261,8.4,1737,狼嚎
34762492,9.4,563,渊之信
01418783,8.6,1284,查令十字路84號
01476304,9.1,722,夏洛的网
26899541,8.3,1785,漫长的告别
01439583,8.9,805,追風箏的孩子
02062200,6.2,100679,悲伤逆流成河
02139108,7.2,8551,潇然梦（上）
