ID,Rating,Votes,Title
01449351,8.9,90233,呐喊
02143732,8.8,91248,灿烂千阳
01080370,8.6,86192,情书
10517238,9.0,42305,平凡的世界
01022060,8.2,146118,狼图腾
01426971,8.8,30175,野火集
01449348,8.9,22092,彷徨
05275059,7.9,138107,1988：我想和这个世界谈谈
04729583,8.9,13360,野火集
01000517,8.9,7504,故事新编
01917972,7.8,45237,在路上
01009393,8.4,12386,在细雨中呼喊
01026036,8.6,6678,北岛诗歌集
26710670,9.4,2212,呐喊
26285194,9.3,2360,故事新编
01961808,9.3,2236,呐喊
03643270,9.2,2494,新千年文学备忘录
03010130,7.7,21790,悲观主义的花朵
01460340,8.9,2529,人性的，太人性的
06872620,9.5,1195,孔乙己
01830621,9.1,1657,呐喊
10743137,7.7,11422,绿皮火车
01001605,9.0,1274,呐喊
10955921,8.2,2097,骂观众
01005455,9.3,574,淘气包埃米尔
01080959,8.8,729,绿屋的安妮
03880502,9.2,478,鲁迅小说全集
02969029,8.2,1403,南方周末：后台（第二辑）
03132476,9.2,414,呐喊
01051324,7.8,1712,铁屋中的呐喊
30408662,8.5,689,拥有一个你说了算的人生. 活出自我篇
05269145,7.9,1205,沉浮与枯荣
01081182,8.6,324,世界名画家全集--蒙克
10563163,9.2,191,呐喊
01870606,9.3,174,鲁迅小说全编
01452512,7.9,626,十日谈
11528562,7.5,985,给理想一点时间Ⅱ
30464332,8.4,281,拥有一个你说了算的人生.终身成长篇
01737440,9.0,161,鲁迅小说全编
24523617,9.1,124,呐喊
34836845,8.8,152,鲁迅小说全集
03685526,8.7,162,呐喊
03016156,9.8,74,呐喊
01036798,8.1,261,1968年：反叛的年代
01961809,9.2,103,呐喊
01156692,8.9,127,呐喊
24752522,9.8,68,呐喊
26895696,9.6,63,鲁迅小说全集
10433836,7.3,285,十人
26639576,9.1,61,鲁迅小说精选集
02042246,8.1,117,二马
06771970,9.5,43,呐喊
01001939,7.9,131,街头的自语
25951816,8.9,49,呐喊
02004773,9.3,33,怎样画猫
04165742,8.1,68,耻辱与恢复
01000216,6.7,274,呐喊
01140698,9.1,31,呐喊
03561195,9.1,28,呐喊.彷徨
26924811,9.1,28,朝花夕拾
34881610,7.7,68,红头发的N2
11612745,8.8,19,朝花夕拾·呐喊
01215231,8.8,13,呐喊
06021336,6.5,39,无所事事
01519467,8.6,10,呐喊
02154132,6.3,33,苍天在上
01272542,0.0,10,呐喊
02197048,0.0,11,朝花夕拾 呐喊
