ID,Rating,Votes,Title
01045818,8.5,105805,苏菲的世界
02284311,8.8,37675,苏菲的世界
01004821,8.7,22709,理想国
01021273,8.9,15248,中国哲学简史
01291204,9.4,6399,哥德尔、艾舍尔、巴赫
01008189,8.9,11519,西方哲学史（上卷）
20501147,9.3,6501,中国哲学简史
26390842,8.6,15084,哲学家们都干了些什么
25961458,9.3,5228,大问题
06152040,9.1,5943,维特根斯坦传
01071227,9.0,4032,大问题
01201821,8.0,16720,梦的解析
27170538,8.6,6336,存在主义咖啡馆
01089398,8.8,4402,西方哲学史（下卷）
03410709,9.2,2634,中国哲学简史
01277275,9.2,2454,学术与政治
14439405,8.9,3428,哲学的故事
27172839,9.0,2770,苏菲的世界
05253759,9.2,1836,中国哲学简史
02283920,8.5,3757,西方哲学史
01049872,8.9,1731,西方哲学史（下卷）
06780545,9.0,1367,中国哲学史
03117247,9.0,1304,中国古代思想史论
25926462,9.4,809,西方哲学史
04246032,9.4,800,西方哲学史讲演录
19956866,9.1,1070,苏菲的世界
03389811,8.8,1482,西方哲学史（修订第8版）
01443887,9.1,1061,中国哲学简史
01005692,8.4,2193,西方哲学史
01456524,7.9,4301,这个世界会好吗
01001646,8.9,1159,中国哲学简史
01074030,8.5,1800,西方哲学十五讲
30176572,9.4,674,大问题（第10版）
01024785,9.1,886,西方现代思想史
02111791,8.7,1367,哲学问题
26438558,9.2,753,西方哲学史
04934845,9.0,851,西方哲学史（上卷）
01075249,8.9,941,西方哲学原著选读(上卷)
30441530,8.8,997,打开
01064101,8.7,1023,中国哲学史（上下）
34447865,9.5,446,西方哲学史（第9版）
01651032,8.6,1059,西方哲学史
01358806,8.9,725,Sophie&#39;s World
01227966,7.8,2719,你的第一本哲学书
01074364,9.1,564,哲学史讲演录(第一卷)
01253835,9.3,468,哲学史教程（上卷）
03078098,8.6,921,哲学与人生
30276702,8.1,1689,中央帝国的哲学密码
01039258,8.9,604,西方政治思想史
26655572,9.5,344,中国哲学简史
25782240,8.7,696,西方哲学史
26832583,9.2,412,世界哲学史
05377278,8.1,1343,西方哲学简史
27136549,8.7,655,思想史
05423861,9.4,325,中国哲学简史
01227223,8.6,688,哲学导论
26892222,8.0,1375,生活的哲学
01069576,8.5,752,西方哲学史
01071514,8.8,521,西方哲学原著选读(下卷)
24153675,9.3,328,中国哲学简史
01025502,8.9,471,哲学的故事（上下）
10566979,8.8,514,利维坦的道德困境
01040538,8.2,971,中国哲学史大纲
01370297,9.4,266,The Story of Philosophy
04201709,9.2,309,中国哲学史大纲
01484492,8.8,444,20世纪思想史
30136393,9.4,255,做哲学
26955856,9.0,350,思想的力量
01443964,9.0,348,新编中国哲学史（全四册）
01322335,8.6,481,中国哲学十九讲
02292094,9.2,267,Sophie&#39;s World
01065051,7.6,1531,西方哲学简史
01042153,8.9,341,人类理智研究
01031345,9.3,239,哲学史讲演录（第二卷）
01067969,9.4,218,哲学史教程（下卷）
01042292,9.3,205,哲学史讲演录(第四卷)
26606416,9.1,240,西方哲学史
01963430,8.7,336,欧洲思想史
10491609,9.3,198,西方现代思想史
34464687,8.6,349,魔术师时代
01031720,7.8,836,现代西方哲学十五讲
02338733,8.5,380,西方的智慧
26564149,9.3,182,中国哲学简史（英汉双语）
11510819,8.1,555,西方哲学简史
26726213,9.2,191,说真话的勇气
24699319,9.5,150,哲学史讲演录
05937120,9.2,185,叔本华及哲学的狂野年代
26640201,9.6,132,尼各马可伦理学
02123398,8.9,221,會飲篇
04230644,9.0,202,分道而行
26627933,8.0,516,宋明理学十五讲
02122180,8.5,306,古希腊罗马哲学讲演录
04235857,8.4,328,政治哲学史
27034364,8.9,206,西方思想的起源
01073230,9.0,186,哲学史讲演录(第三卷)
01087833,7.6,773,现代西方哲学新编
26893391,9.5,126,善恶的彼岸
06062279,9.3,144,现象学运动
03075468,9.0,180,哲学史方法论十四讲
01450985,8.6,249,黑格尔辩证法讲演录
06812274,9.0,168,A Little History of Philosophy
05757927,9.4,124,The History of Western Philosophy
27167590,9.4,123,想透彻
02051674,7.6,656,悖论简史
04879726,9.1,149,中国哲学简史
27592069,9.5,106,中国哲学简史
10593787,8.9,163,古代哲学的智慧
26694273,9.2,127,近代哲学史
04035614,8.9,159,分析哲学导论
26293622,9.0,145,新编中国哲学史
01462854,9.0,144,理想的冲突
03410699,8.4,237,中国现代哲学史
27620804,8.5,202,撼动世界史的思想家格斗
01010234,9.0,131,西方哲学史（第一卷）
33427962,9.1,121,差异与重复
20395700,9.0,129,西方哲学史（影印第8版）
27608196,7.9,341,通向哲学的后楼梯
01604101,8.7,160,朝向事情本身
27070172,9.9,70,哲学的历程
04910647,8.0,302,西方哲学史
01310157,8.4,205,古希腊哲学史纲
01288936,8.6,171,中国哲学大纲
01315242,8.8,145,形而上学
01016764,9.0,121,希腊哲学史 第一卷
01071177,9.1,112,古希腊哲学
27119176,9.4,89,政治与历史
01828272,8.5,173,西方哲学史
26585194,9.0,116,最美的哲学史
02256290,8.8,134,笛卡尔与《第一哲学的沉思》
27073705,9.2,99,第一哲学的支点
01266727,7.7,371,新编中国哲学史（上册）
30157658,9.6,74,哲学史方法论十四讲
26614410,9.3,85,西方哲学史（上卷）（权威全译本）
24384843,9.0,103,中国哲学史大纲（卷上、卷中）
26158887,9.4,78,哲学史方法论十四讲
05398883,9.3,83,爱灵魂自我教程
03410843,8.8,117,哲学的故事
25947164,7.5,382,哲学家死亡录
04606536,8.8,112,美在意象
25719703,9.0,95,科学史与科学哲学导论
27136526,9.3,74,古代哲学的智慧
03162230,7.7,277,哲学的思与惑
26697999,8.0,202,看，这是哲学
01020983,8.9,95,哲学史教程（上卷）
02173220,8.5,127,苏格拉底最后的日子
03832004,8.8,100,德国古典哲学
02777125,9.3,71,西方大观念（全二卷）
01019737,8.5,120,自识与反思
25899663,8.7,101,中国哲学史（全二册）
02125921,8.0,179,西方哲学与人生(第一卷)
20516779,8.8,91,中国哲学史大纲
01809941,7.7,236,西方哲学史
03205925,9.8,48,隋唐制度渊源略论稿
01448901,8.5,107,二十世纪英美哲学
06791426,7.5,272,反哲学入门
04817827,9.1,69,偶在论谱系
26318993,9.5,53,中国哲学史大纲
20474991,9.2,63,笛卡尔
26864947,8.5,102,看，这是哲学 II
30203277,9.0,70,中国哲学简史
26744683,8.1,138,古希腊罗马哲学讲演录
01068725,8.6,92,西方的智慧
04849775,8.5,99,德国古典哲学讲演录
01886378,8.3,115,印度哲学史略
01077043,8.3,114,基督教哲学1500年
01270576,8.3,114,西方哲学智慧
26709765,8.3,114,西方哲学史
27197015,8.6,90,斯宾诺莎
27075751,8.5,96,现代西方哲学
03004812,7.4,265,古典哲学的趣味
01736573,8.6,87,中国哲学史新编(上中下)(精)--中国文库
01916705,7.6,201,牛津西方哲学史
26657199,8.6,84,中世纪哲学
03251671,8.3,104,二十世纪法国哲学
01451414,8.4,93,中国古代哲学史
01228137,8.7,73,前苏格拉底哲学研究
01920883,9.3,48,The History of Western Philosophy
26892146,9.0,57,三松堂自序
27093926,8.5,79,现象学
04218913,7.2,259,亚里士多德的世界
02165276,7.9,126,西方哲学经典讲演录
06800495,8.6,72,哲学语法
01006913,8.5,77,中国哲学史新编（下）
01081216,8.9,58,中国哲学史（全二册）
01313425,8.8,59,易学哲学史（共4册）
27136545,9.0,51,中国哲学小史
06809635,8.7,59,西方思想史
04015754,8.6,63,哲学解释学导论
20382851,9.4,38,明代哲学史（修订版）
27028378,8.7,57,科学哲学的历史导论
03016981,8.0,94,二十世纪德国哲学
04882021,7.6,134,牛津西方哲学史（全四卷）
24531855,8.7,56,道德哲学史讲义
04898564,9.7,32,希腊哲学史（第四卷 全二册）
03878639,9.3,39,大哲学家（上下）
30376588,9.0,46,20世纪分析哲学史1
01035937,8.3,73,新哲学讲演录
01018390,8.6,58,苏格拉底及其哲学思想
26421237,8.5,62,心灵与自我的希腊模式
30133226,8.1,81,柏拉图哲学导论
01026639,7.2,186,西方哲学史(上)
01896545,7.5,132,印度宗教哲学概论
06274738,7.6,118,结构主义史
01287627,9.0,42,哲学经典选读
26914763,8.7,50,古代哲学研究
02110705,8.6,53,自由主义
26847577,7.4,140,休谟
01491219,8.2,69,中国哲学史大纲
01492876,8.3,64,西方哲学史-德国古典哲学（第六卷）
01215736,8.4,59,论道者
04023787,8.2,68,苏格拉底前后
04705677,8.3,63,当代西方哲学两大思潮（上下）
01738792,8.2,67,批评的希腊哲学史
02038784,8.2,67,人文与理性的中国
25898787,8.4,58,最伟大的思想家
01013969,7.4,132,西方哲学史 下册
21254192,8.1,71,写给年轻人的哲学史
04257475,7.9,83,世界哲学简史
01042981,7.7,98,哲学笔记
03595093,9.1,37,新編中國哲學史（一）
04888432,8.5,53,思想的盛宴
34834485,8.6,48,柏拉图《法义》研究、翻译和笺注（三卷本）
03733080,7.9,79,现代西方哲学
01071019,8.6,47,西方哲学问题研究
25813130,8.9,39,亚里士多德
27096046,7.5,107,世界哲学简史
01252032,8.1,64,从开端到柏拉图
01268037,8.5,48,古希腊哲学探本
26994879,9.7,25,劳特利奇哲学史
24385452,8.5,47,中世纪哲学（上下）
01191386,6.1,606,中国哲学史
03879491,9.2,31,西方哲学史（下卷）
05356203,7.7,79,一本书读懂西方哲学史
34919595,8.7,39,现代西方哲学十五讲
01312028,8.0,61,享受哲学
26760518,9.4,26,中国哲学史大纲
19955793,7.7,74,灵知派与神秘主义
03194664,8.1,54,西方哲学导论
02241527,7.5,87,中国古代思想史
01087927,8.2,49,中国伦理学史
02987015,7.6,76,西方哲学十二讲
02326810,9.7,21,Philosophical Analysis In The Twentieth Century
26798311,8.5,38,形而上学的历史演变
26614411,8.3,43,西方哲学史（下卷）（权威全译本）
30289569,7.1,114,哲学100问
01940235,8.2,45,思想的结果
11442602,8.4,39,华严宗哲学（全二册）
01159961,8.1,46,忏悔录
04191036,7.8,56,哲学史
25869830,8.5,34,老问题：西方哲学的经典议题
01632908,9.3,22,BEING与西方哲学传统（上下）
30234252,9.4,21,中国哲学文献选编
01228748,8.5,33,列宁选集(第三卷)
25747576,8.4,35,中国哲学史大纲
01197911,8.0,45,维也纳学派
11442599,8.7,29,中国哲学精神及其发展
01072554,6.9,113,哲学水浒一百单八将
03100598,8.1,41,中国思想史纲
02180138,8.5,32,前苏格拉底哲学研究
20375182,8.3,36,自律的发明
03245957,8.2,38,法国当代哲学论纲
34453294,9.2,22,古代哲学导论
