ID,Rating,Votes,Title
01045818,8.5,105805,苏菲的世界
03406401,9.0,25409,悉达多
04920007,8.8,31632,不能承受的生命之轻
03369600,8.2,78462,当我谈跑步时我谈些什么
01021273,8.9,15248,中国哲学简史
01013225,8.4,29488,生活在别处
01692648,8.9,11766,一个人的村庄
01052203,8.9,11727,局外人
26390842,8.6,15084,哲学家们都干了些什么
04313207,8.4,10341,致D
26831789,8.7,6450,穷查理宝典
06425061,8.5,8444,哲学家们都干了些什么？
05940553,8.8,5231,当尼采哭泣
27170538,8.6,6336,存在主义咖啡馆
04120475,9.3,2216,加缪全集 （小说卷）
14439405,8.9,3428,哲学的故事
01036446,9.0,2761,诗学
01783111,8.7,3905,存在与时间
06073019,9.0,2584,斐多
01045201,8.2,7548,哲学的慰藉
01460340,8.9,2529,人性的，太人性的
25928708,8.6,3576,佛祖都说了些什么?
01008093,8.6,3126,苏菲的世界
03389811,8.8,1482,西方哲学史（修订第8版）
26356515,7.7,6609,S.
01456524,7.9,4301,这个世界会好吗
01178535,8.7,1255,人性论（上下）
20475794,8.0,3075,身体知道答案
04120485,9.2,726,加缪全集（散文卷Ⅰ）
03699420,9.0,749,查拉图斯特拉如是说
10435419,8.8,922,尼采
01081197,8.7,1029,歌德谈话录
01228193,8.5,1215,回忆苏格拉底
01012380,8.9,771,精神现象学（上卷）
04323275,8.5,1188,哲学的慰藉
01051659,8.9,753,我与你
01487995,8.5,1116,文字生涯
01392562,8.6,963,康德哲学讲演录
01315167,9.0,619,历史的用途与滥用
01058097,7.8,2638,岁月与性情
01014040,8.1,1699,安静
25881325,7.1,8085,庆祝无意义
01001356,9.3,414,世界文明史(全24册)
01439792,8.7,734,形而上学导论
04120483,9.2,423,加缪全集（戏剧卷）
01271862,9.1,453,偶然、反讽与团结
26832583,9.2,412,世界哲学史
01227223,8.6,688,哲学导论
25817581,9.3,351,维特根斯坦传（插图版）
01918220,8.1,1108,性与性格
04120488,9.1,328,加缪全集（散文卷Ⅱ）
01072239,8.3,724,和尚与哲学家
01048712,8.5,568,柏拉图全集（第一卷）
01315775,8.5,562,知性改进论
01228316,8.7,453,荷尔德林诗的阐释
01778124,8.1,864,碎句与短章
25789478,8.5,503,宽忍的灰色黎明
24298157,8.8,351,来日方长
01315215,8.6,389,蒂迈欧篇
02370421,9.1,246,回忆维特根斯坦
01048524,8.1,653,尼采传
01054092,8.3,505,罗素自传（第一卷）
01057779,8.3,471,哈耶克传
01043903,8.8,286,哲学的故事
01420502,8.2,513,爱欲与文明
01426973,8.4,401,诗人哲学家
01047120,8.4,399,神学政治论
01791880,8.0,600,虚土
06802809,8.8,265,希腊悲剧时代的哲学
25961690,7.8,753,梦的解析
03806060,9.2,188,爱比克泰德论说集
05937120,9.2,185,叔本华及哲学的狂野年代
02157346,8.3,396,笛卡尔的错误
01018272,8.2,425,通向哲学的后楼梯
01907590,8.9,206,从存在到存在者
01315175,8.7,242,实用人类学
01874508,9.1,170,厌恶及其他
01769975,9.1,169,僧侶與哲學家
