ID,Rating,Votes,Title
01013208,8.4,63346,如何阅读一本书
01046492,9.3,12142,國史大綱（上下）
01004821,8.7,22709,理想国
01291204,9.4,6399,哥德尔、艾舍尔、巴赫
01277981,8.8,13601,社会契约论
01008189,8.9,11519,西方哲学史（上卷）
01060774,8.7,14596,君主论
01032063,8.9,8865,旧制度与大革命
01004699,9.0,6903,作为意志和表象的世界
21570668,9.3,4313,会饮篇
01325507,9.0,5557,江村经济
01038292,8.6,6226,精神分析引论
26304954,9.6,1760,存在主义心理治疗
01089398,8.8,4402,西方哲学史（下卷）
06110110,9.2,2602,社会契约论
01005354,9.2,2555,逻辑哲学论
01454687,9.0,3024,政府论（下篇）
01400195,8.7,4285,论自由
01051943,9.2,2288,尼各马可伦理学
01048930,9.0,2687,联邦党人文集
01071023,8.7,3863,谈谈方法
01468426,8.7,3634,利维坦
01116367,8.8,3060,道德情操论
01439441,9.0,2299,伯罗奔尼撒战争史
01022318,8.7,3245,爱弥儿
01410157,9.4,1337,现代汉语词典（第5版）
10540815,8.3,4351,菊与刀
11607261,8.6,2801,旧制度与大革命
01034259,8.6,2775,小逻辑
01076280,8.8,2067,第一哲学沉思集
06004630,9.3,1172,国史大纲（上下册）
01253292,9.2,1297,老子今注今译
11232671,9.2,1266,悲剧的诞生
01049872,8.9,1731,西方哲学史（下卷）
01201835,9.4,1000,文字学概要
01420423,9.4,999,古汉语常用字字典
25924609,9.6,810,发现社会
01056867,9.1,1235,政治学
25876750,9.0,1373,看不见的森林
25784280,9.2,1089,偶像的黄昏
01057653,8.7,1856,草原帝国
26683297,9.0,1282,进化心理学(第4版)
01274953,8.9,1413,伦理学
02109239,9.0,1234,论人与人之间不平等的起因和基础
01704159,8.6,1917,街角社会
01077833,8.8,1458,形而上学
01254278,8.7,1590,思想录
01030526,8.9,1224,中国文化史导论
01137246,8.7,1533,就业、利息和货币通论
01079756,8.5,1933,释梦
01043613,8.5,1919,工作与时日 神谱
01018360,8.6,1664,性心理学
21357072,9.3,743,裴洞篇
02111791,8.7,1367,哲学问题
01211052,8.6,1495,罗马帝国衰亡史（上册）
01877291,8.5,1669,论出版自由
25708977,9.7,478,摹仿论
01251839,8.6,1432,权力意志
01427023,9.0,914,希罗多德历史（上下）
01109350,9.2,745,国民财富的性质和原因的研究（上卷）
01178535,8.7,1255,人性论（上下）
01160320,8.9,996,政治学
01245537,9.1,792,苏鲁支语录
24525766,8.8,1079,记忆小屋
01075249,8.9,941,西方哲学原著选读(上卷)
01034653,8.8,1043,國學概論
10532835,9.4,549,乡土中国 生育制度 乡土重建
01232571,9.2,621,哲学研究
01073143,8.9,837,美学(第一卷)
01511912,8.5,1270,高卢战记
01043419,8.8,895,自由与繁荣的国度
01082457,9.2,596,美学（第一卷）
06004646,9.2,589,中国法律与中国社会
02045704,8.9,794,权力意志
26663535,9.3,533,善恶的彼岸
24856615,8.8,867,阿尔伯特·卡埃罗
01228193,8.5,1215,回忆苏格拉底
01012380,8.9,771,精神现象学（上卷）
01253222,8.5,1191,居里夫人传
26893046,8.2,1721,诗的八堂课
10876715,8.8,828,论法的精神
01197950,9.2,552,希腊罗马名人传
01245533,8.5,1152,论优美感和崇高感
01039771,9.0,656,法哲学原理
25660994,9.6,379,文字学概要（修订本）
01455362,9.2,530,历史理性批判文集
01418669,8.7,877,社会学方法的准则
26901529,9.0,631,怎样观察一棵树
01074364,9.1,564,哲学史讲演录(第一卷)
01253835,9.3,468,哲学史教程（上卷）
30422566,8.3,1327,观看王维的十九种方式
01652617,9.3,435,任何一种能够作为科学出现的未来形而上学导论
04856930,9.1,520,汉语的本质和历史
02185235,8.5,966,历史是什么?
01013058,7.7,2728,武士道
01171881,8.1,1495,有闲阶级论
01251842,9.4,375,巴曼尼得斯篇
25934182,8.2,1299,如何阅读一本书
01035562,8.8,648,在通向语言的途中
01116315,9.3,402,国民财富的性质和原因的研究（下卷）
01440442,8.8,641,完美的真空
01002958,8.8,638,战争论（全三卷）
01276771,8.1,1427,政府论（上篇）
26782124,9.0,521,瞧，这个人
26309060,8.9,569,生命是什么
01033561,8.7,687,文明论概略
01053109,9.0,500,封建社会（上、下卷）
01927487,7.7,2362,乌托邦
01271862,9.1,453,偶然、反讽与团结
01511839,8.9,548,希罗多德历史
04753726,9.0,484,宗教与科学
01070872,9.3,361,实践理性批判
02184895,8.7,631,中国古代房内考
01853552,8.5,770,中世纪的城市
24753669,9.1,419,柏拉图文艺对话集
01050527,8.9,500,逻辑学（上卷）
01251894,8.6,670,培根论说文集
01255584,8.4,812,时间与自由意志
01071514,8.8,521,西方哲学原著选读(下卷)
26598286,9.0,429,论人与人之间不平等的起因和基础
01002135,8.8,516,历史与阶级意识
01197914,8.7,568,长征记
26849476,8.8,509,金花的秘密
26831912,8.8,507,利维坦
01020537,8.7,535,历史的观念
01465419,8.3,821,资本主义与自由
26936484,8.5,656,醉酒的植物学家
01138452,8.5,642,意大利文艺复兴时期的文化
01069441,8.3,787,纯粹理性批判
02186646,8.7,503,蒙塔尤
01048943,9.3,281,古代汉语词典
01211051,8.6,535,罗马帝国衰亡史（下册）
06727796,8.8,436,现代汉语词典（第6版）
01048529,8.6,527,论老年 论友谊 论责任
25870967,8.2,811,时蔬小话
24530454,9.0,347,巴黎，19世纪的首都
01315775,8.5,562,知性改进论
01038949,8.4,605,资本主义、社会主义与民主
24699604,8.6,487,金枝
02327776,8.2,731,历史的地理枢纽
01005360,8.7,425,面向思的事情
04202381,9.2,269,逻辑学讲义
26948431,9.2,269,人生智慧箴言
01116325,8.7,421,人类理解论（上下）
05373892,8.2,692,宗教的本质
01031345,9.3,239,哲学史讲演录（第二卷）
01843001,8.6,447,给莉莉的信
01028670,8.7,403,塔西佗《编年史》
06749582,8.3,604,论科学与艺术的复兴是否有助于使风俗日趋纯朴
01116343,8.4,541,蒙古帝国史
11604804,8.8,356,权威与个人
26907986,8.9,324,西西弗神话
01884735,9.5,192,判断力批判
25720918,8.0,803,统一与分裂
10532838,9.1,263,中国近三百年学术史（新校本）
01023088,9.2,240,精神现象学（下卷）
27056339,9.0,275,君主论
03158094,8.7,360,英国个人主义的起源
01245516,9.1,250,纯粹现象学通论
20276111,9.0,269,智者
01116356,8.5,428,阿古利可拉传 日耳曼尼亚志
24899765,9.2,227,海德格尔哲学概论
04264066,8.9,290,权威与个人
24846685,8.8,315,拉奥孔
10540291,9.3,206,经济学（第十九版）
01042292,9.3,205,哲学史讲演录(第四卷)
26606416,9.1,240,西方哲学史
01039585,8.1,633,罗马十二帝王传
25782226,9.4,187,狭义与广义相对论浅说
25774839,8.3,499,蒙田随笔集
01228654,8.6,363,物性论
01075174,9.1,232,逻辑学（下卷）
26800340,8.6,361,神风特攻队、樱花与民族主义
27029894,8.7,326,安魂曲
01512490,8.4,435,实用主义
26594353,8.7,310,做书
30322990,9.2,202,拜占庭帝国史
01049103,8.8,281,喀提林阴谋 朱古达战争
01047120,8.4,399,神学政治论
01749104,8.4,396,古代法
01127183,8.5,356,东西文化及其哲学
01060019,8.5,350,古代社会（上下）
01440342,8.7,287,发生认识论原理
01135838,8.0,576,罗马盛衰原因论
25908107,8.4,369,功利主义
26936478,9.0,213,羽毛
10773549,8.9,230,致死的疾病
01062960,9.2,180,美洲三书
01061684,9.0,210,罗马史（下卷）
26640201,9.6,132,尼各马可伦理学
02285152,8.5,323,上校无人来信
01438722,8.6,293,罗马史（上卷）
01037401,8.2,433,佛罗伦萨史
01252117,8.6,288,范畴篇 解释篇
01510737,8.6,288,经济史上的结构和变革
01513154,8.8,238,人生的亲证
01915910,8.3,379,内战记
26354332,9.0,198,泰阿泰德
26362918,9.5,135,自然与希腊人 科学与人文主义
01233480,9.1,179,欧洲科学的危机与超越论的现象学
01130172,8.6,272,塔西佗历史
30203973,9.4,140,中国常见植物野外识别手册（北京册）
27074686,8.6,267,我的世界观
02171187,8.2,392,华北的叛乱者与革命者（1845—1945）
01135056,8.4,319,道德原则研究
01073230,9.0,186,哲学史讲演录(第三卷)
01160154,8.1,430,亚历山大远征记
30324580,9.1,171,帕斯捷尔纳克的诗
01157293,8.2,383,原始思维
10428378,8.7,236,司马迁之人格与风格 道教徒的诗人李白及其痛苦
01255368,9.1,168,苏鲁支语录
01116342,8.9,197,斯宾诺莎书信集
01245535,8.4,306,国家篇 法律篇
34833911,8.6,252,朝圣者的碗钵
01443526,8.2,368,新工具
01723738,8.4,299,雅典政制
06560091,8.8,208,新华字典
06004603,8.5,270,通过法律的社会控制
04736047,9.0,172,尼采（全二卷）
01053707,9.2,146,经济分析史（第二卷）
26665639,9.3,134,职业伦理与公民道德
26754368,9.4,124,论德国宗教和哲学的历史
01854595,9.2,143,罗素自选文集
06060527,9.2,143,爱因斯坦文集（全三卷）
26435504,8.4,280,罗马史
01028005,9.2,141,经济分析史（第三卷）
01248122,8.5,251,数理哲学导论
01274030,7.7,586,人口原理
01448236,8.1,364,欧洲文明史
01865875,9.1,148,爱因斯坦文集（第一卷）
02138068,8.9,173,真理与方法（修订本）
01029041,8.5,243,法的形而上学原理
01157313,8.4,264,物理学
01536540,8.1,355,论宗教宽容
01436758,7.9,440,结构主义
01890256,8.5,235,阿奎那政治著作选
06003649,8.0,375,中国官僚政治研究
10532817,8.9,162,古史辨自序（全两册）
01136453,8.5,227,论学者的使命 人的使命
26608212,8.3,273,那些说不出的慌张
