ID,Rating,Votes,Title
01200840,9.0,251384,平凡的世界（全三部）
01002299,9.0,88426,笑傲江湖（全四册）
01255624,8.9,80227,神雕侠侣
01040771,8.2,206805,达·芬奇密码
04123116,9.1,38126,月亮和六便士
01045818,8.5,105805,苏菲的世界
01389960,9.3,22831,七龍珠 34
01963684,8.6,69831,半生缘
01212893,8.8,45463,鹿鼎记（全五册）
01003000,8.3,112845,悟空传
01337297,9.6,10344,篮球飞人
01786387,8.6,39605,影响力
02064977,8.9,23263,死亡筆記 1
01421921,8.9,22186,幽游白书（全19册）
01388169,8.7,21658,乱马1/2
01180102,8.9,14398,恐怖宠物店（10）
06953273,8.5,26640,盗墓笔记
01422833,8.7,16761,多情剑客无情剑(上、中、下)
01791390,9.2,7067,Hunter X Hunter
01048007,8.2,26141,高效能人士的七个习惯（精华版）
02334065,9.4,4309,塔希里亚故事集
01329941,8.6,11208,東京BABYLON (Vol. 1)
01467333,8.6,9522,圣传画集
06974232,8.0,20903,盗墓笔记8·大结局（上）
02004407,8.0,20562,后宫·甄嬛传Ⅰ
01485495,8.0,13386,楼下的房客
06974102,7.6,25387,盗墓笔记8·大结局（下）
10468852,8.5,5024,海棠依舊: 知否? 知否? 應是綠肥紅瘦 卷一
03337017,9.4,1617,塔希里亚故事集Ⅱ
01180106,9.3,1796,恐怖宠物店(3)
04219728,9.5,1256,塔希里亚故事集Ⅲ
01668021,8.1,6944,寻秦记
03830557,9.3,1414,恐怖寵物店(01)
02570719,8.2,5393,诛仙全集（全六册）
02081975,8.7,2678,七色花
02173262,8.2,5110,假如明天来临
11540063,8.8,2094,全职高手4·满城追杀
06827339,8.4,2874,琅琊榜
01430597,8.9,1532,狼群1
01805988,8.5,2453,庆熹纪事
03236155,8.9,1349,韦帅望的江湖
02138225,8.6,1792,白雪公主
05360394,9.3,822,塔希里亚故事集Ⅳ
03106593,8.7,1525,狼群(上、下)(全二册)
02008976,8.9,1144,庆熹纪事Ⅱ
01832693,9.1,787,狼群4
03577800,9.2,712,韦帅望的江湖(Ⅲ众望所归)
01443276,9.0,836,狼群2
03321449,9.1,737,韦帅望的江湖之大刃无锋
20501271,8.5,1413,大唐明月2·谋断恩仇
01491241,9.1,721,狼群3
10566532,8.5,1308,海棠依舊：知否？知否？應是綠肥紅瘦 卷二
19281910,8.5,1231,海棠依舊：知否？知否？應是綠肥紅瘦 卷五
10775030,8.4,1368,海棠依舊：知否？知否？應是綠肥紅瘦 卷四
10739632,8.5,1207,海棠依舊：知否？知否？應是綠肥紅瘦 卷三
01421333,8.6,852,世界历史地图集
03008066,7.8,2293,知更鸟
25791940,8.1,1301,战起1938
24383253,9.3,343,塔希里亚故事集Ⅵ
04242061,8.2,1049,黑道悲情1
01072658,8.5,721,小女贼的细软
04162727,8.2,814,步天歌
02046573,8.1,790,乱神馆记之蝶梦
07658805,7.7,1250,士为知己（全二册）
02181504,7.9,929,午夜的另一面
04812797,9.3,211,改造命运 心想事成
02209691,7.7,1033,你怕黑吗？
01473070,7.9,767,活俑
03340229,8.5,339,大唐明月 卷一
02310647,7.3,1369,先上讣告后上天堂
02174371,7.5,933,众神的风车
02216419,7.4,818,冷宫
02595345,8.2,253,飞花青离传之刺客传奇（上）
19989558,7.4,571,同学两亿岁
02141624,7.5,482,躁狂抑郁多才俊
03259412,8.3,194,飞花青离传之刺客传奇（下）
01851590,7.6,362,背叛
06963840,9.1,94,草原狼导师
03358831,7.6,314,明朝五好家庭1
03622239,7.9,216,爱劫难逃
03657107,6.8,672,狐狸相公
06788019,7.1,372,失落大陸
01805049,7.2,296,伏神
03118296,7.4,194,原形
25812365,7.8,130,资产配置的艺术（完整版）
03359947,7.6,151,明朝五好家庭2
02142617,7.3,200,无效的医疗
03393164,7.8,114,明朝五好家庭3
03393161,7.7,115,明朝五好家庭4
03532803,7.5,138,明朝五好家庭5（大结局）
02363745,7.0,212,我的哭声无人听见
