ID,Rating,Votes,Title
06709783,9.0,26434,浪潮之巅
20507206,9.1,8206,众病之王
10750155,8.7,10768,数学之美
11445548,8.5,12512,自私的基因
01292405,8.6,6482,自私的基因
02143904,8.8,3715,进化心理学
27168433,8.7,3324,基因传
10607615,8.7,3312,第三种黑猩猩
01317485,8.7,3271,生命是什么
06749832,9.0,2221,复杂
25752043,8.7,2506,信息简史
27025492,8.7,1976,上帝的手术刀
01046620,8.9,1348,我们为什么生病
01944205,8.9,1307,追寻记忆的痕迹
10773358,8.1,3629,意志力
01291817,8.6,1594,细胞生命的礼赞
10763170,8.4,1632,发条女孩
02270925,8.5,1413,病者生存
20473412,7.9,2953,品牌洗脑
06750347,9.2,622,演化
01777630,9.0,758,The Selfish Gene
01062309,8.9,808,基因组
33474750,9.2,507,浪潮之巅（第四版）（上下册）
01080750,8.2,1273,精子战争
26412113,8.4,905,机器人叛乱
04735702,9.0,409,DNA：生命的秘密
05254138,8.2,949,大象为什么不长毛
30309613,8.3,786,自私的基因
20507207,8.6,510,地球上最伟大的表演
01929549,8.2,711,重力小丑(2010年新版)
05939058,7.4,1775,别拿男人不当动物
03734810,8.7,367,我们为什么生病
01125282,7.4,1695,魔鬼积木
06800930,8.9,292,人格心理学
35051811,9.2,215,生命密码2：人人都关心的基因科普
26523760,8.6,340,基因组
26754245,8.9,250,The Gene
24325270,8.0,601,道德动物
04128025,7.2,1722,羽翼·深蓝
01219557,9.0,215,创世纪的第八天
03866931,8.7,254,陈阅增普通生物学（第3版）
33408124,8.6,272,人类起源的故事
26724633,8.9,206,遗传的革命
24699866,7.5,894,反对完美
30368111,7.4,1007,生命密码
26281143,9.3,140,基因组
03101825,8.1,377,人类基因的历史地图
03723775,8.5,223,自私的基因
30396021,8.9,159,生命的运作方式
01453798,8.7,184,寻找生命的逻辑
02238100,7.9,396,西班牙乞丐
01394365,8.7,182,教養的迷思
01803961,8.2,286,双螺旋
01488318,8.4,233,先天，后天
01016822,8.5,204,美德的起源
04172373,9.0,135,The Windup Girl
01970745,9.0,131,Guns
03814751,7.7,441,返祖
27078158,7.8,383,基因社会
03121205,8.3,221,伊甸园之河
01901251,8.6,166,The God Delusion
06789757,9.1,110,DNA：生命的秘密
01280917,8.7,145,基因VⅢ
01159180,7.7,333,人类前史
06851648,7.3,525,迷恋
04832192,8.0,226,上帝的迷思
26421453,7.6,345,基因革命
30452175,7.0,700,云球（第一部）
03267841,9.5,66,Molecular Biology of the Cell
04891438,8.9,97,自私的基因
27150701,8.6,121,基因传（精装版）
01899815,8.7,105,心灵裸舞
01437781,9.2,74,The Selfish Gene
01035843,7.9,207,谜米机器
26877916,8.2,154,盲眼钟表匠：生命自然选择的秘密
03930583,8.0,178,饶议科学
30349090,8.8,91,祖先的故事
04246531,6.5,1214,“钟城”杀人事件
26617461,7.5,283,写在基因里的食谱
20647000,7.2,390,想当厨子的生物学家是个好黑客
01046794,8.5,107,伊甸园之河
03908844,7.7,215,你是怎么来的
30252643,8.2,132,又见猛犸象
26321190,8.4,109,黎明之前
21336200,8.1,135,基因之河
27168686,7.4,266,一万年的爆发
04285592,9.8,42,基因X
34930608,8.1,130,巡山报告•基因编辑婴儿
01445586,8.1,127,林肯的DNA以及遗传学上的其他冒险
01678219,9.0,62,夏娃的七个女儿
03684752,9.3,50,生物技术入门
11498185,8.3,94,无尽之形最美
20437999,8.6,70,Intuition Pumps and Other Tools for Thinking
03415107,7.5,178,小類人(01)
01408302,8.8,61,生物进化
03609187,7.6,157,视读进化心理学
03823722,8.9,56,Survival of the Sickest
26581121,7.8,126,天生的烦恼
04053482,8.4,77,双螺旋：发现DNA结构的故事
04831009,8.1,95,漫画生物化学
01937407,9.5,38,狂热的追求
01768203,8.1,94,Mean Genes
21326481,8.5,69,造就适者
21330893,8.2,85,人类六万年
02238109,7.5,157,乞丐的愿望
01156671,8.0,97,孟德尔妖
26943913,8.5,66,再创世纪
27084491,7.5,149,我们人类的基因
05338171,8.0,91,生命的语言
01847583,8.3,72,酶的情人
01419610,8.2,77,基因时代的恐慌与真相
