ID,Rating,Votes,Title
01043008,9.0,69495,格林童话全集
01031575,8.1,13599,听幾米唱歌
27149647,8.6,1383,利维坦之书
06026256,8.6,807,红婴仔
01020393,7.9,1874,我遇见了我 三减一等于几
25697495,8.6,783,情感依附
01967845,8.5,709,从出生到3岁
01185636,7.6,1984,娜娜
02276901,8.3,559,斯波克育儿经
03241963,8.2,421,郑玉巧育儿经·婴儿卷
10554684,7.9,533,时间中的孩子
26470077,8.7,200,西尔斯亲密育儿练习手册
26737771,9.3,117,和小鸡球球一起玩
27001181,7.7,477,婴幼儿睡眠全书
03197656,8.4,219,连在一起
01956019,9.4,97,儿童纪律教育
03283543,9.1,102,动物动物捉迷藏
01808657,8.1,210,孩子是如何学习的
06736113,7.7,224,婴语的秘密
04749530,8.7,88,Brain Rules for Baby
06424579,7.5,255,宝贝别怕
01197746,9.0,70,郑玉巧育儿经
20259820,8.4,106,第一次当奶爸
01313297,8.7,83,人类行为与社会环境
06307972,8.4,85,半天就能做好的布艺小物
25842725,8.7,65,海蒂育儿大百科（0-1岁）
27613210,8.5,70,产后身体革命
26820154,8.2,82,婴儿与母亲
05392509,8.5,48,圣诞礼物
06509769,6.6,259,婴幼儿睡眠圣经
10798628,7.9,67,0-1岁-美国金宝贝早教婴儿游戏
21979404,8.4,37,Just Babies
24858354,7.5,58,妈妈课
03835216,9.2,16,自己做100％保養級乳香皂超簡單
26596431,8.3,20,乖，妈妈摸摸就好了
30125625,7.0,44,宝宝辅食添加每周计划
30532727,8.1,15,童立方·宝宝的第一本躲猫猫纸板洞洞游戏书：猜猜我是谁
26371264,7.8,14,婴儿、儿童和青少年（第5版）
03086842,0.0,10,おつきさまこんばんは
26289372,0.0,11,孩子真正的需要
