ID,Rating,Votes,Title
04913064,9.4,496854,活着
06082808,9.2,294575,百年孤独
01082154,9.1,190796,活着
10594787,9.0,184321,霍乱时期的爱情
01858513,9.0,135113,月亮和六便士
04908885,9.0,129273,局外人
01061118,9.1,86508,活着
02035162,9.0,54997,刀锋
01398395,8.8,51768,狂人日记
26382433,8.2,115949,无声告白
01856494,9.4,14945,卡拉马佐夫兄弟
01400705,8.1,134115,情人
24257229,9.1,22334,鼠疫
03406401,9.0,25410,悉达多
04920007,8.8,31633,不能承受的生命之轻
27104959,8.7,34371,离开的，留下的
02035171,9.0,20028,人生的枷锁
01291809,8.6,37092,世界尽头与冷酷仙境
24257486,9.1,16016,局外人
26276775,9.0,17378,异乡人
03578470,9.0,15419,德米安
01213546,8.4,40967,变形记
02340100,8.0,73634,遇见未知的自己
06973970,8.3,35466,人间失格
25887924,9.7,4577,卡拉马佐夫兄弟
01291204,9.4,6399,哥德尔、艾舍尔、巴赫
01052203,8.9,11727,局外人
01022632,8.8,11717,罪与罚
06789551,8.9,9509,不存在的骑士
01056023,8.6,12988,鼠疫
26585065,9.4,4308,亲密关系
02359052,8.9,8275,查拉图斯特拉如是说
05330333,8.6,12859,活出生命的意义
01060117,8.6,12455,不朽
30468519,8.8,8721,局外人
04745950,9.3,4261,第二性Ⅱ
01917972,7.8,45237,在路上
26839300,8.9,7155,局外人
05406559,8.8,8054,鼠疫
04246968,8.9,6948,局外人
10759466,9.2,4642,地下室手记
01081422,9.0,5903,卡夫卡小说全集（全三册）
26418475,9.2,4460,逃避自由
01917078,8.6,10191,风之影
04010969,7.8,40237,当我们谈论爱情时我们在谈论什么
01004322,8.7,8464,第二性
04745949,8.7,7795,第二性Ⅰ
02165063,9.2,3924,纳尔齐斯与歌尔德蒙
01063852,8.9,5776,悲剧的诞生
01012032,8.6,8484,查拉图斯特拉如是说
30362170,8.1,18792,冬泳
01318126,8.4,11067,雪国
02253402,9.1,4016,罪与罚
04313207,8.4,10341,致D
01083003,8.7,6557,尘埃落定
02036561,8.4,9409,城堡
01049522,8.8,5138,西西弗的神话
30134903,8.9,4311,鼠疫
27170538,8.6,6336,存在主义咖啡馆
26304954,9.6,1760,存在主义心理治疗
20443559,7.7,25863,小王子
01063796,8.7,4691,小说的艺术
04120475,9.3,2216,加缪全集 （小说卷）
01873900,8.7,4487,变形记
14439405,8.9,3428,哲学的故事
01066558,9.4,1854,卡拉马佐夫兄弟（上下）
01105146,8.9,3247,局外人
02165076,9.0,2815,玻璃球游戏
24257403,8.8,3446,西西弗神话
25935944,9.2,2117,查拉图斯特拉如是说
01783111,8.7,3905,存在与时间
26908211,9.1,2363,鼠疫
26394018,9.3,1870,生活与命运
25822104,9.2,2035,第二性（合卷本）
02158194,7.7,17874,且听风吟
05312095,8.7,3599,西西弗神话
01051714,8.3,6260,等待戈多
01837654,8.8,3113,审判
03518334,8.9,2662,我的阴阳两界
01034066,9.1,2079,加缪文集
01079104,8.6,3802,尼采
01317485,8.7,3271,生命是什么
01460340,8.9,2529,人性的，太人性的
01030366,8.2,6601,身份
02255873,9.1,1957,局外人 鼠疫
01291199,8.7,2959,过于喧嚣的孤独 底层的珍珠
10608319,8.5,3771,存在主义是一种人道主义
01030554,8.6,3240,恶心
27114418,8.1,6540,活下去的理由
