ID,Rating,Votes,Title
33440205,8.9,60935,你当像鸟飞往你的山
01040771,8.2,206806,达·芬奇密码
01082334,8.1,144824,穆斯林的葬礼
01856494,9.4,14945,卡拉马佐夫兄弟
03406401,9.0,25411,悉达多
01803022,9.0,15958,圣经
01858568,9.1,12217,罪与罚
26980487,9.4,7311,悉达多
26295448,8.6,21897,你一生的故事
25887924,9.7,4577,卡拉马佐夫兄弟
01963912,8.8,14668,正见
03649782,8.6,19855,达·芬奇密码
01228110,8.2,35374,天使与魔鬼
01322455,8.7,14199,遥远的救世主
02076623,9.5,4752,金刚经
10549934,9.1,7435,悉达多
01409704,8.9,7650,金刚经说什么
02244146,8.1,26924,穆斯林的葬礼
03169746,8.7,9541,荆棘鸟
05990251,8.5,12900,西藏生死书
25941890,9.1,5445,海伯利安
06313496,9.5,3116,卡拉马佐夫兄弟
03034480,9.4,3380,圣经
01433411,8.9,5615,新教伦理与资本主义精神
20326626,8.6,8526,少年Pi的奇幻漂流
03836566,8.6,8436,玫瑰的名字
25887912,9.3,3212,罪与罚
03654604,8.4,9563,天使与魔鬼
01840859,9.6,2019,心经
04843456,9.4,2384,金刚经·心经
02083981,8.7,5663,了凡四训
01045716,8.7,5607,人生中不可不想的事
03123939,8.0,15883,不负如来不负卿1
03566368,8.2,10649,空谷幽兰
02381748,9.2,2657,金刚经 心经 坛经
01430530,8.3,8831,汤姆叔叔的小屋
05332713,9.0,3143,人间是剧场
30175475,8.8,4017,Educated
11528350,8.8,3857,哈扎尔辞典（阳本）
01066558,9.4,1854,卡拉马佐夫兄弟（上下）
02253413,8.9,3290,巴黎圣母院
01050743,8.7,4194,西藏生死之书
02066374,9.2,2170,返璞归真
01055234,8.6,4560,神曲（全三册）
03834938,8.3,6915,与神对话（第一卷）
01010204,8.5,4827,宽容
04171951,7.4,29582,失落的秘符
04246979,8.1,8109,窄门
01812011,9.0,2308,佛教的见地与修道
05290370,8.6,3822,禅的行囊
01902628,8.3,5841,空谷幽兰
25928708,8.6,3576,佛祖都说了些什么?
01920550,9.3,1539,圣经
03842847,8.5,3856,深河
02201813,7.5,19672,藏地密码1
01626532,9.5,1157,地藏菩萨本愿经
02101774,9.0,1942,金枝
04882159,7.6,14777,橘子不是唯一的水果
01437488,9.3,1316,群魔
01060531,8.5,3396,忏悔录
05332932,9.2,1448,佛教的见地与修道
26827590,8.6,2848,八万四千问
02062599,8.5,3134,雪
02052713,9.6,893,般若波罗蜜多心经
27608078,9.3,1151,图说敦煌二五四窟
01465543,8.8,1961,异端的权利
06436046,9.3,1117,新教伦理与资本主义精神
02122992,9.0,1531,故道白云
03866885,8.5,2794,沉默
03124547,7.7,9364,藏地密码2
04843462,9.5,882,楞严经
03198422,8.6,2347,光明王
21692809,8.5,2671,深河
03733083,8.8,1816,你往何处去
02150432,9.1,1277,韦伯作品集Ⅻ:新教伦理与资本主义精神
05026743,8.0,5299,藏地密码9
25978763,8.7,2008,僧侣与哲学家
26700104,8.5,2548,穿越百年中东
05450660,8.6,2239,次第花开
04843454,9.3,1011,坛经
25819842,9.0,1390,佛陀传
01186350,7.8,7146,红字
04726852,8.5,2478,正念的奇迹
21712307,8.6,2169,沉默
03241893,7.8,6890,藏地密码4
10788580,8.0,4923,穆斯林的葬礼
04843444,9.4,851,维摩诘经
03147450,7.7,7698,藏地密码3
03007708,9.3,907,六祖坛经
25891911,8.6,1975,光明王
03321602,7.8,6066,藏地密码5
02032523,8.5,2094,失乐园
04898627,8.4,2381,禅者的初心
25774978,8.8,1439,眼泪与圣徒
25986748,8.2,3088,我的应许之地
03787012,7.8,5594,藏地密码7
01925067,9.3,833,圣经
01254278,8.7,1590,思想录
03226595,8.6,1761,了凡四训
06510519,9.0,1083,正见
01038746,8.7,1511,佛教常识答问
10530396,9.6,588,圣经
03610094,7.7,5897,藏地密码6
02003092,8.3,2346,波多里诺
25756947,7.4,9649,地狱
02213463,8.6,1580,拯救与逍遥
25902141,8.9,1116,正见
02193878,8.1,3041,红字
25886351,7.5,7895,耶路撒冷三千年
19967339,8.8,1206,流浪者之歌
01279212,7.4,8925,十日谈
10594802,8.0,3228,写给无神论者
04746104,8.8,1146,新教伦理与资本主义精神
20516441,9.1,831,美术、神话与祭祀
07014927,8.7,1252,中国神话传说
03306209,8.5,1554,雪域求法记
26303520,8.6,1374,婚姻的意义
19963287,9.0,853,诸神的面具
25707600,9.2,696,返璞归真
04853091,7.7,4546,藏地密码8
03875610,8.9,934,内观
11528305,8.2,2135,朝圣
06026287,7.6,5243,藏地密码10
01648606,8.6,1285,宽容
27136747,9.0,820,正见
