ID,Rating,Votes,Title
02295163,9.0,100634,哈利·波特与死亡圣器
01017143,8.5,200885,不能承受的生命之轻
20424526,9.2,29826,邓小平时代
03576486,9.1,31090,小狗钱钱
03369600,8.2,78462,当我谈跑步时我谈些什么
01046492,9.3,12142,國史大綱（上下）
01789837,9.0,18077,射雕英雄传
01461903,7.8,138119,何以笙箫默
01115748,9.2,5814,故事
01065239,8.6,10523,我的宝贝
03151575,8.6,10522,激荡三十年
02136484,8.7,8907,如果在冬夜，一个旅人
01317899,8.2,12867,生死场
04843155,8.7,5757,呼兰河传
05914587,8.5,6765,启示录
02117871,8.8,4081,大卫，不可以
02791877,9.2,2394,One Billion Customers
01828090,9.2,2027,River Town
02123287,9.4,1550,小熊宝宝绘本（全15册）
01020644,8.1,6844,金字塔原理
10733032,8.3,4127,王二的经济学故事
04264003,7.4,17443,名侦探的守则
03071402,8.6,2196,物理世界奇遇记
25942507,7.5,9419,参与感
04799445,7.9,4620,太阳黑子
03712514,8.8,846,抱抱
06012933,7.8,2816,救猫咪
02042511,8.5,1002,第五个
01021914,8.2,1376,香港电影的秘密
27025877,8.0,1258,小米生态链战地笔记
01451520,7.5,2237,沙门空海之大唐鬼宴·卷之一·入唐
01588297,9.2,303,统计学
03226104,9.3,240,The Hobbit
06843974,8.7,338,噗~噗~噗
06540225,8.7,324,好脏的哈利
03064568,7.8,804,谁教白马踏梦船
04242053,8.2,502,好莱坞启示录
03197664,8.4,371,脸，脸，各种各样的脸
06719658,6.4,5817,谋杀似水年华
01463544,9.2,155,The Road to Serfdom
01958525,8.8,198,忘了说我爱你
10427243,8.8,183,黄色的……是蝴蝶！
19995749,8.6,217,宝宝的第一本躲猫猫游戏书
01775246,8.8,177,Economics in One Lesson
06523868,8.6,193,大雨哗啦哗啦下
01485602,8.4,169,米开朗琪罗与教皇的天花板
21477429,9.0,105,IBM SPSS数据分析与挖掘实战案例精粹
06541370,9.0,103,一直爱你，永远爱你
01448681,7.8,286,棋王
25900308,7.7,289,黑色电影
26265094,7.7,267,推理之门由此进
27205096,7.3,424,腾讯产品法
26586820,7.6,251,绝不雷同
01143833,7.9,159,春明外史(上下)
26355331,7.0,414,产品型社群
01922654,6.6,651,阿基米德借刀殺人
05323828,8.0,116,海盗从不换尿布
04137172,8.1,99,不为公众所知的改革
26361762,7.0,291,互联网+：小米案例版
03244647,6.6,467,会有天使替我爱你（漫画版）
01685306,8.8,50,汉代学术史略
10595870,7.8,102,解读中国经济指标
01409302,8.1,69,大电影产业
05269182,7.9,80,数一数，亲了几下
05416927,8.9,39,奇先生妙小姐-第一季
10527305,6.9,205,房地产大周期的金融视角
26263808,9.3,30,宝宝情绪管理图画书·友好相处不自私系列
26933868,7.4,111,降维攻击
01478740,8.5,46,香港影视业百年
21357456,7.6,88,不愛會死
26734556,6.7,195,顺势而为--雷军传
03519777,7.3,81,邵逸夫全传
30317061,8.0,32,口碑：雷军和他的小米之道
04934308,8.3,26,從文士到經生
27168051,6.4,105,小米之道
20390339,8.5,19,猜猜我等谁
26291643,8.3,20,地板书 2
06960575,6.8,54,TABLES
25715736,5.9,139,雷军传
26671177,6.6,55,改编的艺术
01802116,7.3,28,小米，我想跟你结婚
26893079,7.4,23,大道至简
26469547,7.5,20,越界：互联网+时代必先搞懂的大败局
01446715,7.2,24,给眼泪加冰
21248672,7.1,22,袜子怪找袜子
01486963,7.9,12,学生英汉百科图解词典
25916326,5.7,64,雷军
26646167,6.8,19,社区商务方式
34948585,5.7,42,我在小米做爆品
30390266,6.5,19,小米传
26864398,6.3,21,雷军：乘势而为
32581512,6.0,22,小米 : 王者归来
25978552,5.9,19,小米模式
20365933,4.6,38,雷军
24741489,0.0,10,品牌的魔力
26756504,0.0,10,小米，是否明日黄花
01980645,0.0,12,Beijing Jeep
