ID,Rating,Votes,Title
01004821,8.7,22710,理想国
05366248,8.2,44292,你一定爱读的极简欧洲史
21570668,9.3,4313,会饮篇
25891318,9.0,5494,1453
01063852,8.9,5776,悲剧的诞生
01076330,9.1,3426,奥狄浦斯王
01062694,8.9,4095,荷马史诗·奥德赛
02161691,8.3,8018,伊索寓言
01051943,9.2,2288,尼各马可伦理学
02025235,9.1,2523,顾准文集
01036446,9.0,2761,诗学
06073019,9.0,2584,斐多
01880824,8.6,4034,一千零一夜
01053009,9.3,1652,游叙弗伦 苏格拉底的申辩 克力同
01439441,9.0,2299,伯罗奔尼撒战争史
02170983,9.1,1948,苏格拉底的申辩
06126821,8.4,4311,远方的鼓声
04175473,8.6,3107,波斯少年
01027280,9.2,1389,柏拉图的《会饮》
01070410,9.0,1725,柏拉图对话集
24878152,8.9,1791,海上灵光
01056867,9.1,1235,政治学
26451505,8.9,1541,伯罗奔尼撒战争
25897683,9.4,816,荷马史诗·伊利亚特
25890145,8.2,3276,线
01085477,9.0,1209,伊利亚特
01077833,8.8,1458,形而上学
01071981,8.5,2093,希腊神话和传说
01043613,8.5,1919,工作与时日 神谱
01880825,8.2,2721,希腊神话
03283762,9.2,816,柏拉图文艺对话集
01427023,9.0,914,希罗多德历史（上下）
26807340,9.6,506,索福克勒斯悲剧五种
01160320,8.9,996,政治学
01796861,8.4,1764,希腊神话故事
01948849,8.0,2862,星座宫神话
01060294,8.8,994,艺术哲学
01329973,9.2,646,顾准文集
19965872,8.9,837,理想国
26710042,9.1,669,多莱尔的希腊神话书
01170052,9.4,501,罗念生全集：第五卷：荷马史诗《伊利亚特》
02568067,8.2,1852,中性
26251939,8.4,1307,名画之谜·希腊神话篇
01197950,9.2,552,希腊罗马名人传
06719660,8.8,802,苏格拉底之死
03023897,9.1,577,希腊三部曲Ⅰ 追逐阳光之岛
02333837,7.9,2250,雨天炎天
02219098,9.2,489,古希腊悲剧喜剧全集（全8册）
01603984,8.0,1879,希腊神话故事
19961140,9.1,534,古希腊戏剧选
03271171,8.4,1101,读库0804
26342182,8.5,933,天堂之火
01104711,8.6,806,卡瓦菲斯诗集
06784160,8.9,581,悲剧的诞生
01725606,9.0,524,几何原本
26594676,9.5,328,古典传统
01511839,8.9,548,希罗多德历史
03068550,7.7,2244,希腊
03023898,9.2,397,希腊三部曲Ⅱ 桃金娘森林宝藏
02364763,8.8,576,古希腊戏剧选
06784981,9.5,296,几何原本
01083430,7.8,1766,十日谈
01987902,9.2,367,希腊的神话和传说
01789833,8.9,482,希腊城邦制度
04007098,8.7,574,理想国
06723590,9.2,356,古希腊悲剧喜剧集（上下）
01197914,8.7,568,长征记
20381006,9.2,347,希腊三部曲Ⅰ
26657198,9.2,341,荷马史诗中的生与死
04872918,8.4,747,希腊古典神话
01053983,8.4,700,希腊神话故事（插图珍藏本）
03031072,9.1,337,历史
26929967,8.0,1049,拜占庭帝国
01048712,8.5,568,柏拉图全集（第一卷）
03023900,9.0,346,希腊三部曲Ⅲ 众神的花园
01950767,8.6,506,萨福抒情诗集
26807314,9.5,225,欧里庇得斯悲剧五种
30337300,8.3,685,希腊人的故事
01880126,8.1,840,大勇和小花的欧洲日记
10774938,8.8,391,卡瓦菲斯诗集
26286060,8.2,700,神在人间的时光:希腊神话欣赏
01013568,9.2,259,古希腊戏剧选
27575829,9.5,198,善的脆弱性（修订版）
05979642,8.9,324,男人
01578541,8.9,320,古代城邦
01506334,9.2,247,论反讽概念
34875240,8.5,457,竹不如肉
25829274,8.8,334,神话
25836261,8.6,403,希腊精神
26863402,8.7,361,荷马史诗
26892803,8.3,531,希腊人左巴
01315215,8.6,389,蒂迈欧篇
02284288,9.0,269,善的脆弱性
20276111,9.0,269,智者
01467508,9.1,247,古希腊悲剧经典（上）（下）
26906381,8.5,416,希腊罗马神话
02254616,8.4,456,基督的最后诱惑
26865730,6.9,3656,小顾聊神话
01055939,8.9,277,文艺对话集
02152222,9.0,251,罗念生全集：第四卷：阿里斯托芬喜剧六种
26807312,9.2,211,埃斯库罗斯悲剧六种
26259073,8.7,323,斐多
26910562,8.3,474,你是黄昏的牧人
01657796,8.2,510,古希腊神话与传说
01107649,8.6,337,柏拉图全集（第二卷）
02278697,8.5,362,赫拉克利特著作残篇
04208771,8.3,435,尤利西斯的凝视
03990439,8.5,354,希腊史研究入门
03806060,9.2,188,爱比克泰德论说集
02008074,8.6,313,希腊悲剧时代的哲学
01474179,9.1,199,欧里庇得斯悲剧二种
03071729,8.3,404,希腊精神
26841614,7.6,846,雨天 炎天
24528248,8.7,246,卡瓦菲斯诗集
27034364,8.9,206,西方思想的起源
01054967,8.6,267,剑桥艺术史(一)
01982345,8.6,266,拉丁语和希腊语
03288544,8.7,242,希腊人和希腊文明
01085575,8.2,390,特洛伊之歌
34923012,9.3,148,众神的样子
01160154,8.1,430,亚历山大远征记
03267933,8.4,314,古代艺术与仪式
01883617,8.7,236,斐多
05299768,8.7,236,希腊左巴
27120516,9.5,120,柏拉图对话中的神
01097836,8.0,424,伊索寓言全集
01082943,9.0,165,罗念生全集:第一卷:亚理斯多德《诗学》《修辞学》·佚名《喜剧论纲》
02127499,9.3,130,罗念生全集 第三卷
03259487,8.4,266,文化与无政府状态
20381002,9.6,103,希腊三部曲 Ⅱ桃金娘森林宝藏（更新版）
01157313,8.4,264,物理学
10593787,8.9,163,古代哲学的智慧
03522799,8.7,191,诗学 诗艺
03510266,8.5,222,希腊罗马名人传（全三册）
02098523,9.3,117,Oedipus the King
26314736,8.6,202,希腊神话
06970480,9.7,89,周作人译文全集
