ID,Rating,Votes,Title
04913064,9.4,496860,活着
01770782,8.9,647932,追风筝的人
03066477,9.3,222578,三体Ⅱ
01008145,8.9,372551,围城
27614904,9.2,192584,房思琪的初恋乐园
01200840,9.0,251387,平凡的世界（全三部）
01082154,9.1,190797,活着
01361264,9.0,186400,撒哈拉的故事
01029791,8.8,191231,许三观卖血记
01054685,9.1,100732,沉默的大多数
01089243,8.9,124073,黄金时代
01061118,9.1,86508,活着
01254588,9.0,100380,城南旧事
01002299,9.0,88426,笑傲江湖（全四册）
11524204,9.3,51909,围城
01209899,9.1,59159,我与地坛
10564071,9.2,45215,白鹿原
01085799,8.7,102796,白鹿原
26698660,8.9,66328,巨人的陨落
33440205,8.9,60938,你当像鸟飞往你的山
01767945,8.8,67475,一只特立独行的猪
04760224,9.0,46968,许三观卖血记
01060852,8.9,54734,呼兰河传
10517238,9.0,42310,平凡的世界
03523041,9.1,32238,平凡的世界（全三册）
03239549,9.2,26754,夹边沟记事
01022060,8.2,146118,狼图腾
01014578,9.1,28792,我的精神家园
01082406,8.9,38696,黄金时代
06880158,8.8,44083,陆犯焉识
01013416,8.6,60022,雷雨
05337248,8.9,35474,台北人
01011754,8.9,33452,海子的诗
01082334,8.1,144824,穆斯林的葬礼
01014278,8.4,79124,红玫瑰与白玫瑰
05350303,9.3,17512,活着
26878124,8.5,58238,我的天才女友
01401425,8.3,84771,兄弟（上）
03604517,9.3,14974,撒哈拉的故事
03633461,8.7,37284,一句顶一万句
01080309,8.5,51714,尘埃落定
23008971,9.1,18815,平如美棠
01052990,9.0,20404,草房子
01760432,9.3,12596,受戒
03803820,8.4,51380,人生
05337254,9.1,15638,孽子
01418686,8.7,27666,红拂夜奔
01020961,8.8,21531,棋王
01882933,8.1,73251,鬼吹灯之精绝古城
03518332,9.0,15205,绿毛水怪
26899537,8.4,40188,长安十二时辰 上
01088711,9.1,12938,霸王别姬
03012517,8.6,27902,小姨多鹤
26923390,8.5,33090,长夜难明
01036613,9.0,14178,茶馆
01018577,8.9,16385,霸王别姬 青蛇
01044663,8.7,22167,许三观卖血记
27064488,9.4,8014,活着
01033825,8.8,18698,顾城的诗
06861664,9.0,13606,白鹿原
03311253,9.0,12976,额尔古纳河右岸
01085883,8.7,20026,青铜时代
22714154,8.7,19623,繁花
20441957,8.5,26924,兄弟
01082349,8.2,45887,长恨歌
03610681,9.2,9101,海子诗全集
26734559,9.2,8859,棋王·树王·孩子王
01082150,8.4,28333,白银时代
01692648,8.9,11766,一个人的村庄
01082138,8.4,25748,在细雨中呼喊
01143694,8.3,28703,动物凶猛
01025753,8.2,32611,妻妾成群
26253699,9.1,7334,台北人
01061977,8.7,12954,血色浪漫
01050339,7.7,77672,文化苦旅
34434309,7.9,50440,82年生的金智英
20421947,8.6,14522,在细雨中呼喊
01752755,8.6,14329,第九个寡妇
04872671,8.2,27465,佛祖在一号线
30475767,8.1,31730,人生海海
26278687,7.6,86056,皮囊
03389984,8.5,15327,俗世奇人
01003986,8.8,9526,病隙碎笔
01830445,9.1,6253,阿城精选集
01073349,8.9,8174,写在人生边上 人生边上的边上 石语
01926103,8.0,34241,鬼吹灯之云南虫谷
01076654,8.8,8850,孽子
03544376,9.1,5810,顾城的诗 顾城的画
05269439,8.4,15975,城门开
01200842,8.6,11190,尘埃落定
05988624,8.2,20692,远山淡影
03270617,9.3,4146,我与地坛
01084080,9.1,5290,平凡的世界（全三册）
01043485,8.2,19607,檀香刑
30330181,9.0,5469,棋王
26803179,8.3,15287,平原上的摩西
01009393,8.4,12386,在细雨中呼喊
01049219,7.4,81903,长安乱
26951584,8.6,8799,小说课
03264642,8.8,6423,似水流年
03194071,8.6,8458,少年巴比伦
01938591,7.9,27064,鬼吹灯之昆仑神宫
30362170,8.1,18792,冬泳
19995918,8.3,13337,蛙
01777932,8.7,7170,寻找无双·东宫西宫
03448867,9.0,4668,采桑子
01916726,7.8,31507,鬼吹灯之龙岭迷窟
02016749,8.2,15221,金陵十三钗
03264665,8.7,6897,三十而立
01763806,8.5,9020,万寿寺
01083003,8.7,6557,尘埃落定
01465007,8.2,14118,生死疲劳
27170951,8.1,15865,生吞
01460313,8.4,9603,哥伦比亚的倒影
01453210,7.4,59054,一座城池
02148992,9.2,3084,亮剑
01026036,8.6,6678,北岛诗歌集
01015584,8.1,14270,看上去很美
01024217,7.4,55654,第一次的亲密接触
26613061,8.9,4247,九州·缥缈录
01290398,8.5,7319,白蛇
01792984,8.3,9826,一个女人的史诗
01398441,9.2,2780,汪曾祺散文
30254298,7.7,27003,云边有个小卖部
04169424,7.9,18242,蛙
01050566,8.2,10841,一地鸡毛
