ID,Rating,Votes,Title
01041482,8.9,143752,万历十五年
03674537,9.1,87796,明朝那些事儿（1-9）
01873231,8.7,182709,明朝那些事儿（壹）
01089243,8.9,124073,黄金时代
03995526,8.6,185203,目送
03006581,8.9,98932,无人生还
06710437,9.3,50260,撒哈拉的故事
01949338,8.9,53040,明朝那些事儿（贰）
02052448,8.9,44031,明朝那些事儿（叁）
01022060,8.2,146118,狼图腾
07163250,9.2,21828,明朝那些事儿
02253642,8.8,40156,明朝那些事儿（肆）
03009821,8.8,36683,明朝那些事儿（伍）
03626924,8.9,30843,明朝那些事儿（柒）
01012611,8.2,98210,乌合之众
03274113,8.8,31101,明朝那些事儿（陆）
04187411,8.8,18256,万物有灵且美
30475767,8.1,31730,人生海海
20431965,8.5,12989,只有医生知道!
03673651,7.7,39083,岛
02988943,8.3,10677,青灯
02133254,8.1,11423,流血的仕途
03717819,9.0,2404,明朝那些事兒 肆
01026317,7.7,10387,可爱的骨头
03901238,7.5,14247,历史是个什么玩意儿1
03717799,9.1,1373,明朝那些事兒 貳
02375610,8.2,4047,流血的仕途·终结版
06878988,8.9,1569,明朝那些事儿·第1部
27127895,9.2,1113,明朝那些事儿(增补版)(套装共9册)
01287823,7.8,5895,千年一叹
01441327,9.5,682,A Clash of Kings
06902246,8.9,1187,明朝那些事儿·第2部
34869500,8.6,1368,被统治的艺术
06902245,8.8,1077,明朝那些事儿·第3部
06902242,9.0,867,明朝那些事儿·第7部
11511204,7.4,7060,悖论13
06902243,8.7,1018,明朝那些事儿·第4部
01442037,7.2,9246,书剑恩仇录
06902244,8.7,916,明朝那些事儿·第5部
03686657,8.6,980,明朝那些事儿1
03697785,9.0,621,明朝那些事儿2
06794170,8.7,737,明朝那些事儿·第6部
01016053,7.5,3494,胭脂
01084076,8.2,1222,芙蓉镇
07056976,9.1,423,明朝那些事儿9 图文精印版
06879503,8.9,487,明朝那些事儿2 图文精印版
03697787,8.8,514,明朝那些事儿3
06879502,8.8,470,明朝那些事儿3 图文精印版
03697784,8.8,469,明朝那些事儿5
27141314,8.8,435,明朝那些事儿 第1部朱元璋从和尚到皇帝（增补版）
06963298,8.9,395,明朝那些事儿5 图文精印版
27141319,8.9,388,明朝那些事儿 第2部朱棣逆子还是明君（增补版）
07056977,8.8,405,明朝那些事儿7 图文精印版
06963299,8.9,353,明朝那些事儿6 图文精印版
06963297,8.7,403,明朝那些事儿4 图文精印版
07056978,8.8,357,明朝那些事儿8 图文精印版
27141328,8.7,381,明朝那些事儿 第4部妖孽横行的宫廷（增补版）
27141339,9.1,261,明朝那些事儿 第9部 1644，最后的较量（增补版）
27141330,8.8,291,明朝那些事儿 第5部 内阁不相信眼泪（增补版）
05355940,8.6,337,人生不設限
27141332,8.8,257,明朝那些事儿 第6部 帝国，山雨欲来（增补版）
27141337,8.7,250,明朝那些事儿 第8部 人间再无魏忠贤（增补版）
27141334,8.6,240,明朝那些事儿 第7部 拐弯中的帝国（增补版）
25961508,7.9,370,明朝那些事儿1(漫画版)
19963546,6.8,1646,激色猫小叮当
26770132,8.5,201,明朝那些事儿：漫画版.3
26370534,8.3,230,明朝那些事儿 : 漫画版. 2
01030620,8.0,287,帝国的回忆
04892882,7.4,553,许鞍华说许鞍华
24714636,6.3,2692,锦绣未央（1、2、3）
02041282,7.3,460,明朝出了个张居正
01956172,7.6,289,南明史
01893812,8.4,118,明清之际党社运动考
03809808,8.2,136,决定快活
27127894,9.2,61,明朝那些事儿（新版全集）
04102050,6.9,245,战国就是一场游戏
25721642,8.6,52,禅门内外：南怀瑾先生侧记
19961820,8.2,63,日本論
03348221,7.1,153,谈《笑傲江湖》
01398039,8.3,45,生命与医疗
20504839,7.1,120,婚久必昏
03174574,8.5,31,草根皇帝·朱元璋
01950885,6.0,293,清朝那些事儿
30569880,9.3,12,明朝那些事儿.第1部.洪武大帝（新版）
03686970,8.0,20,立志图强
01339436,6.7,44,1421:中國發現世界
05447186,6.3,58,囧境突围
26236637,7.3,20,秦汉史十讲
25723799,0.0,1913,野心优雅
