ID,Rating,Votes,Title
01060068,9.2,79446,撒哈拉的故事
06710437,9.3,50260,撒哈拉的故事
06709783,9.0,26434,浪潮之巅
01885170,9.3,4993,算法导论（原书第2版）
04010196,8.1,25031,世界因你不同
06709809,8.4,14209,暗时间
01477390,9.3,3857,代码大全（第2版）
01148282,9.5,2359,计算机程序的构造和解释(原书第2版)
04822685,9.2,3285,编码
03227098,9.1,2088,编程珠玑
03043491,7.7,12858,浮沉
03004255,8.4,3183,编程之美
04100407,8.0,5407,浮沉2
03318174,8.1,4435,这书能让你戒烟
01427679,7.5,10399,做最好的自己
03622904,7.2,13723,不抱怨的世界
05914475,7.9,3496,无价
01462652,8.0,1653,光晕
01088168,8.8,625,Windows 程序设计：第5版
04006425,7.8,1924,我是一只IT小小鸟
03032825,8.9,461,Clean Code
27614523,7.5,2034,刷新
04860552,7.1,2790,活着就为改变世界
01462658,7.8,950,光晕
04090968,8.2,574,监控
02159830,8.5,354,离开微软 改变世界
01419359,9.1,204,Refactoring
24706897,7.5,1106,我这一代香港人
01205456,8.0,577,未来之路
01836258,7.7,787,成长比成功更重要
01024449,7.6,845,门口的野蛮人
01418402,9.5,114,The Art of Computer Programming
01919818,9.0,156,框架设计
03406939,9.1,138,编程精粹
01462657,7.2,995,光晕
03709135,7.4,671,唐骏日记
01426838,7.9,346,Joel说软件
01174290,7.6,361,C++程序设计
02302961,9.3,71,Windows via C/C++
05243513,8.6,114,C#本质论
01792611,9.1,79,Accelerated C++
03239656,7.6,268,中国梦
01229954,8.9,80,Patterns of Enterprise Application Architecture
04199481,7.2,367,我的成功可以复制
10521234,7.9,147,我用微软改变世界
04860322,7.6,176,你能行
02208539,8.9,60,Microsoft SQL Server2005技术内幕
04009658,8.3,74,微软的软件测试之道
34940580,7.9,94,工具，还是武器？
01459003,9.0,41,Agile Software Development
04181350,7.4,130,变革中的思索
01046080,7.2,156,未来时速-数字系统与商务新思维
03062309,7.7,90,WPF揭秘
03259433,8.2,56,代码之道
03341018,7.5,97,唐骏可复制的成功
01241266,8.6,38,软件开发的创新思维
01106247,7.7,71,过河卒
26988323,7.1,120,Hit Refresh
03208694,7.9,57,移山之道
02115192,8.3,42,MFC Windows程序设计
02149642,7.5,66,移山之道
01068779,7.7,56,微软团队成功秘诀
24284853,7.6,55,代码之殇
05346548,9.2,21,.NET高级调试
25905877,7.6,48,人生，就是一场突如其来的旅行
01182223,8.4,28,晋身Excel高手
01438379,7.5,49,超越平凡
01933068,7.2,60,.NET大局观
03593976,7.2,59,跟唐骏学管理
01968316,8.6,23,Show Stopper
03186175,7.6,42,追随智慧
26878247,8.0,31,C#入门经典（第7版）
03661346,9.2,16,Design Patterns
03103482,8.4,23,Programming
24852528,6.4,103,数字战争
02318144,7.3,43,微软360度
01001389,7.0,45,软件开发的科学与艺术
03164050,7.8,25,Excel图表实战技巧精粹
03993637,8.6,16,成功软件项目管理的奥秘
06428937,7.8,24,ASP.NET 4高级程序设计（第4版）
01252118,7.6,27,比尔.盖茨的野蛮兵团
03190544,7.9,19,C#编程风格
03993702,8.0,18,Windows命令行详解手册
02222488,8.2,16,比尔·盖茨传
05353161,8.2,16,C#4.0权威指南
01489304,6.8,37,如何移动富士山
01439609,7.7,19,软件开发项目管理
01511629,7.1,27,体验微软
04000824,6.1,64,测试有道
01223595,7.4,21,中国智慧
01142251,6.9,24,微软的选秀秘密
27050386,5.4,123,阳光失了玻璃窗
01098181,7.5,16,Windows程序调试
05349017,7.2,19,微软内幕
25839003,7.6,15,软件测试实战
01015188,7.1,20,微软之路
05385147,6.8,23,让云触手可及
01456006,8.1,11,Essential COM
01490577,7.6,13,重启微软
02188101,6.6,23,.NET软件测试自动化之道
10345065,7.0,17,十年蹉跎
03161412,7.1,15,微软营销秘笈
01183666,6.8,17,亲历微软
06808522,5.9,25,寡头战争
30297149,5.4,39,计算未来
30446535,6.0,19,微软风云：见证软件帝国的成长、迷茫与创新
06259411,6.1,17,乔布斯革命
11628345,6.9,10,平台战争
02702215,6.0,13,软件安全开发生命周期
05362857,0.0,10,微软应用架构指南
01564614,0.0,11,帝国时代(黄金版)CD-ROM
25844639,0.0,13,用户体验，求胜之道
