ID,Rating,Votes,Title
04913064,9.4,496864,活着
01008145,8.9,372552,围城
01082154,9.1,190797,活着
20427187,8.8,276229,看见
01858513,9.0,135117,月亮和六便士
01029791,8.8,191235,许三观卖血记
02035179,9.2,90994,动物农场
04908885,9.0,129278,局外人
01054685,9.1,100732,沉默的大多数
01041482,8.9,143753,万历十五年
01017143,8.5,200886,不能承受的生命之轻
01449351,8.9,90234,呐喊
01449352,8.8,85161,朝花夕拾
01858576,9.3,31339,一九八四
01767945,8.8,67475,一只特立独行的猪
02159042,8.5,101234,挪威的森林
01398395,8.8,51768,狂人日记
01855364,9.2,23986,围城
01003000,8.3,112845,悟空传
02253642,8.8,40156,明朝那些事儿（肆）
03136271,8.7,47433,罗生门
01205370,8.2,86294,羊脂球
01970428,8.8,28882,激荡三十年（上）
01418686,8.7,27666,红拂夜奔
01292416,8.5,36285,香水
01213546,8.4,40967,变形记
01258498,8.4,40249,项链
26923390,8.5,33093,长夜难明
01776683,9.0,14345,沉默的大多数
01321789,8.7,21101,美丽新世界
01159939,8.6,24423,一个陌生女子的来信
01007433,8.2,47495,红与黑
01180102,8.9,14398,恐怖宠物店（10）
20441957,8.5,26924,兄弟
04729583,8.9,13360,野火集
02256039,7.8,92459,杜拉拉升职记
01061803,9.2,8165,西游记
01077528,8.8,12561,通往奴役之路
01082518,7.9,59966,麦田里的守望者
20463108,8.3,26235,观念的水位
23774518,9.3,5551,1984
06781794,8.8,10844,过于喧嚣的孤独
01752755,8.6,14329,第九个寡妇
01883991,9.4,4702,王小波全集
04872671,8.2,27465,佛祖在一号线
01032063,8.9,8865,旧制度与大革命
01418999,9.2,5543,银河英雄传说
04882133,8.5,13515,兄弟
01482200,9.0,6042,我的精神家园
03151575,8.6,10522,激荡三十年
01815640,9.1,5068,王小波全集（第一卷 杂文）
01003284,8.1,22271,退步集
03860856,8.1,22174,可爱的洪水猛兽
03711709,8.7,8252,娱乐至死 童年的消逝
03111270,9.4,3182,一九八四
01049219,7.4,81903,长安乱
01078250,8.2,16241,洗澡
04953695,7.8,31692,拆掉思维里的墙
01157014,8.8,6003,伤逝
01031741,7.8,30925,欧也妮·葛朗台
03394338,7.5,55638,他的国
02031604,9.0,4345,离婚
01132956,8.4,9949,白银时代
01216737,9.0,4238,纯粹理性批判
10549863,8.6,6961,光明与磊落
04286204,8.1,15101,麦田里的守望者
01077492,9.0,3949,大师和玛格丽特
06902639,7.8,24876,青春
01792984,8.3,9826,一个女人的史诗
03009033,7.8,21727,杂的文
01889128,8.4,7785,茶花女
01504957,8.6,5752,学会提问
01000856,7.9,17163,我是猫
01961808,9.3,2236,呐喊
01872158,8.2,9682,蝇王
02025235,9.1,2523,顾准文集
01076045,7.7,19941,连城诀
20425053,7.6,24203,我所理解的生活
01055234,8.6,4560,神曲（全三册）
01037954,8.4,5975,告别圆舞曲
01970845,9.4,1668,野草
03154624,9.3,1848,一九八四 动物农场
01035477,7.9,12094,德伯家的苔丝
02046977,8.1,8559,我是猫
01070007,8.8,2953,致命的自负
01871471,7.8,12121,一座城池
03891900,7.9,9821,金融的逻辑
01034108,7.2,38502,零下一度
24862771,9.2,1626,熔炉
02052596,8.2,5927,退步集续编
10757941,8.2,5814,小团圆
01005325,8.3,4945,童年的消逝
01015748,8.8,2452,开放社会及其敌人（全二卷）
01963786,8.5,3569,怎样鉴别黄色歌曲
02063579,9.3,1362,古拉格群岛（上中下）
05378434,8.9,2127,罗生门
02228707,8.9,2098,癌症楼
01193621,8.5,3390,决策与判断
01140729,8.6,2933,星船伞兵
01914078,7.6,13705,三重门
02060491,8.9,1976,逻辑学导论
01152701,7.8,9084,漂亮朋友
04741216,7.3,23095,我的奋斗
01078809,8.0,6309,三重门
01880990,8.3,3972,复活
02153887,8.7,2276,儒林外史
01068912,8.4,3268,中国文化的深层结构
01787729,8.5,2849,单向度的人
01221479,8.9,1695,与“众”不同的心理学
01064734,8.3,3618,疾病的隐喻
02027824,8.7,2045,风景
01030898,8.8,1727,复杂
02345727,7.4,14000,蜗居
01277259,8.6,2137,社会学的想像力
01017621,8.6,2050,恋人絮语
01069724,8.7,1769,晚清七十年
01041650,8.7,1669,现代建筑
01914083,7.6,8131,像少年啦飞驰
02032666,7.6,7936,零下一度
01793535,8.6,1757,不只中国木建筑
01420500,8.4,2160,百万英镑
01754836,8.8,1320,向加泰罗尼亚致敬
01223897,9.2,852,实践理性批判
02382994,8.0,3690,负建筑
02133556,6.9,28661,光荣日（第一季）
01417905,7.1,17404,废都
01035165,9.2,803,忧郁的热带
02242467,7.2,13399,湖边凶杀案
01046385,7.1,15888,毒
01025562,8.1,2716,城北地带
01982096,8.3,2034,关于来洛尼亚王国的十三个童话故事
01322328,7.4,8099,不羁的风
