ID,Rating,Votes,Title
06082808,9.2,294578,百年孤独
10594787,9.0,184325,霍乱时期的爱情
03608208,8.5,120387,牧羊少年奇幻之旅
01786670,8.9,52345,百年孤独
01036490,8.8,34555,万水千山走遍
24382569,8.7,22964,一桩事先张扬的凶杀案
25796120,8.9,16374,小径分岔的花园
01083762,8.7,20484,人类的群星闪耀时
01440972,9.2,8945,博尔赫斯小说集
20392523,8.5,22947,没有人给他写信的上校
26657570,9.0,8541,活着为了讲述
27107109,9.4,4987,百年孤独
04826530,9.1,6680,我亲爱的甜橙树
01794620,7.8,48450,芒果街上的小屋
26628811,8.8,8640,世上最美的溺水者
03698398,9.0,6036,万水千山走遍
01045352,8.8,7786,二十首情诗与绝望的歌
01418058,9.1,5166,小径分岔的花园
25796049,9.0,5728,沙之书
02136133,9.0,5695,万水千山走遍
26451351,8.7,8603,爱情和其他魔鬼
01015864,9.0,4923,惶然录
25796122,9.3,3167,阿莱夫
21346008,8.5,8740,米格尔街
25796061,9.1,3703,杜撰集
26276924,8.7,6223,梦中的欢快葬礼和十二个异乡故事
01393447,9.1,3338,忧郁的热带
03003477,9.2,2877,虚构集
01417385,9.0,3544,博尔赫斯诗选
03769738,8.7,5081,万火归一
01937228,9.3,2309,百年孤独
27079479,8.8,4192,南方高速
25779593,8.7,4666,族长的秋天
25952961,8.8,3893,博尔赫斯谈话录
02295912,9.0,2955,佩德罗·巴拉莫
20501761,8.3,7627,地球上最后的夜晚
06792270,9.0,2778,佩德罗·巴拉莫
06800379,8.7,3905,2666
25985126,8.7,3821,迷宫中的将军
25858680,8.2,7324,二十首情诗和一首绝望的歌
10764013,8.8,3091,克罗诺皮奥与法玛的故事
20392525,7.9,10844,枯枝败叶
04138982,8.9,2330,Alchemist
26276279,7.8,10875,苦妓回忆录
01054181,8.8,2441,牧羊少年奇幻之旅
25796066,8.3,4467,恶棍列传
03003466,8.6,2738,恶棍列传
01437969,8.7,2288,聂鲁达诗选
10522844,8.8,1962,游戏的终结
26022097,8.5,2859,番石榴飘香
25985982,8.4,3261,遥远的星辰
06999940,8.7,2193,2666
25899957,9.0,1395,诗艺
25956992,9.0,1388,博尔赫斯，口述
26276923,7.9,5976,礼拜二午睡时刻
03114410,9.0,1213,世界名著百部
26434970,8.5,2167,智利之夜
26877595,9.0,1171,佩德罗·巴拉莫
26794876,9.1,1039,一日谈
02061444,8.7,1619,幽灵之家
27031869,8.1,3564,一个海难幸存者的故事
25986497,8.3,2634,疑问集
02073481,8.6,1682,城市与狗
01255445,8.5,1792,切·格瓦拉画传
33657946,8.5,1731,波拉尼奥：最后的访谈
05383804,9.1,873,酒吧长谈
20392524,7.7,5399,恶时辰
21855881,8.7,1330,荒野侦探
06010144,8.3,2181,动物寓言集
26703649,8.4,1863,被占的宅子
25699387,8.6,1411,星辰时刻
23019253,8.7,1221,蜘蛛女之吻
25796128,8.6,1353,布罗迪报告
34826166,8.6,1352,夜的命名术
30177172,8.7,1195,没有人给他写信的上校
11528305,8.2,2135,朝圣
10554464,8.2,2080,去他的巴西
01047370,8.5,1393,拉丁美洲被切开的血管
02969263,8.6,1225,跳房子
07047201,8.0,2531,芒果街上的小屋
34912805,8.8,933,七个疯子
26830570,8.6,1144,未知大学
33455204,8.5,1254,博尔赫斯：最后的访谈
26671810,8.3,1593,深沉的玫瑰
01433739,8.5,1230,蜘蛛女之吻
01385809,9.3,521,百年孤寂
21978753,8.4,1347,护身符
26372186,9.3,516,爱与战争的日日夜夜
02085605,8.8,832,去他的巴西
05347700,7.8,2934,我坐在彼德拉河畔，哭泣
30309597,8.2,1609,一起连环绑架案的新闻
03861531,8.4,1205,荒野侦探
03662751,8.7,852,公羊的节日
06890669,7.6,3606,我不是来演讲的
06792277,8.6,912,燃烧的原野
01876799,9.3,444,百年孤独
25837539,8.1,1632,美洲纳粹文学
03759803,7.9,2125,波多贝罗的女巫
26762062,9.1,507,诗人的迟缓
01762178,9.3,421,百年孤独
26323408,8.4,1050,我坦言我曾历尽沧桑
04859582,8.4,972,足球往事
04140451,8.6,760,潘达雷昂上尉与劳军女郎
05409459,8.0,1545,摩托日记
24737018,8.7,661,玉米人
02141646,7.8,1957,恰似水之于巧克力
26603440,8.3,987,老虎的金黄
04882010,8.6,701,燃烧的原野
01784589,9.5,299,百年孤独
02297216,8.7,606,巴列霍诗选
02057529,8.1,1197,阿佛洛狄特
01449641,9.2,364,胡安·鲁尔福全集
33440230,8.4,788,米格尔在智利的地下行动
27176305,9.4,298,酒吧长谈
01400647,9.2,349,佩德罗·巴拉莫
30302069,8.6,619,有人在周围走动
03466923,9.1,371,Love in the Time of Cholera
03003189,8.6,598,博尔赫斯谈话录
04140447,8.3,828,绿房子
26997145,8.7,534,印加帝国的末日
30335758,8.2,886,拉丁美洲被切开的血管
30431414,8.8,461,星辰时刻
02269422,8.9,414,世界文学名著读本
33428358,8.6,556,加西亚·马尔克斯访谈录
25908110,8.6,552,诗人的迟缓
26534971,7.5,2125,蓝狗的眼睛
33402255,8.7,480,和博尔赫斯在一起
26270303,8.3,715,永恒史
