ID,Rating,Votes,Title
03813669,8.6,69120,民主的细节
01775691,8.4,81346,少有人走的路
05346110,8.9,11552,穷查理宝典
05333562,9.7,2546,深入理解计算机系统（原书第2版）
01230413,9.5,2761,深入理解计算机系统
06425061,8.5,8444,哲学家们都干了些什么？
01788421,9.4,2275,UNIX环境高级编程
04889838,9.1,3045,鸟哥的Linux私房菜
25708312,9.4,1757,C++ Primer 中文版（第 5 版）
26912767,9.8,1078,深入理解计算机系统（原书第3版）
02377310,9.2,1968,C专家编程
03227098,9.1,2088,编程珠玑
03652388,8.8,2376,程序员的自我修养
03360807,9.1,1658,Effective java 中文版（第2版）
03037562,9.3,1236,汇编语言（第2版）
03688489,7.7,10997,异类
24722612,9.0,1704,深入理解Java虚拟机（第2版）
01500149,9.5,963,UNIX网络编程
01152912,9.5,919,算法导论
03296317,9.1,922,编译原理
02154713,8.9,1072,精通正则表达式
02334288,8.3,1997,大话设计模式
30329536,9.7,455,数据密集型应用系统设计
03924175,8.6,1301,构建高性能Web站点
01391740,8.5,1311,逻辑的引擎
03852290,8.9,763,现代操作系统（第3版）
19973015,9.7,315,Operating Systems
25900156,8.5,985,Redis设计与实现
01232029,9.2,478,C专家编程
25900403,9.5,364,UNIX环境高级编程（第3版）
01896753,9.7,309,深入理解计算机系统
03117898,8.7,776,Python源码剖析
03235659,9.2,451,Windows核心编程(第5版)
01088168,8.8,625,Windows 程序设计：第5版
01219329,9.2,425,Unix/Linux编程实践教程
01692629,9.6,286,UNIX环境高级编程
06806862,9.3,363,The Linux Command Line
03795033,9.1,415,数学天书中的证明
04859464,9.2,374,UNIX网络编程 卷1：套接字联网API（第3版）
01767120,9.0,440,深入理解LINUX内核
01229959,9.0,431,The Art of UNIX Programming
01503819,8.7,566,Linux内核设计与实现
03815282,8.8,449,技术与文明
25809330,9.4,253,Linux/UNIX系统编程手册
01723151,8.7,467,Linux设备驱动程序
04253716,9.4,249,Unix &amp; Linux大学教程
25930025,8.2,790,只是为了好玩
01229973,9.1,317,C和指针
02287506,8.7,452,深入理解LINUX内核(第三版)
06097773,8.6,473,Linux内核设计与实现(原书第3版)
03735649,8.7,428,Orange&#39;S:一个操作系统的实现
06025290,9.3,230,一站式学习C编程
02253513,8.2,631,时间管理
05387401,9.0,282,UNIX编程艺术
02031396,9.1,256,深入解析Windows操作系统
04292217,9.4,199,The Linux Programming Interface
01229948,9.7,159,Computer Systems
04843567,8.9,291,深入Linux内核架构
02044818,9.1,225,操作系统设计与实现（上册）
07064456,8.4,421,研究之美
26344642,9.7,141,Computer Systems: A Programmer&#39;s Perspective (3rd Edition)
26854226,9.0,238,Linux命令行与shell脚本编程大全（第3版）
01451172,8.5,371,Just for Fun
01390650,8.6,323,现代操作系统
04118577,9.4,160,UNIX网络编程 卷2
03699395,7.8,710,观止
02185076,9.1,191,计算机系统概论
02073826,8.4,346,Linux程序设计
01033144,8.8,233,UNIX编程环境
01230487,8.8,227,人工智能
27096665,9.0,189,现代操作系统（原书第4版）
04831448,8.3,352,Linux程序设计
03229243,9.0,186,Linux内核完全剖析
03088353,8.8,217,软件调试
01099251,9.6,117,UNIX环境高级编程
05273955,9.0,179,Windows程序设计
07564417,7.8,578,Linux/Unix设计思想
05064311,8.7,228,操作系统
26586598,8.7,228,性能之巅
07006537,9.5,117,计算机体系结构
02109679,8.9,181,操作系统概念
11530329,8.3,307,30天自制操作系统
33463930,9.1,153,操作系统导论
20492528,9.0,165,x86汇编语言
11589828,8.4,266,Linux命令行与shell脚本编程大全
06889456,8.1,343,Linux Shell脚本攻略
01756533,9.6,99,Unix Network Programming
01035710,9.0,151,UNIX操作系统设计
01159177,8.6,207,高效程序的奥秘
01231567,9.2,128,UNIX网络编程（第1卷）
01231584,8.6,201,Linux内核源代码情景分析（上册）
03291901,8.8,165,Linux Kernel Development
03137159,7.5,614,用图表说话
03667744,9.3,106,现代操作系统
06962285,8.5,194,Machine Learning in Action
01231702,8.3,232,Win32多线程程序设计
03670621,8.2,253,计算机的心智
20452387,9.0,125,计算机体系结构
01229913,8.6,171,嵌入式实时操作系统μC\OS-Ⅱ
01436811,8.9,134,Linkers and Loaders
01422377,7.9,318,自己动手写操作系统
01493443,9.0,118,Linux Device Drivers
03709579,8.6,160,The Cathedral and the Bazaar
03017583,9.1,108,Modern Operating Systems
26933281,8.7,137,图解设计模式
26434583,9.6,73,UNIX网络编程 卷1：套接字联网API（第3版）
04886882,9.3,88,UNIX网络编程 : 第2版. 第2卷， 进程间通信(中文版)
01776614,9.2,93,Understanding the Linux Kernel
10747453,9.2,92,UNIX/Linux 系统管理技术手册
01834459,9.0,105,深入理解LINUX网络内幕
01760738,8.3,172,编程卓越之道
01231822,8.9,106,莱昂氏UNIX源代码分析
01787854,8.8,113,An Introduction to GCC
10076960,9.1,91,Operating System Concepts
22793675,8.4,155,深入理解Nginx
22226727,8.1,202,Linux命令行大全
26337939,7.7,297,七周七并发模型
01806974,8.5,135,现代编译原理
04719159,8.7,113,Windows内核原理与实现
03519360,7.3,446,Shell脚本学习指南
01506160,8.5,130,操作系统
30358046,8.1,180,Android进阶解密
03041178,8.3,149,Learning the vi and Vim Editors
02302961,9.3,71,Windows via C/C++
10433743,9.5,62,深入Linux设备驱动程序内核机制
06799412,8.3,141,Debug Hacks中文版
02250326,8.8,94,Intel汇编语言程序设计
10528447,8.3,138,操作系统之哲学原理(第2版)
03152027,8.5,112,嵌入式Linux应用开发完全手册
03707841,9.5,57,Principles of Computer System Design
01418566,8.6,102,Operating System Concepts
26745156,8.6,102,操作系统真象还原
01783103,8.4,118,Windows环境下32位汇编语言程序设计
01232057,7.8,197,学习 Vi 编辑器（第六版）
30359954,8.4,114,鸟哥的Linux私房菜 基础学习篇 第四版
