ID,Rating,Votes,Title
01028842,9.1,15425,经济学原理（上下）
01476651,9.0,17668,社会心理学
03719533,9.4,9787,经济学原理
01032501,8.8,16314,心理学与生活
01007928,9.1,10315,美国纽约摄影学院摄影教材（上）
02328458,9.1,8451,社会性动物
03719531,9.3,4979,经济学原理
26435630,9.6,2547,经济学原理(第7版)
01039389,9.0,4794,新概念英语（3）
01441853,8.9,5397,伯里曼人体结构绘画教学
03990022,9.2,3670,美国纽约摄影学院摄影教材（上册）
04201317,9.6,2146,美语音标
11530078,9.6,1899,经济学原理
01072316,9.2,2925,古代汉语（第一册）
25982198,9.4,2286,社会心理学
01039460,9.0,3616,美国纽约摄影学院摄影教材（下）
01485731,9.6,1679,原动画基础教程
03143537,9.4,1978,津巴多普通心理学
01437852,9.5,1682,费恩曼物理学讲义（第1卷）
01025721,8.6,4665,新概念英语（2）
03016590,9.3,1929,大众传播理论
26912767,9.8,1078,深入理解计算机系统（原书第3版）
10590165,9.4,1494,聆听音乐
01501873,8.4,5066,中日交流标准日本语（新版初级上下册）
26388289,9.6,1160,经济学原理(第7版)
02983683,9.3,1533,经济学
01014385,9.0,2096,新概念英语（4）
01082593,9.1,1784,经济学
03055719,8.7,2809,经济学的思维方式（第11版）
01154707,8.7,2646,素描的诀窍
11530079,9.6,961,经济学原理
03104870,9.0,1808,新闻理论十讲
02060491,8.9,1976,逻辑学导论
01042011,9.1,1531,古代汉语（第二册）
27015443,9.4,1096,西南联大英文课
01493350,9.4,1078,哈农钢琴练指法
01281898,8.8,2095,宏观经济学
02005726,8.8,2072,货币金融学
05939751,9.2,1307,货币金融学
03095037,9.1,1447,听音乐（插图第6版）
03990023,9.0,1612,美国纽约摄影学院摄影教材（下册）
01229822,8.8,1983,中式英语之鉴
01779243,8.9,1724,摄影构图学
01221479,8.9,1695,与“众”不同的心理学
25924609,9.6,810,发现社会
02125973,9.4,982,心理学导论
01324621,9.4,960,宪法学导论
01006720,8.4,3004,新概念英语第一册
01085366,9.2,1129,组织社会学十讲
10455982,9.3,1017,什么是数学
10441759,9.4,868,公司理财
01066627,8.2,3601,中国现代文学三十年
25918941,9.7,646,宪法学导论
11608712,8.6,2059,无器械健身
04326057,8.8,1616,Excel图表之道
26683297,9.0,1282,进化心理学(第4版)
25926462,9.4,810,西方哲学史
02201479,9.3,891,概率论与数理统计
01536776,9.1,1091,拜厄钢琴基本教程
01070380,9.1,1061,古代汉语（第三册）
01425950,9.2,950,线性代数及其应用
01707158,9.4,777,微积分学教程（第1卷）
01139881,8.7,1589,微观经济学
26792521,9.4,749,C Primer Plus（第6版）中文版
04244803,8.8,1402,人格心理学
01017788,9.1,1006,古代汉语（第四册）
03689168,9.0,1057,社会学（第五版）
04213525,8.5,1788,电影镜头设计
10432347,9.3,734,算法（英文版·第4版）
03794493,9.1,838,剑桥雅思考试全真试题集7
26895836,9.2,746,不发表 就出局
01024279,8.0,3156,普通心理学
06101583,8.3,2067,传播学教程
26388291,9.3,660,经济学原理(第7版)
01422231,8.4,1711,电影剧本写作基础
01134199,9.2,699,语法讲义
01231399,9.4,563,托马斯微积分
04280762,8.9,920,热靴日记
26847821,9.5,512,刑法学
03235486,9.4,548,陶哲轩实分析
02188233,8.4,1574,中国当代文学史
01230095,9.5,476,数学分析原理
01056079,8.0,2551,中国文学史(第一卷)
07057936,8.4,1482,批判性思维
03582335,9.6,430,Introduction to Linear Algebra
03663124,9.2,613,韦洛克拉丁语教程
01399297,8.8,914,社会研究方法
01852228,9.0,741,全新法语语法
01867208,9.1,658,政治学
10511063,8.6,1120,摄影的艺术
34447865,9.5,446,西方哲学史（第9版）
02130743,9.1,641,离散数学及其应用（原书第5版）
01509898,9.7,372,神经科学
01130500,9.4,476,计算机程序设计艺术（第1卷）
01651032,8.6,1059,西方哲学史
02116307,8.2,1714,荣誉
05937126,9.3,509,认知神经科学
26604224,8.9,751,经济学的思维方式
25853203,9.7,348,美语音标
01042638,9.2,538,西方文学之旅
01130381,9.1,586,数学分析新讲（第一册）
01931769,9.2,523,心理学
01056080,8.1,1772,中国文学史（第二卷）
26895216,9.8,309,知识产权法教程
26665157,8.9,683,当代中国政府与政治
01436119,8.9,654,训诂学
01418276,9.4,406,Microeconomic Theory
01728600,9.6,341,微积分学教程（第2卷）
03518162,8.7,791,社会研究方法
25792556,9.3,438,心理学
20516061,8.4,1098,电影语言的语法
01885816,8.6,860,新托福考试官方指南
01208741,9.2,467,约翰·汤普森简易钢琴教程(1)
01234197,8.4,1072,大家的日语1
02310726,8.7,759,社会学
01093762,8.7,736,文献学概要
03064047,8.8,648,西方文化概论
04039368,8.6,760,微观经济学
26990918,7.7,2391,一本小小的红色写作书
03715623,9.0,504,线性代数应该这样学
02112359,7.9,1790,高等数学（上册）
26791309,9.3,380,初识传播学（插图第7版）
04926707,9.1,452,普林斯顿微积分读本
06507262,7.4,3755,如何让你爱的人爱上你
03435537,8.7,666,大流感
06560147,9.2,407,中国文学史新著
01279659,8.3,1008,组织行为学
01230288,9.2,398,数学分析原理
01149697,8.6,717,货币银行学
01627340,8.6,707,中国历代文学作品选（上编第1册）
30468563,9.5,303,宏观经济学二十五讲：中国视角
27153710,8.8,567,网络传播概论 第四版
01187550,8.2,1104,人格心理学
01262965,8.2,1102,中国当代文学史教程
26698020,8.3,970,认识商业（插图修订第10版）
01907517,8.3,963,社会学与生活（插图修订第9版）
02247109,9.0,457,社会学入门
02107856,8.3,954,简明法语教程（上）
01017213,8.4,849,金融学
25732461,7.7,2052,住宅设计解剖书
01056081,7.9,1545,中国文学史（第三卷）
01231162,9.3,340,高等代数简明教程（上册）
03662262,7.9,1535,电影化叙事
26426676,8.8,527,演员自我修养
05292846,9.4,297,外国小说欣赏
04137149,8.7,555,新编日语1（修订本）
01083052,8.2,965,现代性的后果
25930690,9.6,246,高级计量经济学及Stata应用
06127657,9.7,227,珍爱生命
26614948,9.1,371,中国古代简史（第二版）
01961174,9.0,406,数理经济学的基本方法
01230275,9.6,243,数学分析习题课讲义（上册）
10946226,8.8,483,管理学
26887927,9.7,220,宏观经济学（第九版）
01231393,7.6,2014,高等数学（上册）
01454953,9.4,272,比较政治经济学
01130384,9.2,319,数学分析新讲（第二册）
06862061,9.2,317,计算机科学概论（第11版）
26828547,9.3,281,津巴多普通心理学（原书第7版）
26842322,9.5,237,行为科学统计精要（第8版）
02016754,8.8,435,美国大学英语写作
30136393,9.4,255,做哲学
01063572,8.5,582,传播理论
01122660,9.3,275,数学分析新讲（第三册）
02010622,8.6,517,超级漫画素描技法-基础篇
25815890,9.6,212,费曼物理学讲义 第一卷
24715603,9.3,268,费恩曼物理学讲义（第1卷）
01052768,8.6,505,英语中级听力
02287506,8.7,452,深入理解LINUX内核(第三版)
26847510,10.0,156,基础有机化学(第4版)上册
01041028,8.4,601,社会研究方法教程（重排本）
01688051,8.1,840,传播理论
26262681,9.4,234,陈阅增普通生物学（第4版）
01281343,9.3,251,微积分和数学分析引论（第一卷）
03082741,8.0,915,新版中日交流标准日本语（中级上下）
01141882,7.3,2460,外国电影史
01065051,7.6,1531,西方哲学简史
26604008,9.5,208,计算机组成与设计（原书第5版）
02036531,9.3,242,代数学引论（第一卷）
01042930,7.7,1300,中国文学史 第四卷
26701753,9.2,259,心理学与生活（第19版）
04830099,9.0,304,市场营销原理
26950185,9.0,303,货币金融学（第11版）
01100137,8.6,437,政治科学
03393766,8.5,478,管理学
26317334,9.3,231,认知心理学（第三版）（万千心理）
01229747,8.1,738,现代西班牙语(第一册)
04109177,9.4,212,伯克利现代吉他教程
01095832,8.0,828,音乐理论基础
26267406,8.9,321,逻辑学导论（第13版）
01169605,7.6,1391,外国建筑史
26726452,9.5,192,计算机科学导论
02002457,9.1,264,English Through Pictures
01410322,8.7,369,经济学（上下册）（第三版）
01123421,9.3,219,看听学(注释改编本学生用书1)
01725267,9.2,236,微分几何入门与广义相对论（上册·第二版）
01541591,8.4,491,质的研究方法与社会科学研究
10557289,9.2,234,商务与经济统计
04268081,8.5,441,金融学
25887932,8.4,483,当代西方文艺理论
01852144,9.1,250,法语交际口语渐进
02970300,7.9,842,计算机网络
06800930,8.9,292,人格心理学
30296163,9.5,179,金融经济学二十五讲
03199212,8.4,470,伦理学导论
10540291,9.3,206,经济学（第十九版）
26708760,8.8,314,死亡的脸
05957920,9.2,222,混音指南
25764618,8.2,567,纪录片创作六讲
01077260,8.7,340,制度经济学
27175898,9.7,151,公司法学（上）
26591877,9.6,159,微观经济学
01427058,10.0,121,The Feynman Lectures on Physics
01229819,7.7,1007,语言学纲要
19979844,9.0,252,你好!法语-1-学生用书-A1
01884197,8.5,392,世界文学史
03741260,7.7,982,美学原理
26960678,8.9,269,计算机网络（第7版）
01883134,9.0,246,现当代国际关系史
04584057,7.9,748,语言学纲要
01884446,9.2,206,线性代数
01503213,9.4,176,免疫学概览
06778713,9.4,176,细胞生物学
25817381,9.4,175,普林斯顿数学指南（第一卷）
20382249,9.3,188,美国绘画透视完全教程
02990417,8.4,409,现代西班牙语（第一册）
26979428,9.1,216,管理学(第13版)
02180094,9.7,138,实分析
02049392,8.9,255,社会研究方法
01827593,9.1,214,Cambridge IELTS 5 Student&#39;s Book with Answers
06073549,9.5,157,民法总论
30280001,9.2,193,计算机网络（原书第7版）
01242749,9.1,209,新标准德语强化教程1
26282781,9.0,225,期权、期货及其他衍生产品(原书第9版)
01258239,8.2,479,西方社会学理论(上)
01245500,8.5,347,和声学教程
01628860,8.0,590,建筑画环境表现与技法
01262630,7.8,740,博弈论与信息经济学
25921373,9.6,138,延世韩国语1
01245344,9.0,215,统计推断
02877309,9.3,169,Linear Algebra Done Right
01091173,8.9,232,卡尔卡西古典吉他教程
26617517,8.5,333,经济学原理
02041497,8.3,406,剑桥雅思考试全真试题解析4
26838522,9.0,212,发展心理学：儿童与青少年
01440976,9.5,144,Introduction To Commutative Algebra
01650993,9.1,194,Lehninger生物化学原理（第3版）
25981074,9.1,194,古典社会学理论
01230181,9.5,143,拓扑学
01343515,8.9,227,Cambridge Ielts 4 Student&#39;s Book with Answers
26732651,10.0,102,珍爱生命
06529833,8.7,269,Java语言程序设计
01073626,8.7,268,社会研究的统计应用
03598279,9.2,176,价格理论及其应用
04894631,9.4,151,大家的日语
02108337,9.5,140,复分析
01589847,9.4,149,费恩曼物理学讲义
01172782,8.4,346,全球视角的宏观经济学
04837454,8.7,258,漫画分镜头表现教程
02180067,9.6,127,计算流体力学基础及其应用
10517521,9.5,136,数学物理方法
03863393,9.2,169,剑桥国际英语语音教程
03866931,8.7,254,陈阅增普通生物学（第3版）
25798422,9.3,155,心理学导论
26824921,9.5,134,Introduction to Linear Algebra
03812574,8.3,369,中国教育史
27043843,9.4,143,拍出绝世光线：摄影师的完美用光技巧解密
01614977,8.5,301,新概念物理教程.力学
01230487,8.8,227,人工智能
01785817,9.1,177,概率论及其应用
01672671,8.6,270,物理化学(第五版)上册
26825412,8.7,243,认识乐理
27086851,8.5,291,电影概论 (第2版)
03074782,8.3,351,组织行为学
03005196,8.7,236,生理学
10485070,8.2,380,现代汉语 [增订五版](上)
25981564,8.6,257,新版中日交流标准日本语初级（第二版）
05922563,8.2,378,城市规划原理
02245544,9.4,134,Writing Academic English
24735346,9.3,144,助人技术
01653362,7.6,750,当代教育心理学
03797051,8.6,253,投资学
04839187,9.1,166,高等代数（上册）
01154544,7.3,1128,现代心理与教育统计学
01359350,8.8,211,西方社会学历史与体系（第一卷）
25904953,8.4,303,社会心理学
20382267,9.1,164,牛津艺用人体解剖学
26311133,8.1,404,高等数学·上册
27074856,9.5,120,变态心理学（第6版）
05908720,7.7,629,十二天突破英汉翻译
01829794,9.0,173,美国摄影图片制作工艺专业教程
01393623,8.4,291,实验心理学
04828876,9.8,98,实变函数论
01626464,8.3,319,叙事学
26999520,9.7,103,计算机科学概论（第12版）
01310584,8.8,198,初等数论
01508833,8.3,312,植物学（上册）
01453922,8.1,383,人力资源管理
05955945,8.4,282,语文 选修  中国古代诗歌散文欣赏
01116484,7.7,600,现代汉语.下册
01956546,7.2,1154,中国电影史
01836269,7.6,663,变态心理学
03165271,7.3,988,概率论与数理统计
26694188,9.3,130,概率导论（第2版·修订版）
26629064,8.7,207,芝加哥大学论文写作指南
04212274,9.3,129,调性和声及20世纪音乐概述
01469953,7.4,845,外国近现代建筑史
26981031,8.9,174,经济学规则
03328041,9.0,160,代数
05998092,8.5,243,概率论与数理统计教程
01908835,7.2,1104,艺术学概论
03996301,7.8,499,中国建筑史
01679623,7.0,1501,C程序设计
01160631,7.4,825,中国建筑史
06105294,9.1,144,中国古代史教程
34912103,9.1,144,量化健身 动作精讲
11529143,8.3,282,投资学(原书第9版)
06516229,8.7,195,货币金融学
07001439,9.3,122,政治学核心概念
02087796,9.1,139,系统宝石学-(第二版)
04035614,8.9,159,分析哲学导论
03728650,9.1,136,Cambridge IELTS 7 Student&#39;s Book with Answers
02024655,7.0,1326,数据结构
01051814,7.0,1316,外国文学史（上）
05271687,8.5,216,金融市场与金融机构基础
20070552,9.4,107,Cambridge Ielts 9 Student&#39;s Book with Answers
25887834,9.7,88,新版日语句型地道表达200例
06014434,9.1,131,心理统计学（第3版）
06850128,9.3,113,计算机网络
01189099,8.0,340,简明法语教程(上册)
01843327,8.5,207,当代广告学（上下册）
30266625,9.9,75,理解全球冲突与合作
03270380,8.5,202,西方美学史纲
26605887,9.3,108,教育心理学（原书第12版）
05936454,9.3,107,伯里曼实用人体解剖
01803677,9.1,123,初级日语语法精解
06730363,9.3,106,人工智能
04275110,8.9,140,实变函数论与泛函分析
01114091,6.6,2205,中国电影史
25723403,9.7,80,神经科学原理
30209224,8.5,192,人工智能基础（高中版）
04175522,9.2,110,概率导论
03565868,8.8,147,美国摄影教程（第9版）
25727582,8.6,173,发展心理学
26985131,9.2,109,韦洛克拉丁语教程
30910607,9.1,117,肖秀荣2020考研政治知识点精讲精练
24152951,8.7,159,雕刻光线
26952944,9.4,95,心理学导论（原书第9版）
01090245,8.3,224,欧洲文学史（第2卷）
10862311,8.5,184,人力资源管理
04917199,8.5,183,实验心理学
11578220,9.3,99,量化数据分析
01736742,8.9,131,汉语口语语法
02171619,9.3,98,投资学基础
05952358,7.3,660,西方经济学（微观部分）
01180128,8.6,165,系统解剖学
01117650,8.1,260,植物学（下册）
01056078,7.1,856,外国文学史（下）
01853209,8.1,256,政治学研究方法指南
03515083,9.5,84,高等数学引论（第一册）
03986753,8.2,230,考古学研究入门
25826755,8.5,175,政治学与生活
11502402,8.2,226,新版中日交流标准日本语高级（上下册）
26839420,9.4,87,教育心理学（第10版）
06725708,8.7,144,计量经济学基础 第5版 上下册
01836441,7.8,333,模拟电子技术基础
02049861,9.3,92,新华字典(1990年重排本)
07001214,8.5,166,现代汉语 [增订五版](下)
05344024,9.6,75,珍爱生命
25813568,9.6,75,概率论基础教程（原书第9版）
04720239,8.1,236,文学理论新编
03919652,9.2,96,数学分析讲义（第一册）
01540063,7.1,766,中国美术简史
04014578,8.4,177,大学俄语1
01316263,9.2,95,田英章硬笔楷书标准教程
26628523,8.1,230,高等数学·下册
03827035,7.8,312,战略品牌管理
26919485,8.4,173,从Python开始学编程
01190072,9.0,107,数字集成电路
01229098,7.9,276,高级英语
26397183,7.4,487,计算机是怎样跑起来的
01836439,8.1,223,数字电子技术基础
26320455,8.3,185,社会学
26806211,9.1,98,心理学（第三版）
