ID,Rating,Votes,Title
01013208,8.4,63346,如何阅读一本书
01007928,9.1,10315,美国纽约摄影学院摄影教材（上）
03323633,8.6,11676,写给大家看的设计书（第3版）
01441853,8.9,5397,伯里曼人体结构绘画教学
03990022,9.2,3670,美国纽约摄影学院摄影教材（上册）
01039460,9.0,3616,美国纽约摄影学院摄影教材（下）
10546125,9.3,2380,JavaScript高级程序设计（第3版）
01485731,9.6,1679,原动画基础教程
01154707,8.7,2646,素描的诀窍
03095037,9.1,1447,听音乐（插图第6版）
03990023,9.0,1612,美国纽约摄影学院摄影教材（下册）
01578504,8.7,2078,建筑学教程：设计原理
04727293,9.4,781,理解漫画
04213525,8.5,1788,电影镜头设计
05948760,8.7,1191,A Byte of Python
01751123,8.6,1239,走遍法国(学生用书 1/上)
01174739,8.9,852,艺用人体解剖
01951547,8.5,1265,像艺术家一样思考
01134620,9.3,524,席勒油画.水彩
27182216,9.5,423,理解人体形态
06012933,7.8,2816,救猫咪
05399602,9.7,346,Framed Ink
04866934,8.0,1790,Python基础教程（第2版）
26763747,9.1,484,永山裕子的水彩课Ⅰ: 重新开始学水彩
06266302,9.1,453,素描的诀窍
01161542,9.3,376,美国纽约摄影学院摄影教材（上册）
19950884,9.1,422,视觉艺术用光
01082798,8.9,465,美国新闻摄影教程
03449304,8.6,626,哈佛大学建筑系的八堂课
26602858,8.2,962,摄影笔记
02327417,9.3,306,大师之路
27092980,9.3,296,色彩与光线：写实主义绘画指南（珍藏版）
03112503,7.7,1555,Python核心编程（第二版）
03998734,9.2,298,Photoshop修色圣典
02010622,8.6,517,超级漫画素描技法-基础篇
02296690,8.0,975,拍电影
04727295,9.1,296,制造漫画
01131497,8.7,389,奥列佛风景建筑速写
04109177,9.4,212,伯克利现代吉他教程
02076086,9.0,287,弹指之间
01468046,8.5,450,平面设计我的第2语言
03024391,8.7,366,指弹吉他完整教程
26928533,7.9,716,日本料理神髓
02225512,8.7,293,超级漫画素描技法-草图篇
10565975,8.9,241,超级漫画家圣经
26708517,8.1,527,绘森活--水彩私享课
01245500,8.5,347,和声学教程
04251079,8.6,312,WOW! Photoshop插画设计
01496108,8.8,256,约翰·汤普森现代钢琴教程
04254481,9.6,134,人体素描
01343515,8.9,227,Cambridge Ielts 4 Student&#39;s Book with Answers
26796791,9.0,205,永山裕子的水彩课 Ⅱ : 叠色渲染技法
24532904,7.9,599,故事策略
04837454,8.7,258,漫画分镜头表现教程
02205654,9.4,145,看示范·学水彩
27043843,9.4,143,拍出绝世光线：摄影师的完美用光技巧解密
01099604,8.6,269,动态素描·人体解剖
06049132,7.9,549,Python学习手册（第4版）
02224412,8.5,291,PHOTOSHOP CS/CS2 WOW!BOOK
05936451,9.8,104,伯里曼着装形体绘画
02348738,7.7,655,COMPOSITION摄影构图
04104397,9.1,164,彰显生命力
01829794,9.0,173,美国摄影图片制作工艺专业教程
02074852,9.1,160,世界摄影大师维利·罗尼眼中的巴黎75年
02107857,8.4,281,简明法语教程（下）
26436490,9.1,153,透视如此简单
03270265,8.4,275,网格设计
10742073,8.3,302,水彩画完全自学教程
01119281,8.6,226,动态素描·人体结构
01417942,8.2,328,电影剧作者疑难问题解决指南
04926492,9.2,137,日本漫画大师讲座1
01444827,8.6,219,英国儿童读物插画完全教程
02138504,9.2,134,PADI开放水域潜水员教程
03670057,8.9,167,超级漫画素描技法:透视篇
10739129,8.0,383,野村重存的水彩课
07564239,7.8,479,狗头拍牛片
01174671,9.3,120,素描进阶教程
02348481,7.7,518,LIGHTING摄影用光
01016673,9.3,119,水彩画里的色与光
26393558,9.0,145,水彩画的实质
01672392,8.3,263,剧作法
02815285,9.2,124,Perspective Drawing Handbook
06129756,9.1,133,生命的幻象
27046204,9.3,113,永山裕子的水彩课 Ⅲ : 如何画出透明感
25967753,8.5,207,水彩基础
04284900,8.2,268,手作族一定要会的缝纫基本功
06773763,9.3,106,素描的原点
05936445,9.3,104,伯里曼人体绘画技法
01808314,9.1,117,怎样画钢笔画
11533547,9.8,74,红果汁的漫画CG技巧
01440054,8.7,155,心靈寫作－創造你的異想世界
20423230,8.4,199,电影摄影照明技巧教程
03923500,8.5,177,Oran猪漫画教室
05936448,9.7,74,伯里曼人体构造
04037526,9.1,109,管理：使命、责任、实务(使命篇)
01442199,8.4,187,艺用人体解剖
05936449,9.6,76,伯里曼百手图册
26608163,8.5,164,萌翻你的手帐简笔画10000例
05293922,9.4,84,超絕吉他-地獄訓練所
01456961,8.8,127,C++ Primer Plus
05457136,9.4,82,Botanical Portraits with Colored Pencils
10515226,8.6,145,365日！木吉他手的养成计划
03869715,7.9,275,社会学研究方法
03171429,8.7,131,准备分镜图
03870795,9.9,58,Die Gestalt des Menschen
03909836,8.2,193,柯林斯30分钟水彩花卉
03206941,7.9,256,美国摄影用光教程
02065100,8.2,188,成功销售必读的24本书
01459468,8.9,103,美国纽约摄影学院摄影教材(上册)
01917477,7.8,267,国际平面设计基础教程
25899659,8.8,108,厨神的家常菜
25952069,9.2,81,色铅笔浓情花鸟绘（亚洲篇）
34912485,8.6,121,投资至简
02057582,8.4,142,兔本幸子的插畫教室
01449168,9.1,81,Photoshop设计师圣经
01140959,8.2,160,铅笔速写技法
01196877,8.7,106,新世纪水彩人物画技法
01187941,8.3,144,走遍法国：练习册.1(上)
10593504,8.8,97,制造漫画
03909839,8.3,143,柯林斯30分钟水彩画
01968473,8.4,127,英国影视制作基础教程
05399568,8.7,100,我的缝纫机笔记
34925977,9.3,64,中村佑介的插画教室
01098880,7.8,206,新编剑桥商务英语（中级）
07063010,8.4,119,WOW 不一样的插画设计
01028476,8.2,138,照相馆的故事
03274215,8.5,105,《W.A.Y.画途》第一辑：漫画人的成功学
06126923,8.0,160,自然光人像摄影指南
01861237,9.5,53,Figure Drawing for All It&#39;s Worth
03164127,8.3,119,就这样享用Word
01706376,8.3,117,民谣吉他考级标准教程
02334124,8.7,85,兔本幸子的素描教室
04885015,8.3,113,兔本幸子的插画教室
01142543,7.8,175,怪兽来了
