ID,Rating,Votes,Title
10471333,9.0,19515,叫魂
01062193,8.5,34990,娱乐至死
01022238,8.2,58121,菊与刀
04124727,8.1,51465,孤独六讲
01012307,9.2,6238,规训与惩罚
33424487,8.9,9323,时间的秩序
26319730,8.5,15009,娱乐至死
01025723,8.3,15891,潜规则
03711709,8.7,8252,娱乐至死 童年的消逝
06811366,8.3,14266,禅与摩托车维修艺术
03003032,9.3,3291,浪漫主义的根源
04282084,8.8,5567,论摄影
06511362,9.0,4255,我们时代的神经症人格
25836270,8.8,5476,厌女
26848740,9.3,2791,认识电影：全彩插图第12版
01315190,8.8,4907,想象的共同体
06558202,9.0,3440,容忍与自由
01315213,9.0,2569,中国文化要义
26874446,9.1,2159,社会学的想象力
26708306,8.6,3746,北欧，冰与火之地的寻真之旅
20258505,9.4,1338,规训与惩罚(修订译本)(第4版)
25751763,9.3,1326,语言与沉默
01017818,8.3,4504,观看之道
01988414,9.0,1801,二十世纪西方文学理论
10540815,8.3,4351,菊与刀
01155722,8.8,2235,电影批评
26298597,9.0,1591,我们赖以生存的隐喻
01068912,8.4,3268,中国文化的深层结构
01064734,8.3,3618,疾病的隐喻
06028977,8.5,2730,零ZEЯRO
34434342,8.5,2644,人类群星闪耀时
01437687,8.8,1806,性经验史
06436972,9.1,1252,中国文化要义
04579688,8.5,2528,丑的历史
21325858,8.8,1556,文明的冲突
01276479,8.9,1384,发达资本主义时代的抒情诗人
01012379,8.6,1931,知识分子论
01704159,8.6,1918,街角社会
01000213,8.5,2006,迎向灵光消逝的年代
03574418,8.7,1502,张国荣：禁色的蝴蝶
01089142,8.4,1988,消费社会
25900948,8.4,1943,消费社会
26769136,8.7,1331,为什么长大？
04818177,8.2,2379,英国人的言行潜规则
01025001,8.4,1816,东方学
07014927,8.7,1252,中国神话传说
05905979,9.1,804,斜目而视
27156515,8.0,3052,美术馆里聊怪咖
03213781,9.1,725,启迪
26552069,9.4,530,黑暗之城
01810944,8.7,1052,启蒙辩证法
04189215,9.2,616,灵之舞
06799513,8.9,799,跨国灰姑娘
34447865,9.5,446,西方哲学史（第9版）
30301599,9.0,712,电影的秘密
20501422,8.6,1094,文学理论入门
01081863,9.1,631,规训与惩罚
05396636,9.2,567,资本主义与精神分裂 （卷二）
01031857,7.8,2998,虐恋亚文化
26319794,8.0,2130,童年的消逝
01040215,8.9,720,浮出历史地表
25842926,9.2,534,理论入门
30348025,9.5,402,文化理论与大众文化导论
01907655,9.4,438,东京梦华录笺注（上下）
01675500,9.1,570,后现代主义与文化理论
03339862,8.6,940,性别麻烦
26723539,8.7,839,事件
06139564,9.0,607,雅克•拉康
30347299,9.4,418,The Buried
05214612,8.2,1474,福柯
01868874,8.4,1133,摄影小史+机械复制时代的艺术作品
26865819,8.3,1264,景观社会
04891219,8.2,1381,甜与权力
04882131,8.8,681,文化理论与大众文化导论
03064047,8.8,648,西方文化概论
01960256,8.5,880,机械复制时代的艺术
01262809,8.8,632,近代的超克
04202342,8.6,774,电影史
26427579,7.8,2085,观看之道
27045564,8.5,853,吴清源回忆录
