ID,Rating,Votes,Title
03576486,9.1,31092,小狗钱钱
01013208,8.4,63346,如何阅读一本书
01033778,8.3,58354,富爸爸，穷爸爸
01139360,9.3,9403,毛泽东选集 第一卷
25976544,9.2,10326,故事
03533221,8.4,35531,非暴力沟通
03609132,8.4,35481,把时间当作朋友
10786473,8.2,45623,自控力
05346110,8.9,11552,穷查理宝典
02328458,9.1,8451,社会性动物
01060774,8.7,14597,君主论
27608239,8.4,22260,原则
01322025,8.7,13300,卓有成效的管理者
03697494,9.1,6558,洞穴奇案
06709809,8.4,14209,暗时间
01025723,8.3,15891,潜规则
06952036,9.1,4680,对伪心理学说不
06811366,8.3,14266,禅与摩托车维修艺术
05325618,8.4,11282,高效能人士的七个习惯
26831789,8.7,6450,穷查理宝典
01320282,9.1,3650,什么是数学
20428922,8.3,10347,学会提问
01504957,8.6,5752,学会提问
03888123,8.6,5574,写作这回事
04864832,9.3,2288,为什么学生不喜欢上学?
01115353,8.3,8674,奇特的一生
25986341,8.1,11494,万万没想到
03748247,8.3,8213,把你的英语用起来！
03420606,8.7,4531,正面管教
30199434,8.3,7665,原生家庭
27094706,8.7,4183,财富自由之路
25749845,8.4,6279,把时间当作朋友（第3版）
05320866,8.3,7136,重来
26895993,7.9,13600,刻意练习
01071023,8.7,3863,谈谈方法
24749465,7.4,31524,断舍离
26874446,9.1,2159,社会学的想象力
27186106,8.3,6157,心流
25782902,8.1,8361,反脆弱
05317075,7.1,57684,蔡康永的说话之道
26759508,8.1,7793,硅谷钢铁侠
20507212,8.0,8158,习惯的力量
25852981,8.7,2944,小强升职记
01020644,8.1,6844,金字塔原理
10945606,8.3,4996,精益创业
02345548,8.2,5627,学习之道（第2版）
33385402,8.1,6415,事实
04262627,9.0,1875,重构
04051739,8.7,2601,第五项修炼
01874488,8.1,6012,别做正常的傻瓜
10586741,8.3,4375,关键对话
02060491,8.9,1976,逻辑学导论
26761696,7.5,16126,精进
22994632,8.9,1928,成功，动机与目标
11505704,9.1,1520,The Ph.D. Grind
05916234,7.6,12697,番茄工作法图解
06100919,9.2,1305,治史三书
04163938,8.7,2321,软件随想录
04882120,8.1,5218,金字塔原理
04243770,8.5,2815,创新者的窘境
01322336,9.0,1528,控制论与科学方法论
01183730,8.5,2808,谈话的力量
04740002,9.1,1357,On Writing Well
01221479,8.9,1695,与“众”不同的心理学
01045862,8.4,3179,第五项修炼
25985683,7.7,9327,人性的弱点
34326931,8.6,2414,掌控习惯
02124114,8.8,1869,怎样解题
10455982,9.3,1017,什么是数学
06313277,8.9,1555,学术训练与学术规范
27056409,7.7,8058,深度工作
01135754,8.1,4120,你的灯亮着吗?
06854525,7.9,5594,黑天鹅
10773362,8.1,4094,随机漫步的傻瓜
25977798,9.5,761,Word Power Made Easy
26676528,8.5,2283,如何阅读一本文学书
03682204,7.6,8686,佐藤可士和的超整理术
10456130,9.5,724,社会与政治运动讲义（第二版）
04849382,8.3,2777,搞定
10773358,8.1,3630,意志力
24753651,8.3,2658,Zero to One
26877306,7.7,6187,微习惯
04199741,8.6,1704,代码整洁之道
27117578,9.1,939,沟通的艺术（插图修订第15版）
01383525,8.7,1450,How to Read a Book
26314063,7.9,4231,斯坦福极简经济学
01438147,8.9,1139,让数字说话
26895988,8.0,3574,学习之道
02969410,8.8,1254,与本科生谈：论文与治学
25783654,7.4,9515,如何高效学习
11528220,8.3,2259,系统之美
01961913,8.3,2254,太傻十日谈
26952718,7.7,5486,好好学习
26789567,7.3,11193,如何有效阅读一本书
26873486,7.9,3966,运营之光
27078435,7.8,4607,跃迁
03006742,8.6,1521,改变
25742296,8.3,2166,有限与无限的游戏
03644095,7.9,3806,越读者
05321463,8.2,2460,沟通的艺术
04035330,8.6,1449,研究是一门艺术
26895836,9.2,746,不发表 就出局
30188003,7.9,3622,为什么精英都是时间控
26178426,7.5,6939,稀缺
26799348,8.1,2682,演讲的力量
27170672,8.6,1340,财富自由之路
03550249,8.8,1032,科学哲学
26284789,8.6,1294,高效能人士的七个习惯
01829747,9.1,744,Asking the Right Questions
30353486,7.8,3736,认知天性
10531723,8.7,1074,爱因斯坦传
03138847,7.9,3013,思考的技术
26279084,9.4,517,翻译乃大道
07057936,8.4,1482,批判性思维
27025626,9.1,682,君主论
01077688,9.1,681,逻辑新引・怎样判别是非
01399297,8.8,914,社会研究方法
26936065,8.1,2124,请停止无效努力
01322324,8.8,895,思想史研究课堂讲录
02979192,8.8,890,矛盾论
01436707,7.5,5178,如何掌控自己的时间和生活
34988734,9.1,618,走出唯一真理观
01070897,8.5,1169,十九札
03896758,8.5,1166,参谋助手论
11522125,8.4,1307,找对英语学习方法的第一本书
27023900,7.4,5640,睡眠革命
24754537,7.4,5588,简单的逻辑学
05344908,7.9,2493,别独自用餐
34864919,8.8,815,写作7堂课
07001106,7.4,5358,时间管理
33396395,8.3,1407,幕后产品
25838004,8.9,712,法学论文写作
03803268,8.6,982,历史决定论的贫困
01418669,8.7,877,社会学方法的准则
26605978,8.2,1545,超越智商
33438811,8.7,826,为什么
34870933,7.7,2993,人生十二法则
06687032,8.7,814,经验的疆界
25833051,8.3,1288,幸福的婚姻
01059490,7.6,3441,麦肯锡方法
25763679,8.7,808,不确定世界的理性选择
27043711,8.2,1448,这样写出好故事
03518162,8.7,791,社会研究方法
25792556,9.3,438,心理学
24697776,8.1,1602,批判性思维工具（原书第3版）
26662600,7.9,2074,哈佛非虚构写作课
27609489,7.7,2756,远见
26606009,7.7,2754,精力管理
26761859,7.7,2697,精要主义
26771587,8.0,1738,坚持，一种可以养成的习惯
01100470,7.5,3591,现在，发现你的优势
25775696,7.6,3055,金字塔原理
03691437,7.3,5044,思维导图
