ID,Rating,Votes,Title
03259440,9.1,460312,白夜行
03211779,8.9,411953,嫌疑人X的献身
10554308,9.1,272243,白夜行
25862578,8.5,642236,解忧杂货店
03646172,8.4,195282,恶意
25924253,9.0,53704,嫌疑人X的献身
04117922,9.0,46247,嫌疑人X的献身
26877752,8.7,36156,恶意
05038409,9.0,18896,金色梦乡
02297697,8.6,34201,ZOO
03920130,8.6,27072,告白
06746289,8.4,33943,新参者
10554309,8.5,22656,恶意
03187737,8.3,29651,占星术杀人魔法
04074636,7.6,121327,放学后
26639966,8.2,25433,新参者
26681984,8.8,9114,告白
03162527,8.7,10167,魍魉之匣（下）
04038673,9.0,5417,络新妇之理（下）
04038672,8.9,6155,络新妇之理（上）
33658616,8.8,7066,克莱因壶
04836682,8.5,10775,告白
03102324,7.7,44694,秘密
03162513,8.4,12451,魍魉之匣（上）
04009552,7.5,67278,幻夜
04067621,8.2,15085,暗黑童话
06249670,8.8,5791,首无·作祟之物
03140801,8.0,20254,姑获鸟之夏
04152754,7.6,42778,时生
04580972,7.7,34607,流星之绊
03713327,7.7,33149,圣女的救济
26118072,7.7,29985,祈祷落幕时
10740776,8.4,8819,占星术杀人魔法
30359030,8.5,7273,醉步男
26413027,7.5,41581,虚无的十字架
05269222,8.5,6698,一朵桔梗花
01158934,8.5,6552,钟表馆幽灵
26651926,8.0,14377,红手指
05395724,8.6,5566,华丽人生
05939312,8.2,9445,超·杀人事件
03801097,7.8,18275,夏天·烟火·我的尸体
05347699,7.8,17499,彷徨之刃
25892399,7.8,17192,余生皆假期
06794021,7.8,17143,红手指
03785741,8.1,10164,死神的精确度
07060186,8.2,8500,GOTH断掌事件
03615061,7.5,27373,宿命
26760976,8.4,5663,怒
04034009,8.3,6530,剪刀男
03615048,8.1,8891,异邦骑士
02336093,7.8,14193,池袋西口公园
25848819,8.3,6206,钟表馆事件
27115970,8.0,9759,秘密
04928387,7.5,23443,单恋
05380266,7.9,10923,怪笑小说
04067626,8.1,7799,重力小丑
26774897,8.0,9019,流星之绊
04898712,8.3,5467,奇想·天动
06041089,8.2,6108,家鸭与野鸭的投币式寄物柜
04718973,7.8,11664,毒笑小说
26298572,7.9,9710,彷徨之刃
27200261,7.6,15863,假面山庄
04753783,7.4,22545,分身
06719724,8.1,6380,死了七次的男人
26285818,8.6,3041,虹の歯ブラシ 上木らいち発散
26771719,8.4,3986,钟表馆事件
26723423,8.3,4379,动物园
06558046,8.2,4984,人间椅子
25737793,8.6,2848,阳光劫匪
11498200,8.3,4266,寂寞的频率
24153181,7.6,12980,从前我死去的家
26687879,8.0,6507,一首小夜曲
04277347,7.9,7644,解体诸因
05326849,8.1,5446,奥杜邦的祈祷
26359751,8.2,4683,重力小丑
10580802,8.2,4609,模仿犯BOOK1
25720041,7.7,10342,秘密
10594788,7.5,14596,谁杀了她
04264003,7.4,17443,名侦探的守则
26846483,8.2,4326,不然你搬去火星啊
10594781,8.5,2839,模仿犯BOOK3
03187750,7.7,9444,斜屋犯罪
06558049,8.2,3950,阴兽
34778578,8.2,3735,恐妻家
03286829,7.9,5889,脑髓地狱
25954353,8.1,4273,所罗门的伪证
26367367,8.6,2120,宵待草夜情
02055004,8.5,2382,七個證人
03865832,7.1,25174,变身
05395153,8.4,2681,涂佛之宴·宴之支度（上）
26387513,7.8,6435,麒麟之翼
26599256,8.1,3913,死神的精确度
26314930,8.6,1964,杀手界·疾风号
04152764,7.8,6067,点与线
01032762,8.0,4406,狱门岛
10580803,8.3,2807,模仿犯BOOK2
03683898,7.5,9390,向日葵不开的夏天
20440568,8.5,2037,赤朽叶家的传说
03885914,8.7,1588,悪意
27028847,7.2,16618,沉睡的人鱼之家
17724327,7.4,10830,盛夏的方程式
01158930,7.7,6310,十角馆杀人预告
02119536,7.8,5331,砂器
05416915,7.5,8830,杀人之门
20473093,8.6,1674,大逃杀
01794287,8.5,1828,斬首循環
27001114,8.7,1431,一朵桔梗花
04199431,7.8,4893,天帝妖狐
26892089,8.1,3080,奥杜邦的祈祷
24384165,7.6,6414,麒麟之翼
02242467,7.2,13399,湖边凶杀案
20449829,7.4,8911,我杀了他
04047674,9.2,771,如無頭作祟之物
05919999,7.6,6162,赎罪
01094487,8.4,1887,人性的证明
34786086,7.3,10435,沉默的巡游
06423665,8.8,1149,一朵桔梗花
02325502,8.5,1615,暗黑童話
34778574,7.5,7040,夏天、烟火和我的尸体
03926665,7.2,11945,伽利略的苦恼
04152750,7.6,5655,杀戮之病
30475757,7.9,3498,圣母
11501902,8.1,2597,异邦骑士
25737796,8.8,1061,库特利亚芙卡的排序
34996429,8.7,1185,消失的13级台阶
26327314,8.3,1912,胚胎奇谭
04181156,8.2,2183,双曲线的杀人案
04152763,7.9,3303,零的焦点
11615173,7.1,13481,假面饭店
04191594,7.3,8959,绑架游戏
06001119,8.0,2808,两分铜币
33460032,8.3,1847,在黑暗中等
26712094,8.1,2408,汽油生活
25881335,8.1,2379,在黑暗中等待
27055125,8.0,2735,死了七次的男人
01930701,8.6,1251,絞首浪漫派
23780806,8.4,1585,奇想，天动
11511204,7.4,7060,悖论13
10740772,7.8,3473,斜屋犯罪
27054451,8.0,2570,体育馆之谜
01089949,7.7,3994,本阵杀人事件
25748118,8.0,2536,孩子们
02335749,8.1,2188,点与线·零的焦点
25713168,8.0,2465,摩登时代
11614712,8.0,2419,狱门岛
26780574,7.8,3173,家鸭与野鸭的投币式寄物柜
03753043,7.5,5122,北方夕鹤2/3杀人事件
11528304,7.8,3118,本阵杀人事件
24846035,8.3,1548,被遗忘的故事
06902164,7.2,8582,平行世界·爱情故事
06731202,8.3,1529,恋文
01207339,8.4,1344,青春的证明
10494248,8.2,1730,阴摩罗鬼之瑕（下）
30210250,7.7,3504,谁杀了她
05423899,7.8,2997,乌鸦的拇指
27078155,7.8,2994,解体诸因
20267980,8.2,1689,大手笔
10598145,7.2,8159,毕业
01103644,8.0,2175,罪恶的拍球歌
25892396,7.9,2469,有翼之暗
10473576,7.4,5465,替身
05326846,7.7,3304,一首朋克救地球
26348596,7.8,2831,密室收藏家
26769999,7.8,2825,死神的浮力
21324173,8.6,991,第三时效
10518843,8.0,2069,刺青杀人事件
25732311,8.8,782,史上最凶惡綁架撕票事件
26920165,6.8,16974,拉普拉斯的魔女
26789636,7.8,2675,一首朋克救地球
01437683,7.9,2296,黑暗馆不死传说
27070071,8.6,942,迟来的翅膀
26853726,7.1,8680,假面饭店
25851888,8.2,1478,都市传说
26651873,7.8,2517,火车
27173553,7.1,8175,白金数据
06060436,7.6,3361,D坂杀人事件
24744495,7.7,2801,迷宫馆事件
04220357,7.7,2776,沙漠
03787195,7.5,3810,黑暗坡食人树
04903440,7.1,7658,名侦探的诅咒
01387819,8.3,1200,青之炎
24532591,7.3,5226,十角馆事件
26775247,8.0,1705,箱庭图书馆
25732157,8.2,1312,玻璃之锤
27193113,7.8,2245,黑色皮革手册
20381888,8.2,1289,坏女人
24383185,7.9,1910,冰菓
04133164,7.8,2197,盘上之敌
30203733,8.2,1228,阳光劫匪友情测试
27609210,8.1,1394,阳光劫匪倒转地球
26638267,8.3,1085,变调二人羽织
25756837,9.5,327,アルファベット・パズラーズ
24853056,8.3,1081,愚者的片尾
01485501,7.6,2801,全部成为F
20428306,8.0,1569,犬神家族
04218911,7.6,2788,理由
20503618,8.5,847,惡之教典 (上)
25918073,7.8,2047,独眼少女
21347638,7.1,6425,只差一个谎言
11597271,7.9,1737,恶魔吹着笛子来
06251398,7.6,2681,螺丝人
01158932,7.5,3104,迷宫馆的诱惑
06985652,8.0,1494,山魔·嗤笑之物
10594783,6.9,9232,沉睡的森林
30245830,7.8,1949,从前我死去的家
26417643,7.4,3575,歪笑小说
30396712,7.2,4985,尸人庄谜案
01158935,7.5,2989,黑猫馆手记
07067983,7.2,4868,黎明之街
04191587,6.7,13265,十一字杀人
04836934,7.7,2119,全部成为F
04231214,7.9,1595,恶人
27026383,8.5,757,赤色博物館
19951185,7.0,6871,神探伽利略
34463603,8.3,928,太阳与少女
27037148,7.1,5510,大雪中的山庄
25808629,8.3,921,绕远路的雏人偶
26771720,7.8,1752,迷宫馆事件
03553032,7.7,1974,流星之絆
26297985,6.6,14947,梦幻花
06817749,7.4,3075,倒错的死角
11528301,7.7,1911,八墓村
30210694,7.1,5095,悲剧人偶
02087398,8.3,868,神様ゲーム
26995717,8.5,690,絕叫
05038408,7.5,2461,算计
02071379,8.3,838,姑獲鳥之夏
26873412,7.6,2097,向日葵不开的夏天
19929422,8.3,833,体育館の殺人
06889894,8.2,923,鹭与雪
26373943,7.6,2050,她死去的那一晚
10549916,7.7,1769,紫丁香庄园
02242430,7.6,2047,咚咚吊桥坠落
21690242,8.5,651,拿破仑狂
06967992,7.6,2030,孤岛之鬼
03616594,9.4,278,アルファベット・パズラーズ (ミステリ・フロンティア)
10345553,7.1,4634,为了N
24358626,8.0,1144,古书堂事件手帖 01
26795258,8.3,788,零的焦点
06861465,7.6,1945,羔羊的盛宴
30157645,8.2,866,阳光劫匪日常与袭击
06889834,7.4,2612,往复书简
04934360,7.4,2576,神的逻辑，人的魔法
06151649,7.6,1893,W的悲剧
07047148,6.7,9526,同级生
06151379,7.4,2566,鸦
06556841,7.6,1875,继父
03615041,7.2,3553,御手洗洁的问候
25927233,7.5,2170,杀手界
27204776,8.2,841,书楼吊堂
25722935,7.5,2135,魔王
24538716,8.6,535,幻影城主
26834481,7.7,1566,百鬼夜行——阳
02025723,8.9,393,超越极限
20432186,7.0,4840,布鲁特斯的心脏
24879279,8.5,579,莲实的课堂（上下册）
02242381,7.4,2356,雾越邸杀人事件
26985352,7.4,2333,敲响密室之门
07153424,8.3,697,人性的证明
04882014,7.6,1705,残虐记
20379212,6.9,5429,不如去死
19951341,7.6,1667,完美无缺的名侦探
03101617,8.4,608,日本短篇推理小说选
35016085,8.0,948,诡计博物馆
03634566,8.4,595,鼠之夜
30428949,7.2,3032,推理竞技场
26739950,7.7,1402,点与线
11498195,7.6,1616,人格转移杀人事件
10567859,7.7,1383,幸福之书
34792523,7.9,1049,黑暗中飘香的谎言
03537837,7.7,1366,银座幽灵
06719708,7.8,1186,百舌呐喊的夜晚
24853063,8.3,641,古书堂事件手帖 02
04723740,6.7,7476,回廊亭杀人事件
03052810,7.3,2436,使命與心的極限
22606935,7.8,1154,恶魔的彩球歌
25779594,7.1,3358,魔球
03231137,8.3,599,溶于雾中
11533530,7.9,955,十一张牌
07153428,8.5,479,青春的证明
03096857,7.8,1075,猫知道
03996700,8.0,834,放学后的侦探队
25885612,7.8,1074,两人距离的概算
26935572,6.9,4458,浪花少年侦探团
20468727,7.6,1405,北方夕鹤2/3杀人事件
06434440,7.5,1605,寻狗事务所
01130033,8.3,578,13级台阶
06903025,7.9,902,恐怖分子的洋伞
24844043,8.0,793,零的焦点
07047217,7.3,2098,倒错的轮舞
01158931,7.1,2923,水车馆幻影
03723863,7.2,2463,出云传说7/8杀人事件
25985987,7.7,1161,暗黑馆事件
26723427,8.0,789,西巷说百物语
26703641,6.7,6155,假面前夜
11639553,7.7,1148,代号D机关Ⅰ
26936111,8.4,494,神的遊戲
26771717,7.1,2833,十角馆事件
30162440,8.0,770,夜光的阶梯
25731139,7.5,1491,幻夜
06249667,7.5,1483,厌魅·附体之物
10515231,7.5,1479,献给虚无的供物
25737792,7.8,963,黑屋吊影
24847108,8.4,478,加贺探案集
04186940,8.4,475,文學少女：見習生的初戀
02058096,8.0,740,吸血之家
30317423,7.5,1432,我杀了他
33413091,8.0,739,检察方的罪人
10527654,7.6,1240,鼠男
26941499,7.5,1427,羔羊们的平安夜
25720029,7.5,1420,宿命
26742634,8.0,734,白昼的死角
01119051,7.9,822,越界（上/下）
25957816,7.3,1886,悖论13
05326850,6.6,6772,白马山庄杀人事件
06848987,7.5,1366,一个背叛日本的日本人
33476142,9.2,218,占星术杀人魔法
06961052,7.5,1344,光媒之花
25813874,8.3,496,古书堂事件手帖 04
25713184,7.7,1009,交错的场景
34444561,8.5,401,死亡护理师
35017604,7.8,883,祈念守护人
20428298,7.6,1143,夜行
24532237,7.6,1138,死亡螺旋
27116684,8.1,605,华丽人生
26909777,8.0,679,末日愚者
01940811,7.9,766,緊閉的門扉
27125950,6.9,3465,第十年的情人节
26755284,7.4,1498,献给折颈男的协奏曲
02370447,7.3,1735,樱的圈套
30264248,8.5,389,鏡之孤城
26672742,8.4,429,図書館の殺人
04064434,8.6,351,文學少女 愛戀插話集(01)
25756926,7.1,2368,禁忌魔术
04124393,7.1,2337,开膛手杰克的百年孤寂
24845281,8.2,523,獨眼少女
05938073,7.4,1451,活尸之死
01820014,8.4,418,夺取
07916085,7.7,936,泪流不止（上、下）
21979042,7.6,1069,半落
10594728,7.2,1924,推理要在放学后
03070843,7.2,1915,龙眠
26797395,7.6,1057,夏日启示录
04711239,7.2,1897,水晶金字塔
26650280,8.2,504,模仿犯（全三册）
10618121,8.0,628,扮鬼脸
26639968,7.8,799,理由
10746421,7.5,1187,能面杀人事件
26534879,7.5,1169,夜之国的库帕
22993089,7.2,1830,预知梦
25897072,7.2,1823,黑猫馆事件
06510996,8.1,544,震度0
27200982,7.6,1006,替身
06060381,8.7,294,メルカトルかく語りき
22606953,7.5,1137,雾之旗
05423799,8.2,473,黑暗馆不死传说（上下）
26133088,7.7,842,天使的呢喃
07153418,7.1,2019,富士山禁恋
26865025,7.2,1717,半落
03122449,8.3,416,活屍之死
06966299,8.1,513,向日葵的祭典
05293928,8.9,234,六之宮公主
26926528,7.4,1240,名侦探的守则
01891109,7.9,639,黑桃A的血咒
03121778,9.0,214,メルカトルと美袋のための殺人
26692201,7.7,814,爱的成人式
11607283,7.2,1646,萤
05939295,6.7,3939,鸟人计划
10572294,9.2,178,花葬
05380419,7.3,1376,匣中失乐
11639557,7.7,775,代号D机关Ⅱ
30206396,7.0,2150,假面之夜
26774525,7.7,760,砂器
24723004,7.0,2132,水车馆事件
04753522,7.7,759,尸体长发之谜
02238010,7.6,859,女妖
26723425,7.9,589,前巷说百物语
27621482,7.9,583,折断的龙骨
26771722,7.3,1292,黑猫馆事件
10537626,7.2,1492,倒错的归结
06831054,7.6,840,绑架游戏
05326848,7.4,1095,龙卧亭杀人事件（下）
19954848,7.1,1710,十万分之一的偶然
02373289,8.7,250,羅蘋計畫
10799276,8.0,503,临场
10755064,7.9,561,城市之光
03920059,8.7,247,秋花
30159888,7.3,1221,图书馆之谜
33476148,7.3,1204,杀死玛丽苏
33390352,7.6,782,风之丘五十元硬币之谜
34998167,7.5,891,绝对不在场证明
11501895,7.5,887,寝台特急1/60秒障碍
05315019,8.5,286,大誘拐
03926674,7.1,1587,被诅咒的木乃伊
25754002,6.8,2650,虚像小丑
06429267,6.5,4772,美丽的凶器
06967993,7.3,1160,帕诺拉马岛奇谈
05326847,7.3,1157,龙卧亭杀人事件（上）
06249669,7.3,1154,凶鸟·忌讳之物
33404966,7.7,668,潜水艇
26421649,7.2,1328,苏格兰游戏
26320686,7.3,1141,为了N
07153435,8.1,416,野性的证明
06019121,7.9,518,真相
24846465,8.0,461,水族館の殺人
10591693,7.3,1126,苍白的轨迹
11521606,7.6,743,婚纱
03203159,7.4,972,他人事
26608084,7.3,1119,满愿
25859250,7.6,738,螺丝人
11615172,7.3,1106,假面饭店
27156813,7.7,644,谜亭论处
24879729,7.8,569,再见，天使
