ID,Rating,Votes,Title
01082154,9.1,190798,活着
01017143,8.5,200886,不能承受的生命之轻
01786670,8.9,52345,百年孤独
01013267,9.4,14480,唐诗三百首
04920007,8.8,31634,不能承受的生命之轻
01013225,8.4,29488,生活在别处
01020670,8.3,27953,舞！舞！舞！
06711405,8.9,9488,不能承受的生命之轻
01060117,8.6,12455,不朽
25900384,9.1,3909,不能承受的生命之轻
01052828,8.4,10098,玩笑
01016486,8.4,9697,笑忘录
02033081,8.2,12443,身份的焦虑
01064828,8.4,7691,好笑的爱
01063796,8.7,4691,小说的艺术
02216583,8.8,3927,沉重的肉身
06526752,8.8,3763,生命之书
01059537,8.7,3400,沉重的肉身
01030366,8.2,6601,身份
04766921,9.0,2193,解体概要
01064707,8.7,3122,从卡夫卡到昆德拉
01025336,7.9,9364,慢
01057197,8.1,6695,无知
01023709,8.4,3988,被背叛的遗嘱
02300010,8.5,3426,夜访吸血鬼
05917662,8.5,2777,生活在别处
05918057,8.8,1570,玩笑
01876746,8.3,2849,帷幕
05936857,8.5,2155,笑忘录
26877993,9.1,1055,不能承受的生命之轻
20513012,7.6,8037,无比芜杂的心绪
25762598,8.9,1276,尽头
01424307,9.1,1001,The Unbearable Lightness of Being
25373041,8.7,1505,我和狗狗的16年
05918007,8.6,1674,好笑的爱
30193594,7.9,3867,遮蔽的天空
02302798,8.6,1408,吸血鬼莱斯特
25900388,8.6,1305,生活在别处
01449451,8.4,1511,为了告别的聚会
01394427,8.7,933,不朽
05917968,8.2,1680,慢
25900366,9.4,426,小说的艺术
25881325,7.1,8087,庆祝无意义
05917720,8.6,881,告别圆舞曲
04191577,7.9,1915,相遇
01937629,8.6,731,生命中不能承受之轻
05918367,8.3,944,身份
05917945,8.3,869,无知
04129403,8.6,568,生活在别处
01344536,8.7,489,生命中不能承受之輕
01547222,8.5,553,生命中不能承受之轻
24845885,8.9,370,不能承受的生命之轻
04732177,8.0,955,小说的艺术
25900374,8.7,440,无知
05917733,8.8,374,帷幕
24845888,8.7,396,好笑的爱
01341045,9.4,176,The Unbearable Lightness of Being
05917726,8.5,347,被背叛的遗嘱
02274335,7.7,844,你的萨宾娜，我的卡夫卡
25900365,8.6,299,好笑的爱
01390027,8.8,211,生命中不能承受之輕
25900369,8.1,410,慢
24845890,8.9,183,笑忘录
25985250,9.0,139,生命中不能承受之輕
01208148,8.2,276,灵魂的出口
24845895,8.6,184,生活在别处
25900371,9.1,122,被背叛的遗嘱
05918355,8.2,259,雅克和他的主人
01024466,7.7,425,认
27600014,9.2,108,费尔迪杜凯
24845893,8.9,132,不朽
01781177,8.1,254,缓慢
01340784,8.6,160,Laughable Loves
01348412,8.8,136,不朽
01360866,8.7,142,生活在他方
01361661,8.4,182,可笑的愛
25919831,9.0,104,雅克和他的主人
01923481,7.6,368,本性
25900368,8.9,107,帷幕
25819940,7.6,336,寂寞的公因数
24845903,9.2,83,小说的艺术
01361634,9.2,82,玩笑
30415436,9.2,81,在经验与超验之间
01340621,8.9,98,The Book of Laughter and Forgetting
19962933,8.8,105,被贬低的思想
02132087,8.5,131,笑忘录
33296606,9.0,85,小说的艺术
01016504,8.2,152,阅读的年轮
01360864,7.9,200,緩慢
20277974,8.3,125,帷幕
30464970,8.7,91,文字传奇
01464328,8.4,114,不朽
01404873,9.2,63,Immortality
25722215,8.0,130,我有一座城
25900975,8.2,106,相遇
01055157,8.6,77,可笑的爱情
01471829,7.9,135,欲望玫瑰
26975234,8.7,59,皮
02267407,8.8,55,小说的艺术
01361651,8.5,60,靈魂的出口&lt;隨身一冊&gt;
01361672,8.6,56,賦別曲
03784932,8.2,73,相遇
01362295,8.1,73,雅克和他的主人
30389682,7.7,100,法定幸福
01258342,7.1,161,叩问存在
01438929,8.7,42,被背叛的遺囑
01683434,6.8,218,米兰·昆德拉传
20277979,7.8,78,相遇
01362294,8.3,52,無知
01365247,8.5,40,Ignorance
01827740,8.5,38,小說的藝術
02213865,8.4,39,米兰昆德拉如是说
01139750,7.9,53,对话的灵光
01329933,8.8,30,小說的藝術
04823034,9.0,27,不朽
01424302,8.7,31,Farewell Waltz
10779498,8.3,39,生命中不能承受之轻
03641159,8.5,31,生活在他方
01329934,8.8,25,被背叛的遺囑
03712484,7.1,66,米兰·昆德拉小说
04105418,9.6,15,The Unbearable Lightness of Being
02971666,7.9,35,生活在别处
06038875,7.9,34,阿涅丝的最后一个下午
01361671,7.8,36,身分
01486225,6.9,72,秋天死于冬季
01872926,9.0,18,L&#39;Identité
01370958,8.2,27,The Joke
26413081,8.1,28,The Festival of Insignificance
01251813,8.3,24,中华武术轻功
01954613,7.7,34,诗·思·史
26333066,7.4,39,無謂的盛宴
01346104,8.3,19,半先知與賣文人
06963742,8.0,20,为了告别的聚会
01868959,8.2,17,L&#39;ignorance
03641170,8.1,11,玩笑﹝新譯本﹞
01371257,0.0,10,Farewell Waltz
05379222,0.0,10,玩笑
01441847,0.0,13,簾幕
30159099,0.0,14,米兰·昆德拉传
