ID,Rating,Votes,Title
01449348,8.9,22092,彷徨
01046492,9.3,12142,國史大綱（上下）
01028842,9.1,15426,经济学原理（上下）
10786473,8.2,45623,自控力
01056295,8.2,39846,人性的弱点全集
04010196,8.1,25031,世界因你不同
05283699,7.6,7182,郎咸平说：我们的日子为什么这么难
06556296,8.3,1917,亚洲教父
03063888,8.5,870,我的广告生涯&amp;科学的广告
01044177,7.5,1798,李嘉诚全传
06310335,8.3,544,星期天
25849758,7.7,655,富足
26728923,7.9,235,盔甲骑士：为自己出征
01819272,7.5,161,大家族
26666480,8.4,49,差不多先生传
01027262,6.8,183,李嘉诚传
02979601,7.4,62,李嘉诚家族传
25820219,6.2,234,李嘉诚：成功没有偶然
04200208,6.1,76,李嘉诚全传
01046398,8.6,10,李嘉诚如是说
02968735,7.1,21,李嘉诚全传
01928571,7.0,17,告诉你一个真实的李嘉诚
04080119,7.4,12,李嘉诚家族全传
01942963,6.9,14,李嘉诚商学全书
02997891,6.6,15,华人首富李嘉诚图传
01974678,6.2,19,我们是李嘉诚的学生
01412618,7.0,11,成就李嘉诚一生的八种能力
02070346,6.5,14,李嘉诚智传
05328062,5.8,14,李嘉诚人生自白书
03352360,0.0,10,李嘉诚成功语录
04146357,0.0,10,李嘉诚的财富传奇
05264428,0.0,10,三等車票
03462748,0.0,13,李嘉诚财富人生
