ID,Rating,Votes,Title
01043008,9.0,69498,格林童话全集
01119839,9.1,15885,王尔德童话
01880823,8.8,4180,格林童话
02003111,9.2,1910,格林童话
01020054,9.4,348,格林童话选
01085815,9.3,378,格林童话全集(下)
30280340,8.9,482,格林童话（上下）
01915337,7.5,2676,百变小红帽
01076328,9.1,230,格林童话全集
01005572,8.6,266,白雪公主
01958067,9.1,159,格林童话选
01205384,9.4,114,格林童话全集
01059486,8.8,151,格林童话故事全集
03112357,8.6,157,睡美人
01000768,8.7,129,格林童话
01070465,9.0,76,格林童话
03413889,8.5,87,格林童话
26392880,8.4,78,小红帽
01069149,9.5,39,格林童话
01032947,8.1,92,格林童话精选
04105451,7.6,143,水妖
25897658,8.4,72,格林童话全集
01958627,8.2,83,格林兄弟童话选
06386808,8.2,71,七只乌鸦
30161618,9.2,35,格林童话（美绘珍藏版）
06012795,8.1,68,狼和七只小羊
01007761,7.6,96,尘封160年的格林童话
06313491,8.2,52,格林童话
01059272,9.6,23,格林童话全集
02343608,9.5,24,Snow-White and the Seven Dwarfs (Sunburst Book)
01204956,9.3,21,格林童话(彩图世界童话金库)
04926612,7.8,48,两个神秘的小鞋匠
04716749,8.5,28,七只乌鸦
01844325,8.4,29,格林童话
01621611,9.1,19,Brothers Grimm
01000928,8.3,26,格林童话
01001544,8.4,16,格林童话
26652411,8.5,14,布莱梅乐队
25982953,8.8,12,格林童话
03398668,8.9,11,格林童话全集
30320919,8.3,14,花衣魔笛手
04926409,7.6,13,Grimms Fairy tales
