ID,Rating,Votes,Title
01255625,9.1,102637,天龙八部
01002299,9.0,88428,笑傲江湖（全四册）
01255624,8.9,80228,神雕侠侣
01044547,9.0,64631,射雕英雄传（全四册）
01212893,8.8,45464,鹿鼎记（全五册）
01070851,8.6,49390,倚天屠龙记(共四册)
01789837,9.0,18077,射雕英雄传
01559310,9.0,12554,鹿鼎记
01919201,8.4,32757,七夜雪
01789841,8.7,17310,倚天屠龙记
01089512,8.7,16975,陆小凤传奇
01422833,8.7,16761,多情剑客无情剑(上、中、下)
01264579,8.8,12889,欢乐英雄
02218216,9.5,4920,金庸作品集
01082582,9.0,8324,天龙八部（全五册）
03532347,9.6,3352,金庸全集
26886310,8.8,9272,有匪1
01212910,9.3,4606,笑傲江湖（全四册）
27198567,8.6,11670,有匪（全集）
01089517,8.4,15209,绝代双骄（全三册）
01089521,8.4,13808,楚留香传奇
01212908,9.1,4979,神雕侠侣（全四册）
01430909,8.6,9806,昆仑1
01316622,8.3,15482,诛仙1
06969074,9.4,2982,天龙八部
01337303,9.0,4744,笑傲江湖
26989242,9.1,4125,有匪2
01256186,8.3,12197,护花铃
04832584,9.3,2991,笑傲江湖
01261471,8.7,6465,香初上舞
01082271,9.1,3796,射雕英雄传（全四册）
01057444,8.6,6947,大唐双龙传
01430910,8.6,6025,昆仑2
01438712,8.6,5683,昆仑4
01089523,8.3,8706,七种武器（全三册）
20397330,8.7,4758,小李飞刀1：多情剑客无情剑（上中下）
01063624,8.8,4121,鹿鼎记（全五册）
01109968,8.7,4706,英雄志（全三册）
02078219,7.9,15983,且试天下1
02337600,8.0,13063,诛仙
05336428,9.1,2615,吉祥纹莲花楼终篇之青龙·白虎
10466059,9.1,2523,射雕英雄传（全4册）
01777678,9.4,1753,笑傲江湖
01076045,7.7,19941,连城诀
01442920,8.2,8192,镜·破军
27079142,8.9,3019,有匪3
01082319,8.8,3416,倚天屠龙记（全四册）
01209676,8.5,4902,绝代双骄
01089518,7.9,12001,萧十一郎
02245889,8.8,3123,多情剑客无情剑
05423803,8.2,7263,剑桥倚天屠龙史
01793132,7.6,20270,白马啸西风
01068308,7.6,20016,雪山飞狐
01478487,7.8,13493,曼珠沙华
04252125,8.7,3083,吉祥纹莲花楼·玄武
01425636,8.7,3036,杯雪·夜雨打金荷
27113008,8.8,2614,有匪4
01668021,8.1,6944,寻秦记
01704006,8.0,8141,边城浪子（上下）
01052380,7.7,13680,飞狐外传
01337300,8.8,2511,神鵰俠侶
04118599,8.3,4776,武侠，从牛A到牛C
01607112,8.7,2718,小李飞刀系列
01987495,8.4,3895,沧海Ⅱ
02079345,7.9,8056,侠隐
01089510,7.8,9402,流星·蝴蝶·剑
01089515,7.8,9260,武林外史（上下）
01681426,8.8,2098,杯雪·传杯·秣陵冬
04053575,9.2,1320,射雕英雄传（套装共4册）
01088089,8.5,3012,风云第一刀
01480630,7.9,7327,天涯·明月·刀
10466761,8.9,1819,倚天屠龙记
04835660,9.4,1023,神雕侠侣（套装共4册）
24529235,8.4,3308,刀背藏身
01502083,8.8,1967,杯雪·停云·宗室双歧
01136998,8.7,2197,楚留香传奇系列
01762129,8.2,4232,昆仑前传
01337302,9.1,1302,天龍八部
25846270,8.7,2044,吉祥纹莲花楼（完美典藏版）
04053593,9.1,1270,鹿鼎记
01093078,9.2,1092,古龙作品全集（全53卷）
01805988,8.5,2453,庆熹纪事
01089511,7.6,9485,三少爷的剑
01789842,7.4,13156,侠客行
01212890,8.1,3977,连城诀
01271494,8.7,1728,倚天屠龙记（全四册）
03236155,8.9,1349,韦帅望的江湖
01337292,8.4,2441,倚天屠龍記
24324704,8.1,3683,剑桥简明金庸武侠史
04116115,9.0,1165,神鵰俠侶
25714176,7.7,6395,雪中悍刀行 1
01844850,8.3,2577,洛阳女儿行·卷一
01050640,8.2,2850,云海玉弓缘（上下）
04129249,8.7,1468,五大贼王1
03863359,8.9,1164,千劫眉·两处沉吟
01442035,7.8,5020,连城诀
01014493,8.1,3083,萍踪侠影录
20516996,8.4,2032,陆小凤传奇3：决战前后
01667254,7.8,4675,飞狐外传（上下册）
01810556,9.2,798,天龙八部（1-5）
01773129,8.6,1523,长安古意·肝胆
01058956,7.4,9045,碧血剑
01483923,7.8,4547,雪山飞狐
01055976,7.2,11922,碧血剑（上下）
01014533,7.2,11890,书剑恩仇录(上下)
06560171,8.5,1536,杯雪（全二册）
03577800,9.2,712,韦帅望的江湖(Ⅲ众望所归)
24743902,8.6,1350,欢乐英雄（上下）
01866590,9.0,851,神雕侠侣
01088935,9.2,671,天龙八部（全五册）
03321449,9.1,737,韦帅望的江湖之大刃无锋
03002672,8.7,1110,狐魅天下·第二部·神武衣冠
01062514,7.8,3597,白发魔女传
01521829,8.5,1380,七种武器
01511965,8.1,2210,逆水寒
03063713,9.1,682,射雕英雄传
06969080,8.9,836,鹿鼎记（全5册）
20516999,8.0,2501,陆小凤传奇1：金鹏王朝
01088088,7.6,4611,大人物
01465135,8.2,1889,情锁
01442037,7.2,9246,书剑恩仇录
03034205,8.1,2128,天涯明月刀
04847836,7.9,2807,羽·赤炎之曈
20516998,8.1,2073,陆小凤传奇2：绣花大盗
04053590,9.3,531,笑傲江湖（全四册）
01919221,7.9,2558,人间六道之修罗道
01440611,7.9,2519,迷侠记
26307841,9.4,453,神雕侠侣（新修版）
02342840,8.3,1431,苏旷传奇
01089513,7.6,3786,白玉老虎（上下）
02284204,7.5,4450,道士下山
04056547,8.7,874,英雄志【二十二】八王世子
01089519,7.5,4432,大旗英雄传（上下）
26592708,9.3,460,射雕英雄传（新修版）
01212894,7.2,7064,侠客行（全二册）
20397327,8.0,1945,小李飞刀2：边城浪子（上下）
01375428,8.9,655,英雄志【十七】天之正道
01011201,8.8,717,神雕侠侣(全四册)
01920475,8.8,708,倚天屠龙记
01011004,9.1,524,笑傲江湖(共四册)
26797723,9.2,475,鹿鼎记（新修版）
01635897,8.7,776,欢乐英雄
20516992,8.1,1580,陆小凤传奇5：幽灵山庄
21778489,8.1,1565,萧十一郎
01364416,8.8,685,英雄志【十九】王者之上
01738639,7.4,4376,九月鹰飞
06312491,8.2,1338,长安古意
03336960,8.4,1048,沧海明月·凝碧卷
03310839,8.6,832,沧海明月·夕影卷
27169514,8.9,603,蝉时雨
03114310,8.3,1168,开唐之教坊
26322283,9.2,451,天龙八部（新修版）
20400003,8.2,1295,武士会
01644010,9.4,369,天龙八部（全五册）
03550509,8.4,998,英雄志【一】西涼風暴
26692407,9.1,478,笑傲江湖（新修版）
01374054,8.8,636,英雄志【十五】鎮國鐵衛
04053576,9.3,387,神雕侠侣（套装共4册）
04053585,9.3,387,天龙八部（全五册）
02011423,7.3,4517,光明皇帝
03550693,8.8,609,英雄志【八】金榜題名
26737732,9.8,252,金庸作品集
03873891,8.7,671,苏旷传奇之重整河山待后生
01683455,8.9,547,射雕英雄传（全四册）
03550708,8.8,604,英雄志【十二】十面埋伏
01362683,8.8,598,英雄志【十八】吾國吾民
01981376,8.2,1154,换日箭
01212892,7.8,1946,雪山飞狐
25861829,8.2,1133,雪中悍刀行 7
04053579,9.1,426,倚天屠龙记（全四册）
01209675,7.9,1635,武林外史（上、中、下）
01683659,8.1,1242,边荒传说
26801108,8.3,914,雪中悍刀行 13
20397341,8.0,1325,楚留香新传2：蝙蝠传奇
25805096,8.1,1165,雪中悍刀行 6
01512937,7.7,1997,四大名捕会京师(上下)
06969096,8.4,802,连城诀
01738640,7.7,1968,英雄无泪
06969090,8.1,1127,飞狐外传
03211103,7.2,4300,越女剑
03550721,8.7,559,英雄志【二十】保衛京城
01420370,7.8,1618,华音流韶之海之妖
25805095,8.0,1234,雪中悍刀行 5
21778097,8.2,959,七种武器 1：长生剑·孔雀翎
01341421,9.5,265,笑傲江湖（全四冊）
01449302,7.8,1573,华音流韶之曼荼罗
01089509,7.0,5811,圆月弯刀
04056539,8.7,532,英雄志【二十一】兵臨城下
10955948,8.2,917,昆仑前传·铁血天骄
01059644,7.5,2362,七剑下天山
05908885,8.1,1021,血薇
25932509,8.1,1017,雪中悍刀行 9
01212909,7.9,1295,飞狐外传（全二册）
26266175,8.1,984,雪中悍刀行 11
02162995,9.4,268,倚天屠龍記
25902241,7.7,1659,道士下山
01455373,8.2,851,神州奇侠(正传)(1-4)
24872480,8.1,935,绝代双骄
06793874,8.3,735,武道狂之诗（卷一 之 风从虎•云从龙）
06969097,8.1,915,雪山飞狐
01738644,7.5,2042,火并萧十一郎
25962249,8.0,1021,雪中悍刀行 10
04898668,8.4,638,缺月梧桐 卷一
01916155,9.4,248,天龙八部
02136038,6.8,6947,诛仙8（大结局）
01914808,8.3,704,云海玉弓缘
26312598,8.8,417,倚天屠龙记（新修版）
03018365,9.2,289,射雕英雄传（上下）
21778288,8.2,764,七种武器 2：碧玉刀·多情环
26865961,8.2,764,雪中悍刀行 14
01088813,8.4,591,蜀山剑侠传
26739632,8.1,829,雪中悍刀行 12
02058344,7.9,1039,弓箫缘 石榴记
01207626,8.4,573,谁来跟我干杯
04709682,8.6,463,绿林记
02569156,8.0,888,帝都赋
02170250,7.9,985,血海飘香
03018373,8.9,334,笑傲江湖（1-4)
20405966,8.5,483,听雪楼沧月系列系列典藉版（全三册）
01038140,7.3,2169,侠客行(上下)
21778498,8.1,714,七种武器3：离别钩·霸王枪
01801948,7.7,1181,温柔一刀
03782093,8.2,622,陸小鳳傳奇（四）幽靈山莊——古龍精品集
01738651,7.2,2442,风铃中的刀声
01916144,9.7,162,笑傲江湖
11580823,8.7,367,多情剑客无情剑
01033866,7.0,3367,浣花洗剑录（上下）
27058802,8.2,608,雪中悍刀行 16
03018384,9.1,249,神雕侠侣（全三册）
01738649,7.4,1687,七杀手
20516997,7.4,1684,陆小凤传奇4：银钩赌坊
03854851,9.3,206,金庸作品集（36册）
01212891,7.4,1595,碧血剑（全二册）
24870338,7.5,1375,三少爷的剑
25868476,8.4,455,裂国·大王图
01489844,7.6,1180,华音流韶之天剑伦
01493256,8.2,557,卧虎藏龙
04053588,8.1,619,侠客行
26133411,7.5,1320,忘川 下
01776128,8.1,610,萍踪侠影
06938136,8.7,326,倚天屠龍記（新修版）（全四册）
04012996,9.3,194,天龍八部(全五冊)
20397329,7.6,1121,小李飞刀4：天涯·明月·刀 飞刀又见飞刀（上下）
01123658,7.3,1700,书剑恩仇录（全二册）
10529094,8.7,304,昆仑1.惊澜之变
01920467,9.6,147,倚天屠龙记
03199324,9.6,144,天龙八部
03266340,7.7,883,彼岸天都
01704005,7.3,1545,碧血洗银枪
01276235,8.3,433,多情剑客无情剑(1-3)
27058803,8.0,601,雪中悍刀行 17
10558243,8.9,244,昆仑4.祭我天罚
02059009,7.9,667,流星蝴蝶剑（上下）
03293297,8.0,588,曼荼罗
03128115,6.4,8018,鸳鸯刀
03260087,8.8,260,鹿鼎記（新修版）（全五册）
10618119,8.1,518,大沙漠
03423697,8.5,340,楚留香传奇（全三册）
01957701,7.5,1077,武林客栈·月阙卷
24871623,7.9,633,流星·蝴蝶·剑
26331518,8.7,275,连城诀
33429491,8.1,499,昆仑
01023366,9.1,194,金庸武侠全集(全36册)（繁体 竖排 点评本）
20397326,7.4,1206,小李飞刀3：九月鹰飞（上下）
01137000,9.0,208,欢乐英雄
04827396,8.5,324,三京畫本
03293699,8.0,542,天剑伦
01966337,7.3,1357,紫诏天音
