ID,Rating,Votes,Title
03608208,8.5,120391,牧羊少年奇幻之旅
01775691,8.4,81347,少有人走的路
03406401,9.0,25415,悉达多
01803022,9.0,15959,圣经
26369699,8.6,26251,被讨厌的勇气
03533221,8.4,35532,非暴力沟通
02340100,8.0,73638,遇见未知的自己
01963912,8.8,14669,正见
10549934,9.1,7435,悉达多
01409704,8.9,7650,金刚经说什么
05990251,8.5,12901,西藏生死书
03034480,9.4,3380,圣经
06811366,8.3,14266,禅与摩托车维修艺术
03158482,8.9,5419,新世界
01393447,9.1,3338,忧郁的热带
01045716,8.7,5607,人生中不可不想的事
01761759,9.0,3460,超越死亡
01005193,8.6,5527,重新认识你自己
05332713,9.0,3143,人间是剧场
02277299,8.4,6924,当下的力量
30199434,8.3,7666,原生家庭
06526752,8.8,3763,生命之书
03413836,8.4,6563,当下的力量
01050743,8.7,4194,西藏生死之书
02066374,9.2,2170,返璞归真
03834938,8.3,6915,与神对话（第一卷）
24749465,7.4,31524,断舍离
10546850,8.8,2966,内在的天空
01812011,9.0,2308,佛教的见地与修道
05290370,8.6,3822,禅的行囊
01317485,8.7,3272,生命是什么
26292550,9.0,2239,悉达多
26796536,9.0,2127,身体从未忘记
01829799,8.7,2978,爱的觉醒
01066108,8.5,3873,易经杂说
03266968,7.2,33362,秘密
01060531,8.5,3396,忏悔录
26827590,8.6,2848,八万四千问
24758481,8.6,2708,当下的力量（珍藏版）
02376506,8.9,1867,生命的轨迹
03800022,8.2,4495,活出全新的自己
02122992,9.0,1531,故道白云
01859649,8.1,4595,生命的不可思议
25978763,8.7,2008,僧侣与哲学家
05450660,8.6,2239,次第花开
25819842,9.0,1390,佛陀传
02149682,8.5,2539,遇見未知的自己
02372450,8.7,1929,改变，从心开始
04726852,8.5,2478,正念的奇迹
03123393,7.6,9739,遇见心想事成的自己
24863163,9.0,1224,恩宠与勇气：超越死亡
06510070,8.2,3219,人生不设限
01105890,8.1,3711,生命的重建
26363229,7.7,6972,亲密关系：通往灵魂的桥梁
04898627,8.4,2381,禅者的初心
03910883,9.0,1152,观呼吸
01258513,8.5,2043,爱与寂寞
02241168,8.7,1571,内在的探索
06052834,8.0,3799,亲密关系
25844144,8.4,2127,一间自己的房间
03671442,8.5,1784,修炼当下的力量
25902141,8.9,1116,正见
10512506,7.7,5633,世界上的另一个你
03622904,7.2,13723,不抱怨的世界
