ID,Rating,Votes,Title
01084336,9.0,576781,小王子
10554308,9.1,272253,白夜行
10594787,9.0,184332,霍乱时期的爱情
03554154,8.9,33158,阿狸·梦之城堡
01119839,9.1,15885,王尔德童话
02160226,9.2,9797,快乐王子
10786473,8.2,45624,自控力
05395407,8.8,11283,阿狸·永远站
01856025,8.9,8842,道连·葛雷的画像
26344078,9.0,7118,夜莺与玫瑰
03608235,8.5,12866,失物之书
03259428,8.6,10506,斜阳
06857344,8.5,10510,夜莺与玫瑰
03014444,8.6,8676,自深深处
03836566,8.6,8436,玫瑰的名字
26912631,8.9,5282,道林·格雷的画像
03394338,7.5,55638,他的国
05248516,9.2,3435,改变心理学的40项研究
10512236,8.4,8476,时间的针脚
20443559,7.7,25865,小王子
01016880,8.8,4189,道连·格雷的画像
03129584,8.8,4167,莎乐美
04714156,9.2,1803,夜莺与玫瑰
26286299,8.6,3714,自深深处
04736014,9.1,1860,快乐王子
06784968,8.8,2560,莎乐美
26686625,8.5,3518,自深深处
05406568,9.0,1869,道连·葛雷的画像
26331659,9.0,1781,道林格雷的画像
01203622,9.0,1719,莎乐美 道林・格雷的画像
01428018,9.1,1492,The Picture of Dorian Gray
03683898,7.5,9390,向日葵不开的夏天
01372356,8.9,1223,Lolita
04253335,8.7,1213,坎特维尔的幽灵
01000251,9.0,842,王尔德全集
01039017,8.9,926,温夫人的扇子
04895788,9.1,654,道连•格雷的画像
01030575,9.0,720,理想丈夫与不可儿戏
19936010,7.0,12567,三生三世十里桃花
01316652,9.2,559,王尔德作品集
01919221,7.9,2558,人间六道之修罗道
01959339,9.1,582,巨人的花园（中英双语）
01015396,9.1,565,快乐王子
27182450,8.5,1010,夜莺与玫瑰
06060436,7.6,3361,D坂杀人事件
01575895,9.3,428,De Profundis
01511994,8.7,718,道林·格雷的画像
01041262,8.3,1121,王尔德狱中记
01427315,8.7,706,The Importance of Being Earnest
05261730,8.6,768,月亮看见了
01060476,9.2,418,快乐王子集
03329950,8.2,1128,剑桥艺术史：20世纪艺术
20435558,9.1,419,莎乐美
26982527,9.2,376,王尔德喜剧
01794666,8.7,592,巴黎，19世纪的首都
01575952,9.0,425,The Picture of Dorian Gray
25774843,9.1,367,快乐王子
01483870,8.1,1035,如果你爱我比较深
01471945,9.5,254,Complete Fairy Tales of Oscar Wilde
03428902,9.2,323,Complete Fairy Tales of Oscar Wilde
01840387,9.2,316,Picture of Dorian Grey (Classic Library)
06878082,9.0,374,托尔斯泰或陀思妥耶夫斯基
02132092,8.9,410,道林·格雷的画像
26388273,8.8,446,道连·格雷的画像
01437263,9.0,366,莎乐美 道林·格雷的画像
02173201,8.2,816,停滞的帝国
01736690,8.8,412,Lady Windermere&#39;s Fan
01718677,9.5,220,The Plays of Oscar Wilde
01109564,9.0,319,道林·格雷的画像
02273645,8.8,383,道连·格雷的画像
01065010,9.0,314,谎言的衰落
26295445,8.9,343,夜莺与玫瑰
01475452,9.0,297,Salome
01288909,7.8,1018,日本论
03145570,8.8,324,富兰克林自传
01000240,8.4,473,狱中记
02160732,7.5,1427,莎乐美的七层纱
06524919,9.2,215,快乐王子
26674030,8.6,363,夜莺与玫瑰
25902239,8.5,388,道林·格雷的画像
01030065,8.6,348,人面狮身的女子
04040732,8.8,285,不可儿戏
01787398,9.1,219,The Picture of Dorian Gray
01755967,8.6,338,An Ideal Husband
11530250,9.0,230,这是我最好的爱
21361152,8.7,294,夜莺与玫瑰
03293297,8.0,588,曼荼罗
26377915,8.2,459,夜莺与玫瑰
04582449,8.9,230,The Importance of Being Earnest
04920383,7.3,1327,这辈子，只能这样吗？
10604944,8.4,315,末世之家
06000035,8.5,275,公主的生日
03238521,8.9,191,王尔德童话
04005108,8.8,197,渔夫和他的灵魂
04850137,8.0,389,王尔德诗选
25986499,8.7,196,奥斯卡·王尔德传
11603979,8.5,229,狱中记
34851273,8.5,229,自深深处
02472114,9.1,135,The Picture of Dorian Gray and Three Stories
01274300,8.5,209,狱中记
11516959,8.3,244,夜莺与玫瑰
26789267,8.4,211,道林·格雷的画像
34845977,8.2,249,莎乐美
33476126,9.4,93,道林·格雷的画像
01207721,8.7,153,理想丈夫
25867846,7.7,378,王尔德诗选
02044333,8.9,122,王尔德戏剧选
02295174,8.6,154,蜘蛛女之吻
01397887,7.9,281,审判王尔德实录
19928910,7.0,858,笑什么笑，我们搞的是科学
01349331,9.1,100,自私的巨人 The Selfish Giant 
01020996,7.6,386,王尔德
01480724,8.1,223,A Woman of No Importance
