ID,Rating,Votes,Title
06082808,9.2,294588,百年孤独
05375620,8.7,15223,失控
02258034,9.3,4776,乡土中国
03711709,8.7,8252,娱乐至死 童年的消逝
03223711,8.1,14880,怪诞行为学
05914587,8.5,6766,启示录
01827702,8.5,6638,点石成金
01894695,9.0,1997,营销管理
10945606,8.3,4996,精益创业
01867642,7.6,14224,世界是平的
02297549,8.2,4178,用户体验的要素
06718487,8.4,2515,商业模式新生代
04036180,9.0,1180,营销管理
06391212,8.8,1449,理解媒介
05302113,8.3,2590,三双鞋
05914475,7.9,3496,无价
04736118,7.9,3460,结网
01314262,8.1,2260,情感化设计
01440223,8.4,1510,Don&#39;t Make Me Think
01318427,7.7,3910,蓝海战略
11516567,8.7,985,四步创业法
06712457,8.2,1714,你早该这么玩Excel
03419122,8.2,1495,22条商规
05376384,8.1,1585,结网
03932520,7.5,3659,免费
24714655,8.2,1329,我看电商
03794450,8.3,1120,细节营销
25975454,7.8,1980,九败一胜
01000900,8.0,1335,顾客为什么购买
11589951,8.0,1314,长尾理论
03735295,7.5,2659,未来是湿的
10433837,8.6,596,采购与供应链管理
05348144,8.3,824,SEO实战密码
04816212,7.4,2807,真希望我20几岁就知道的事
03169342,8.2,895,Web信息架构(第3版)
25909355,8.4,686,数据化管理
03595095,7.4,2431,统计数字会撒谎
24335672,7.3,2316,淘宝技术这十年
04178327,8.3,596,谁说大象不能跳舞(珍藏版)
25766700,7.4,1927,一网打尽
04246667,7.7,1166,粘住
24538225,8.5,438,The Everything Store
03396111,8.0,677,网络营销实战密码
25732463,7.7,964,淘宝十年产品事
26400900,7.1,2297,创京东
06434328,7.4,1363,谁说菜鸟不会数据分析
01474667,7.9,671,搜
06999354,7.9,655,玩法变了
03669688,7.5,1046,NO LOGO
03793884,7.6,893,轻公司
01059824,8.6,260,网络经济的十种策略
25764520,8.1,415,走出电商困局
05904151,7.4,941,马云内部讲话
26584041,7.7,564,长尾理论
04019512,7.0,1400,正在爆发的互联网革命
25843241,7.3,857,互联网思维独孤九剑
24753137,7.7,493,移动设计
03717165,7.3,819,众包
02015536,8.0,324,消费者行为学
04175522,9.2,110,概率导论
05351808,7.9,339,众妙之门
25925083,8.2,247,再看电商
04191615,8.1,267,剥削好莱坞
25975485,7.0,803,穿布鞋的马云
01886848,8.0,228,The Long Tail
24875857,6.8,1033,社交红利
04722708,7.9,228,系统程序员成长计划
01789440,7.8,252,财富的革命
03795574,7.1,579,部落：一呼百应的力量
01231224,7.8,219,数学模型(第三版)
06851214,7.2,420,社会化营销
24841121,7.7,228,做自己:鬼脚七自媒体第一季
26386566,7.1,428,一个人的电商
01921361,6.8,628,谁认识马云
26630833,7.5,244,电商数据化运营
24738300,7.2,342,数据挖掘与数据化运营实战
04312608,7.5,239,流量的秘密
04912848,7.7,189,价值观的力量
01459138,6.4,909,在小吃店遇见凯恩斯
04264059,7.6,179,搜
03150953,7.2,272,马云正传
25744061,8.4,81,掘金微时代：移动互联下的生存与制胜指南
06558345,7.2,238,信任代理
03683788,7.2,224,马云管理日志
03561335,8.5,69,这样做HR最有效
01805425,8.1,90,产品管理
01283113,7.4,171,整合营销传播
04306582,6.9,282,正在爆发的营销革命
01073266,8.5,61,供应链管理
04895658,7.8,100,Google 广告优化与工具
10546139,7.7,109,SEO艺术
03734828,8.0,82,eBay中国实践之启示
03986916,7.1,189,马云十年
04791051,6.8,269,成人之美
01919363,7.5,116,顾客要买什么
26998040,7.2,156,尽在双11：阿里巴巴技术演进与超越
01476966,7.0,194,互联网商规11条
04913235,8.6,47,淘宝大赢家-网店赚钱必会120招
26393727,7.0,182,女孩老板
30239806,7.7,87,亚马逊跨境电商运营宝典
25789586,6.2,523,商战：电商时代
27060584,8.0,66,电商有道运营有法
27044440,7.4,110,淘宝天猫店是如何运营的
03266445,6.6,253,名博是怎样炼成的
03685443,6.4,318,李彦宏的百度世界
26671649,6.0,600,Google工作整理术
03908071,5.4,1721,豆瓣，流行的秘密
25767577,7.8,57,爱生活——鬼脚七自媒体第二季
06785461,7.1,105,众包
04139675,8.0,47,供应链物流管理
03816826,6.6,167,当我们变成一堆数字
03437266,8.0,45,马云如是说2
