ID,Rating,Votes,Title
01001193,8.6,13416,再见了，可鲁
01079680,8.7,5850,你今天心情不好吗？
01434525,8.3,6970,记得
01313317,8.4,1746,三毛私家相册
01019715,8.8,999,世界名画家全集--莫奈
01291987,9.2,641,俺爹俺娘
05320662,8.5,940,随园食单
01001871,8.7,512,梵高
25811785,7.3,2627,莫奈和他的眼睛
01081182,8.6,324,世界名画家全集--蒙克
01280543,7.6,976,一个特立独行的人
01005822,8.2,461,中国服饰史
01477703,8.8,203,Vivienne Westwood
11632503,8.3,315,长物志
01057887,8.5,259,世界名画家全集--达利
01149898,9.2,129,凡.高
01397579,7.5,558,我不在家，就在去博物馆的路上
01032419,7.6,458,唐僧情史
01019719,8.4,193,世界名画家全集--夏加尔
06510379,7.5,455,蒋介石画传
01024597,8.2,211,世界名画家全集--雷诺阿
01025573,8.6,134,怀斯
01007841,8.1,207,世界名画家全集--塞尚
01023079,8.4,156,世界名画家全集--马蒂斯
01179868,8.5,134,凡·高
01079632,8.2,173,世界名画家全集--德加
01309260,7.8,253,杰奎琳画传
01074162,8.6,114,世界名画家全集--莫迪利阿尼
01429282,8.5,123,世界名画家全集（全10册）
01220538,8.4,133,印象派画传
01013594,8.2,157,伦勃朗
01392095,7.3,372,波伏娃画传
01003198,8.3,132,世界名画家全集 毕加索
03465779,7.9,186,中国画论史
01018325,8.0,166,世界名画家全集--高更
01043236,8.4,107,英国水彩画大师
01494909,7.8,176,雷锋1940-1962
01014812,7.3,292,林青霞画传
02010592,7.9,155,海明威画传
01041238,7.1,365,张曼玉画传
01002235,8.3,99,世界名画家全集--米勒
01196753,8.2,107,高更
06006578,6.5,756,蒋介石：1887～1975（上）
01806762,7.9,135,我的儿子贝克汉姆
30254377,9.0,55,生活，在别处：海明威影像集
01148727,7.8,132,垃圾桶女人
03880740,9.0,53,芥子园画谱
01038321,8.1,100,鲁本斯:巴罗克绘画大师
01227049,7.4,191,达利画传
01317943,7.9,115,贝克汉姆画传
01006650,8.0,103,提香：威尼斯画派大师
01485613,8.0,103,周恩来画传
01077239,8.4,74,文艺复兴画圣
01843202,8.3,79,阅读凡.高
01429283,8.8,55,世界名画家全集丛书
01317941,7.8,108,乔丹画传
01429284,8.1,83,霍珀/世界名画家全集
01042263,7.5,139,莫奈画传
05502466,7.8,105,飞翔的耳朵
01008569,8.9,47,英国风景画大师
01193642,7.9,95,达利
01055902,7.4,148,梅兰芳画传
03730152,8.7,51,世界名画家全集——培根
01023579,8.2,72,世界名画家全集--杜菲
01000153,7.8,98,印象主义创始者:马奈
01853153,7.8,98,一个真实的葛丽泰.嘉宝-美丽与哀愁
01193647,7.9,86,毕加索
01201641,7.5,121,戴安娜画传
05398505,9.4,31,我是如此愛慕你
25890010,8.1,64,一战画传
01077461,8.1,62,世界名画家全集--康丁斯基
01046879,7.2,133,八大山人画传
02184687,8.7,40,宣和画谱
01271586,7.3,109,毕加索画传
01048022,7.5,90,魔幻.达利
01068836,8.3,48,文艺复兴的巨匠
01020155,7.5,89,全能的天才画家
03750126,8.4,44,我读石涛画语录
26469251,8.3,45,玛丽莲•梦露：流光倩影
01064464,8.6,37,弗美尔
01054667,7.5,81,戈雅
01073166,8.3,43,世界名画家全集--勃拉克
01022401,7.9,55,神秘的光线大师
01320326,7.9,53,傅雷画传
01009156,9.1,25,先知派绘画大师
01040658,8.1,43,委拉斯开兹：画家中的画家
01401309,7.3,80,大教堂的风采
01045943,7.7,54,曹雪芹画传
01915949,6.3,232,千面人萨特
01080273,8.1,40,图像晚清
26386827,7.8,49,人神异兽录
01028638,7.3,71,达·芬奇画传
01038541,7.4,65,文艺复兴三杰画传
01063923,7.6,55,莫扎特画传
01010624,8.6,28,新古典主义旗手
01082852,7.5,56,英国王
01096905,8.1,36,西洋美术家画廊
05417739,7.6,49,真实的幻觉
01072920,7.8,40,勃鲁盖尔
03100063,7.6,46,百年风流宋美龄档案照片
01050588,7.9,37,浪漫主义的灵魂:德拉克洛瓦
01042113,7.6,42,库尔贝
06100931,8.2,27,马连良画传
01673035,8.1,28,周润发画传
01011163,7.7,35,俾斯麦漫画传
01025793,7.7,35,蒙马特尔传奇画家:劳特累克
01271582,7.2,50,达・芬奇画传
26606428,8.6,20,齐白石自述：画出苦滋味
01019789,7.0,56,扬州八怪画传
01420739,6.9,59,梅艳芳画传
06754236,6.4,91,我的世界
01288500,7.3,38,美军四大战将全画传
01378334,8.2,21,格兰特·伍德
10586481,7.6,30,林徽因画传
25767342,7.8,26,福克纳画传
10523313,6.9,46,雷锋
04876363,7.0,41,光影印象
02248200,7.3,32,王元化画传
05417737,7.8,23,安静的野兽
01400054,7.0,39,周润发画传
01274023,7.8,20,老舍
01073194,7.7,20,邓小平画传
01450308,6.8,37,达·芬奇画传
01004850,7.1,27,云想衣裳-中国服饰的考古文物研究
04876365,7.2,25,全能的天才
26948692,8.3,13,穿越世纪的光
01607943,7.1,25,风情万种张曼玉
01313405,6.1,61,林志玲X档案
01441698,8.4,12,现代派绘画大师
01016345,6.8,30,萨特
01041514,7.1,24,海顿画传
01225861,6.5,38,罗丹画传
06852590,6.8,28,茨威格画传
01225866,6.9,25,安格尔画传
01047781,7.1,21,泰戈尔画传
01435122,7.3,18,维瓦尔第画传
