ID,Rating,Votes,Title
03259440,9.1,460313,白夜行
10554308,9.1,272254,白夜行
01068920,9.3,158312,飘
03646172,8.4,195284,恶意
25924253,9.0,53705,嫌疑人X的献身
01119522,8.4,102869,呼啸山庄
01013208,8.4,63346,如何阅读一本书
01483894,9.4,10928,三国演义
01017749,9.4,6215,乱世佳人(上、下)
05327697,8.2,37791,橙
01147193,9.1,5021,世说新语
04836682,8.5,10775,告白
01473895,9.1,4128,白夜行
26413027,7.5,41581,虚无的十字架
04893870,9.5,1776,飘（上下）
04928387,7.5,23443,单恋
02266490,9.1,1744,白夜行（上）
02266498,9.2,1434,白夜行（下）
06784976,7.8,6796,圣女的救济
01193101,9.4,795,飘
17724327,7.4,10830,盛夏的方程式
11615173,7.1,13481,假面饭店
01881837,8.1,2010,三言二拍
06507262,7.4,3755,如何让你爱的人爱上你
24523678,8.0,708,白噪音
02000671,7.4,1149,綁架遊戲
02057231,8.9,188,松本清張短篇傑作選(上)
26858577,6.1,10923,少年的你，如此美丽
01936868,8.5,129,半农半X的生活
01469598,7.8,220,浮生梦
04882387,8.0,107,高良健吾 Photo Book
