ID,Rating,Votes,Title
03066477,9.3,222580,三体Ⅱ
05363767,9.2,214997,三体Ⅲ
02567698,8.8,375320,三体
06518605,9.4,49471,三体全集
01085470,8.5,80224,海底两万里
01192090,8.7,53420,球状闪电
01016003,8.1,153084,鲁滨逊漂流记
03266609,8.6,56901,流浪地球
25829693,9.0,23608,永恒的终结
01258490,9.2,13205,基地
26362836,9.0,16358,献给阿尔吉侬的花束
01394364,8.8,17670,银河系漫游指南
26295448,8.6,21898,你一生的故事
07065521,9.0,10804,银河帝国：基地
26586492,8.9,12446,火星救援
30471298,9.2,8033,2001：太空漫游
05346110,8.9,11552,穷查理宝典
01258489,9.3,6586,第二基地
26389895,9.5,5073,银河帝国：基地七部曲
06265745,8.7,13979,银河系搭车客指南
01258491,9.2,6696,基地与帝国
10604915,9.2,6278,银河帝国3：第二基地
34672176,8.6,14053,呼吸
02340609,9.1,6668,2001太空漫游
25752955,9.0,7366,来自新世界 （上下）
06009029,9.3,4920,三體 Ⅱ
01418999,9.2,5543,银河英雄传说
01140727,8.7,10881,安德的游戏
01187842,9.0,7035,你一生的故事
26264967,8.4,17193,神们自己
10767124,8.5,13726,乡村教师
07065529,9.0,6576,银河帝国2：基地与帝国
24715686,8.8,8586,仿生人会梦见电子羊吗？
25941890,9.1,5445,海伯利安
01442869,8.9,6175,献给阿尔吉侬的花束
33658616,8.8,7067,克莱因壶
01275608,8.7,8090,神秘岛
01195590,8.6,9351,带上她的眼睛
11525217,9.1,4472,银河帝国4：基地前奏
02052049,9.0,4642,海伯利安
26210607,8.4,10832,时间移民
11528306,9.1,3947,银河帝国5：迈向基地
07007241,9.3,2854,2001：太空漫游
27041533,8.7,6115,仿生人会梦见电子羊吗？
11528307,9.0,3876,银河帝国6：基地边缘
02215160,9.2,2987,神秘岛（全三册）
01772786,8.7,5572,真名实姓
30359030,8.5,7278,醉步男
10488563,8.6,6276,宇宙尽头的餐馆
03571732,8.4,8375,全频带阻塞干扰
26427703,9.2,2837,三体2
01271212,8.8,4581,死者代言人
01146267,8.8,4452,深渊上的火
01812215,9.1,3031,银河英雄传说VOL.1 黎明篇
25737822,9.3,2349,银河帝国12：机器人与帝国
01275907,8.3,8888,八十天环游地球
30161861,8.8,4190,与罗摩相会
