ID,Rating,Votes,Title
01467022,9.2,22491,上帝掷骰子吗
01037602,8.9,8574,别闹了，费曼先生
10750155,8.7,10769,数学之美
01477390,9.3,3857,代码大全（第2版）
01504957,8.6,5752,学会提问
01115353,8.3,8675,奇特的一生
01433835,9.2,2442,The Elements of Style
06749832,9.0,2221,复杂
11505704,9.1,1520,The Ph.D. Grind
02994915,8.8,1943,戀愛暴君 1
02124114,8.8,1869,怎样解题
01152111,8.6,2297,程序员修炼之道
01944205,8.9,1307,追寻记忆的痕迹
02969410,8.8,1254,与本科生谈：论文与治学
04035330,8.6,1449,研究是一门艺术
26895836,9.2,746,不发表 就出局
01829747,9.1,744,Asking the Right Questions
01888111,9.6,434,Convex Optimization
03582335,9.6,430,Introduction to Linear Algebra
03296585,9.3,453,The Elements of Style
03518162,8.7,791,社会研究方法
26791309,9.3,380,初识传播学（插图第7版）
33476150,9.3,364,建筑的故事
04075835,8.2,1077,从优秀到卓越
01790456,7.5,2474,专业主义
03144300,9.2,320,通向实在之路
03518087,8.6,560,给研究生的学术建议
03815282,8.8,449,技术与文明
02082044,8.1,888,金赛性学报告
02117279,7.7,1246,教授为什么没告诉我
24753011,9.0,296,葛传椝英语写作
10567201,9.7,161,Writing Science
27028215,9.5,176,视觉SLAM十四讲
03162523,9.2,212,Mostly Harmless Econometrics
01424592,8.5,383,My Life as a Quant
04225911,9.3,188,量子力学史话
04247329,8.4,402,致青年学者
26655043,8.4,366,会读才会写
05399343,7.8,702,论证是一门学问
01867455,7.8,677,像外行一样思考，像专家一样实践——科研成功之道
01037290,8.0,525,莎士比亚、牛顿和贝多芬
06526308,7.9,575,怎样做文献综述
02521421,9.2,166,The Craft of Research
01963552,8.5,301,Made to Stick
01903959,9.0,194,On Writing Well
04218542,8.1,451,论剽窃
03354596,8.6,268,创新算法
01154544,7.3,1129,现代心理与教育统计学
01443526,8.2,368,新工具
04886012,9.2,152,问卷统计分析实务
01876898,9.4,130,The AWK Programming Language
20284332,8.9,189,学术研究，你的成功之道
04473481,9.4,128,Science Research Writing
26613805,8.1,387,文思泉涌
26629064,8.7,207,芝加哥大学论文写作指南
01926932,8.2,322,有了博士学位还不够
10570885,8.5,234,芝加哥学术生涯规划
01886879,8.7,195,A PhD Is Not Enough
26733566,7.6,589,知识大融通
02372323,8.9,159,科学研究的艺术
01803961,8.2,286,双螺旋
01962865,9.1,125,生物物理学
03132014,9.2,116,组织与管理研究的实证方法
03057671,8.6,178,Learning OpenCV
10788579,8.5,193,居里夫人自传
04917199,8.5,183,实验心理学
01280917,8.7,145,基因VⅢ
05292437,8.9,124,为什么E=mc2
03033504,8.7,142,课程与教学的基本原理
03371165,7.1,774,吃掉那只青蛙
02265256,9.3,88,Advice for a Young Investigator
01283433,8.8,125,科学研究纲领方法论
01037104,7.7,346,诺贝尔的囚徒
02178389,8.8,121,如何撰写和发表科技论文
02326852,8.6,139,技术革命与金融资本
01173944,9.1,92,管理研究方法论
27108502,8.8,110,研究生完全求生手冊
01883984,8.8,107,A Rulebook for Arguments
10808942,9.1,82,组织与管理研究的实证方法
01879705,8.5,127,传热学
01157377,9.0,83,动态最优化基础
01435394,9.1,74,分子生物学实验室工作手册
03154440,8.4,123,利维坦与空气泵
03800835,8.3,130,博士论文写作技巧
01965596,8.7,91,科学与方法
05322674,6.9,576,思考的整理术
01236987,7.7,202,学习GNU Emacs
01988075,8.0,149,右手.左手
02004495,8.3,115,研究设计与写作指导
05955417,8.7,83,A PhD Is Not Enough!
01459277,9.3,56,Models of My Life
01925372,9.3,56,走向自主创新
01085673,7.8,161,在MIT上学
26340523,7.9,143,像外行一样思考，像专家一样实践（修订版）
02253794,8.0,127,The War of Art
33446821,7.9,138,给年轻科学家的信
24733738,7.4,227,理科生的人生设计指南
03695850,8.6,73,Recommender Systems Handbook
01792470,8.6,72,行为博弈
03262651,8.8,62,The Craft of Research
06758642,8.7,66,怎样做研究
03106569,8.6,69,商务动态分析方法
06311154,9.8,34,英语科技写作
01892100,9.6,37,Piled Higher and Deeper
03143654,7.7,138,大学之理念
02009919,7.6,150,社会网络分析法
01937407,9.5,38,狂热的追求
04010806,8.5,69,事件相关电位基础
01462696,9.1,46,Advice to a Young Scientist
20019387,8.8,55,Letters to a Young Scientist
01895020,8.6,62,科技论文写作与发表教程
01434012,8.0,97,How to Get Control of Your Time and Your Life
01444656,7.3,188,C++程序设计教程
05378921,9.8,31,化学键的本质
06959768,9.4,37,English for Writing Research Papers
27034425,9.5,35,实验万事屋
25881407,7.7,117,如何写学术论文
02287720,8.0,89,如何成为卓越的大学教师
26377007,8.7,52,有了博士学位还不够（修订版）
02183420,8.6,55,生物信息学算法导论
02853120,10.0,26,The Biology of Cancer
01912888,8.0,84,谁想成为科学家?
26302475,9.1,39,Digital Paper
01959247,8.6,51,时间序列分析
01795673,8.6,50,Probability and Random Processes
01982886,7.6,106,LATEX入门与提高
26585183,9.1,35,科学研究的艺术
01450028,7.4,118,心理与教育研究方法
03156752,8.6,46,世界民间故事分类学
01423236,8.7,42,科学在行动
03756525,7.6,94,解码生命
26675076,8.4,49,如何成为学术论文写作高手
03180810,8.1,57,统计学完全教程
11498888,9.6,24,科技写作与交流
01757982,9.5,25,计算机程序设计艺术
01455337,7.9,64,You Just Don&#39;t Understand
01414931,8.0,59,社会调查中的问卷设计
26657161,8.5,42,怎样做开题报告
01219953,7.6,81,实验室生活
03222758,7.3,99,心理学职业生涯
01431705,9.1,28,What Mad Pursuit
01892101,9.6,22,Life is tough and then you graduate
01726382,8.6,35,弹性力学简明教程
01919510,8.5,37,对年轻科学家的忠告
25869802,8.0,50,顺利完成硕博论文
03698056,8.4,38,量化研究与统计分析
01756847,9.0,27,The Art of Scientific Investigation
03117354,7.9,52,如何撰写和发表SCI期刊论文
01258657,8.6,33,创造性论文的写法
03948350,9.2,24,现代物理有机化学
03532427,8.5,34,基于ABAQUS的有限元分析和应用
30140795,8.8,28,经济学研究入门指南
02338892,7.6,59,认识与谬误
20387191,9.5,19,如何撰写并发表英文经济学论文
02000582,8.2,37,学术的秩序
24737823,8.6,29,学术引注规范指南（第二版）
26732439,9.1,22,科研有方
06751311,7.5,59,R语言数据操作
03713508,6.1,270,谁叫你读硕博士
26339907,7.6,52,质性研究的基础（第3版）
01710627,8.6,27,学问的创造
02293785,8.9,23,学会引用
02714331,8.5,28,Authoring a PhD
02850587,9.4,18,At the Bench
01778109,7.7,46,韦伯论大学
01431437,9.5,17,走进微生物
04178944,9.0,21,科学人生纵横
01843544,9.8,15,《美国管理学会学报》最佳论文集萃
01687852,7.3,61,怎样做研究
06891213,8.1,33,从学生到学者
04880486,8.7,23,进化树
02983878,7.8,39,富裕的杠杆
01094559,7.4,52,基因之战
02800302,8.9,19,Applied Computational Economics and Finance
05335912,6.9,72,调查问卷的设计与评估
04074877,7.6,40,如何撰写研究计划书
01574019,9.4,15,Nonlinear Systems (3rd Edition)
26461251,8.2,26,参与观察法（修订版）
26698363,7.7,35,给青年科学家的20封信
02180860,8.3,24,学术论文的创造性阅读
03693430,9.3,15,自动武器原理与构造学
04255637,7.3,46,规划你的学术生涯
01272266,7.4,42,案例研究方法的应用
02448514,9.4,14,The ACS Style Guide
03120058,8.0,27,学术部落及其领地
03200182,8.0,27,科技论文写作快速入门
01152129,7.0,56,支持向量机导论
01813600,9.0,16,吸附科学
01964201,7.9,28,模式识别
06837664,9.3,14,普通昆虫学
01277608,9.1,15,谐波抑制和无功功率补偿
03570869,7.6,33,激光原理
02502414,9.4,13,Functional Magnetic Resonance Imaging
04211785,7.4,37,如何写好科研项目申请书
01130987,8.4,20,外语教学中的科研方法
01396521,8.6,18,怎样获得研究生学位
03393375,8.2,22,实验设计与分析
03081764,8.0,24,叙事探究
01886970,8.8,16,Molecular Biology
06526181,7.1,42,学术写作手册
10795471,9.0,14,群论在化学中的应用
03354153,8.3,19,结晶化学导论
01159694,8.0,22,LATEX2e及常用宏包使用指南
