ID,Rating,Votes,Title
05394309,8.4,5786,简约至上
25942191,8.5,490,第一行代码
10539159,8.0,648,欲望的教育
01031341,7.5,969,联想风云
27197865,7.5,888,简单统计学
25747269,7.7,597,颠覆医疗
10465946,9.3,117,iOS Human Interface Guidelines
24753137,7.7,493,移动设计
05351808,7.9,339,众妙之门
25763770,7.5,520,孵化Twitter
25817190,7.5,513,设计之下
04909176,7.6,300,社交网站界面设计
11530748,8.1,170,Android开发精要
20381558,7.3,368,移动应用UI设计模式
25800026,7.2,318,移动风暴
20480821,6.6,437,移动浪潮
06972719,8.2,70,Mobile Design Pattern Gallery
10558528,7.0,217,天下有贼
24720342,7.9,78,贴心设计
10537875,7.8,82,一目了然
25960651,8.4,52,移动社交时代的互动搜索营销（全彩）
10427995,7.4,109,种子
04254166,8.6,42,Tapworthy
26910220,7.0,152,支付宝体验设计精髓
26369130,7.6,73,移动Web手册
06531663,7.4,77,iPhone 4与iPad开发基础教程
25879618,6.1,351,即将到来的场景时代
02216425,7.4,67,资本暗战
01073940,7.3,73,媒介形态变化
20644893,6.0,294,O2O
01185223,6.8,93,手机
03099804,7.9,35,移动
26779652,6.9,75,产品之力
03302555,8.9,19,Zen of Palm
05404177,8.0,27,一步步写嵌入式操作系统
10600982,8.0,27,苹果应用开发与营销
26363946,6.8,66,移动交互设计精髓
06047744,6.9,59,Android技术内幕
25764505,7.3,41,Android应用UI设计模式
24845692,7.1,47,移动互联
25780809,5.8,159,决胜移动终端
10555212,7.6,26,苹果狂潮
11621963,6.5,58,决战第三屏
25719630,6.8,43,品味移动设计
26805816,6.7,47,全世界最简单的西餐
26202093,7.5,23,移动时代生存
26342322,8.5,13,HTML5秘籍（第2版）
01918532,7.6,18,手机版图
24858820,6.4,36,移动就是一切
25769136,7.4,16,精彩绝伦的Android UI设计
19961110,6.2,39,自然用户界面设计
04202975,5.9,43,流动的世界
30198437,6.6,22,点击
06428936,7.0,16,Android基础教程（第3版·修订版）
05315203,7.7,11,Best iPhone Apps
11510723,6.5,22,移动Web实现指南
05398923,6.9,15,智能手机Web标准开发实战
11596282,6.9,15,jQuery Mobile权威指南
24706036,6.8,12,HTML5移动Web开发实战
03655287,6.6,13,移动帝国诺基亚
25953824,5.6,17,移动的力量
21321670,5.3,18,移动互联网成功之道
25923256,0.0,10,移动网页设计与开发
26345907,0.0,10,趋势
26168965,0.0,11,移动云
03747328,0.0,12,Mobile Design and Development
01908422,0.0,26,Everyware
