ID,Rating,Votes,Title
01071023,8.7,3863,谈谈方法
01076280,8.8,2067,第一哲学沉思集
01089949,7.7,3994,本阵杀人事件
10449401,9.4,490,现代性的神学起源
26872888,7.3,2013,人类砍头小史
24699319,9.5,150,哲学史讲演录
02157346,8.3,396,笛卡尔的错误
26821965,7.9,607,机械宇宙
20382267,9.1,164,牛津艺用人体解剖学
01703433,8.7,218,探求真理的指导原则
01073103,8.7,213,笛卡尔哲学原理
30400716,7.9,464,异端
01463393,8.7,179,Meditations on First Philosophy
27608196,7.9,342,通向哲学的后楼梯
01116326,7.3,690,人是机器
03422797,9.6,81,笛卡儿几何
02256290,8.8,134,笛卡尔与《第一哲学的沉思》
02026143,8.7,132,第一哲学沉思集
07916115,8.2,148,爱因斯坦自述
25767798,8.2,145,论灵魂的激情
20474991,9.2,63,笛卡尔
30129112,8.0,154,笛卡尔的错误
25870677,7.8,150,笛卡尔-牛津通识读本
04909158,7.4,204,笛卡尔
02556784,8.8,59,Discourse on Method and Meditations on First Philosophy
03896248,8.1,95,哲学原理
01232679,8.3,66,笛卡尔式的沉思
04714648,7.9,86,第一哲学沉思集
10764710,8.9,40,第一哲学沉思录·伦理学
19906957,7.7,91,笛卡尔的骨头
27006739,7.6,89,论灵魂的激情
03231058,9.0,24,Meditations on First Philosophy
10757668,7.4,63,方法论·情志论
02253562,9.7,16,Descartes&#39; Metaphysical Physics
01288899,8.1,33,开启理性之门
04288316,9.0,19,Discourse on Method and Meditations on First Philosophy
03275335,7.6,40,古代悲剧与现代科学的起源
06041392,7.7,37,谈谈方法
02996234,7.8,27,科学二十讲
03732189,8.2,21,笛卡尔的精灵
26291180,8.3,19,第一哲学沉思集
06891452,8.6,15,第一哲学沉思集
26706100,7.6,24,沉思录
26264196,7.2,30,“我”之观念——笛卡尔哲学研究
02559712,9.1,10,Descartes
01577629,7.1,19,勒内·笛卡尔先生在他的时代
25834998,8.0,11,哈佛百年经典第12卷：法国和英国著名哲学家
06794209,7.8,11,笛卡尔谈人生哲学
03655457,7.1,13,大家精要·笛卡儿
26892932,4.6,24,第一哲学沉思集
04291545,0.0,10,沉思錄
25859468,0.0,10,The Cambridge Companion to Descartes&#39; Meditations
02560721,0.0,11,Descartes
02561720,0.0,13,The Philosophical Writings of Descartes
26337137,0.0,13,笛卡尔的心物学说研究
02259464,0.0,16,笛卡尔传
10430109,0.0,16,Descartes
