ID,Rating,Votes,Title
01007305,9.6,291319,红楼梦
01068920,9.3,158312,飘
01200840,9.0,251397,平凡的世界（全三部）
01083428,8.9,186602,傲慢与偏见
01046209,9.2,88895,安徒生童话故事集
01085860,9.0,100580,基督山伯爵
01141406,8.5,186826,简爱（英文全本）
01043008,9.0,69500,格林童话全集
01205054,9.0,49791,悲惨世界（上中下）
01119522,8.4,102870,呼啸山庄
01024197,8.4,90711,巴黎圣母院
01051193,8.6,57880,麦琪的礼物
01082334,8.1,144826,穆斯林的葬礼
01400705,8.1,134117,情人
01086249,8.6,44976,荆棘鸟
01205370,8.2,86295,羊脂球
01006197,8.6,35744,哈姆莱特
01119839,9.1,15886,王尔德童话
01258498,8.4,40249,项链
03879301,7.9,95237,微微一笑很倾城
01007433,8.2,47497,红与黑
03610681,9.2,9101,海子诗全集
01084165,9.0,11422,平凡的世界
02253379,8.6,20970,简爱
02256039,7.8,92460,杜拉拉升职记
01418297,9.2,8258,蜂蜜與四葉草 1
01022632,8.8,11718,罪与罚
01203251,8.1,33317,雾都孤儿
01427288,8.4,15592,小妇人
01013502,7.6,60625,钢铁是怎样炼成的
01010472,8.5,10146,安娜·卡列尼娜（上下）
01255288,8.1,19263,复活
01212488,8.3,13283,罗密欧与朱丽叶（名著名译插图本）
01031741,7.8,30925,欧也妮·葛朗台
01851385,7.9,25134,我的名字叫红
01047138,7.8,26890,少年维特的烦恼
01088743,8.5,8092,简・爱
01894745,8.4,8458,简·爱
01013469,8.7,5340,战争与和平（全四册）
01077778,8.1,11800,爱的教育
01119528,8.0,13529,高老头
03164521,8.8,3685,简爱
01880987,8.6,4783,安娜·卡列尼娜
10569619,8.4,5835,自由
01035477,7.9,12094,德伯家的苔丝
01018482,8.1,7961,汤姆・索亚历险记
01009285,7.7,14695,童年
20257843,8.3,5335,蛙
01064532,8.5,2810,秘密花园（2册）
22806583,8.7,1839,国家的常识
03127268,8.5,2274,简爱
01121443,8.7,1412,简·爱
02193878,8.1,3041,红字
02138054,8.7,1231,简•爱
01418242,8.6,1272,Jane Eyre
10744282,9.4,552,简·爱
06431957,7.8,3474,遇见一些人，流泪
06065493,8.5,1186,简爱
01035067,8.6,1005,简・爱
04881508,8.4,1107,简·爱
01466999,8.2,1161,上尉的女儿
01141403,8.7,651,呼啸山庄
01519058,7.8,1901,母亲
01462161,8.5,716,简·爱
02139618,7.3,3638,寻找前世之旅续集
04847336,8.9,392,绿山墙的安妮
04902445,8.2,804,爱丽丝漫游奇境记
01475219,8.6,501,简·爱
05992554,8.2,773,简爱
01286293,8.9,315,简爱
01092583,8.5,461,简·爱
01368881,8.7,359,簡愛
02343018,7.2,2297,寻找前世之流年转
01213892,8.2,577,简爱
03795758,8.9,267,简爱
03402743,8.8,265,简爱
01084552,8.4,363,简·爱
27025537,8.7,253,简·爱
02275112,8.7,211,简爱
01823545,8.4,261,简.爱-(全译本)
03216326,8.8,172,洪业（上下）
25913147,7.7,508,因为深爱，所以放手
01636483,8.3,264,简．爱
24699651,7.6,509,吃饭
02068986,8.9,131,简爱
01039084,8.4,183,简·爱
01269965,8.5,160,简爱
07058726,8.2,167,简爱
03710425,8.5,116,簡愛
05354060,8.1,147,娘家与婆家
01543987,7.2,377,藻海无边
03408080,8.2,126,Wide Sargasso Sea
01204178,8.6,82,简・爱
02109474,8.6,71,简.爱-外国文学经典
02376654,8.1,94,新娘日记
01824721,8.3,75,杨梅
01659052,8.4,66,简·爱
04903101,8.9,44,简爱
10472584,8.3,61,Race Against the Machine
02973663,7.0,175,万劫
04250331,8.1,63,简·爱
05379108,7.6,83,不纠结的世界
02301472,8.3,47,莎士比亚悲喜剧
26289644,8.4,43,简爱
06784729,7.4,76,茫茫藻海
25862234,7.8,52,爱，不停炖
01388198,8.1,42,Jane Eyre
06858548,9.2,22,简爱
04041917,7.8,38,简爱
01229332,7.8,37,简爱
03483595,7.9,34,JANE EYER简 爱
04758254,7.5,44,豪宅孤女
01158801,8.1,28,考试虫丛书·床头灯英语学习读本
01084716,8.2,26,简·爱
02324336,8.4,21,简·爱（英文原版）
01188684,7.3,41,再生缘
02101444,8.0,25,简爱
06306145,8.4,20,非讀不可的簡愛
04323847,8.1,12,简爱
04734114,7.1,11,豪宅孤女《簡愛》
03061894,0.0,10,《简爱》解读
01397256,0.0,11,简·爱
02622451,0.0,11,Jane Eyre
04233085,0.0,11,简·爱、呼啸山庄、傲慢与偏见
06759920,0.0,12,简·爱
