ID,Rating,Votes,Title
01775691,8.4,81347,少有人走的路
06709783,9.0,26433,浪潮之巅
01970428,8.8,28882,激荡三十年（上）
01786387,8.6,39608,影响力
01033778,8.3,58355,富爸爸，穷爸爸
03609132,8.4,35481,把时间当作朋友
02380307,8.8,17228,激荡三十年（下）
10786473,8.2,45625,自控力
01056295,8.2,39846,人性的弱点全集
27608239,8.4,22261,原则
01322025,8.7,13301,卓有成效的管理者
01048007,8.2,26142,高效能人士的七个习惯（精华版）
03151575,8.6,10522,激荡三十年
05287474,8.7,8597,影响力
03291111,8.5,11107,富爸爸穷爸爸
04180711,8.2,16363,拖延心理学
05325618,8.4,11282,高效能人士的七个习惯
01005576,8.9,5249,影响力
01072438,8.3,12583,大败局
10785583,8.2,13620,思考，快与慢
25881102,8.8,5477,独裁者手册
26664352,8.9,4691,褚时健传
30280804,8.4,9206,薛兆丰经济学讲义
24753751,8.1,14703,向前一步
11530078,9.6,1899,经济学原理
02348372,8.3,9761,野蛮生长
10747883,8.0,15268,怦然心动的人生整理魔法
02064450,8.5,6815,大败局Ⅱ
05914587,8.5,6766,启示录
34836531,8.8,4254,了不起的我
01115353,8.3,8675,奇特的一生
01031526,8.3,8040,一个广告人的自白
26306686,8.3,7928,创业维艰
01269900,8.1,10335,活法
27094706,8.7,4183,财富自由之路
01017180,8.2,8481,定位
05320866,8.3,7136,重来
26895993,7.9,13600,刻意练习
03558629,8.4,5942,小强升职记
26275861,8.5,5082,沟通的艺术（插图修订第14版）
03002878,8.7,3599,优势谈判
01313124,8.2,7381,赢
24749465,7.4,31524,断舍离
01433346,8.7,3516,旁观者
26297606,7.5,24550,从0到1
26860776,8.4,5225,鞋狗
26354200,8.9,2565,华杉讲透孙子兵法
26759508,8.1,7794,硅谷钢铁侠
26582822,8.2,6549,重新定义公司
20507212,8.0,8158,习惯的力量
03270161,9.9,805,机械制造厂电能的合理使用
01020644,8.1,6844,金字塔原理
01457028,8.9,2257,管理的实践
01894695,9.0,1997,营销管理
10945606,8.3,4996,精益创业
05921213,8.4,4250,MBA教不了的创富课
05421787,8.0,7782,定位
03043491,7.7,12858,浮沉
03000997,7.5,18357,牛奶可乐经济学
01161817,8.6,3112,洛克菲勒留给儿子的38封信
01919072,7.7,12064,长尾理论
26270679,8.1,6093,零售的哲学
01193621,8.5,3390,决策与判断
01867642,7.6,14224,世界是平的
04051739,8.7,2601,第五项修炼
01874488,8.1,6012,别做正常的傻瓜
10586741,8.3,4375,关键对话
01021056,7.1,37960,谁动了我的奶酪？
22994632,8.9,1928,成功，动机与目标
05916234,7.6,12697,番茄工作法图解
04882120,8.1,5218,金字塔原理
01022936,8.2,4476,基业长青
01102259,8.4,3271,人月神话
04243770,8.5,2815,创新者的窘境
01183730,8.5,2808,谈话的力量
01045862,8.4,3179,第五项修炼
34326931,8.6,2414,掌控习惯
02225735,7.9,6606,谁动了我的奶酪？
01085366,9.2,1129,组织社会学十讲
03889178,8.7,1989,Rework
26849305,8.8,1749,成为乔布斯
30144978,8.0,5071,见识
01424955,9.0,1335,卓有成效的管理者 （中英文双语典藏版）
01059769,8.0,4900,从优秀到卓越
01083403,7.8,6725,世界上最伟大的推销员
01004118,8.1,4182,富爸爸财务自由之路
10441759,9.4,868,公司理财
30356081,8.1,4166,奈飞文化手册
01135754,8.1,4120,你的灯亮着吗?
06854525,7.9,5594,黑天鹅
35009826,8.8,1627,一生的旅程
01464593,8.7,1806,目标
04020857,8.8,1590,卓有成效的管理者
30486499,8.7,1760,债务危机
03682204,7.6,8686,佐藤可士和的超整理术
06718487,8.4,2515,商业模式新生代
01927902,7.6,8572,九型人格
04112632,8.2,3283,活法（修订版）
27593848,8.3,2837,增长黑客
04723970,7.6,8339,人人都是产品经理
04849382,8.3,2778,搞定
04036180,9.0,1180,营销管理
05913475,8.2,3160,高难度谈话
10773358,8.1,3630,意志力
10828002,7.9,4849,游戏改变世界
24541955,8.0,4116,史玉柱自述
25942507,7.5,9419,参与感
26728136,8.4,2323,非暴力沟通
03746915,9.7,567,资治通鉴
05302113,8.3,2590,三双鞋
01039311,8.4,2266,职场动物进化手册
10485011,8.9,1220,穷查理宝典
01046164,8.2,2898,巴菲特致股东的信
26877306,7.7,6187,微习惯
01084435,8.4,2177,策略思维
30164963,9.1,961,巴菲特致股东的信
01827578,7.6,7216,输赢
04722180,7.7,5786,谁动了我的奶酪?-纪念版
11528220,8.3,2259,系统之美
01499783,8.3,2254,将心注入
26789567,7.3,11193,如何有效阅读一本书
26873486,7.9,3966,运营之光
04225644,8.6,1523,街头生意经
06508275,8.7,1329,大败局Ⅱ
05321463,8.2,2460,沟通的艺术
25858068,7.4,8627,100个基本
30188003,7.9,3622,为什么精英都是时间控
26178426,7.5,6939,稀缺
26314955,8.7,1228,创新公司
27153484,8.4,1744,富爸爸穷爸爸
01159949,7.8,3993,杰克·韦尔奇自传
04953707,8.1,2469,门口的野蛮人
20434430,8.0,2834,你要如何衡量你的人生
26284789,8.6,1294,高效能人士的七个习惯
04020854,9.0,832,管理的实践
34952676,8.3,1840,苏世民：我的经验与教训
26411602,8.2,2038,富甲美国
20036150,8.5,1359,Principles
04216944,8.8,960,卖轮子
03138847,7.9,3013,思考的技术
02382433,8.7,1070,罗伯特议事规则
01085660,8.0,2587,尽管去做
04050758,8.3,1720,基业长青
20473412,7.9,2953,品牌洗脑
02048893,7.8,3384,财报就像一本故事书
25807982,8.5,1304,创新者的窘境(全新修订版)
01048922,8.2,1893,硬球
01951372,8.9,822,创新与企业家精神
26608585,8.3,1632,重新定义团队：谷歌如何工作
11589950,7.7,3748,沃顿商学院最受欢迎的谈判课
30357931,8.1,2080,智能商业
01436707,7.5,5178,如何掌控自己的时间和生活
11516567,8.7,985,四步创业法
04010185,8.0,2353,哪来的天才？
10565381,7.9,2567,活法
26604224,8.9,751,经济学的思维方式
03896758,8.5,1166,参谋助手论
01003598,8.4,1311,富爸爸，穷爸爸
06052860,7.2,8100,海底捞你学不会
04039936,8.8,820,旁观者
05344908,7.9,2493,别独自用餐
01958120,8.6,1012,格鲁夫给经理人的第一课
01427920,8.7,900,The 7 Habits of Highly Effective People
20505765,8.8,802,精益创业实战
01038977,8.6,995,谈判是什么
07001106,7.4,5358,时间管理
26324497,8.0,2098,支付战争
25908391,8.1,1823,大败局1
01077497,7.2,7525,水煮三国
01316569,8.4,1194,Getting Things Done
33474750,9.2,507,浪潮之巅（第四版）（上下册）
03419122,8.2,1495,22条商规
04726323,7.4,4931,一万小时天才理论
34870933,7.7,2993,人生十二法则
06404010,7.8,2573,不懂项目管理，还敢拼职场
02015368,9.1,544,价值评估
06687032,8.7,814,经验的疆界
01435909,8.6,906,竞争战略
01059490,7.6,3442,麦肯锡方法
25908390,8.5,1012,大败局2
06536593,8.4,1104,领导梯队
26976593,8.8,705,孵化皮克斯
27609489,7.7,2756,远见
26606009,7.7,2754,精力管理
20389192,7.1,7626,30岁前的每一天
30417612,8.2,1352,非对称风险
26761859,7.7,2697,精要主义
24714655,8.2,1329,我看电商
10446295,8.0,1721,权力
24700126,8.9,603,格鲁夫给经理人的第一课(纪念版)
01100470,7.5,3591,现在，发现你的优势
25775696,7.6,3055,金字塔原理
03691437,7.3,5044,思维导图
04846035,7.5,3563,干法
33414023,8.3,1137,我曾走在崩溃的边缘
33413106,9.4,366,一本书看透股权架构
03794450,8.3,1120,细节营销
30274068,8.3,1117,经济学的思维方式
25823036,8.8,636,The Hard Thing About Hard Things
25916679,8.8,628,能断金刚
30355759,8.8,621,Atomic Habits
05431183,9.0,506,格鲁夫给经理人的第一课
05325852,7.9,1776,思考的技术
27132072,7.4,3802,OKR工作法
27020287,8.0,1536,运营之光 2.0
01011509,7.8,2009,谁说大象不能跳舞？
03006483,7.7,2320,每周工作4小时
01082601,7.5,3159,羊皮卷
25975454,7.8,1980,九败一胜
01108725,8.2,1144,人件
01319893,8.0,1476,当和尚遇到钻石
01279659,8.3,1008,组织行为学
01780035,8.6,716,如何改变世界
30147418,8.5,793,经营者养成笔记
02301904,9.1,430,Case in Point
26879263,9.3,357,营销管理（第15版）
26698020,8.3,970,认识商业（插图修订第10版）
01435907,8.5,771,我在通用汽车的岁月
