ID,Rating,Votes,Title
01008145,8.9,372566,围城
01023045,8.7,239557,我们仨
01057244,8.7,178962,边城
01209899,9.1,59162,我与地坛
01046265,8.0,317937,挪威的森林
01022060,8.2,146118,狼图腾
04742918,8.3,111159,1Q84 BOOK 1
01337297,9.6,10344,篮球飞人
04885241,8.4,62834,1Q84 BOOK 2
03665874,9.0,19299,星空
04714734,8.3,60224,这些都是你给我的爱
04231381,8.4,48888,那些回不去的年少时光
03879301,7.9,95237,微微一笑很倾城
01021615,9.1,11161,小王子（中英文对照本）
04732378,8.7,19512,那些回不去的年少时光·终场
01812439,8.1,53775,步步惊心
02022979,8.0,62016,喜宝
02209098,7.8,90010,致我们终将逝去的青春
01958227,8.2,39113,那些年，我们一起追的女孩
03673671,9.1,9231,梦里花落知多少
01859140,8.9,12203,上学记
01819974,8.7,14612,我的路3
01049354,8.6,16376,又寂寞又美好
03662001,8.8,11898,情书
01041128,8.6,15195,天蓝色的彼岸
01030052,7.9,47083,清醒纪
02256438,7.8,55994,素年锦时
02250587,7.6,82962,一个人的好天气
01917972,7.8,45237,在路上
01026425,7.4,108286,三重门
03642673,8.0,30127,我执
01092149,8.7,9379,梵高传
02243213,7.8,43029,山楂树之恋
01438816,9.1,5258,给青年诗人的信
01467519,9.9,1984,世界童话名著连环画
02283084,8.0,27161,云中歌1
01069685,8.6,9506,爱你就像爱生命
03065343,8.3,14784,云中歌3
02339950,7.7,37705,被窝是青春的坟墓
05502995,7.6,44665,1Q84 BOOK 3
05332948,9.0,4431,這些人，那些事
01926700,7.7,35875,关于莉莉周的一切
02048364,8.0,19998,独步天下（上下卷）
01049189,7.3,73925,1995-2005夏至未至
01925232,7.8,25331,大漠谣
03765331,8.6,6286,恋人絮语
05980360,8.0,14632,曾许诺
03714244,9.6,1584,十日后
02078219,7.9,15983,且试天下1
01059406,7.0,101836,幻城
01959892,8.1,10555,大漠谣·终结篇
02045811,9.0,2882,张国荣的时光
03506871,7.5,30452,曾有一个人，爱我如生命
02080619,8.1,9609,且试天下2
01471701,8.8,3369,梦里花落知多少
01006004,7.5,25662,樱桃之远
01748232,8.0,10009,忽而今夏
02980812,7.8,13922,踮脚张望的时光
04154988,8.0,9721,纯真博物馆
01914572,7.6,19344,誓鸟
01018482,8.1,7961,汤姆・索亚历险记
01330096,8.2,6001,挪威的森林
03777123,7.8,11515,告别天堂
01946666,7.9,9367,斯泰尔斯庄园奇案
03674353,7.6,15975,沥川往事
01925218,7.4,22377,翻译官
01037716,8.7,2737,我的灵魂骑在纸背上
01047927,8.8,2120,郑渊洁十二生肖童话（12册）
01015403,7.7,10582,今生今世
05264779,7.4,17983,背包十年
02281912,7.6,11934,醉玲珑（上卷）
01879023,8.2,4154,忽而今夏Ⅱ
02284090,7.5,11841,开到荼蘼
03824491,8.9,1436,父亲的战场
04894980,7.8,6285,心术
05414084,8.0,4465,智斗
01827376,7.8,5517,死亡约会
03336465,7.2,16230,被时光掩埋的秘密
02133556,6.9,28662,光荣日（第一季）
03816834,7.7,5637,兰因·璧月（上、下）
01416955,9.3,738,惡童3
03622904,7.2,13723,不抱怨的世界
03335951,7.6,6413,我的波塞冬
03191328,6.5,69880,小时代1.0折纸时代
01046385,7.1,15888,毒
01313317,8.4,1746,三毛私家相册
01161118,8.6,1337,龙珠风波
01059016,8.7,1131,蛇王淘金
04135618,7.5,6030,丹尼海格
01799812,8.3,1741,飘邈之旅1:误入天庭
01777173,8.0,2363,最寒冷的冬天是旧金山的夏季
02062200,6.2,100680,悲伤逆流成河
02059671,8.8,867,马王登基
02248892,8.5,1205,一本杂志和一个时代的体温
05417810,8.1,1943,三毛1943-1991
02059535,8.7,847,兔王卖耳
02059700,8.8,691,虎王出山
03260174,7.8,1872,回眸
04933087,7.2,4387,机场里的小旅行
04012250,7.8,1032,色已成空
01368881,8.7,359,簡愛
01883134,9.0,246,现当代国际关系史
03771868,8.2,492,印度札记
04885073,8.2,453,脸上的门，口中的灯
01858319,8.8,250,五月天/讓我們永遠混在一起 混過愛過紀念冊
01079237,8.8,246,猪王照相
01020715,9.0,206,白牙
01018272,8.2,425,通向哲学的后楼梯
05293888,8.4,309,亲爱的张枣
01079413,8.4,304,采花贼的地图
03618254,7.0,1601,天霜河白（上）
01210734,8.5,251,野性的呼唤
02248744,9.3,130,%
01959278,8.3,286,嘴上风暴
03663994,7.1,1238,天霜河白（下）
30489372,8.4,248,有情人终成胖墩儿
01011443,8.4,246,侠胆雄鸡
02362285,8.7,170,Yours
02075746,8.4,216,不仅为了纪念
01824421,8.7,154,洋葱头历险记
01455633,9.2,88,Yoko
02083769,8.7,104,趣味逻辑学
01157377,9.0,83,动态最优化基础
01141935,8.1,159,游荡与闲谈
01125360,7.4,315,巴黎的瞬间
03292851,8.0,164,神秘之球
03133009,9.6,51,大雄的结婚前夜
06711856,7.6,231,创意达人的手作游记
03503830,7.4,263,南非之南
02130257,7.3,290,八大胡同捌章
01423899,7.9,153,高迪
03092826,7.5,209,我的微微，我的天堂
26644754,8.4,69,淡白的古果
02322623,8.7,54,放羊的星星… 电视原版小说
03201703,7.1,187,有一种永远是永不再见
30276110,6.7,296,大约在冬季
02117487,7.6,106,《读书》现场
03183967,9.3,33,写在杂志边上—大众软件五周年
30164868,7.4,128,我曾记得那男孩
01046138,7.2,151,莫扎特传
25982311,7.8,68,你是千堆雪我是长街
05906201,8.0,56,书痴范用
26702154,8.6,36,大节落落  高文炳炳
05336408,8.0,52,二泉映月
01279424,7.8,56,冰川期的春天
01963491,7.1,97,我们的1980年代
03123832,9.2,21,暗地书
01795982,8.8,25,Monumentality in Early Chinese Art and Architecture
25850062,9.1,20,活在珍贵的人间——海子纪念集
01880199,7.4,41,生化危机典藏纪念
02184238,9.1,14,F.R.I.E.N.D.S
03544303,8.4,18,大江源记
26728006,7.5,30,世上所有的事与愿违，原来都是另有安排
03063771,8.5,17,Inter!
27119416,6.9,42,被遗忘的秘密
05907450,7.7,21,陈省身与几何学的发展
03119487,7.4,22,夏日最后一朵玫瑰
26802707,8.6,11,忽然来不及
01161198,7.3,19,高二数学（上）
27184191,6.2,33,竹马成双
01274869,0.0,10,一溪集
34985615,0.0,11,此生只为守敦煌
30209842,0.0,16,青春的纪念碑
27045613,0.0,25,忆我旧星辰
