ID,Rating,Votes,Title
01803022,9.0,15959,圣经
01964774,9.1,12794,论语
01009789,9.5,3240,道德经
04843456,9.4,2384,金刚经·心经
01626532,9.5,1157,地藏菩萨本愿经
01448820,9.8,638,大佛顶首楞严经
04843454,9.3,1011,坛经
04843444,9.4,851,维摩诘经
04843458,8.8,824,四十二章经
02999785,8.4,1156,塔木德
01051931,9.0,540,西藏度亡经
01400697,7.8,1449,古兰经
04912808,9.1,238,新約
01146528,8.8,289,宋论
01033831,8.9,165,左传
01142429,8.6,165,经学通论
01911292,9.0,101,佛说阿弥陀经浅释
01911293,8.6,136,佛说四十二章经浅释
04843453,8.5,120,金光明经
04843445,8.6,108,梵网经
04167244,9.1,60,佛說長壽滅罪護諸童子陀羅尼經
10727271,9.7,35,大佛顶首楞严经讲义（上下册）
26677837,8.4,71,智慧书
02348415,8.9,39,周易述（两册）
03792495,8.6,43,诗广传
04030065,8.7,40,思问录 俟解 黄书 噩梦
04719016,7.4,95,《梨俱吠陀》神曲选
01920634,8.3,29,周易
03167806,8.6,22,南传弥兰王问经
05417422,7.9,28,尚书古文疏证
06790295,8.7,18,登真隐诀辑校
10827660,7.3,37,群经通论
01194652,7.6,20,古兰经韵译
