ID,Rating,Votes,Title
04238362,8.6,126797,送你一颗子弹
01059258,9.4,12591,道德经精义
01949420,9.4,8772,孙子兵法
05375620,8.7,15223,失控
01009789,9.5,3240,道德经
01287865,9.5,2359,老子
02165076,9.0,2815,玻璃球游戏
01033163,9.2,2184,老子注译及评介
01436276,8.8,3043,建筑：形式、空间和秩序
04146127,9.6,1101,春秋左传注（全四册）
01291199,8.7,2959,过于喧嚣的孤独 底层的珍珠
01924903,9.1,1684,老子
01489670,8.6,3076,老子他说
01253292,9.2,1297,老子今注今译
03368865,9.3,1123,老子道德经注校释
03318174,8.1,4435,这书能让你戒烟
01002426,9.4,611,道德经
25957575,9.4,592,老子
05403730,9.3,559,老子道德经注
21681263,8.1,1968,大鱼
01256284,8.4,1166,谋生之道
01136851,9.1,467,南怀瑾选集（第二卷）
01417574,9.1,414,老子
03007652,9.4,299,老子
06116759,9.0,400,道德经
01886374,9.0,361,老子·庄子
01032341,9.1,330,帛书老子校注
03027232,8.1,822,人往低处走
04898170,8.8,388,老子他说续集
01075533,8.6,453,老子他说
06725981,8.3,589,道可道
01248104,9.5,190,南华经
26817465,9.4,205,老子今注今译
01255989,9.1,226,化书
01944495,8.0,668,老子的智慧
01136843,8.6,307,南怀瑾选集（第四卷）
01080820,8.9,186,老子道德經河上公章句
01007374,8.8,200,老子说
01482661,9.2,139,王弼集校释（上下）
03712876,8.3,298,园林与建筑
01955377,9.4,118,老子德道经
01270517,8.1,319,庄老通辨
26864332,8.8,168,老子的智慧
01058007,9.5,98,老子庄子
01136890,8.6,185,南怀瑾选集（第五卷）
01840205,9.1,120,老子臆解
26384277,8.2,254,道可道
03819957,9.6,85,老子衍 庄子通 庄子解
03714709,8.8,146,道德经释义
01078457,8.6,169,老子校释
04934611,7.0,959,九型人格心灵密码学
03237636,7.3,620,老子的帮助
26690716,9.7,71,老子注译及评介
26184543,9.1,100,老子他说
30325321,8.7,134,东西之道
02025706,9.1,98,道德经（中英文对照）
01055582,8.5,154,圣人无意
02376102,8.3,179,列子
04766938,9.0,99,中性
03853475,9.4,73,道德经
26874936,9.6,64,老子道德经注校释
24383059,8.6,122,道德经讲义
04821458,7.9,225,中国思想地图
25894714,8.2,168,道德经(春秋)(附弟子规)
20391339,9.5,63,道德经注释
01443815,9.0,86,老子解读
01393287,8.6,112,道德经讲解
01665243,9.5,59,郭店楚墓竹简
01002798,7.7,235,中国道教发展史略
02989448,9.0,75,道德经
01973401,8.5,97,老子古今
01451414,8.4,93,中国古代哲学史
01888014,8.2,108,中国的思维世界
03104910,8.7,71,老庄新论
03036709,9.4,46,春秋左氏传旧注疏证
04722608,7.9,131,Alien Interview
25782876,9.3,48,老子
20385742,8.3,89,道德经的奥秘
24700110,8.3,86,中信国学大典：老子
01532274,9.2,47,黄元吉文集:道德经讲义、乐育堂语录
26834435,9.2,46,老子他说
03684913,9.0,51,漫画道家思想（下册）
01931557,8.7,60,老子译注
06004640,9.5,37,新唯识论
01200547,8.7,58,老子评传
01018800,8.3,73,庄老通辨
26367646,8.9,47,老子开讲
30373239,7.1,203,示弱的勇气
26954839,7.6,120,老子
26606691,9.3,35,老子道德经解
01204673,9.5,31,道德经
30245136,7.8,93,道可道
34680655,8.0,78,戴建业精读老子
04035399,7.2,157,老子十八讲
01224228,9.4,31,老子
01976278,8.2,63,道德经全集
26953903,8.3,57,老子的心事
04197739,6.9,204,庄子的享受
01096476,8.8,41,古汉语虚词
03706027,8.8,41,道德经解
04903379,8.8,41,道德真经註
03646307,9.0,35,春秋左传词典
02115910,8.6,40,老子译注
02969232,8.1,54,老子他说
24528894,8.4,42,老子注譯及評介（修訂增補本)
04830880,8.7,35,老子道德经古本集註
06057661,7.8,64,小熊维尼之道
06508502,8.1,47,道德经大全集
01486762,8.3,41,老子正宗
03182176,9.1,25,老庄新论
27100535,9.0,26,张其成全解道德经
02002770,7.4,74,道纪
03766481,8.7,30,王弼《老子注》研究
30217045,8.8,28,傅佩荣讲老子
26852603,9.5,20,曾仕强详解道德经：道经
03085863,8.8,27,图解老子
01270609,9.5,19,道书辑校十种
03398166,8.5,31,老子译注与解析
26384465,6.5,164,天堂茶话
03669576,8.1,38,诠释与定向
04203185,8.8,25,人往低處走：《老子》天下第一
01438057,8.0,39,道德经的智慧全集
06432356,9.2,20,老子翼
01215644,9.3,19,老子
21324323,9.3,19,老子译注
10678757,7.5,53,傅佩荣译解老子
03152210,7.7,45,王弼《老子注》研究（两册）
01252847,9.2,19,仿佛皙老
03563186,8.4,28,周秦道论发微
02184762,9.3,18,仿佛汲老子
04779432,9.3,18,老子鬳斋口义
26852605,9.3,18,曾仕强详解道德经：德经
02356826,8.1,33,老子
01080044,8.0,35,老子全译
24700156,8.3,29,老子的智慧
26778096,9.1,19,老子绎读
27625714,9.1,19,毓老师说老子
33456634,7.0,75,道德经说什么
03301331,8.0,33,形而上下
01197522,8.1,31,老子为道
01140464,8.7,22,老子说
27176676,8.0,32,杨鹏解读《道德经》
11520771,9.0,18,老子译注
15994834,8.4,24,时光文库-道德经白话全译
04220057,8.6,21,中国传统价值观诠释学
26852279,8.8,19,道德经
26710484,8.5,22,中国哲学创始者
26433878,8.2,25,三十六计
02073450,7.5,39,老子一百句
04117516,7.6,36,学会真思维
24702385,7.3,45,道德经
02382751,7.8,31,老子博客
10801552,7.5,38,道德经释义
26435592,7.9,29,蔡志忠漫画中国传统文化经典:老子说(中英文对照版)
02053615,9.2,15,老子 庄子
01891397,8.0,27,白话老子庄子列子
24879434,8.4,21,老子指歸校箋
01444544,8.7,18,老子  究竟说什么
05921681,7.1,49,道德经大全集
25976956,8.8,17,吕祖秘注道德经心传
20492445,7.6,33,老子的帮助
01678982,8.4,19,老子与神话
01661401,7.8,26,郭店楚简校释
02329359,8.3,19,老子新解
01008341,6.8,52,发现老子
01838411,8.6,16,我读《老子》
05916865,8.9,14,老子《道德经》的现代解读
06097223,8.2,19,庄老通辨
02235818,7.3,33,听南怀瑾讲《老子》
01893479,8.3,18,中华国学道德根
21964864,7.7,25,生命的大智慧
27617299,9.4,11,老子臆解
03276723,8.2,18,《道德经》真义
01661463,7.6,25,道不远人
26958085,9.3,11,新譯老子讀本
11537690,8.5,15,老子通证
02289616,7.7,22,帛书老子再疏义
01585432,8.7,13,郭店楚墓竹简.老子.甲本
04830879,7.9,19,老子本义
01891403,7.2,28,老子白话今译
04894972,7.8,19,《道德经》的哲学
03630566,8.1,16,中国古典哲学概念范畴要论
01315149,9.2,10,老子(附庄子)
20384823,7.6,20,《老子想尔注》导读与译注
20261617,8.0,16,鲍鹏山说老子
02259717,6.6,41,小说老子
01364833,8.6,12,Lao Tzu
03859954,7.2,25,听傅老师讲《老子》
05385827,9.0,10,六子全书之老子
01791813,7.2,24,解读道德经
22867016,8.3,13,南怀瑾选集
01017960,8.1,14,老子译注
04841834,7.4,20,破玄（德经卷）
01015930,7.1,23,老子与道家
06013260,7.4,18,道德经全解
01894761,7.3,19,十家论老
03795553,7.3,19,名家批注道德经
06938498,7.7,15,老子正诂
06070295,7.8,14,老子还原
27035166,7.8,14,道论九章
03531203,7.2,19,傅佩荣细说老子
25744940,8.5,10,王安石老子注辑佚会钞
05343847,7.7,14,老子英雄儿好汉？
05921137,7.4,16,老子的密语
01677781,7.6,14,老子道德经
03906351,7.6,14,老子的智慧
01320401,7.7,13,老子指归译注
01265670,7.8,12,老子注译
02023708,7.8,11,老子注释
