ID,Rating,Votes,Title
20440644,9.1,33978,文学回忆录（全2册）
03162991,9.6,14972,艺术的故事
03410718,9.2,16165,美的历程
26854318,9.1,6796,现代艺术150年
01059969,9.5,2347,艺术的故事
25746578,9.2,3121,大英博物馆世界简史（全3册）
25811462,8.2,11653,小顾聊绘画·壹
26417490,8.1,8977,写给大家的西方美术史
26423502,9.7,996,艺术的故事
01017818,8.3,4504,观看之道
26265303,8.0,6690,小顾聊绘画·贰
01076426,8.8,2108,世界美术名作二十讲
03204645,9.6,868,明式家具研究
27608078,9.3,1151,图说敦煌二五四窟
03410759,9.0,1578,隔江山色
01784790,9.0,1448,傅山的世界
03464436,8.9,1578,剑桥艺术史：古希腊罗马艺术
04579688,8.5,2528,丑的历史
21267489,9.2,1084,加德纳艺术通史
01400833,9.7,642,The Story of Art
25774379,8.6,2011,图说中国绘画史
01958685,8.3,2865,美的历史
25786012,9.5,730,艺术的故事 (袖珍本)
04011322,9.0,1207,重屏
26390189,9.0,1167,如何看懂印象派
26845199,9.0,1120,大都会艺术博物馆指南
27000443,8.6,1771,世界美术名作二十讲
01042150,9.3,803,艺术发展史
03175195,8.8,1346,美术史十议
01040631,9.1,933,美的历程
24839726,8.6,1594,杜尚访谈录
01965025,9.2,819,艺术：让人成为人
25977110,8.2,2644,美的沉思
21363162,9.3,736,詹森艺术史（插图第7版）
03410762,9.0,966,气势撼人
03334535,8.4,1942,剑桥艺术史：绘画观赏
20516441,9.1,831,美术、神话与祭祀
27156515,8.0,3052,美术馆里聊怪咖
34869500,8.6,1373,被统治的艺术
01060294,8.8,994,艺术哲学
03410760,8.9,885,江岸送别
25878880,8.9,865,认识艺术（全彩插图第8版）
34948951,7.9,2924,大话西方艺术史
03128801,8.0,2493,写给大家的中国美术史
27069092,9.2,604,美的情绪：西洋画派十二讲
01675113,8.9,799,礼仪中的美术
10559288,9.1,623,艺术与错觉
01450027,8.7,926,万物
26251939,8.4,1307,名画之谜·希腊神话篇
03410761,9.0,672,山外山
04818174,8.7,914,黄泉下的美术
26847581,9.2,541,艺术哲学
11533606,9.0,648,贾科梅蒂的画室
27069101,8.7,863,认识建筑：丰子恺建筑六讲
01584977,7.9,2319,世界现代设计史
25875172,9.1,560,艺术创造学
01879204,8.7,841,武梁祠
04218686,8.9,680,中国美术史讲座
01006214,9.0,613,美的历程
34799573,8.3,1325,我心归处是敦煌
10430691,8.5,1015,画家生涯
26606513,8.7,734,如何读中国画
10430397,8.8,632,艺术通史
26427579,7.8,2085,观看之道
26323105,9.0,497,艺术的力量
25878913,8.8,602,世界艺术史九讲（全彩插图第8版）
26992226,8.5,820,米开朗琪罗与教皇的天花板
27608151,8.5,812,摄影小史
25894807,9.6,287,西方文明中的音乐
30170099,8.3,1010,如何看懂艺术
03329950,8.2,1128,剑桥艺术史：20世纪艺术
03464447,8.1,1274,剑桥艺术史：文艺复兴艺术
03649874,8.7,631,中国古代艺术与建筑中的“纪念碑性”
10532822,9.2,380,中国古代服饰研究
01072606,8.9,498,艺术与错觉
20411692,8.7,605,隐秘的知识
01017227,9.0,450,温迪嬷嬷讲述绘画的故事
25849160,8.3,933,中国艺术史
27129662,9.5,285,詹森艺术史（插图第7版）
01385584,9.0,431,Ways of Seeing
03674485,8.7,564,时空中的美术
05353300,9.1,378,林泉高致
25697555,8.4,757,无限的清单
26286738,8.9,449,现代性的五副面孔
03464443,8.0,1214,剑桥艺术史：中世纪艺术
03464448,8.3,837,剑桥艺术史：17世纪艺术
25762288,9.2,337,风景与记忆
26352773,8.9,433,美学散步（彩图本）
01031262,8.0,1160,包豪斯
01138452,8.5,642,意大利文艺复兴时期的文化
04218687,8.7,514,天雨流芳
26756741,8.0,1118,胆小别看画 1
27140491,7.3,3023,小顾聊绘画·文艺复兴
01627415,9.1,337,中国陶瓷史
26900311,8.4,660,世界美术名作二十讲
19971184,8.6,532,废墟的故事
25843055,9.0,358,花花朵朵 坛坛罐罐
27047564,9.1,327,艺术博物馆
19955808,8.6,517,万物
25803294,8.8,418,画语录
27108717,8.3,693,维米尔的帽子
03038328,8.8,412,浮世绘
22994566,9.5,222,巴洛克艺术
25811785,7.3,2627,莫奈和他的眼睛
01067019,8.4,602,现代性的五副面孔
26978822,9.1,301,重屏
03168709,8.7,428,风格与世变
06059208,8.9,352,图像学研究
26758311,8.3,644,胆小别看画 3
03312323,9.1,291,艺术与观念（上册）
26303508,8.3,634,现代主义
26286060,8.2,700,神在人间的时光:希腊神话欣赏
01124279,8.8,373,美术、神话与祭祀
02143015,8.3,617,我们什么也没看见
25834552,9.2,260,正仓院考古记
01257564,7.9,976,世界平面设计史
03324151,8.1,742,剑桥艺术史：19世纪艺术
26838438,9.1,272,谈美
30184001,8.9,321,木骨禅心
06743317,8.7,381,点线面
26695251,9.1,263,痛苦与狂喜：众神之巅
25795773,8.1,711,荣荣的东村
22994564,9.3,223,哥特艺术
34875240,8.5,457,竹不如肉
30376581,8.2,624,艺术与恐惧
30324722,9.1,258,艺术哲学
26756742,8.1,695,胆小别看画 2
01976551,8.4,494,中国艺术精神
02149449,8.9,304,绘画史事
04582324,9.4,198,中国陶瓷史
26640091,8.7,357,痛苦与狂喜: 向石而生
20515277,8.8,321,逝者的面具
01002701,8.9,293,中国绘画三千年
10434740,8.7,350,艺术
25872094,7.3,1907,如何看一幅画
02974194,8.9,285,加德纳世界艺术史
01496315,9.0,260,文艺复兴
20515245,8.5,407,20世纪中国艺术与艺术家
21233389,8.7,335,当代艺术的主题
10567711,8.0,701,闪回：电影简史（插图第6版）
27064108,8.8,305,“空间”的美术史
24878414,8.3,499,少有人看见的美
06522008,8.7,333,与艺术相伴
20487300,8.8,301,世界摄影史
26022685,8.2,538,现象
27055840,8.0,675,疯狂艺术史：从莫奈到毕加索
25794692,9.0,247,中国画颜色的研究
25849608,8.0,669,艺术的起源
06800514,8.5,389,《艺术的故事》笺注
04154939,9.4,176,宋画全集
26359810,8.6,343,美术史十议
02342967,7.9,727,“立面”的误会
26931151,7.8,813,被误诊的艺术史
06402688,8.6,331,中国艺术与文化
06890903,8.2,495,美的历史
01915388,8.5,361,电影的故事
03322912,7.9,691,剑桥艺术史：18世纪艺术
30438411,8.5,358,观看的技艺
03196877,8.3,435,中世纪的秋天
25775605,8.6,321,灰色的狂欢节
26614175,7.4,1319,写给大家的中国美术史
25909781,8.7,291,阿姆斯特丹梵高博物馆
03101023,8.3,428,庵上坊
30360235,9.1,204,希利尔讲给孩子的艺术史-全彩全译精装全3册
05333443,8.5,347,抽象与移情
03347961,8.3,424,流水别墅传
03040948,8.9,240,论艺术的精神
01005822,8.2,461,中国服饰史
26978823,8.7,280,废墟的故事
26963037,9.1,198,我的观看之道
27004871,7.7,822,疯狂艺术史：从达芬奇到伦勃朗
27174509,8.5,334,文森特与凡·高
01923669,7.7,810,世界摄影史
30260377,8.7,275,中国绘画中的“女性空间”
26611270,9.0,208,从风格到画意
01138909,8.3,396,艺术中的精神
05363491,8.7,269,千年丹青
26978824,9.2,176,中国古代艺术与建筑中的“纪念碑性”
01021698,8.4,353,西方现代艺术史
05384913,9.0,205,明式家具二十年经眼录
25966753,8.2,430,看
04710578,8.5,315,艺术的去人性化
06998611,9.2,172,艺术哲学
24888086,8.5,313,物象与心境
01923636,8.7,256,从莫奈到毕加索
27039519,8.7,256,脸的历史
03073374,8.9,214,味水轩里的闲居者
26926880,9.0,196,图画史
30145656,8.9,212,中国美术史
26953553,7.9,571,照夜白
06727670,8.2,408,明代的图像与视觉性
10875947,8.5,302,丑的历史
11603000,8.0,507,不朽的林泉
03135032,8.2,406,鹊华秋色
30125518,8.1,448,细读文艺复兴
26693244,9.5,132,人文主义时代的建筑原理 (原著第六版)
26416437,7.7,708,名画之谜：历史故事篇
02348880,8.7,245,现代设计史
01881101,9.2,162,西方六大美学观念史
27139923,8.7,243,明亮的泥土
25758646,8.6,265,MoMA亮点
30402352,8.1,433,今日的艺术
25904562,7.6,775,伦勃朗1642
20277309,8.1,422,诗之旅
26359806,8.6,256,黄泉下的美术
25902449,8.5,280,图像的生与死
26682340,9.2,155,艺术概论
26994664,8.7,232,世界美术名作二十讲
30489158,9.2,154,艺术哲学
30126977,8.7,231,隐形书写
34833911,8.6,252,朝圣者的碗钵
25919893,8.7,229,立体的历史
23065661,9.3,141,考古学专题六讲
26808220,8.1,407,与古为徒和娟娟发屋
30325327,8.9,192,艺术的力量
25795535,9.2,151,十九世纪欧洲艺术史
26286843,9.0,174,秩序感——装饰艺术的心理学研究
05341156,7.6,706,美的曙光
26631439,8.1,391,敦煌石窟艺术简史
25928734,9.0,169,古典风格
27219599,8.2,343,聚焦
26313206,8.5,256,看名画的眼睛.1
24733797,8.9,181,哥特建筑与经院哲学
25813166,9.3,133,无限与视角
25816167,9.3,133,人文传统（一）
26921058,8.9,180,艺术、神话与祭祀
01018205,8.2,339,风格的特征
01929042,8.9,178,一九四零年以来的艺术
10432340,8.4,276,曾有西风半点香
01153961,8.5,247,美术史的形状
27621033,8.5,247,白鸟之歌
25696117,8.2,329,南画十六观
03312621,8.8,189,艺术与观念（下册）
26303616,8.9,174,武梁祠
26610232,9.2,138,建筑经典：1950～2000
03446692,9.0,160,张彦远和《历代名画记》
02030638,9.7,96,Painting and Experience in Fifteenth-Century Italy
34792916,8.7,200,中国艺术与文化
01947469,8.3,287,后现代主义艺术系谱
25852794,7.8,485,故宫藏美
01055446,8.5,234,威尼斯商人
10773827,8.3,282,让木乃伊跳舞
26878474,8.6,213,艺术社会学三论
01316370,8.8,179,20世纪艺术批评
26589358,9.4,114,美术史的基本概念
26737988,9.2,131,艺术力
26863058,8.8,178,我们什么也没看见
01173332,8.9,163,历代名画记
27030480,8.4,248,观察者的技术
01001441,8.0,366,中国雕塑史
34974775,9.3,118,认识建筑
20270447,8.7,187,翰墨荟萃
25962831,9.1,136,艺术社会史
01045194,7.9,404,中国工艺美术史
34443586,9.6,96,艺术通史
01323900,8.6,201,中国绘画的历史与审美鉴赏
30324950,7.3,840,像艺术家一样思考
24747423,8.8,169,现代生活的画像
05948181,8.9,155,画为心声
01785522,8.3,260,情感与形式
10482772,8.5,215,寻常物的嬗变
30227247,8.5,214,图像证史
26771318,8.9,153,与艺术相伴 I：认识艺术（全彩插图第8版）
28553398,9.6,93,中国石窟寺研究
04191719,8.5,211,作为精神史的美术史
03008781,7.8,424,图像证史
26606499,8.4,229,艺术与文化
10582396,7.8,422,雅债
30394583,8.9,149,艺术精神
01036860,7.9,373,艺术的起源
