ID,Rating,Votes,Title
10594787,9.0,184340,霍乱时期的爱情
01775691,8.4,81347,少有人走的路
01529893,8.0,90410,莲花
03578470,9.0,15420,德米安
03131626,9.0,10404,荒原狼
10546850,8.8,2966,内在的天空
01905742,8.8,1837,金枝（上下册）
03286829,7.9,5890,脑髓地狱
04061963,8.7,1873,荣格自传
04244803,8.8,1402,人格心理学
01313174,8.5,1811,荣格自传
03224456,7.7,5085,少有人走的路Ⅱ
10515314,9.1,801,红书
01857295,9.0,853,荣格心理学入门
04216680,9.1,689,心理类型
24721654,8.8,920,红书
03277343,8.1,1703,生命四元素
26907984,9.2,492,红书
30222320,9.4,352,荒野之狼
01827054,9.2,378,诺斯替宗教
26849476,8.8,509,金花的秘密
03004272,8.2,938,天资差异
03654465,7.6,1998,少有人走的路Ⅲ
02893591,8.5,623,King
01214804,8.6,548,未发现的自我
05906066,8.2,811,请理解我
30258764,8.3,631,公主走进黑森林：用荣格的观点探索童话世界
02303128,8.5,458,简析荣格
25793666,9.1,262,荣格自传
01778062,9.0,271,荣格文集
01734002,8.1,661,你不知道的自己
06711398,8.9,282,一个女人一生中的二十四小时
30398693,9.0,253,荣格与中国文化
01981608,8.6,356,回忆·梦·思考——荣格自传
01039222,7.8,851,荣格性格哲学
04210847,8.4,425,潜意识与心灵成长
11530367,9.2,187,梦书
26328457,8.2,463,童话心理学
02144124,7.8,710,日本人的传说与心灵
01064649,8.8,250,分析心理学的理论与实践
25811177,8.5,323,众神的星空
01877655,7.5,984,谋杀的解析
25781016,8.9,216,心理学与文学
26838900,9.4,140,塔罗冥想
03578482,8.5,290,释梦
06784027,8.5,261,金花的秘密
06391211,8.6,235,给未来的记忆
25781020,8.9,177,精神分析与灵魂治疗
06068005,8.6,228,原型与集体无意识-荣格文集（第五卷）
03571559,7.6,659,驱魔人
34994192,9.0,158,我想要不卑不亢地面对这世界
03662227,8.3,289,私密的神话
06784978,8.6,208,心理学与文学
01820965,9.0,142,藏传佛教绘画史
02137373,8.5,207,心理学与文学
25714390,9.0,129,红书（彩图版）
06533174,8.5,184,荣格自传
10557754,8.2,234,荣格与炼金术
25781017,9.5,83,分析心理学的理论与实践
25833875,9.3,93,荣格文集
05398731,7.4,533,童话的心理分析
27197035,7.4,528,国王 武士 祭司 诗人
06974458,8.6,153,精神分析与灵魂治疗
02066295,8.4,180,寻找灵魂的现代人
27176052,8.3,189,寻求灵魂的现代人
25750516,8.5,155,潜意识与心灵成长
27625595,8.9,110,未发现的自我
25899645,9.1,95,自我与自性
26383818,8.4,155,父性
01976258,8.5,139,未知的自我
01919040,9.7,59,Man and His Symbols
01915390,7.4,389,日本人的心理结构
03114492,8.8,102,灵知派经典
01057794,8.3,150,东洋冥想的心理学
30292623,9.2,75,河合隼雄的读书人生
06879000,8.5,122,分析心理学的理论与实践
26910211,7.9,207,隐藏的人格
25845188,8.7,103,心理类型
06068014,8.6,110,原型与集体无意识
