ID,Rating,Votes,Title
01770782,8.9,647959,追风筝的人
06082808,9.2,294597,百年孤独
01068920,9.3,158318,飘
10594787,9.0,184340,霍乱时期的爱情
01858513,9.0,135129,月亮和六便士
01071241,9.0,131718,哈利·波特与阿兹卡班的囚徒
01040211,9.2,92093,福尔摩斯探案全集（上中下）
01009257,9.0,126017,哈利·波特与火焰杯
01039487,8.9,126756,哈利·波特与密室
02295163,9.0,100635,哈利·波特与死亡圣器
01432596,8.8,109945,哈利·波特与混血王子
01141406,8.5,186827,简爱（英文全本）
01043008,9.0,69500,格林童话全集
01336330,9.3,32524,冰与火之歌（卷一）
01205054,9.0,49793,悲惨世界（上中下）
03608208,8.5,120392,牧羊少年奇幻之旅
05414391,9.0,41468,寻路中国
07060185,9.0,37401,江城
01008988,8.4,107086,了不起的盖茨比
03162991,9.6,14972,艺术的故事
03813669,8.6,69122,民主的细节
02284311,8.8,37683,苏菲的世界
01856494,9.4,14945,卡拉马佐夫兄弟
06789605,9.1,23067,树上的男爵
01863930,8.8,34012,看不见的城市
01018136,9.1,21044,动物庄园
01818347,8.7,36083,尼罗河上的惨案
01922216,9.2,13065,全球通史(上)
03719533,9.4,9787,经济学原理
01803022,9.0,15959,圣经
01424741,8.5,28758,心是孤独的猎手
01083762,8.7,20485,人类的群星闪耀时
01007433,8.2,47497,红与黑
03054821,9.2,9157,渴望生活
01032501,8.8,16314,心理学与生活
05366248,8.2,44292,你一定爱读的极简欧洲史
01922246,9.2,8774,全球通史(下)
01277981,8.8,13601,社会契约论
01008189,8.9,11519,西方哲学史（上卷）
01228110,8.2,35374,天使与魔鬼
01040104,8.8,12752,魔戒（第一部）
01077528,8.8,12562,通往奴役之路
02056749,8.1,40337,时间旅行者的妻子
01022632,8.8,11718,罪与罚
03719531,9.3,4979,经济学原理
10555486,8.7,11175,分成两半的子爵
02359052,8.9,8275,查拉图斯特拉如是说
01004699,9.0,6904,作为意志和表象的世界
04011440,8.0,31723,最初的爱情 最后的仪式
03757732,8.9,7248,人类的群星闪耀时（增订版）
01917972,7.8,45237,在路上
03169746,8.7,9541,荆棘鸟
01082584,8.7,9283,追忆似水年华 Ⅰ
01058759,8.8,7821,魔戒（第二部）
03347997,8.4,14008,X的悲剧
04010969,7.8,40239,当我们谈论爱情时我们在谈论什么
01083477,8.1,22175,包法利夫人
01036541,8.8,6785,疯癫与文明
06811366,8.3,14266,禅与摩托车维修艺术
