ID,Rating,Votes,Title
04913064,9.4,496903,活着
01084336,9.0,576798,小王子
06082808,9.2,294597,百年孤独
01008145,8.9,372571,围城
27614904,9.2,192616,房思琪的初恋乐园
04820710,9.3,147882,1984
01082154,9.1,190800,活着
25985021,9.1,131621,人类简史
01083428,8.9,186603,傲慢与偏见
01029791,8.8,191246,许三观卖血记
04908885,9.0,129296,局外人
01054685,9.1,100739,沉默的大多数
01089243,8.9,124075,黄金时代
01829226,9.1,85335,肖申克的救赎
01002299,9.0,88430,笑傲江湖（全四册）
11524204,9.3,51920,围城
01017143,8.5,200890,不能承受的生命之轻
01449351,8.9,90238,呐喊
04238362,8.6,126797,送你一颗子弹
02035162,9.0,55001,刀锋
01043815,8.4,151837,骆驼祥子
01767945,8.8,67477,一只特立独行的猪
04123116,9.1,38130,月亮和六便士
01786670,8.9,52346,百年孤独
03808982,9.3,27260,动物庄园
01088065,8.7,71894,阿Q正传
01008988,8.4,107086,了不起的盖茨比
01082406,8.9,38696,黄金时代
01003000,8.3,112845,悟空传
04742918,8.3,111159,1Q84 BOOK 1
01051193,8.6,57881,麦琪的礼物
03266609,8.6,56902,流浪地球
03815131,9.4,14561,一九八四
01401425,8.3,84772,兄弟（上）
01018136,9.1,21044,动物庄园
04885241,8.4,62834,1Q84 BOOK 2
01426971,8.8,30175,野火集
04908879,9.4,12172,动物农场
01449348,8.9,22095,彷徨
05038409,9.0,18897,金色梦乡
24257486,9.1,16020,局外人
26276775,9.0,17378,异乡人
10738023,8.7,24765,了不起的盖茨比
01258498,8.4,40250,项链
03883991,9.3,9580,动物农场
01776683,9.0,14345,沉默的大多数
20428302,9.1,12133,失明症漫记
01394364,8.8,17670,银河系漫游指南
01559310,9.0,12554,鹿鼎记
20441957,8.5,26929,兄弟
01013225,8.4,29488,生活在别处
01061803,9.2,8167,西游记
04874131,8.1,44955,东霓
01052203,8.9,11727,局外人
06265745,8.7,13980,银河系搭车客指南
01464989,9.1,7463,围城
23774518,9.3,5551,1984
01021193,8.8,10603,皮皮鲁传
01203251,8.1,33318,雾都孤儿
01856025,8.9,8842,道连·葛雷的画像
01082407,8.8,9606,青铜时代
01136881,9.3,4889,悲惨世界
01860750,8.4,17418,了不起的盖茨比
06431994,8.2,23660,悟空传
01254731,8.8,8915,欧·亨利短篇小说选
27013741,8.8,8833,黄金时代
27070488,9.3,4444,围城
01485224,8.5,13111,悟空传
01058679,8.7,9654,人·兽·鬼
01096790,8.7,9441,黑铁时代
04878745,9.3,4036,动物农场
25798623,9.3,4030,1984
01043485,8.2,19610,檀香刑
04010969,7.8,40239,当我们谈论爱情时我们在谈论什么
01098643,8.8,7130,聊斋志异
05366275,8.4,12765,我怎样毁了我的一生
01859108,8.9,5906,白痴
01061242,8.8,6778,写在人生边上
01763809,8.7,7551,红拂夜奔
01010472,8.5,10146,安娜·卡列尼娜（上下）
01078250,8.2,16241,洗澡
05920385,8.3,13687,肠子
01777932,8.7,7170,寻找无双·东宫西宫
01083434,8.7,7130,莫泊桑短篇小说选
27013708,8.6,8220,一只特立独行的猪
01039427,9.0,4630,围城
01031741,7.8,30925,欧也妮·葛朗台
01764991,8.9,5160,我的阴阳两界·革命时期的爱情
03394338,7.5,55638,他的国
05502995,7.6,44665,1Q84 BOOK 3
01465007,8.2,14120,生死疲劳
01052828,8.4,10098,玩笑
01132956,8.4,9949,白银时代
01083435,8.8,5406,契诃夫短篇小说选
01453210,7.4,59055,一座城池
01077492,9.0,3949,大师和玛格丽特
01005918,8.0,17663,堂吉诃德
01082578,9.0,3734,理想国与哲人王
26728835,9.4,2308,动物农场
10488563,8.6,6276,宇宙尽头的餐馆
05292912,8.0,16163,1988：我想和这个世界谈谈
01082577,8.7,5311,黑铁时代
01045466,9.3,2455,一九八四
04169424,7.9,18242,蛙
01010349,8.1,12539,丰乳肥臀
01064828,8.4,7691,好笑的爱
01000856,7.9,17165,我是猫
01703544,7.4,43432,兄弟（下）
01119528,8.0,13529,高老头
05939312,8.2,9445,超·杀人事件
01027247,7.8,18690,丑陋的中国人
27113801,8.3,7278,使女的故事
25745773,9.5,1568,呐喊
04202422,8.3,7059,云图
01055234,8.6,4560,神曲（全三册）
01042053,8.3,6934,儒林外史
01880991,8.7,3879,堂吉诃德
01408254,8.7,3871,宇宙尽头的餐馆
05289756,7.9,13043,爱的地下教育
03154624,9.3,1848,一九八四 动物农场
01090575,8.6,4350,金拇指
11533585,9.5,1430,动物庄园
03111269,9.2,1966,动物农场
02076577,9.3,1733,聊斋志异
01849791,8.6,4075,铁皮鼓
02046977,8.1,8559,我是猫
25837852,8.9,2721,堂吉诃德
04246979,8.1,8110,窄门
01083431,8.7,3321,堂吉诃德（上下）
05380266,7.9,10924,怪笑小说
03274851,8.0,9203,原谅我红尘颠倒
01733250,8.5,4180,韩寒五年文集（上下）
04241023,8.8,2764,吾国与吾民
01871471,7.8,12121,一座城池
01092965,8.3,5233,智齿
26587232,9.4,1335,动物庄园
03345595,8.5,3912,猫城记
04718973,7.8,11664,毒笑小说
01034108,7.2,38502,零下一度
27077129,8.3,5153,华氏451
01023882,8.5,3754,病菌集中营
06953459,9.2,1572,动物农庄
04213995,7.6,15083,黑笑小说
04882159,7.6,14777,橘子不是唯一的水果
04811917,9.4,1185,一九八四
01491853,8.3,4494,变色龙
01119590,8.1,6064,老残游记
01010898,7.7,11779,格列佛游记
01792749,8.5,3169,等待戈多
01839492,9.2,1358,傲慢与偏见
01152701,7.8,9084,漂亮朋友
26649304,8.9,1871,一个无政府主义者的意外死亡
01088812,8.3,4017,第二十二条军规
01078809,8.0,6309,三重门
24540864,6.9,55199,第七天
04894485,7.8,8639,麦田里的守望者
02153887,8.7,2276,儒林外史
01092246,8.1,5135,百万英镑
27187557,9.3,1132,动物农场
01974027,8.9,1750,热风
04894345,8.8,1965,黄金时代
01003419,9.1,1390,动物农庄
01434071,7.9,6634,我们
03279284,7.7,9154,像少年啦飞驰
26410730,7.8,7699,我是猫
24371382,9.2,1181,动物庄园
26904658,8.6,2216,丰乳肥臀
10426425,8.7,1949,寻找无双
02229229,8.0,5071,穿条纹衣服的男孩
10763905,7.7,8226,西游日记
01394254,9.1,1184,Animal Farm
01814118,9.2,1065,月亮和六便士
10764363,9.1,1174,是，大臣
01867064,7.7,7814,八百万种死法
01097052,8.4,2673,包法利夫人
01022341,8.2,3511,白客
01487996,8.8,1604,城堡
27176647,8.0,4666,吃瓜时代的儿女们
06759436,9.3,923,动物庄园
05918057,8.8,1570,玩笑
34808043,9.2,1000,离婚
01888031,7.8,6186,格列佛游记
01470622,8.3,2759,二十年目睹之怪现状
